Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03737b149-w1-int-1b	-9999	55303.1941188663	w1	8	298.989980396221	-19.7593573525687	03737b149	WISE	
03737b149-w2-int-1b	-9999	55303.1941188663	w2	8	298.989980396221	-19.7593573525687	03737b149	WISE	
03737b149-w3-int-1b	-9999	55303.1941246533	w3	9	298.989980415511	-19.7593573508004	03737b149	WISE	
03737b149-w4-int-1b	-9999	55303.1941246533	w4	9	298.989980415511	-19.7593573508004	03737b149	WISE	
03741b149-w1-int-1b	-9999	55303.3264230863	w1	8	298.990421410288	-19.7593169262792	03741b149	WISE	
03741b149-w2-int-1b	-9999	55303.3264230863	w2	8	298.990421410288	-19.7593169262792	03741b149	WISE	
03741b149-w3-int-1b	-9999	55303.3264288733	w3	9	298.990421429578	-19.759316924511	03741b149	WISE	
03741b149-w4-int-1b	-9999	55303.3264288733	w4	9	298.990421429578	-19.759316924511	03741b149	WISE	
03745b149-w1-int-1b	-9999	55303.4587272663	w1	8	298.990862424221	-19.759276500002	03745b149	WISE	
03745b149-w2-int-1b	-9999	55303.4587272663	w2	8	298.990862424221	-19.759276500002	03745b149	WISE	
03745b149-w3-int-1b	-9999	55303.4587330533	w3	9	298.990862443511	-19.7592764982337	03745b149	WISE	
03745b149-w4-int-1b	-9999	55303.4587330533	w4	9	298.990862443511	-19.7592764982337	03745b149	WISE	
03748a125-w1-int-1b	-9999	55303.5249430663	w1	8	298.991083143554	-19.7592562673964	03748a125	WISE	
03748a125-w2-int-1b	-9999	55303.5249430663	w2	8	298.991083143554	-19.7592562673964	03748a125	WISE	
03748a125-w3-int-1b	-9999	55303.5249488533	w3	9	298.991083162844	-19.7592562656282	03748a125	WISE	
03748a125-w4-int-1b	-9999	55303.5249488533	w4	9	298.991083162844	-19.7592562656282	03748a125	WISE	
03749b149-w1-int-1b	-9999	55303.5910315063	w1	8	298.991303438354	-19.7592360737064	03749b149	WISE	
03749b149-w2-int-1b	-9999	55303.5910315063	w2	8	298.991303438354	-19.7592360737064	03749b149	WISE	
03749b149-w3-int-1b	-9999	55303.5910372933	w3	9	298.991303457644	-19.7592360719382	03749b149	WISE	
03749b149-w4-int-1b	-9999	55303.5910372933	w4	9	298.991303457644	-19.7592360719382	03749b149	WISE	
03752a125-w1-int-1b	-9999	55303.6572472463	w1	8	298.991524157488	-19.7592158411192	03752a125	WISE	
03752a125-w2-int-1b	-9999	55303.6572472463	w2	8	298.991524157488	-19.7592158411192	03752a125	WISE	
03752a125-w3-int-1b	-9999	55303.6572530333	w3	9	298.991524176778	-19.7592158393509	03752a125	WISE	
03752a125-w4-int-1b	-9999	55303.6572530333	w4	9	298.991524176778	-19.7592158393509	03752a125	WISE	
03752a126-w1-int-1b	-9999	55303.6573746163	w1	8	298.991524582054	-19.7592158022006	03752a126	WISE	
03752a126-w2-int-1b	-9999	55303.6573746163	w2	8	298.991524582054	-19.7592158022006	03752a126	WISE	
03752a126-w3-int-1b	-9999	55303.6573804033	w3	9	298.991524601344	-19.7592158004323	03752a126	WISE	
03752a126-w4-int-1b	-9999	55303.6573804033	w4	9	298.991524601344	-19.7592158004323	03752a126	WISE	
03754a126-w1-int-1b	-9999	55303.7233357263	w1	8	298.991744452421	-19.759195647417	03754a126	WISE	
03754a126-w2-int-1b	-9999	55303.7233357263	w2	8	298.991744452421	-19.759195647417	03754a126	WISE	
03754a126-w3-int-1b	-9999	55303.7233415133	w3	9	298.991744471711	-19.7591956456487	03754a126	WISE	
03756a126-w1-int-1b	-9999	55303.7895514863	w1	8	298.991965171621	-19.7591754148236	03756a126	WISE	
03756a126-w2-int-1b	-9999	55303.7895514863	w2	8	298.991965171621	-19.7591754148236	03756a126	WISE	
03756a126-w3-int-1b	-9999	55303.7895572733	w3	9	298.991965190911	-19.7591754130554	03756a126	WISE	
03758a126-w1-int-1b	-9999	55303.8556399063	w1	8	298.992185466355	-19.7591552211397	03758a126	WISE	
03758a126-w2-int-1b	-9999	55303.8556399063	w2	8	298.992185466355	-19.7591552211397	03758a126	WISE	
