Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03817b149-w1-int-1b	-9999	55305.8403302463	w1	8	301.951301444828	-18.9549906707827	03817b149	WISE	
03817b149-w2-int-1b	-9999	55305.8403302463	w2	8	301.951301444828	-18.9549906707827	03817b149	WISE	
03817b149-w3-int-1b	-9999	55305.8403360333	w3	9	301.951301470146	-18.9549906630667	03817b149	WISE	
03817b149-w4-int-1b	-9999	55305.8403360333	w4	9	301.951301470146	-18.9549906630667	03817b149	WISE	
03821b148-w1-int-1b	-9999	55305.9725071063	w1	8	301.95187971859	-18.9548144349694	03821b148	WISE	
03821b148-w2-int-1b	-9999	55305.9725071063	w2	8	301.95187971859	-18.9548144349694	03821b148	WISE	
03821b148-w3-int-1b	-9999	55305.9725128933	w3	9	301.951879743908	-18.9548144272534	03821b148	WISE	
03821b148-w4-int-1b	-9999	55305.9725128933	w4	9	301.951879743908	-18.9548144272534	03821b148	WISE	
03821b149-w1-int-1b	-9999	55305.9726344763	w1	8	301.951880275834	-18.9548142651427	03821b149	WISE	
03821b149-w2-int-1b	-9999	55305.9726344763	w2	8	301.951880275834	-18.9548142651427	03821b149	WISE	
03821b149-w3-int-1b	-9999	55305.9726402633	w3	9	301.951880301152	-18.9548142574267	03821b149	WISE	
03821b149-w4-int-1b	-9999	55305.9726402633	w4	9	301.951880301152	-18.9548142574267	03821b149	WISE	
03825b149-w1-int-1b	-9999	55306.1049386563	w1	8	301.952415382181	-18.9546466044574	03825b149	WISE	
03825b149-w2-int-1b	-9999	55306.1049386563	w2	8	301.952415382181	-18.9546466044574	03825b149	WISE	
03825b149-w3-int-1b	-9999	55306.1049444433	w3	9	301.952415405088	-18.9546465972237	03825b149	WISE	
03825b149-w4-int-1b	-9999	55306.1049444433	w4	9	301.952415405088	-18.9546465972237	03825b149	WISE	
03829b149-w1-int-1b	-9999	55306.2372427863	w1	8	301.952939086029	-18.9544812242949	03829b149	WISE	
03829b149-w2-int-1b	-9999	55306.2372427863	w2	8	301.952939086029	-18.9544812242949	03829b149	WISE	
03829b149-w3-int-1b	-9999	55306.2372485733	w3	9	301.952939108936	-18.9544812170612	03829b149	WISE	
03829b149-w4-int-1b	-9999	55306.2372485733	w4	9	301.952939108936	-18.9544812170612	03829b149	WISE	
03833b149-w1-int-1b	-9999	55306.3695470263	w1	8	301.953462790312	-18.9543158439949	03833b149	WISE	
03833b149-w2-int-1b	-9999	55306.3695470263	w2	8	301.953462790312	-18.9543158439949	03833b149	WISE	
03833b149-w3-int-1b	-9999	55306.3695528133	w3	9	301.953462813219	-18.9543158367612	03833b149	WISE	
03833b149-w4-int-1b	-9999	55306.3695528133	w4	9	301.953462813219	-18.9543158367612	03833b149	WISE	
03836a123-w1-int-1b	-9999	55306.4356354563	w1	8	301.953724390348	-18.9542332334574	03836a123	WISE	
03836a123-w2-int-1b	-9999	55306.4356354563	w2	8	301.953724390348	-18.9542332334574	03836a123	WISE	
03836a123-w3-int-1b	-9999	55306.4356412433	w3	9	301.953724413255	-18.9542332262237	03836a123	WISE	
03836a123-w4-int-1b	-9999	55306.4356412433	w4	9	301.953724413255	-18.9542332262237	03836a123	WISE	
03836a125-w1-int-1b	-9999	55306.4357627663	w1	8	301.953724894283	-18.9542330743199	03836a125	WISE	
03836a125-w2-int-1b	-9999	55306.4357627663	w2	8	301.953724894283	-18.9542330743199	03836a125	WISE	
03836a125-w3-int-1b	-9999	55306.4357685533	w3	9	301.95372491719	-18.9542330670862	03836a125	WISE	
03836a125-w4-int-1b	-9999	55306.4357685533	w4	9	301.95372491719	-18.9542330670862	03836a125	WISE	
03837b149-w1-int-1b	-9999	55306.5018512063	w1	8	301.953986494358	-18.9541504637699	03837b149	WISE	
03837b149-w2-int-1b	-9999	55306.5018512063	w2	8	301.953986494358	-18.9541504637699	03837b149	WISE	
03837b149-w3-int-1b	-9999	55306.5018569933	w3	9	301.953986517265	-18.9541504565362	03837b149	WISE	
03837b149-w4-int-1b	-9999	55306.5018569933	w4	9	301.953986517265	-18.9541504565362	03837b149	WISE	
03840a123-w1-int-1b	-9999	55306.5679396363	w1	8	301.954248094394	-18.9540678532324	03840a123	WISE	
03840a123-w2-int-1b	-9999	55306.5679396363	w2	8	301.954248094394	-18.9540678532324	03840a123	WISE	
03840a123-w3-int-1b	-9999	55306.5679454233	w3	9	301.9542481173	-18.9540678459987	03840a123	WISE	
03840a123-w4-int-1b	-9999	55306.5679454233	w4	9	301.9542481173	-18.9540678459987	03840a123	WISE	
03840a125-w1-int-1b	-9999	55306.5680670063	w1	8	301.954248598566	-18.9540676940199	03840a125	WISE	
03840a125-w2-int-1b	-9999	55306.5680670063	w2	8	301.954248598566	-18.9540676940199	03840a125	WISE	
03840a125-w3-int-1b	-9999	55306.5680727933	w3	9	301.954248621473	-18.9540676867862	03840a125	WISE	
03840a125-w4-int-1b	-9999	55306.5680727933	w4	9	301.954248621473	-18.9540676867862	03840a125	WISE	
03841b149-w1-int-1b	-9999	55306.6341554263	w1	8	301.954510198562	-18.9539850834949	03841b149	WISE	
03841b149-w2-int-1b	-9999	55306.6341554263	w2	8	301.954510198562	-18.9539850834949	03841b149	WISE	
03841b149-w3-int-1b	-9999	55306.6341612133	w3	9	301.954510221469	-18.9539850762612	03841b149	WISE	
03841b149-w4-int-1b	-9999	55306.6341612133	w4	9	301.954510221469	-18.9539850762612	03841b149	WISE	
03844a123-w1-int-1b	-9999	55306.7002438663	w1	8	301.954771798637	-18.9539024729449	03844a123	WISE	
03844a123-w2-int-1b	-9999	55306.7002438663	w2	8	301.954771798637	-18.9539024729449	03844a123	WISE	
03844a123-w3-int-1b	-9999	55306.7002496533	w3	9	301.954771821544	-18.9539024657112	03844a123	WISE	
03844a123-w4-int-1b	-9999	55306.7002496533	w4	9	301.954771821544	-18.9539024657112	03844a123	WISE	
03844a124-w1-int-1b	-9999	55306.7003711763	w1	8	301.954772302573	-18.9539023138074	03844a124	WISE	
03844a124-w2-int-1b	-9999	55306.7003711763	w2	8	301.954772302573	-18.9539023138074	03844a124	WISE	
03844a124-w3-int-1b	-9999	55306.7003769633	w3	9	301.954772325479	-18.9539023065737	03844a124	WISE	
03844a124-w4-int-1b	-9999	55306.7003769633	w4	9	301.954772325479	-18.9539023065737	03844a124	WISE	
03848a124-w1-int-1b	-9999	55306.8326754163	w1	8	301.955296006856	-18.9537369335074	03848a124	WISE	
03848a124-w2-int-1b	-9999	55306.8326754163	w2	8	301.955296006856	-18.9537369335074	03848a124	WISE	
03848a124-w3-int-1b	-9999	55306.8326812033	w3	9	301.955296029763	-18.9537369262737	03848a124	WISE	
03848a124-w4-int-1b	-9999	55306.8326812033	w4	9	301.955296029763	-18.9537369262737	03848a124	WISE	
03852a124-w1-int-1b	-9999	55306.9649795963	w1	8	301.955819710902	-18.9535715532824	03852a124	WISE	
03852a124-w2-int-1b	-9999	55306.9649795963	w2	8	301.955819710902	-18.9535715532824	03852a124	WISE	
03852a124-w3-int-1b	-9999	55306.9649853833	w3	9	301.955819733809	-18.9535715460487	03852a124	WISE	
03852a124-w4-int-1b	-9999	55306.9649853833	w4	9	301.955819733809	-18.9535715460487	03852a124	WISE	
03856a124-w1-int-1b	-9999	55307.0972838163	w1	8	301.956306933675	-18.9534142799921	03856a124	WISE	
03856a124-w2-int-1b	-9999	55307.0972838163	w2	8	301.956306933675	-18.9534142799921	03856a124	WISE	
03856a124-w3-int-1b	-9999	55307.0972896033	w3	9	301.956306954412	-18.9534142732406	03856a124	WISE	
03856a124-w4-int-1b	-9999	55307.0972896033	w4	9	301.956306954412	-18.9534142732406	03856a124	WISE	
rings.v3.skycell.0952.023.wrp.z.55329_60959	-9999	55329.6101661111	z	30	301.938197051505	-18.947362050571	0952.023	Pan-STARRS1	
rings.v3.skycell.0952.023.wrp.z.55329_61613	-9999	55329.6167096111	z	30	301.938162970776	-18.9473662311404	0952.023	Pan-STARRS1	
rings.v3.skycell.0952.025.wrp.g.55389_43649	-9999	55389.4371384426	g	43	301.082416160639	-19.1046652204371	0952.025	Pan-STARRS1	
rings.v3.skycell.0952.025.wrp.g.55389_44841	-9999	55389.4490634426	g	43	301.082175176264	-19.1047129204371	0952.025	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.i.55396_41612	-9999	55396.4167797167	i	45	300.940265048296	-19.1328685171766	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.i.55396_42910	-9999	55396.4297569167	i	45	300.939999556412	-19.1329215074099	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.r.55397_39123	-9999	55397.3918526815	r	40	300.920300353362	-19.1368500651161	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.r.55397_40241	-9999	55397.4030416815	r	40	300.920070978862	-19.1368957535328	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.i.55397_43221	-9999	55397.4328703167	i	45	300.919459491841	-19.1370175537932	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.i.55397_44316	-9999	55397.4438231167	i	45	300.919234959441	-19.1370622777265	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.016.wrp.i.55409_40829	-9999	55409.4089450167	i	45	300.675311648206	-19.1862254143738	0952.016	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.i.55409_40829	-9999	55409.4089450167	i	45	300.675311648206	-19.1862254143738	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.016.wrp.r.55411_40463	-9999	55411.4052612815	r	40	300.635328326923	-19.1943770391217	0952.016	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.r.55411_40463	-9999	55411.4052612815	r	40	300.635328326923	-19.1943770391217	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.016.wrp.g.55413_36815	-9999	55413.3687914426	g	43	300.596341369009	-19.2023465210882	0952.016	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.g.55413_36815	-9999	55413.3687914426	g	43	300.596341369009	-19.2023465210882	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.016.wrp.g.55413_37920	-9999	55413.3798494426	g	43	300.596122973509	-19.2023910602549	0952.016	Pan-STARRS1	
rings.v3.skycell.0952.026.wrp.g.55413_37920	-9999	55413.3798494426	g	43	300.596122973509	-19.2023910602549	0952.026	Pan-STARRS1	
rings.v3.skycell.0952.018.wrp.z.55476_20279	-9999	55476.2033676111	z	30	299.818919527632	-19.377869566554	0952.018	Pan-STARRS1	
rings.v3.skycell.0952.018.wrp.z.55477_21641	-9999	55477.2169832111	z	30	299.817362811953	-19.3787303475868	0952.018	Pan-STARRS1	
09194a152-w1-int-1b	-9999	55483.6737859563	w1	8	299.817453640193	-19.3823169901533	09194a152	WISE	
09194a152-w2-int-1b	-9999	55483.6737859563	w2	8	299.817453640193	-19.3823169901533	09194a152	WISE	
09198a151-w1-int-1b	-9999	55483.8059626663	w1	8	299.817624368444	-19.3823573774814	09198a151	WISE	
09198a151-w2-int-1b	-9999	55483.8059626663	w2	8	299.817624368444	-19.3823573774814	09198a151	WISE	
09198a152-w1-int-1b	-9999	55483.8060899763	w1	8	299.817624532886	-19.3823574163817	09198a152	WISE	
09198a152-w2-int-1b	-9999	55483.8060899763	w2	8	299.817624532886	-19.3823574163817	09198a152	WISE	
09202a152-w1-int-1b	-9999	55483.9382666763	w1	8	299.817795261124	-19.3823978037067	09202a152	WISE	
09202a152-w2-int-1b	-9999	55483.9382666763	w2	8	299.817795261124	-19.3823978037067	09202a152	WISE	
09202a153-w1-int-1b	-9999	55483.9383939963	w1	8	299.817795425579	-19.38239784261	09202a153	WISE	
09202a153-w2-int-1b	-9999	55483.9383939963	w2	8	299.817795425579	-19.38239784261	09202a153	WISE	
09205a128-w1-int-1b	-9999	55484.0044823163	w1	8	299.81788265729	-19.382417662737	09205a128	WISE	
09205a128-w2-int-1b	-9999	55484.0044823163	w2	8	299.81788265729	-19.382417662737	09205a128	WISE	
09270a154-w1-int-1b	-9999	55486.1867975763	w1	8	299.822183110506	-19.3828211220203	09270a154	WISE	
09270a154-w2-int-1b	-9999	55486.1867975763	w2	8	299.822183110506	-19.3828211220203	09270a154	WISE	
09274a154-w1-int-1b	-9999	55486.3191015063	w1	8	299.822519382995	-19.3828321473478	09274a154	WISE	
09274a154-w2-int-1b	-9999	55486.3191015063	w2	8	299.822519382995	-19.3828321473478	09274a154	WISE	
09279a132-w1-int-1b	-9999	55486.4514055163	w1	8	299.822855655687	-19.3828431726819	09279a132	WISE	
09279a132-w2-int-1b	-9999	55486.4514055163	w2	8	299.822855655687	-19.3828431726819	09279a132	WISE	
09282a154-w1-int-1b	-9999	55486.5835821763	w1	8	299.823191604698	-19.3828541874036	09282a154	WISE	
09282a154-w2-int-1b	-9999	55486.5835821763	w2	8	299.823191604698	-19.3828541874036	09282a154	WISE	
09282a155-w1-int-1b	-9999	55486.5837094863	w1	8	299.823191928278	-19.3828541980128	09282a155	WISE	
09282a155-w2-int-1b	-9999	55486.5837094863	w2	8	299.823191928278	-19.3828541980128	09282a155	WISE	
