Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03889b154-w1-int-1b	-9999	55308.2223152463	w1	8	304.989167015507	-20.5486542925636	03889b154	WISE	
03889b154-w2-int-1b	-9999	55308.2223152463	w2	8	304.989167015507	-20.5486542925636	03889b154	WISE	
03889b154-w3-int-1b	-9999	55308.2223210333	w3	9	304.989167037208	-20.5486542907954	03889b154	WISE	
03889b154-w4-int-1b	-9999	55308.2223210333	w4	9	304.989167037208	-20.5486542907954	03889b154	WISE	
03893b156-w1-int-1b	-9999	55308.3546194363	w1	8	304.989663156219	-20.5486138662834	03893b156	WISE	
03893b156-w2-int-1b	-9999	55308.3546194363	w2	8	304.989663156219	-20.5486138662834	03893b156	WISE	
03893b156-w3-int-1b	-9999	55308.3546252233	w3	9	304.98966317792	-20.5486138645151	03893b156	WISE	
03893b156-w4-int-1b	-9999	55308.3546252233	w4	9	304.98966317792	-20.5486138645151	03893b156	WISE	
03897b155-w1-int-1b	-9999	55308.4869236063	w1	8	304.990159296857	-20.5485734400092	03897b155	WISE	
03897b155-w2-int-1b	-9999	55308.4869236063	w2	8	304.990159296857	-20.5485734400092	03897b155	WISE	
03897b155-w3-int-1b	-9999	55308.4869293933	w3	9	304.990159318558	-20.5485734382409	03897b155	WISE	
03897b155-w4-int-1b	-9999	55308.4869293933	w4	9	304.990159318558	-20.5485734382409	03897b155	WISE	
03900a130-w1-int-1b	-9999	55308.5531434863	w1	8	304.990407621407	-20.548553206157	03900a130	WISE	
03900a130-w2-int-1b	-9999	55308.5531434863	w2	8	304.990407621407	-20.548553206157	03900a130	WISE	
03900a130-w3-int-1b	-9999	55308.5531492733	w3	9	304.990407643108	-20.5485532043887	03900a130	WISE	
03900a130-w4-int-1b	-9999	55308.5531492733	w4	9	304.990407643108	-20.5485532043887	03900a130	WISE	
03901b155-w1-int-1b	-9999	55308.6192319463	w1	8	304.990655453132	-20.5485330124609	03901b155	WISE	
03901b155-w2-int-1b	-9999	55308.6192319463	w2	8	304.990655453132	-20.5485330124609	03901b155	WISE	
03901b155-w3-int-1b	-9999	55308.6192377333	w3	9	304.990655474833	-20.5485330106926	03901b155	WISE	
03901b155-w4-int-1b	-9999	55308.6192377333	w4	9	304.990655474833	-20.5485330106926	03901b155	WISE	
03904a129-w1-int-1b	-9999	55308.6853204163	w1	8	304.990903284894	-20.5485128187617	03904a129	WISE	
