Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03693b153-w1-int-1b	-9999	55301.7391546663	w1	8	297.912815327443	-22.5871787479999	03693b153	WISE	
03693b153-w2-int-1b	-9999	55301.7391546663	w2	8	297.912815327443	-22.5871787479999	03693b153	WISE	
03693b153-w3-int-1b	-9999	55301.7391604533	w3	9	297.912815353725	-22.5871787489644	03693b153	WISE	
03693b153-w4-int-1b	-9999	55301.7391604533	w4	9	297.912815353725	-22.5871787489644	03693b153	WISE	
03697b153-w1-int-1b	-9999	55301.8714588863	w1	8	297.913416209109	-22.5872007987033	03697b153	WISE	
03697b153-w2-int-1b	-9999	55301.8714588863	w2	8	297.913416209109	-22.5872007987033	03697b153	WISE	
03697b153-w3-int-1b	-9999	55301.8714646733	w3	9	297.913416235391	-22.5872007996678	03697b153	WISE	
03697b153-w4-int-1b	-9999	55301.8714646733	w4	9	297.913416235391	-22.5872007996678	03697b153	WISE	
03701b153-w1-int-1b	-9999	55302.0037630763	w1	8	297.91401552269	-22.5872231629913	03701b153	WISE	
03701b153-w2-int-1b	-9999	55302.0037630763	w2	8	297.91401552269	-22.5872231629913	03701b153	WISE	
03701b153-w3-int-1b	-9999	55302.0037688633	w3	9	297.914015546561	-22.587223164438	03701b153	WISE	
03701b153-w4-int-1b	-9999	55302.0037688633	w4	9	297.914015546561	-22.587223164438	03701b153	WISE	
03704a129-w1-int-1b	-9999	55302.0699788663	w1	8	297.914288662823	-22.5872397169388	03704a129	WISE	
03704a129-w2-int-1b	-9999	55302.0699788663	w2	8	297.914288662823	-22.5872397169388	03704a129	WISE	
03704a129-w3-int-1b	-9999	55302.0699846533	w3	9	297.914288686695	-22.5872397183855	03704a129	WISE	
03704a129-w4-int-1b	-9999	55302.0699846533	w4	9	297.914288686695	-22.5872397183855	03704a129	WISE	
03705b153-w1-int-1b	-9999	55302.1360673063	w1	8	297.914561277638	-22.5872562390488	03705b153	WISE	
03705b153-w2-int-1b	-9999	55302.1360673063	w2	8	297.914561277638	-22.5872562390488	03705b153	WISE	
03705b153-w3-int-1b	-9999	55302.1360730933	w3	9	297.91456130151	-22.5872562404955	03705b153	WISE	
03705b153-w4-int-1b	-9999	55302.1360730933	w4	9	297.91456130151	-22.5872562404955	03705b153	WISE	
03708a128-w1-int-1b	-9999	55302.2021557363	w1	8	297.914833892412	-22.5872727611563	03708a128	WISE	
03708a128-w2-int-1b	-9999	55302.2021557363	w2	8	297.914833892412	-22.5872727611563	03708a128	WISE	
03708a128-w3-int-1b	-9999	55302.2021615233	w3	9	297.914833916284	-22.587272762603	03708a128	WISE	
03708a128-w4-int-1b	-9999	55302.2021615233	w4	9	297.914833916284	-22.587272762603	03708a128	WISE	
03708a129-w1-int-1b	-9999	55302.2022830563	w1	8	297.914834417607	-22.5872727929863	03708a129	WISE	
03708a129-w2-int-1b	-9999	55302.2022830563	w2	8	297.914834417607	-22.5872727929863	03708a129	WISE	
03708a129-w3-int-1b	-9999	55302.2022888433	w3	9	297.914834441479	-22.587272794433	03708a129	WISE	
