Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04061b156-w1-int-1b	-9999	55313.9117847563	w1	8	311.458051544106	-19.6091609426998	04061b156	WISE	
04061b156-w2-int-1b	-9999	55313.9117847563	w2	8	311.458051544106	-19.6091609426998	04061b156	WISE	
04061b156-w3-int-1b	-9999	55313.9117905433	w3	9	311.458051565325	-19.6091609412531	04061b156	WISE	
04061b156-w4-int-1b	-9999	55313.9117905433	w4	9	311.458051565325	-19.6091609412531	04061b156	WISE	
04065b155-w1-int-1b	-9999	55314.0439616763	w1	8	311.458521538921	-19.6091303407852	04065b155	WISE	
04065b155-w2-int-1b	-9999	55314.0439616763	w2	8	311.458521538921	-19.6091303407852	04065b155	WISE	
04065b155-w3-int-1b	-9999	55314.0439674633	w3	9	311.458521558211	-19.6091303396599	04065b155	WISE	
04065b155-w4-int-1b	-9999	55314.0439674633	w4	9	311.458521558211	-19.6091303396599	04065b155	WISE	
04065b156-w1-int-1b	-9999	55314.0440890363	w1	8	311.458521963454	-19.6091303160207	04065b156	WISE	
04065b156-w2-int-1b	-9999	55314.0440890363	w2	8	311.458521963454	-19.6091303160207	04065b156	WISE	
04065b156-w3-int-1b	-9999	55314.0440948233	w3	9	311.458521982744	-19.6091303148955	04065b156	WISE	
04065b156-w4-int-1b	-9999	55314.0440948233	w4	9	311.458521982744	-19.6091303148955	04065b156	WISE	
04069c156-w1-int-1b	-9999	55314.1763932763	w1	8	311.458962977588	-19.6091045901963	04069c156	WISE	
04069c156-w2-int-1b	-9999	55314.1763932763	w2	8	311.458962977588	-19.6091045901963	04069c156	WISE	
04069c156-w3-int-1b	-9999	55314.1763990633	w3	9	311.458962996878	-19.609104589071	04069c156	WISE	
04069c156-w4-int-1b	-9999	55314.1763990633	w4	9	311.458962996878	-19.609104589071	04069c156	WISE	
04073b156-w1-int-1b	-9999	55314.3086975663	w1	8	311.459403991888	-19.6090788643621	04073b156	WISE	
04073b156-w2-int-1b	-9999	55314.3086975663	w2	8	311.459403991888	-19.6090788643621	04073b156	WISE	
04073b156-w3-int-1b	-9999	55314.3087033533	w3	9	311.459404011178	-19.6090788632369	04073b156	WISE	
04073b156-w4-int-1b	-9999	55314.3087033533	w4	9	311.459404011178	-19.6090788632369	04073b156	WISE	
04076a130-w1-int-1b	-9999	55314.3747860263	w1	8	311.459624286754	-19.6090660138282	04076a130	WISE	
04076a130-w2-int-1b	-9999	55314.3747860263	w2	8	311.459624286754	-19.6090660138282	04076a130	WISE	
04076a130-w3-int-1b	-9999	55314.3747918133	w3	9	311.459624306044	-19.609066012703	04076a130	WISE	
04076a130-w4-int-1b	-9999	55314.3747918133	w4	9	311.459624306044	-19.609066012703	04076a130	WISE	
04077b156-w1-int-1b	-9999	55314.4410018563	w1	8	311.459845006187	-19.6090531385279	04077b156	WISE	
04077b156-w2-int-1b	-9999	55314.4410018563	w2	8	311.459845006187	-19.6090531385279	04077b156	WISE	
04077b156-w3-int-1b	-9999	55314.4410076433	w3	9	311.459845025477	-19.6090531374027	04077b156	WISE	
04077b156-w4-int-1b	-9999	55314.4410076433	w4	9	311.459845025477	-19.6090531374027	04077b156	WISE	
04080a130-w1-int-1b	-9999	55314.5070903263	w1	8	311.460065301087	-19.6090402879921	04080a130	WISE	
04080a130-w2-int-1b	-9999	55314.5070903263	w2	8	311.460065301087	-19.6090402879921	04080a130	WISE	
04080a130-w3-int-1b	-9999	55314.5070961133	w3	9	311.460065320378	-19.6090402868668	04080a130	WISE	
04080a130-w4-int-1b	-9999	55314.5070961133	w4	9	311.460065320378	-19.6090402868668	04080a130	WISE	
04080a131-w1-int-1b	-9999	55314.5072176363	w1	8	311.460065725454	-19.6090402632374	04080a131	WISE	
04080a131-w2-int-1b	-9999	55314.5072176363	w2	8	311.460065725454	-19.6090402632374	04080a131	WISE	
04080a131-w3-int-1b	-9999	55314.5072234233	w3	9	311.460065744744	-19.6090402621121	04080a131	WISE	
04080a131-w4-int-1b	-9999	55314.5072234233	w4	9	311.460065744744	-19.6090402621121	04080a131	WISE	
04081b156-w1-int-1b	-9999	55314.5733060963	w1	8	311.460286020321	-19.6090274127035	04081b156	WISE	
04081b156-w2-int-1b	-9999	55314.5733060963	w2	8	311.460286020321	-19.6090274127035	04081b156	WISE	
04081b156-w3-int-1b	-9999	55314.5733118833	w3	9	311.460286039611	-19.6090274115782	04081b156	WISE	
04081b156-w4-int-1b	-9999	55314.5733118833	w4	9	311.460286039611	-19.6090274115782	04081b156	WISE	
04084a130-w1-int-1b	-9999	55314.6393945563	w1	8	311.460506315187	-19.6090145621696	04084a130	WISE	
04084a130-w2-int-1b	-9999	55314.6393945563	w2	8	311.460506315187	-19.6090145621696	04084a130	WISE	
04084a130-w3-int-1b	-9999	55314.6394003433	w3	9	311.460506334477	-19.6090145610443	04084a130	WISE	
04084a130-w4-int-1b	-9999	55314.6394003433	w4	9	311.460506334477	-19.6090145610443	04084a130	WISE	
04084a131-w1-int-1b	-9999	55314.6395219263	w1	8	311.460506739754	-19.6090145374032	04084a131	WISE	
04084a131-w2-int-1b	-9999	55314.6395219263	w2	8	311.460506739754	-19.6090145374032	04084a131	WISE	
04084a131-w3-int-1b	-9999	55314.6395277133	w3	9	311.460506759044	-19.6090145362779	04084a131	WISE	
04084a131-w4-int-1b	-9999	55314.6395277133	w4	9	311.460506759044	-19.6090145362779	04084a131	WISE	
04085b156-w1-int-1b	-9999	55314.7056103963	w1	8	311.460727034654	-19.6090016868674	04085b156	WISE	
04085b156-w2-int-1b	-9999	55314.7056103963	w2	8	311.460727034654	-19.6090016868674	04085b156	WISE	
04085b156-w3-int-1b	-9999	55314.7056161833	w3	9	311.460727053944	-19.6090016857421	04085b156	WISE	
04085b156-w4-int-1b	-9999	55314.7056161833	w4	9	311.460727053944	-19.6090016857421	04085b156	WISE	
04088a130-w1-int-1b	-9999	55314.7716988563	w1	8	311.460947329521	-19.6089888363335	04088a130	WISE	
04088a130-w2-int-1b	-9999	55314.7716988563	w2	8	311.460947329521	-19.6089888363335	04088a130	WISE	
04088a130-w3-int-1b	-9999	55314.7717046433	w3	9	311.460947348811	-19.6089888352082	04088a130	WISE	
04088a130-w4-int-1b	-9999	55314.7717046433	w4	9	311.460947348811	-19.6089888352082	04088a130	WISE	
04088a131-w1-int-1b	-9999	55314.7718261663	w1	8	311.460947753887	-19.6089888115787	04088a131	WISE	
04088a131-w2-int-1b	-9999	55314.7718261663	w2	8	311.460947753887	-19.6089888115787	04088a131	WISE	
04088a131-w3-int-1b	-9999	55314.7718319533	w3	9	311.460947773177	-19.6089888104535	04088a131	WISE	
04088a131-w4-int-1b	-9999	55314.7718319533	w4	9	311.460947773177	-19.6089888104535	04088a131	WISE	
04092a130-w1-int-1b	-9999	55314.9040031063	w1	8	311.461388343687	-19.6089631105071	04092a130	WISE	
04092a130-w2-int-1b	-9999	55314.9040031063	w2	8	311.461388343687	-19.6089631105071	04092a130	WISE	
04092a130-w3-int-1b	-9999	55314.9040088933	w3	9	311.461388362977	-19.6089631093818	04092a130	WISE	
04092a130-w4-int-1b	-9999	55314.9040088933	w4	9	311.461388362977	-19.6089631093818	04092a130	WISE	
04092a131-w1-int-1b	-9999	55314.9041304163	w1	8	311.461388768054	-19.6089630857523	04092a131	WISE	
04092a131-w2-int-1b	-9999	55314.9041304163	w2	8	311.461388768054	-19.6089630857523	04092a131	WISE	
04092a131-w3-int-1b	-9999	55314.9041362033	w3	9	311.461388787344	-19.6089630846271	04092a131	WISE	
04092a131-w4-int-1b	-9999	55314.9041362033	w4	9	311.461388787344	-19.6089630846271	04092a131	WISE	
04096a130-w1-int-1b	-9999	55315.0363073363	w1	8	311.461817255342	-19.608941418833	04096a130	WISE	
04096a130-w2-int-1b	-9999	55315.0363073363	w2	8	311.461817255342	-19.608941418833	04096a130	WISE	
04096a130-w3-int-1b	-9999	55315.0363131233	w3	9	311.461817272703	-19.6089414183508	04096a130	WISE	
04096a130-w4-int-1b	-9999	55315.0363131233	w4	9	311.461817272703	-19.6089414183508	04096a130	WISE	
04096a131-w1-int-1b	-9999	55315.0364347063	w1	8	311.461817637452	-19.6089414082189	04096a131	WISE	
04096a131-w2-int-1b	-9999	55315.0364347063	w2	8	311.461817637452	-19.6089414082189	04096a131	WISE	
04096a131-w3-int-1b	-9999	55315.0364404933	w3	9	311.461817654813	-19.6089414077366	04096a131	WISE	
04096a131-w4-int-1b	-9999	55315.0364404933	w4	9	311.461817654813	-19.6089414077366	04096a131	WISE	
04305b149-w1-int-1b	-9999	55321.9826001663	w1	8	311.475607600166	-19.6101038611804	04305b149	WISE	
04305b149-w2-int-1b	-9999	55321.9826001663	w2	8	311.475607600166	-19.6101038611804	04305b149	WISE	
04305b149-w3-int-1b	-9999	55321.9826059533	w3	9	311.475607605953	-19.6101038635916	04305b149	WISE	
04305b149-w4-int-1b	-9999	55321.9826059533	w4	9	311.475607605953	-19.6101038635916	04305b149	WISE	
04308a125-w1-int-1b	-9999	55322.0486885463	w1	8	311.475655430341	-19.6101368078439	04308a125	WISE	
04308a125-w2-int-1b	-9999	55322.0486885463	w2	8	311.475655430341	-19.6101368078439	04308a125	WISE	
04308a125-w3-int-1b	-9999	55322.0486943333	w3	9	311.475655433958	-19.6101368108981	04308a125	WISE	
04308a125-w4-int-1b	-9999	55322.0486943333	w4	9	311.475655433958	-19.6101368108981	04308a125	WISE	
04308a126-w4-int-1b	-9999	55322.0488216433	w4	9	311.475655513527	-19.6101368780895	04308a126	WISE	
rings.v3.skycell.0954.000.wrp.z.55330_61608	-9999	55330.6166471111	z	30	311.470266705778	-19.6173027549629	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.001.wrp.z.55330_61608	-9999	55330.6166471111	z	30	311.470266705778	-19.6173027549629	0954.001	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.z.55330_62192	-9999	55330.6224895111	z	30	311.470255020978	-19.6173095710963	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.001.wrp.z.55330_62192	-9999	55330.6224895111	z	30	311.470255020978	-19.6173095710963	0954.001	Pan-STARRS1	
rings.v3.skycell.0954.001.wrp.y.55343_54330	-9999	55343.5438673111	y	30	311.417108140524	-19.6393752606914	0954.001	Pan-STARRS1	
rings.v3.skycell.0954.001.wrp.y.55343_55587	-9999	55343.5564378111	y	30	311.417031669982	-19.6394031951358	0954.001	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.g.55389_44647	-9999	55389.4471223426	g	43	310.870961225364	-19.8013914570132	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.g.55389_45297	-9999	55389.4536268426	g	43	310.870855798259	-19.8014201852215	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.g.55389_45818	-9999	55389.4588343426	g	43	310.870771393364	-19.8014431850132	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.i.55397_43703	-9999	55397.4376884167	i	45	310.738387437618	-19.8371918200973	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.i.55397_44179	-9999	55397.4424550167	i	45	310.738306802634	-19.8372132697974	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.i.55397_44791	-9999	55397.4485701167	i	45	310.738203355526	-19.8372407877473	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.002.wrp.i.55397_45265	-9999	55397.4533140167	i	45	310.738123104551	-19.8372621352973	0954.002	Pan-STARRS1	
rings.v3.skycell.0954.003.wrp.g.55422_41331	-9999	55422.4139628426	g	43	310.310458370838	-19.9478915118442	0954.003	Pan-STARRS1	
rings.v3.skycell.0954.003.wrp.g.55423_38271	-9999	55423.3833593426	g	43	310.294293317596	-19.9519306639275	0954.003	Pan-STARRS1	
rings.v3.skycell.0954.003.wrp.g.55423_39427	-9999	55423.3949134426	g	43	310.294101230684	-19.9519788060108	0954.003	Pan-STARRS1	
rings.v3.skycell.0954.003.wrp.r.55426_35675	-9999	55426.3573753815	r	40	310.245162868769	-19.9641616508421	0954.003	Pan-STARRS1	
rings.v3.skycell.0954.003.wrp.r.55426_36771	-9999	55426.3683414815	r	40	310.244983755802	-19.964205819856	0954.003	Pan-STARRS1	
rings.v3.skycell.0868.091.wrp.i.55442_28793	-9999	55442.2885848167	i	45	310.001471836934	-20.0232039331441	0868.091	Pan-STARRS1	
rings.v3.skycell.0868.091.wrp.i.55442_29920	-9999	55442.2998588167	i	45	310.001314470684	-20.0232411999774	0868.091	Pan-STARRS1	
rings.v3.skycell.0868.091.wrp.i.55443_28671	-9999	55443.2873678167	i	45	309.987590359187	-20.0264815185205	0868.091	Pan-STARRS1	
rings.v3.skycell.0868.091.wrp.i.55443_29781	-9999	55443.2984763167	i	45	309.987437617312	-20.0265173125761	0868.091	Pan-STARRS1	
rings.v3.skycell.0868.092.wrp.z.55476_21174	-9999	55476.2123112111	z	30	309.665697290245	-20.0965380371203	0868.092	Pan-STARRS1	
rings.v3.skycell.0868.092.wrp.z.55477_22649	-9999	55477.2270684111	z	30	309.660741475266	-20.0973710532086	0868.092	Pan-STARRS1	
rings.v3.skycell.0868.092.wrp.y.55492_20586	-9999	55492.2064257111	y	30	309.627211010713	-20.0996190093667	0868.092	Pan-STARRS1	
rings.v3.skycell.0868.092.wrp.y.55492_21711	-9999	55492.2176827111	y	30	309.62721570113	-20.0996133808666	0868.092	Pan-STARRS1	
09518a150-w1-int-1b	-9999	55494.3869695363	w1	8	309.628710883664	-20.0983701600442	09518a150	WISE	
09518a150-w2-int-1b	-9999	55494.3869695363	w2	8	309.628710883664	-20.0983701600442	09518a150	WISE	
09522b150-w1-int-1b	-9999	55494.5191461563	w1	8	309.628854075003	-20.0982783707248	09522b150	WISE	
09522b150-w2-int-1b	-9999	55494.5191461563	w2	8	309.628854075003	-20.0982783707248	09522b150	WISE	
09522b151-w1-int-1b	-9999	55494.5192734763	w1	8	309.628854212933	-20.0982782823081	09522b151	WISE	
09522b151-w2-int-1b	-9999	55494.5192734763	w2	8	309.628854212933	-20.0982782823081	09522b151	WISE	
09526a150-w1-int-1b	-9999	55494.6514501063	w1	8	309.628997404282	-20.0981864929817	09526a150	WISE	
09526a150-w2-int-1b	-9999	55494.6514501063	w2	8	309.628997404282	-20.0981864929817	09526a150	WISE	
09526a151-w1-int-1b	-9999	55494.6515774163	w1	8	309.628997542201	-20.098186404572	09526a151	WISE	
09526a151-w2-int-1b	-9999	55494.6515774163	w2	8	309.628997542201	-20.098186404572	09526a151	WISE	
09530a150-w1-int-1b	-9999	55494.7837540863	w1	8	309.629140733594	-20.0980946152178	09530a150	WISE	
09530a150-w2-int-1b	-9999	55494.7837540863	w2	8	309.629140733594	-20.0980946152178	09530a150	WISE	
09533a126-w1-int-1b	-9999	55494.8498424063	w1	8	309.629212329274	-20.0980487205511	09533a126	WISE	
09533a126-w2-int-1b	-9999	55494.8498424063	w2	8	309.629212329274	-20.0980487205511	09533a126	WISE	
09533a127-w1-int-1b	-9999	55494.8499697263	w1	8	309.629212467204	-20.0980486321345	09533a127	WISE	
09533a127-w2-int-1b	-9999	55494.8499697263	w2	8	309.629212467204	-20.0980486321345	09533a127	WISE	
09534a149-w1-int-1b	-9999	55494.9159307163	w1	8	309.629283924943	-20.0980028258914	09534a149	WISE	
09534a149-w2-int-1b	-9999	55494.9159307163	w2	8	309.629283924943	-20.0980028258914	09534a149	WISE	
09534a150-w1-int-1b	-9999	55494.9160580763	w1	8	309.629284062916	-20.098002737447	09534a150	WISE	
09534a150-w2-int-1b	-9999	55494.9160580763	w2	8	309.629284062916	-20.098002737447	09534a150	WISE	
09537a126-w1-int-1b	-9999	55494.9821463863	w1	8	309.629355658585	-20.0979568427873	09537a126	WISE	
09537a126-w2-int-1b	-9999	55494.9821463863	w2	8	309.629355658585	-20.0979568427873	09537a126	WISE	
09538a150-w1-int-1b	-9999	55495.0482346963	w1	8	309.629443332486	-20.0979069285695	09538a150	WISE	
09538a150-w2-int-1b	-9999	55495.0482346963	w2	8	309.629443332486	-20.0979069285695	09538a150	WISE	
09541a088-w1-int-1b	-9999	55495.1144503363	w1	8	309.629537137976	-20.0978554275162	09541a088	WISE	
09541a088-w2-int-1b	-9999	55495.1144503363	w2	8	309.629537137976	-20.0978554275162	09541a088	WISE	
09542b150-w1-int-1b	-9999	55495.1805386463	w1	8	309.629630763082	-20.0978040254973	09542b150	WISE	
09542b150-w2-int-1b	-9999	55495.1805386463	w2	8	309.629630763082	-20.0978040254973	09542b150	WISE	
09545a126-w1-int-1b	-9999	55495.2466269563	w1	8	309.629724388188	-20.0977526234784	09545a126	WISE	
09545a126-w2-int-1b	-9999	55495.2466269563	w2	8	309.629724388188	-20.0977526234784	09545a126	WISE	
09545a127-w1-int-1b	-9999	55495.2467542663	w1	8	309.629724568544	-20.0977525244595	09545a127	WISE	
09545a127-w2-int-1b	-9999	55495.2467542663	w2	8	309.629724568544	-20.0977525244595	09545a127	WISE	
09549a126-w1-int-1b	-9999	55495.3789309063	w1	8	309.629911818784	-20.0976497204062	09549a126	WISE	
09549a126-w2-int-1b	-9999	55495.3789309063	w2	8	309.629911818784	-20.0976497204062	09549a126	WISE	
09553a126-w1-int-1b	-9999	55495.5112348863	w1	8	309.630099249422	-20.0975468173107	09553a126	WISE	
09553a126-w2-int-1b	-9999	55495.5112348863	w2	8	309.630099249422	-20.0975468173107	09553a126	WISE	
09557a127-w1-int-1b	-9999	55495.6435388763	w1	8	309.630286680075	-20.0974439142073	09557a127	WISE	
09557a127-w2-int-1b	-9999	55495.6435388763	w2	8	309.630286680075	-20.0974439142073	09557a127	WISE	
rings.v3.skycell.0955.018.wrp.y.55699_60812	-9999	55699.6086928111	y	30	312.432916674835	-19.419795889616	0955.018	Pan-STARRS1	
rings.v3.skycell.0955.018.wrp.z.55724_58242	-9999	55724.5829947111	z	30	312.264732637544	-19.4796447328111	0955.018	Pan-STARRS1	
rings.v3.skycell.0955.019.wrp.z.55724_58242	-9999	55724.5829947111	z	30	312.264732637544	-19.4796447328111	0955.019	Pan-STARRS1	
rings.v3.skycell.0955.018.wrp.z.55724_59337	-9999	55724.5939356111	z	30	312.264620493319	-19.4796802907361	0955.018	Pan-STARRS1	
rings.v3.skycell.0955.019.wrp.z.55724_59337	-9999	55724.5939356111	z	30	312.264620493319	-19.4796802907361	0955.019	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.z.55763_48979	-9999	55763.4903661111	z	30	311.713016738542	-19.6394277992901	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.z.55763_50102	-9999	55763.5015960111	z	30	311.71282723398	-19.6394795816068	0954.000	Pan-STARRS1	
J75_01_20110723002205.fits	-9999	55765.0158564815	V	90	311.687231100502	-19.6464620048868	unknown	ESA-LSSS-Centurion1	
J75_01_20110723003734.fits	-9999	55765.0266087963	V	90	311.687048759163	-19.6465115850052	unknown	ESA-LSSS-Centurion1	
J75_01_20110723005304.fits	-9999	55765.0373726852	V	90	311.686866221547	-19.6465612184928	unknown	ESA-LSSS-Centurion1	
rings.v3.skycell.0954.000.wrp.g.55769_43281	-9999	55769.4334650426	g	43	311.611808850102	-19.6668598665853	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55769_43412	-9999	55769.4347741426	g	43	311.611786377218	-19.6668659029909	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55769_44248	-9999	55769.4431240426	g	43	311.611643037269	-19.6669044053075	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55769_44377	-9999	55769.4444169426	g	43	311.611620842485	-19.6669103670131	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.r.55769_45301	-9999	55769.4536407815	r	40	311.611462499917	-19.6669528991591	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.r.55769_45425	-9999	55769.4548757815	r	40	311.611441299084	-19.6669585938813	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.r.55769_46226	-9999	55769.4628929815	r	40	311.611303670484	-19.6669955620814	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.r.55769_46351	-9999	55769.4641326815	r	40	311.611282388967	-19.6670012784758	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55775_40874	-9999	55775.4093885426	g	43	311.508879323118	-19.694309436694	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55775_41001	-9999	55775.4106588426	g	43	311.508857357513	-19.6943152236163	0954.000	Pan-STARRS1	
rings.v3.skycell.0954.000.wrp.g.55775_41912	-9999	55775.4197649426	g	43	311.508699897868	-19.6943567069607	0954.000	Pan-STARRS1	
