Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04013b146-w1-int-1b	-9999	55312.3229876063	w1	8	308.161570159275	-14.5277712031592	04013b146	WISE	
04013b146-w2-int-1b	-9999	55312.3229876063	w2	8	308.161570159275	-14.5277712031592	04013b146	WISE	
04013b146-w3-int-1b	-9999	55312.3229933933	w3	9	308.161570182182	-14.5277711861197	04013b146	WISE	
04013b146-w4-int-1b	-9999	55312.3229933933	w4	9	308.161570182182	-14.5277711861197	04013b146	WISE	
04017b146-w1-int-1b	-9999	55312.4552918863	w1	8	308.162093863717	-14.527381640557	04017b146	WISE	
04017b146-w2-int-1b	-9999	55312.4552918863	w2	8	308.162093863717	-14.527381640557	04017b146	WISE	
04017b146-w3-int-1b	-9999	55312.4552976733	w3	9	308.162093886624	-14.5273816235175	04017b146	WISE	
04017b146-w4-int-1b	-9999	55312.4552976733	w4	9	308.162093886624	-14.5273816235175	04017b146	WISE	
04021b146-w1-int-1b	-9999	55312.5875961363	w1	8	308.16261756804	-14.5269920780431	04021b146	WISE	
04021b146-w2-int-1b	-9999	55312.5875961363	w2	8	308.16261756804	-14.5269920780431	04021b146	WISE	
04021b146-w3-int-1b	-9999	55312.5876019233	w3	9	308.162617590947	-14.5269920610036	04021b146	WISE	
04021b146-w4-int-1b	-9999	55312.5876019233	w4	9	308.162617590947	-14.5269920610036	04021b146	WISE	
04024a122-w1-int-1b	-9999	55312.6538119163	w1	8	308.162879672169	-14.5267971093576	04024a122	WISE	
04024a122-w2-int-1b	-9999	55312.6538119163	w2	8	308.162879672169	-14.5267971093576	04024a122	WISE	
04024a122-w3-int-1b	-9999	55312.6538177033	w3	9	308.162879695076	-14.5267970923181	04024a122	WISE	
04024a122-w4-int-1b	-9999	55312.6538177033	w4	9	308.162879695076	-14.5267970923181	04024a122	WISE	
04025b146-w1-int-1b	-9999	55312.7199003363	w1	8	308.163141272165	-14.5266025156765	04025b146	WISE	
04025b146-w2-int-1b	-9999	55312.7199003363	w2	8	308.163141272165	-14.5266025156765	04025b146	WISE	
04025b146-w3-int-1b	-9999	55312.7199061233	w3	9	308.163141295071	-14.526602498637	04025b146	WISE	
04025b146-w4-int-1b	-9999	55312.7199061233	w4	9	308.163141295071	-14.526602498637	04025b146	WISE	
04028a121-w1-int-1b	-9999	55312.7859887963	w1	8	308.163402872319	-14.5264079218776	04028a121	WISE	
04028a121-w2-int-1b	-9999	55312.7859887963	w2	8	308.163402872319	-14.5264079218776	04028a121	WISE	
04028a121-w3-int-1b	-9999	55312.7859945833	w3	9	308.163402895226	-14.5264079048381	04028a121	WISE	
04028a121-w4-int-1b	-9999	55312.7859945833	w4	9	308.163402895226	-14.5264079048381	04028a121	WISE	
04028a122-w1-int-1b	-9999	55312.7861161563	w1	8	308.163403376452	-14.5264075468731	04028a122	WISE	
04028a122-w2-int-1b	-9999	55312.7861161563	w2	8	308.163403376452	-14.5264075468731	04028a122	WISE	
04028a122-w3-int-1b	-9999	55312.7861219433	w3	9	308.163403399359	-14.5264075298336	04028a122	WISE	
04028a122-w4-int-1b	-9999	55312.7861219433	w4	9	308.163403399359	-14.5264075298336	04028a122	WISE	
04029b146-w1-int-1b	-9999	55312.8522046263	w1	8	308.163664976646	-14.5262129530448	04029b146	WISE	
04029b146-w2-int-1b	-9999	55312.8522046263	w2	8	308.163664976646	-14.5262129530448	04029b146	WISE	
04029b146-w3-int-1b	-9999	55312.8522104133	w3	9	308.163664999553	-14.5262129360053	04029b146	WISE	
04029b146-w4-int-1b	-9999	55312.8522104133	w4	9	308.163664999553	-14.5262129360053	04029b146	WISE	
04032a121-w1-int-1b	-9999	55312.9182930863	w1	8	308.1639265768	-14.5260183592459	04032a121	WISE	
04032a121-w2-int-1b	-9999	55312.9182930863	w2	8	308.1639265768	-14.5260183592459	04032a121	WISE	
04032a121-w3-int-1b	-9999	55312.9182988733	w3	9	308.163926599707	-14.5260183422064	04032a121	WISE	
04032a121-w4-int-1b	-9999	55312.9182988733	w4	9	308.163926599707	-14.5260183422064	04032a121	WISE	
04032a122-w1-int-1b	-9999	55312.9184204063	w1	8	308.163927080775	-14.5260179843592	04032a122	WISE	
04032a122-w2-int-1b	-9999	55312.9184204063	w2	8	308.163927080775	-14.5260179843592	04032a122	WISE	
04032a122-w3-int-1b	-9999	55312.9184261933	w3	9	308.163927103682	-14.5260179673198	04032a122	WISE	
04032a122-w4-int-1b	-9999	55312.9184261933	w4	9	308.163927103682	-14.5260179673198	04032a122	WISE	
04033b146-w1-int-1b	-9999	55312.9845088663	w1	8	308.164188680929	-14.5258233905604	04033b146	WISE	
04033b146-w2-int-1b	-9999	55312.9845088663	w2	8	308.164188680929	-14.5258233905604	04033b146	WISE	
04033b146-w3-int-1b	-9999	55312.9845146533	w3	9	308.164188703836	-14.5258233735209	04033b146	WISE	
04033b146-w4-int-1b	-9999	55312.9845146533	w4	9	308.164188703836	-14.5258233735209	04033b146	WISE	
04033b147-w1-int-1b	-9999	55312.9846361763	w1	8	308.164189184864	-14.5258230157031	04033b147	WISE	
04033b147-w2-int-1b	-9999	55312.9846361763	w2	8	308.164189184864	-14.5258230157031	04033b147	WISE	
04033b147-w3-int-1b	-9999	55312.9846419633	w3	9	308.164189207771	-14.5258229986636	04033b147	WISE	
04033b147-w4-int-1b	-9999	55312.9846419633	w4	9	308.164189207771	-14.5258229986636	04033b147	WISE	
04036a122-w1-int-1b	-9999	55313.0507246563	w1	8	308.164431763352	-14.5256312398818	04036a122	WISE	
04036a122-w2-int-1b	-9999	55313.0507246563	w2	8	308.164431763352	-14.5256312398818	04036a122	WISE	
04036a122-w3-int-1b	-9999	55313.0507304433	w3	9	308.164431784088	-14.5256312231638	04036a122	WISE	
04036a122-w4-int-1b	-9999	55313.0507304433	w4	9	308.164431784088	-14.5256312231638	04036a122	WISE	
04037b146-w1-int-1b	-9999	55313.1168131163	w1	8	308.164668580333	-14.525440317664	04037b146	WISE	
04037b146-w2-int-1b	-9999	55313.1168131163	w2	8	308.164668580333	-14.525440317664	04037b146	WISE	
04037b146-w3-int-1b	-9999	55313.1168189033	w3	9	308.16466860107	-14.525440300946	04037b146	WISE	
04037b146-w4-int-1b	-9999	55313.1168189033	w4	9	308.16466860107	-14.525440300946	04037b146	WISE	
04040a122-w1-int-1b	-9999	55313.1830289363	w1	8	308.164905853688	-14.5252490275174	04040a122	WISE	
04040a122-w2-int-1b	-9999	55313.1830289363	w2	8	308.164905853688	-14.5252490275174	04040a122	WISE	
04040a122-w3-int-1b	-9999	55313.1830347233	w3	9	308.164905874425	-14.5252490107994	04040a122	WISE	
04040a122-w4-int-1b	-9999	55313.1830347233	w4	9	308.164905874425	-14.5252490107994	04040a122	WISE	
04044a122-w1-int-1b	-9999	55313.3153331863	w1	8	308.165379943917	-14.5248668152396	04044a122	WISE	
04044a122-w2-int-1b	-9999	55313.3153331863	w2	8	308.165379943917	-14.5248668152396	04044a122	WISE	
04044a122-w3-int-1b	-9999	55313.3153389733	w3	9	308.165379964654	-14.5248667985216	04044a122	WISE	
04044a122-w4-int-1b	-9999	55313.3153389733	w4	9	308.165379964654	-14.5248667985216	04044a122	WISE	
04048a122-w1-int-1b	-9999	55313.4476374763	w1	8	308.16585403429	-14.5244846028463	04048a122	WISE	
04048a122-w2-int-1b	-9999	55313.4476374763	w2	8	308.16585403429	-14.5244846028463	04048a122	WISE	
04048a122-w3-int-1b	-9999	55313.4476432633	w3	9	308.165854055027	-14.5244845861283	04048a122	WISE	
04048a122-w4-int-1b	-9999	55313.4476432633	w4	9	308.165854055027	-14.5244845861283	04048a122	WISE	
rings.v3.skycell.1041.031.wrp.z.55329_57595	-9999	55329.5765218111	z	30	308.173021920095	-14.4909299999081	1041.031	Pan-STARRS1	
