Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03773b157-w1-int-1b	-9999	55304.3858754463	w1	8	301.164066147693	-24.2308259413813	03773b157	WISE	
03773b157-w2-int-1b	-9999	55304.3858754463	w2	8	301.164066147693	-24.2308259413813	03773b157	WISE	
03773b157-w3-int-1b	-9999	55304.3858812333	w3	9	301.164066171805	-24.2308259466861	03773b157	WISE	
03773b157-w4-int-1b	-9999	55304.3858812333	w4	9	301.164066171805	-24.2308259466861	03773b157	WISE	
03777b156-w1-int-1b	-9999	55304.5180523163	w1	8	301.164616884651	-24.2309471035122	03777b156	WISE	
03777b156-w2-int-1b	-9999	55304.5180523163	w2	8	301.164616884651	-24.2309471035122	03777b156	WISE	
03777b156-w3-int-1b	-9999	55304.5180581033	w3	9	301.164616908764	-24.2309471088169	03777b156	WISE	
03777b156-w4-int-1b	-9999	55304.5180581033	w4	9	301.164616908764	-24.2309471088169	03777b156	WISE	
03777b157-w1-int-1b	-9999	55304.5181796263	w1	8	301.164617415109	-24.230947220213	03777b157	WISE	
03777b157-w2-int-1b	-9999	55304.5181796263	w2	8	301.164617415109	-24.230947220213	03777b157	WISE	
03777b157-w3-int-1b	-9999	55304.5181854133	w3	9	301.164617439222	-24.2309472255177	03777b157	WISE	
03777b157-w4-int-1b	-9999	55304.5181854133	w4	9	301.164617439222	-24.2309472255177	03777b157	WISE	
03781b156-w1-int-1b	-9999	55304.6503565463	w1	8	301.165168152276	-24.2310683823897	03781b156	WISE	
03781b156-w2-int-1b	-9999	55304.6503565463	w2	8	301.165168152276	-24.2310683823897	03781b156	WISE	
03781b156-w3-int-1b	-9999	55304.6503623333	w3	9	301.165168176389	-24.2310683876944	03781b156	WISE	
03781b156-w4-int-1b	-9999	55304.6503623333	w4	9	301.165168176389	-24.2310683876944	03781b156	WISE	
03781b157-w1-int-1b	-9999	55304.6504838663	w1	8	301.165168682776	-24.2310684990997	03781b157	WISE	
03781b157-w2-int-1b	-9999	55304.6504838663	w2	8	301.165168682776	-24.2310684990997	03781b157	WISE	
03781b157-w3-int-1b	-9999	55304.6504896533	w3	9	301.165168706889	-24.2310685044044	03781b157	WISE	
03781b157-w4-int-1b	-9999	55304.6504896533	w4	9	301.165168706889	-24.2310685044044	03781b157	WISE	
03785b157-w1-int-1b	-9999	55304.7827880463	w1	8	301.165719950193	-24.2311897779313	03785b157	WISE	
03785b157-w2-int-1b	-9999	55304.7827880463	w2	8	301.165719950193	-24.2311897779313	03785b157	WISE	
03785b157-w3-int-1b	-9999	55304.7827938333	w3	9	301.165719974305	-24.2311897832361	03785b157	WISE	
03785b157-w4-int-1b	-9999	55304.7827938333	w4	9	301.165719974305	-24.2311897832361	03785b157	WISE	
03788a132-w1-int-1b	-9999	55304.8488764863	w1	8	301.165995318693	-24.2312503590013	03788a132	WISE	
03788a132-w2-int-1b	-9999	55304.8488764863	w2	8	301.165995318693	-24.2312503590013	03788a132	WISE	
03788a132-w3-int-1b	-9999	55304.8488822733	w3	9	301.165995342805	-24.2312503643061	03788a132	WISE	
03788a132-w4-int-1b	-9999	55304.8488822733	w4	9	301.165995342805	-24.2312503643061	03788a132	WISE	
03789b157-w1-int-1b	-9999	55304.9150922763	w1	8	301.166271217818	-24.2313110568088	03789b157	WISE	
03789b157-w2-int-1b	-9999	55304.9150922763	w2	8	301.166271217818	-24.2313110568088	03789b157	WISE	
03789b157-w3-int-1b	-9999	55304.9150980633	w3	9	301.16627124193	-24.2313110621136	03789b157	WISE	
03789b157-w4-int-1b	-9999	55304.9150980633	w4	9	301.16627124193	-24.2313110621136	03789b157	WISE	
03792a132-w1-int-1b	-9999	55304.9811806563	w1	8	301.166546586068	-24.2313716378238	03792a132	WISE	
03792a132-w2-int-1b	-9999	55304.9811806563	w2	8	301.166546586068	-24.2313716378238	03792a132	WISE	
03792a132-w3-int-1b	-9999	55304.9811864433	w3	9	301.16654661018	-24.2313716431286	03792a132	WISE	
03792a132-w4-int-1b	-9999	55304.9811864433	w4	9	301.16654661018	-24.2313716431286	03792a132	WISE	
03793b156-w1-int-1b	-9999	55305.0472690963	w1	8	301.166804228657	-24.2314348449547	03793b156	WISE	
03793b156-w2-int-1b	-9999	55305.0472690963	w2	8	301.166804228657	-24.2314348449547	03793b156	WISE	
03793b156-w3-int-1b	-9999	55305.0472748833	w3	9	301.166804250599	-24.231434850581	03793b156	WISE	
03793b156-w4-int-1b	-9999	55305.0472748833	w4	9	301.166804250599	-24.231434850581	03793b156	WISE	
03793b157-w1-int-1b	-9999	55305.0473964163	w1	8	301.166804711412	-24.2314349687381	03793b157	WISE	
03793b157-w2-int-1b	-9999	55305.0473964163	w2	8	301.166804711412	-24.2314349687381	03793b157	WISE	
03793b157-w3-int-1b	-9999	55305.0474022033	w3	9	301.166804733354	-24.2314349743643	03793b157	WISE	
03793b157-w4-int-1b	-9999	55305.0474022033	w4	9	301.166804733354	-24.2314349743643	03793b157	WISE	
03796a080-w1-int-1b	-9999	55305.1134848463	w1	8	301.167055296709	-24.2314992213784	03796a080	WISE	
03796a080-w2-int-1b	-9999	55305.1134848463	w2	8	301.167055296709	-24.2314992213784	03796a080	WISE	
03796a080-w3-int-1b	-9999	55305.1134906333	w3	9	301.167055318651	-24.2314992270046	03796a080	WISE	
03796a080-w4-int-1b	-9999	55305.1134906333	w4	9	301.167055318651	-24.2314992270046	03796a080	WISE	
03800a132-w1-int-1b	-9999	55305.2457890263	w1	8	301.167556950058	-24.2316278504422	03800a132	WISE	
03800a132-w2-int-1b	-9999	55305.2457890263	w2	8	301.167556950058	-24.2316278504422	03800a132	WISE	
03800a132-w3-int-1b	-9999	55305.2457948133	w3	9	301.167556972001	-24.2316278560685	03800a132	WISE	
03800a132-w4-int-1b	-9999	55305.2457948133	w4	9	301.167556972001	-24.2316278560685	03800a132	WISE	
03804a132-w1-int-1b	-9999	55305.3780932063	w1	8	301.168058603407	-24.2317564795061	03804a132	WISE	
03804a132-w2-int-1b	-9999	55305.3780932063	w2	8	301.168058603407	-24.2317564795061	03804a132	WISE	
03804a132-w3-int-1b	-9999	55305.3780989933	w3	9	301.16805862535	-24.2317564851324	03804a132	WISE	
03804a132-w4-int-1b	-9999	55305.3780989933	w4	9	301.16805862535	-24.2317564851324	03804a132	WISE	
03808a132-w1-int-1b	-9999	55305.5103973963	w1	8	301.168560256794	-24.2318851085797	03808a132	WISE	
03808a132-w2-int-1b	-9999	55305.5103973963	w2	8	301.168560256794	-24.2318851085797	03808a132	WISE	
03808a132-w3-int-1b	-9999	55305.5104031833	w3	9	301.168560278737	-24.231885114206	03808a132	WISE	
03808a132-w4-int-1b	-9999	55305.5104031833	w4	9	301.168560278737	-24.231885114206	03808a132	WISE	
rings.v3.skycell.0783.098.wrp.z.55328_61093	-9999	55328.6114979111	z	30	301.151449406539	-24.273829702937	0783.098	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55328_61093	-9999	55328.6114979111	z	30	301.151449406539	-24.273829702937	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55329_60267	-9999	55329.6032449111	z	30	301.146140486322	-24.2764419864296	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55329_60593	-9999	55329.6064984111	z	30	301.146122592072	-24.2764506624296	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55329_61111	-9999	55329.6116813111	z	30	301.146094086122	-24.2764644834963	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55329_61718	-9999	55329.6177451111	z	30	301.146060735222	-24.2764806536296	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55339_56390	-9999	55339.5644704111	z	30	301.073104580033	-24.3058466268802	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55340_55633	-9999	55340.5569081111	z	30	301.063945653125	-24.3090754210308	0783.099	Pan-STARRS1	
rings.v3.skycell.0783.099.wrp.z.55340_55947	-9999	55340.5600375111	z	30	301.063916315	-24.3090856785086	0783.099	Pan-STARRS1	
rings.v3.skycell.0782.080.wrp.g.55389_46141	-9999	55389.4620570426	g	43	300.296249373409	-24.5035384567307	0782.080	Pan-STARRS1	
rings.v3.skycell.0782.080.wrp.g.55389_47339	-9999	55389.4740354426	g	43	300.296012800009	-24.503587701264	0782.080	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.g.55395_39616	-9999	55395.3968060426	g	43	300.178188879148	-24.5276983352815	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.i.55396_41134	-9999	55396.4120046167	i	45	300.157884907666	-24.5317591295779	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.i.55396_42235	-9999	55396.4230084167	i	45	300.157664831666	-24.5318031447779	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.r.55397_38687	-9999	55397.3875076815	r	40	300.13837484637	-24.5356396136326	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.r.55397_39808	-9999	55397.3987038815	r	40	300.13815092237	-24.5356837764215	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.i.55409_37036	-9999	55409.3710201167	i	45	299.90029131522	-24.5806422098561	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.i.55409_38251	-9999	55409.3831719167	i	45	299.900053848795	-24.5806850787061	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.r.55412_39723	-9999	55412.3978688815	r	40	299.841449446161	-24.5911261112095	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.082.wrp.r.55412_39723	-9999	55412.3978688815	r	40	299.841449446161	-24.5911261112095	0782.082	Pan-STARRS1	
rings.v3.skycell.0782.081.wrp.r.55412_40858	-9999	55412.4092030815	r	40	299.841230790553	-24.591164521554	0782.081	Pan-STARRS1	
rings.v3.skycell.0782.082.wrp.r.55412_40858	-9999	55412.4092030815	r	40	299.841230790553	-24.591164521554	0782.082	Pan-STARRS1	
rings.v3.skycell.0782.082.wrp.g.55413_39316	-9999	55413.3938101426	g	43	299.822268896844	-24.5944903063127	0782.082	Pan-STARRS1	
rings.v3.skycell.0782.082.wrp.g.55413_40441	-9999	55413.4050615426	g	43	299.822052776202	-24.5945281235182	0782.082	Pan-STARRS1	
rings.v3.skycell.0782.083.wrp.z.55476_20175	-9999	55476.2023233111	z	30	299.072704945171	-24.6797199634476	0782.083	Pan-STARRS1	
rings.v3.skycell.0782.083.wrp.z.55477_21537	-9999	55477.2159452111	z	30	299.071316723739	-24.6787225007552	0782.083	Pan-STARRS1	
09147a069-w1-int-1b	-9999	55482.0856282863	w1	8	299.070415393774	-24.6728786932611	09147a069	WISE	
09147a069-w2-int-1b	-9999	55482.0856282863	w2	8	299.070415393774	-24.6728786932611	09147a069	WISE	
09150a144-w1-int-1b	-9999	55482.2179322063	w1	8	299.070542185031	-24.6726912627077	09150a144	WISE	
09150a144-w2-int-1b	-9999	55482.2179322063	w2	8	299.070542185031	-24.6726912627077	09150a144	WISE	
09154a143-w1-int-1b	-9999	55482.3501088663	w1	8	299.07066885433	-24.6725040124394	09154a143	WISE	
09154a143-w2-int-1b	-9999	55482.3501088663	w2	8	299.07066885433	-24.6725040124394	09154a143	WISE	
09154a145-w1-int-1b	-9999	55482.3502361763	w1	8	299.070668976336	-24.6725038320836	09154a145	WISE	
09154a145-w2-int-1b	-9999	55482.3502361763	w2	8	299.070668976336	-24.6725038320836	09154a145	WISE	
09159a095-w1-int-1b	-9999	55482.4824128863	w1	8	299.070795645683	-24.6723165817444	09159a095	WISE	
09159a095-w2-int-1b	-9999	55482.4824128863	w2	8	299.070795645683	-24.6723165817444	09159a095	WISE	
09161a119-w1-int-1b	-9999	55482.5485017263	w1	8	299.070858980821	-24.6722229558877	09161a119	WISE	
09161a119-w2-int-1b	-9999	55482.5485017263	w2	8	299.070858980821	-24.6722229558877	09161a119	WISE	
09161a120-w1-int-1b	-9999	55482.5486290863	w1	8	299.070859102874	-24.6722227754611	09161a120	WISE	
09161a120-w2-int-1b	-9999	55482.5486290863	w2	8	299.070859102874	-24.6722227754611	09161a120	WISE	
09162a144-w1-int-1b	-9999	55482.6147174063	w1	8	299.070922437514	-24.6721291503411	09162a144	WISE	
09162a144-w2-int-1b	-9999	55482.6147174063	w2	8	299.070922437514	-24.6721291503411	09162a144	WISE	
09165a120-w1-int-1b	-9999	55482.6808057363	w1	8	299.070985772164	-24.6720355252069	09165a120	WISE	
09165a120-w2-int-1b	-9999	55482.6808057363	w2	8	299.070985772164	-24.6720355252069	09165a120	WISE	
09166a143-w1-int-1b	-9999	55482.7468940663	w1	8	299.071049106814	-24.6719419000727	09166a143	WISE	
09166a143-w2-int-1b	-9999	55482.7468940663	w2	8	299.071049106814	-24.6719419000727	09166a143	WISE	
09166a144-w1-int-1b	-9999	55482.7470214263	w1	8	299.071049228867	-24.671941719646	09166a144	WISE	
09166a144-w2-int-1b	-9999	55482.7470214263	w2	8	299.071049228867	-24.671941719646	09166a144	WISE	
09169a120-w1-int-1b	-9999	55482.8131097563	w1	8	299.071112563517	-24.6718480945119	09169a120	WISE	
09169a120-w2-int-1b	-9999	55482.8131097563	w2	8	299.071112563517	-24.6718480945119	09169a120	WISE	
09173a119-w1-int-1b	-9999	55482.9452863563	w1	8	299.071239232758	-24.6716608443285	09173a119	WISE	
09173a119-w2-int-1b	-9999	55482.9452863563	w2	8	299.071239232758	-24.6716608443285	09173a119	WISE	
09173a120-w1-int-1b	-9999	55482.9454137763	w1	8	299.071239354869	-24.6716606638169	09173a120	WISE	
09173a120-w2-int-1b	-9999	55482.9454137763	w2	8	299.071239354869	-24.6716606638169	09173a120	WISE	
09177a070-w1-int-1b	-9999	55483.0775903663	w1	8	299.071398353421	-24.6714669477838	09177a070	WISE	
09177a070-w2-int-1b	-9999	55483.0775903663	w2	8	299.071398353421	-24.6714669477838	09177a070	WISE	
09181a120-w1-int-1b	-9999	55483.2098943363	w1	8	299.071580271379	-24.6712684918288	09181a120	WISE	
09181a120-w2-int-1b	-9999	55483.2098943363	w2	8	299.071580271379	-24.6712684918288	09181a120	WISE	
09226a146-w1-int-1b	-9999	55484.7309443963	w1	8	299.073945819361	-24.6689260047058	09226a146	WISE	
09226a146-w2-int-1b	-9999	55484.7309443963	w2	8	299.073945819361	-24.6689260047058	09226a146	WISE	
09226a147-w1-int-1b	-9999	55484.7310717563	w1	8	299.07394604224	-24.6689258030525	09226a147	WISE	
09226a147-w2-int-1b	-9999	55484.7310717563	w2	8	299.07394604224	-24.6689258030525	09226a147	WISE	
09230a146-w1-int-1b	-9999	55484.8632484163	w1	8	299.074177351396	-24.6687165233409	09230a146	WISE	
09230a146-w2-int-1b	-9999	55484.8632484163	w2	8	299.074177351396	-24.6687165233409	09230a146	WISE	
