Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03289b158-w1-int-1b	-9999	55288.3755400363	w1	8	285.358829857616	-25.788135971704	03289b158	WISE	
03289b158-w2-int-1b	-9999	55288.3755400363	w2	8	285.358829857616	-25.788135971704	03289b158	WISE	
03289b158-w3-int-1b	-9999	55288.3755458233	w3	9	285.358829876183	-25.7881359776517	03289b158	WISE	
03289b158-w4-int-1b	-9999	55288.3755458233	w4	9	285.358829876183	-25.7881359776517	03289b158	WISE	
03294a123-w1-int-1b	-9999	55288.5078440863	w1	8	285.35925433311	-25.7882719508665	03294a123	WISE	
03294a123-w2-int-1b	-9999	55288.5078440863	w2	8	285.35925433311	-25.7882719508665	03294a123	WISE	
03294a123-w3-int-1b	-9999	55288.5078498733	w3	9	285.359254351677	-25.7882719568142	03294a123	WISE	
03294a123-w4-int-1b	-9999	55288.5078498733	w4	9	285.359254351677	-25.7882719568142	03294a123	WISE	
03297b158-w1-int-1b	-9999	55288.6401481363	w1	8	285.359678808604	-25.788407930029	03297b158	WISE	
03297b158-w2-int-1b	-9999	55288.6401481363	w2	8	285.359678808604	-25.788407930029	03297b158	WISE	
03297b158-w3-int-1b	-9999	55288.6401539233	w3	9	285.35967882717	-25.7884079359767	03297b158	WISE	
03297b158-w4-int-1b	-9999	55288.6401539233	w4	9	285.35967882717	-25.7884079359767	03297b158	WISE	
03300a134-w1-int-1b	-9999	55288.7063638163	w1	8	285.359891250577	-25.7884759850334	03300a134	WISE	
03300a134-w2-int-1b	-9999	55288.7063638163	w2	8	285.359891250577	-25.7884759850334	03300a134	WISE	
03300a134-w3-int-1b	-9999	55288.7063696033	w3	9	285.359891269144	-25.7884759909812	03300a134	WISE	
03300a134-w4-int-1b	-9999	55288.7063696033	w4	9	285.359891269144	-25.7884759909812	03300a134	WISE	
03301b158-w1-int-1b	-9999	55288.7724521863	w1	8	285.360103284097	-25.7885439091915	03301b158	WISE	
03301b158-w2-int-1b	-9999	55288.7724521863	w2	8	285.360103284097	-25.7885439091915	03301b158	WISE	
03301b158-w3-int-1b	-9999	55288.7724579733	w3	9	285.360103302664	-25.7885439151392	03301b158	WISE	
03301b158-w4-int-1b	-9999	55288.7724579733	w4	9	285.360103302664	-25.7885439151392	03301b158	WISE	
03304a132-w1-int-1b	-9999	55288.8385411263	w1	8	285.360315319447	-25.7886118339354	03304a132	WISE	
03304a132-w2-int-1b	-9999	55288.8385411263	w2	8	285.360315319447	-25.7886118339354	03304a132	WISE	
03304a132-w3-int-1b	-9999	55288.8385469133	w3	9	285.360315338013	-25.7886118398831	03304a132	WISE	
03304a132-w4-int-1b	-9999	55288.8385469133	w4	9	285.360315338013	-25.7886118398831	03304a132	WISE	
03304a133-w1-int-1b	-9999	55288.8386679163	w1	8	285.360315726231	-25.7886119642473	03304a133	WISE	
