Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03401b154-w1-int-1b	-9999	55292.0799268663	w1	8	289.505107967665	-22.6123600264094	03401b154	WISE	
03401b154-w2-int-1b	-9999	55292.0799268663	w2	8	289.505107967665	-22.6123600264094	03401b154	WISE	
03401b154-w3-int-1b	-9999	55292.0799326533	w3	9	289.5051079966	-22.6123600243197	03401b154	WISE	
03401b154-w4-int-1b	-9999	55292.0799326533	w4	9	289.5051079966	-22.6123600243197	03401b154	WISE	
03473b152-w1-int-1b	-9999	55294.4616546363	w1	8	289.516215227651	-22.6116068085631	03473b152	WISE	
03473b152-w2-int-1b	-9999	55294.4616546363	w2	8	289.516215227651	-22.6116068085631	03473b152	WISE	
03473b152-w3-int-1b	-9999	55294.4616604233	w3	9	289.516215251764	-22.6116068071164	03473b152	WISE	
03473b152-w4-int-1b	-9999	55294.4616604233	w4	9	289.516215251764	-22.6116068071164	03473b152	WISE	
03477b152-w1-int-1b	-9999	55294.5939623963	w1	8	289.516766509985	-22.6115737316231	03477b152	WISE	
03477b152-w2-int-1b	-9999	55294.5939623963	w2	8	289.516766509985	-22.6115737316231	03477b152	WISE	
03477b152-w3-int-1b	-9999	55294.5939681833	w3	9	289.516766534097	-22.6115737301764	03477b152	WISE	
03477b152-w4-int-1b	-9999	55294.5939681833	w4	9	289.516766534097	-22.6115737301764	03477b152	WISE	
03481b151-w1-int-1b	-9999	55294.7262665063	w1	8	289.517317777109	-22.6115406555956	03481b151	WISE	
03481b151-w2-int-1b	-9999	55294.7262665063	w2	8	289.517317777109	-22.6115406555956	03481b151	WISE	
03481b151-w3-int-1b	-9999	55294.7262722933	w3	9	289.517317801222	-22.6115406541489	03481b151	WISE	
03481b151-w4-int-1b	-9999	55294.7262722933	w4	9	289.517317801222	-22.6115406541489	03481b151	WISE	
03485b151-w1-int-1b	-9999	55294.8585706463	w1	8	289.517869044359	-22.6115075795606	03485b151	WISE	
03485b151-w2-int-1b	-9999	55294.8585706463	w2	8	289.517869044359	-22.6115075795606	03485b151	WISE	
03485b151-w3-int-1b	-9999	55294.8585764333	w3	9	289.517869068472	-22.6115075781139	03485b151	WISE	
03485b151-w4-int-1b	-9999	55294.8585764333	w4	9	289.517869068472	-22.6115075781139	03485b151	WISE	
03488a127-w1-int-1b	-9999	55294.9247863563	w1	8	289.518144943151	-22.6114910256331	03488a127	WISE	
03488a127-w2-int-1b	-9999	55294.9247863563	w2	8	289.518144943151	-22.6114910256331	03488a127	WISE	
03488a127-w3-int-1b	-9999	55294.9247921433	w3	9	289.518144967263	-22.6114910241864	03488a127	WISE	
03488a127-w4-int-1b	-9999	55294.9247921433	w4	9	289.518144967263	-22.6114910241864	03488a127	WISE	
03489b151-w1-int-1b	-9999	55294.9908747463	w1	8	289.518420311443	-22.6114745035356	03489b151	WISE	
03489b151-w2-int-1b	-9999	55294.9908747463	w2	8	289.518420311443	-22.6114745035356	03489b151	WISE	
03489b151-w3-int-1b	-9999	55294.9908805333	w3	9	289.518420335555	-22.6114745020889	03489b151	WISE	
03489b151-w4-int-1b	-9999	55294.9908805333	w4	9	289.518420335555	-22.6114745020889	03489b151	WISE	
03492a126-w1-int-1b	-9999	55295.0569631363	w1	8	289.51866957163	-22.6114611460568	03492a126	WISE	
03492a126-w2-int-1b	-9999	55295.0569631363	w2	8	289.51866957163	-22.6114611460568	03492a126	WISE	
03492a126-w3-int-1b	-9999	55295.0569689233	w3	9	289.51866959309	-22.6114611449316	03492a126	WISE	
03492a126-w4-int-1b	-9999	55295.0569689233	w4	9	289.51866959309	-22.6114611449316	03492a126	WISE	
03492a127-w1-int-1b	-9999	55295.0570904963	w1	8	289.518670043923	-22.6114611212924	03492a127	WISE	
03492a127-w2-int-1b	-9999	55295.0570904963	w2	8	289.518670043923	-22.6114611212924	03492a127	WISE	
03492a127-w3-int-1b	-9999	55295.0570962833	w3	9	289.518670065384	-22.6114611201671	03492a127	WISE	
03492a127-w4-int-1b	-9999	55295.0570962833	w4	9	289.518670065384	-22.6114611201671	03492a127	WISE	
03493b151-w1-int-1b	-9999	55295.1231788463	w1	8	289.518915121555	-22.6114482707799	03493b151	WISE	
03493b151-w2-int-1b	-9999	55295.1231788463	w2	8	289.518915121555	-22.6114482707799	03493b151	WISE	
03493b151-w3-int-1b	-9999	55295.1231846333	w3	9	289.518915143015	-22.6114482696546	03493b151	WISE	
03493b151-w4-int-1b	-9999	55295.1231846333	w4	9	289.518915143015	-22.6114482696546	03493b151	WISE	
03496a126-w1-int-1b	-9999	55295.1892672363	w1	8	289.519160199334	-22.6114354202596	03496a126	WISE	
03496a126-w2-int-1b	-9999	55295.1892672363	w2	8	289.519160199334	-22.6114354202596	03496a126	WISE	
03496a126-w3-int-1b	-9999	55295.1892730233	w3	9	289.519160220795	-22.6114354191343	03496a126	WISE	
03496a126-w4-int-1b	-9999	55295.1892730233	w4	9	289.519160220795	-22.6114354191343	03496a126	WISE	
03496a127-w1-int-1b	-9999	55295.1893945963	w1	8	289.519160671628	-22.6114353954951	03496a127	WISE	
03496a127-w2-int-1b	-9999	55295.1893945963	w2	8	289.519160671628	-22.6114353954951	03496a127	WISE	
