Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04769b162-w1-int-1b	-9999	55337.3303713063	w1	8	334.411543584029	-15.1991937039377	04769b162	WISE	
04769b162-w2-int-1b	-9999	55337.3303713063	w2	8	334.411543584029	-15.1991937039377	04769b162	WISE	
04769b162-w3-int-1b	-9999	55337.3303770933	w3	9	334.411543607419	-15.1991937053844	04769b162	WISE	
04769b162-w4-int-1b	-9999	55337.3303770933	w4	9	334.411543607419	-15.1991937053844	04769b162	WISE	
04773b161-w1-int-1b	-9999	55337.4626752663	w1	8	334.412078312534	-15.1992267799277	04773b161	WISE	
04773b161-w2-int-1b	-9999	55337.4626752663	w2	8	334.412078312534	-15.1992267799277	04773b161	WISE	
04773b161-w3-int-1b	-9999	55337.4626810533	w3	9	334.412078335924	-15.1992267813744	04773b161	WISE	
04773b161-w4-int-1b	-9999	55337.4626810533	w4	9	334.412078335924	-15.1992267813744	04773b161	WISE	
04777b160-w4-int-1b	-9999	55337.5948576833	w4	9	334.412612549803	-15.1992598255319	04777b160	WISE	
04777b161-w1-int-1b	-9999	55337.5949792163	w1	8	334.412613040999	-15.1992598559152	04777b161	WISE	
04777b161-w2-int-1b	-9999	55337.5949792163	w2	8	334.412613040999	-15.1992598559152	04777b161	WISE	
04777b161-w3-int-1b	-9999	55337.5949850033	w3	9	334.412613064388	-15.1992598573619	04777b161	WISE	
04777b161-w4-int-1b	-9999	55337.5949850033	w4	9	334.412613064388	-15.1992598573619	04777b161	WISE	
04781b160-w1-int-1b	-9999	55337.7272831663	w1	8	334.413147769464	-15.1992929319027	04781b160	WISE	
04781b160-w2-int-1b	-9999	55337.7272831663	w2	8	334.413147769464	-15.1992929319027	04781b160	WISE	
04781b160-w3-int-1b	-9999	55337.7272889533	w3	9	334.413147792853	-15.1992929333494	04781b160	WISE	
04781b160-w4-int-1b	-9999	55337.7272889533	w4	9	334.413147792853	-15.1992929333494	04781b160	WISE	
04785b160-w1-int-1b	-9999	55337.8595871163	w1	8	334.413682497928	-15.1993260078902	04785b160	WISE	
04785b160-w2-int-1b	-9999	55337.8595871163	w2	8	334.413682497928	-15.1993260078902	04785b160	WISE	
04785b160-w3-int-1b	-9999	55337.8595929033	w3	9	334.413682521317	-15.1993260093369	04785b160	WISE	
04785b160-w4-int-1b	-9999	55337.8595929033	w4	9	334.413682521317	-15.1993260093369	04785b160	WISE	
04788a135-w1-int-1b	-9999	55337.9256754663	w1	8	334.41394960501	-15.1993425299777	04788a135	WISE	
04788a135-w2-int-1b	-9999	55337.9256754663	w2	8	334.41394960501	-15.1993425299777	04788a135	WISE	
04788a135-w3-int-1b	-9999	55337.9256812533	w3	9	334.413949628399	-15.1993425314244	04788a135	WISE	
04788a135-w4-int-1b	-9999	55337.9256812533	w4	9	334.413949628399	-15.1993425314244	04788a135	WISE	
04789b160-w1-int-1b	-9999	55337.9918911263	w1	8	334.414217226635	-15.1993590838927	04789b160	WISE	
04789b160-w2-int-1b	-9999	55337.9918911263	w2	8	334.414217226635	-15.1993590838927	04789b160	WISE	
04789b160-w3-int-1b	-9999	55337.9918969133	w3	9	334.414217250025	-15.1993590853394	04789b160	WISE	
