Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04169b142-w1-int-1b	-9999	55317.4824738463	w1	8	312.769838143078	-10.3758140331619	04169b142	WISE	
04169b142-w2-int-1b	-9999	55317.4824738463	w2	8	312.769838143078	-10.3758140331619	04169b142	WISE	
04169b142-w3-int-1b	-9999	55317.4824796333	w3	9	312.769838162126	-10.3758140166047	04169b142	WISE	
04169b142-w4-int-1b	-9999	55317.4824796333	w4	9	312.769838162126	-10.3758140166047	04169b142	WISE	
04169b143-w1-int-1b	-9999	55317.4826012163	w1	8	312.769838562337	-10.3758136687422	04169b143	WISE	
04169b143-w2-int-1b	-9999	55317.4826012163	w2	8	312.769838562337	-10.3758136687422	04169b143	WISE	
04169b143-w3-int-1b	-9999	55317.4826070033	w3	9	312.769838581386	-10.375813652185	04169b143	WISE	
04169b143-w4-int-1b	-9999	55317.4826070033	w4	9	312.769838581386	-10.375813652185	04169b143	WISE	
04173b141-w1-int-1b	-9999	55317.6147781163	w1	8	312.770273644633	-10.375435495945	04173b141	WISE	
04173b141-w2-int-1b	-9999	55317.6147781163	w2	8	312.770273644633	-10.375435495945	04173b141	WISE	
04173b141-w3-int-1b	-9999	55317.6147839033	w3	9	312.770273663682	-10.3754354793877	04173b141	WISE	
04173b141-w4-int-1b	-9999	55317.6147839033	w4	9	312.770273663682	-10.3754354793877	04173b141	WISE	
04173b143-w1-int-1b	-9999	55317.6149054763	w1	8	312.77027406386	-10.3754351315539	04173b143	WISE	
04173b143-w2-int-1b	-9999	55317.6149054763	w2	8	312.77027406386	-10.3754351315539	04173b143	WISE	
04173b143-w3-int-1b	-9999	55317.6149112633	w3	9	312.770274082909	-10.3754351149966	04173b143	WISE	
04173b143-w4-int-1b	-9999	55317.6149112633	w4	9	312.770274082909	-10.3754351149966	04173b143	WISE	
04177b141-w1-int-1b	-9999	55317.7470823763	w1	8	312.770709146156	-10.3750569587567	04177b141	WISE	
04177b141-w2-int-1b	-9999	55317.7470823763	w2	8	312.770709146156	-10.3750569587567	04177b141	WISE	
04177b141-w3-int-1b	-9999	55317.7470881633	w3	9	312.770709165204	-10.3750569421994	04177b141	WISE	
04177b141-w4-int-1b	-9999	55317.7470881633	w4	9	312.770709165204	-10.3750569421994	04177b141	WISE	
04177b143-w1-int-1b	-9999	55317.7472097463	w1	8	312.770709565415	-10.3750565943369	04177b143	WISE	
04177b143-w2-int-1b	-9999	55317.7472097463	w2	8	312.770709565415	-10.3750565943369	04177b143	WISE	
04177b143-w3-int-1b	-9999	55317.7472155333	w3	9	312.770709584464	-10.3750565777797	04177b143	WISE	
04177b143-w4-int-1b	-9999	55317.7472155333	w4	9	312.770709584464	-10.3750565777797	04177b143	WISE	
04180a117-w1-int-1b	-9999	55317.8132982163	w1	8	312.770927106629	-10.3748675078811	04180a117	WISE	
04180a117-w2-int-1b	-9999	55317.8132982163	w2	8	312.770927106629	-10.3748675078811	04180a117	WISE	
04180a117-w3-int-1b	-9999	55317.8133040033	w3	9	312.770927125678	-10.3748674913239	04180a117	WISE	
04180a117-w4-int-1b	-9999	55317.8133040033	w4	9	312.770927125678	-10.3748674913239	04180a117	WISE	
04181b141-w1-int-1b	-9999	55317.8793865963	w1	8	312.771144647546	-10.3746784216828	04181b141	WISE	
04181b141-w2-int-1b	-9999	55317.8793865963	w2	8	312.771144647546	-10.3746784216828	04181b141	WISE	
04181b141-w3-int-1b	-9999	55317.8793923833	w3	9	312.771144666595	-10.3746784051255	04181b141	WISE	
04181b141-w4-int-1b	-9999	55317.8793923833	w4	9	312.771144666595	-10.3746784051255	04181b141	WISE	
04181b143-w1-int-1b	-9999	55317.8795139563	w1	8	312.771145066773	-10.3746780572917	04181b143	WISE	
04181b143-w2-int-1b	-9999	55317.8795139563	w2	8	312.771145066773	-10.3746780572917	04181b143	WISE	
04181b143-w3-int-1b	-9999	55317.8795197433	w3	9	312.771145085822	-10.3746780407344	04181b143	WISE	
04181b143-w4-int-1b	-9999	55317.8795197433	w4	9	312.771145085822	-10.3746780407344	04181b143	WISE	
04184a117-w1-int-1b	-9999	55317.9456024263	w1	8	312.771362607987	-10.3744889708358	04184a117	WISE	
04184a117-w2-int-1b	-9999	55317.9456024263	w2	8	312.771362607987	-10.3744889708358	04184a117	WISE	
04184a117-w3-int-1b	-9999	55317.9456082133	w3	9	312.771362627036	-10.3744889542786	04184a117	WISE	
04184a117-w4-int-1b	-9999	55317.9456082133	w4	9	312.771362627036	-10.3744889542786	04184a117	WISE	
04185b141-w1-int-1b	-9999	55318.0116908563	w1	8	312.771575764998	-10.3743008587325	04185b141	WISE	
04185b141-w2-int-1b	-9999	55318.0116908563	w2	8	312.771575764998	-10.3743008587325	04185b141	WISE	
04185b141-w3-int-1b	-9999	55318.0116966433	w3	9	312.771575781877	-10.3743008426575	04185b141	WISE	
04185b141-w4-int-1b	-9999	55318.0116966433	w4	9	312.771575781877	-10.3743008426575	04185b141	WISE	
04185b142-w1-int-1b	-9999	55318.0118182163	w1	8	312.771576136465	-10.3743005049547	04185b142	WISE	
04185b142-w2-int-1b	-9999	55318.0118182163	w2	8	312.771576136465	-10.3743005049547	04185b142	WISE	
04185b142-w3-int-1b	-9999	55318.0118240033	w3	9	312.771576153343	-10.3743004888797	04185b142	WISE	
04185b142-w4-int-1b	-9999	55318.0118240033	w4	9	312.771576153343	-10.3743004888797	04185b142	WISE	
04188a117-w1-int-1b	-9999	55318.0779066863	w1	8	312.771768894502	-10.3741169258714	04188a117	WISE	
04188a117-w2-int-1b	-9999	55318.0779066863	w2	8	312.771768894502	-10.3741169258714	04188a117	WISE	
04188a117-w3-int-1b	-9999	55318.0779124733	w3	9	312.771768911381	-10.3741169097964	04188a117	WISE	
04188a117-w4-int-1b	-9999	55318.0779124733	w4	9	312.771768911381	-10.3741169097964	04188a117	WISE	
04189b142-w1-int-1b	-9999	55318.1441224863	w1	8	312.771962023919	-10.3739329930936	04189b142	WISE	
04189b142-w2-int-1b	-9999	55318.1441224863	w2	8	312.771962023919	-10.3739329930936	04189b142	WISE	
04189b142-w3-int-1b	-9999	55318.1441282733	w3	9	312.771962040797	-10.3739329770186	04189b142	WISE	
04189b142-w4-int-1b	-9999	55318.1441282733	w4	9	312.771962040797	-10.3739329770186	04189b142	WISE	
04192a117-w1-int-1b	-9999	55318.2102109163	w1	8	312.772154781839	-10.3737494141214	04192a117	WISE	
04192a117-w2-int-1b	-9999	55318.2102109163	w2	8	312.772154781839	-10.3737494141214	04192a117	WISE	
04192a117-w3-int-1b	-9999	55318.2102167033	w3	9	312.772154798718	-10.3737493980464	04192a117	WISE	
04192a117-w4-int-1b	-9999	55318.2102167033	w4	9	312.772154798718	-10.3737493980464	04192a117	WISE	
04196a117-w1-int-1b	-9999	55318.3425151763	w1	8	312.772540669264	-10.373381902288	04196a117	WISE	
04196a117-w2-int-1b	-9999	55318.3425151763	w2	8	312.772540669264	-10.373381902288	04196a117	WISE	
04196a117-w3-int-1b	-9999	55318.3425209633	w3	9	312.772540686143	-10.3733818862131	04196a117	WISE	
04196a117-w4-int-1b	-9999	55318.3425209633	w4	9	312.772540686143	-10.3733818862131	04196a117	WISE	
04200a117-w1-int-1b	-9999	55318.4748194463	w1	8	312.772926556718	-10.3730143904269	04200a117	WISE	
04200a117-w2-int-1b	-9999	55318.4748194463	w2	8	312.772926556718	-10.3730143904269	04200a117	WISE	
04200a117-w3-int-1b	-9999	55318.4748252333	w3	9	312.772926573597	-10.3730143743519	04200a117	WISE	
04200a117-w4-int-1b	-9999	55318.4748252333	w4	9	312.772926573597	-10.3730143743519	04200a117	WISE	
04200a118-w4-int-1b	-9999	55318.4749525433	w4	9	312.772926944918	-10.3730140207131	04200a118	WISE	
04204a117-w1-int-1b	-9999	55318.6071236563	w1	8	312.773312443997	-10.3726468787325	04204a117	WISE	
04204a117-w2-int-1b	-9999	55318.6071236563	w2	8	312.773312443997	-10.3726468787325	04204a117	WISE	
04204a117-w3-int-1b	-9999	55318.6071294433	w3	9	312.773312460876	-10.3726468626575	04204a117	WISE	
04204a117-w4-int-1b	-9999	55318.6071294433	w4	9	312.773312460876	-10.3726468626575	04204a117	WISE	
04208a117-w1-int-1b	-9999	55318.7394279163	w1	8	312.773698331422	-10.3722793668992	04208a117	WISE	
04208a117-w2-int-1b	-9999	55318.7394279163	w2	8	312.773698331422	-10.3722793668992	04208a117	WISE	
04208a117-w3-int-1b	-9999	55318.7394337033	w3	9	312.773698348301	-10.3722793508242	04208a117	WISE	
04208a117-w4-int-1b	-9999	55318.7394337033	w4	9	312.773698348301	-10.3722793508242	04208a117	WISE	
04316a113-w1-int-1b	-9999	55322.3117688563	w1	8	312.78164731032	-10.3630607743989	04316a113	WISE	
04316a113-w2-int-1b	-9999	55322.3117688563	w2	8	312.78164731032	-10.3630607743989	04316a113	WISE	
04316a113-w3-int-1b	-9999	55322.3117746433	w3	9	312.781647319242	-10.3630607605744	04316a113	WISE	
04316a113-w4-int-1b	-9999	55322.3117746433	w4	9	312.781647319242	-10.3630607605744	04316a113	WISE	
rings.v3.skycell.1131.041.wrp.z.55329_58421	-9999	55329.5847869111	z	30	312.784005611998	-10.3482475773704	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.041.wrp.z.55329_59631	-9999	55329.5968796111	z	30	312.783994527023	-10.3482274228704	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.041.wrp.y.55342_60215	-9999	55342.6027216111	y	30	312.742727264808	-10.3354825017299	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.041.wrp.y.55342_61178	-9999	55342.6123565111	y	30	312.742676280129	-10.3354795577327	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.041.wrp.y.55343_53345	-9999	55343.5340201111	y	30	312.737621136875	-10.3352572738673	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.041.wrp.y.55343_53558	-9999	55343.5361533111	y	30	312.737609137625	-10.3352568590784	1131.041	Pan-STARRS1	
rings.v3.skycell.1131.033.wrp.i.55397_41576	-9999	55397.4164181167	i	45	312.058782085977	-10.4703575880673	1131.033	Pan-STARRS1	
rings.v3.skycell.1131.033.wrp.i.55397_42675	-9999	55397.4274051167	i	45	312.058591644644	-10.470410997095	1131.033	Pan-STARRS1	
rings.v3.skycell.1131.034.wrp.g.55423_38075	-9999	55423.3813968426	g	43	311.600113346263	-10.6133439366112	1131.034	Pan-STARRS1	
rings.v3.skycell.1131.034.wrp.g.55423_39233	-9999	55423.3929719426	g	43	311.599913193492	-10.6134133872112	1131.034	Pan-STARRS1	
rings.v3.skycell.1131.034.wrp.i.55427_35270	-9999	55427.3533606167	i	45	311.53220370626	-10.6372786837344	1131.034	Pan-STARRS1	
rings.v3.skycell.1131.034.wrp.i.55427_36358	-9999	55427.3642306167	i	45	311.53202027501	-10.6373445076234	1131.034	Pan-STARRS1	
rings.v3.skycell.1131.035.wrp.i.55442_28520	-9999	55442.2858514167	i	45	311.295248000173	-10.7283698780234	1131.035	Pan-STARRS1	
rings.v3.skycell.1131.035.wrp.i.55442_29639	-9999	55442.2970532167	i	45	311.29508464059	-10.7284377111456	1131.035	Pan-STARRS1	
rings.v3.skycell.1131.035.wrp.r.55442_30921	-9999	55442.3098442815	r	40	311.294898104228	-10.7285151681491	1131.035	Pan-STARRS1	
rings.v3.skycell.1131.035.wrp.i.55443_28397	-9999	55443.2846339167	i	45	311.280729861034	-10.73441806094	1131.035	Pan-STARRS1	
rings.v3.skycell.1131.035.wrp.i.55443_29500	-9999	55443.2956611167	i	45	311.280570885567	-10.7344848367622	1131.035	Pan-STARRS1	
tu398758.fits.fz 0209166db0b8f8aeccc8d8100c510013	-9999	55466.0033506944	V	5	311.014346519098	-10.8644619425152	std MarkA V	CTIO-4m/Mosaic2	CTIO
tu398768.fits.fz 6e16d39678273fe18539d10e2fedaf8c	-9999	55466.0056909722	V	30	311.014326626736	-10.8644741639659	std MarkA V	CTIO-4m/Mosaic2	CTIO
tu398880.fits.fz 7479a90d2c59c87a0280a262f06df349	-9999	55466.0085034722	I	5	311.014302720486	-10.8644888514659	std MarkA I	CTIO-4m/Mosaic2	CTIO
tu398890.fits.fz 31992efb55ef90a2afc6900b32182d85	-9999	55466.0108518518	I	30	311.01428275926	-10.864501115226	std MarkA I	CTIO-4m/Mosaic2	CTIO
tu398818.fits.fz 77d583f96572302c6d52ea36734c5120	-9999	55467.9952048611	V	10	310.997747493634	-10.874808558449	std field MarkA	CTIO-4m/Mosaic2	CTIO
tu398943.fits.fz c7b9037abc97bf052961130a798d8bce	-9999	55467.9975	I	10	310.99772875	-10.8748204166666	std field MarkA	CTIO-4m/Mosaic2	CTIO
tu398824.fits.fz 23dc4d8f8f018085878a96e7a8267a5c	-9999	55467.999912037	V	30	310.997709051697	-10.8748328788578	std field MarkA	CTIO-4m/Mosaic2	CTIO
tu398949.fits.fz e3ddce5dda133e4ddba650c34ad53c1d	-9999	55468.0024756944	I	30	310.99768883724	-10.8748459181131	std field MarkA	CTIO-4m/Mosaic2	CTIO
rings.v3.skycell.1131.026.wrp.z.55468_23056	-9999	55468.2311286111	z	30	310.995888195521	-10.8760082371064	1131.026	Pan-STARRS1	
c1i_101002_032300_ori.fits.fz 996e14eed95d4966fcef6349172ffcbd	-9999	55471.141265162	B	50	310.97406458263	-10.8906389981576	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_032505_ori.fits.fz 489863e7d70f776979864b6dacafde63	-9999	55471.1430072917	B	100	310.974052532899	-10.8906475636286	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_032802_ori.fits.fz d3900a6617b6b4358b1905530cb64ab3	-9999	55471.1447082176	V	40	310.974040768162	-10.8906559265143	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_032959_ori.fits.fz 4ceefe89ad9f1c003fd4e44c8bb6c403	-9999	55471.1462850694	V	80	310.974029861604	-10.890663679369	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_033235_ori.fits.fz 904e9d2ae08ebe9521756cf69c923de5	-9999	55471.1478679398	R	40	310.974018913417	-10.8906714618151	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_033432_ori.fits.fz 0a2b76f85a830e43f490bb67de699284	-9999	55471.1494478009	R	80	310.974007986044	-10.8906792294655	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_033710_ori.fits.fz bf2edb15ea1f0663f7ba858a70262035	-9999	55471.1511018519	I	50	310.973996545525	-10.8906873618829	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101002_033916_ori.fits.fz 736d132867eec45365ff896e12a592c1	-9999	55471.1528576389	I	100	310.973984401331	-10.8906959945023	MarkA	CTIO-1.0m/Y4KCam	CTIO
tu420644.fits.fz 3879f3fd816f6cd70bf39e0e125d6a00	-9999	55475.9897361111	R	10	310.943766067708	-10.9138409907407	teste	CTIO-4m/Mosaic2	CTIO
ct2767979.fits.fz 371a60f9cf40b05da30856ab07542867	-9999	55475.9897361111	R	10	310.943766067708	-10.9138409907407	teste	CTIO-4m/Mosaic2	CTIO
tu420654.fits.fz d47207b6b8653f3ad0872edb8ad64bf7	-9999	55475.9956226852	R	10	310.943732955729	-10.9138684614198	teste	CTIO-4m/Mosaic2	CTIO
ct2767995.fits.fz 35a58a45cbfcbe3b657cf7f4cab05c1f	-9999	55475.9956226852	R	10	310.943732955729	-10.9138684614198	teste	CTIO-4m/Mosaic2	CTIO
tu420660.fits.fz 05d5f17e6bfc2e62234d2df23f56040f	-9999	55475.9994386574	R	15	310.943711490885	-10.9138862692901	R	CTIO-4m/Mosaic2	CTIO
ct2768004.fits.fz da45eb4af0d5874209d19736f14f1794	-9999	55475.9994386574	R	15	310.943711490885	-10.9138862692901	R	CTIO-4m/Mosaic2	CTIO
tu420666.fits.fz 5f6f0e20135509d93355097848f028e5	-9999	55476.003525463	R	15	310.943689677758	-10.9139049493314	R	CTIO-4m/Mosaic2	CTIO
ct2768017.fits.fz 03c2f67c2df27f5fdcf761f9fe519d39	-9999	55476.003525463	R	15	310.943689677758	-10.9139049493314	R	CTIO-4m/Mosaic2	CTIO
tu420672.fits.fz 426e573e344ff4c17b95ab1db8c8706e	-9999	55476.014818287	R	15	310.943629919898	-10.9139563944186	MARKA_2	CTIO-4m/Mosaic2	CTIO
ct2768029.fits.fz 30f87f80f6e0ac0423ef7dc7bfd2d616	-9999	55476.014818287	R	15	310.943629919898	-10.9139563944186	MARKA_2	CTIO-4m/Mosaic2	CTIO
tu420678.fits.fz 4b25aadc19e10b096e165466defe61e9	-9999	55476.0196967593	R	15	310.943604104648	-10.9139786185702	MARKA_2	CTIO-4m/Mosaic2	CTIO
ct2768037.fits.fz 72af9cbc99ecb7d661b08fdaf268cd80	-9999	55476.0196967593	R	15	310.943604104648	-10.9139786185702	MARKA_2	CTIO-4m/Mosaic2	CTIO
tu420684.fits.fz c7183be25ef59c0eee813ed19c04dd04	-9999	55476.0228611111	R	15	310.943587359953	-10.9139930339506	MARKA_3	CTIO-4m/Mosaic2	CTIO
ct2768045.fits.fz 8f88c39b4749137b50d35d7bfb59eb74	-9999	55476.0228611111	R	15	310.943587359953	-10.9139930339506	MARKA_3	CTIO-4m/Mosaic2	CTIO
tu420690.fits.fz 4f380b38da58737cbd5d4c8689239e4c	-9999	55476.0250115741	R	15	310.94357598042	-10.9140028305042	MARKA_3	CTIO-4m/Mosaic2	CTIO
ct2768052.fits.fz 8f1de982675bf4db27159fc6787434a0	-9999	55476.0250115741	R	15	310.94357598042	-10.9140028305042	MARKA_3	CTIO-4m/Mosaic2	CTIO
tu420582.fits.fz 050fc77a1090a77812c840bc2c27e2d9	-9999	55476.0273773148	V	20	310.943563461709	-10.9140136077674	MARKA_3	CTIO-4m/Mosaic2	CTIO
ct2768057.fits.fz eef1cb8a745df01adc0920bfd578451f	-9999	55476.0273773148	V	20	310.943563461709	-10.9140136077674	MARKA_3	CTIO-4m/Mosaic2	CTIO
tu420592.fits.fz cb63004a8e43046acfddb04684bcaea3	-9999	55476.0294016204	V	20	310.943552749758	-10.914022829604	MARKA_3	CTIO-4m/Mosaic2	CTIO
ct2768068.fits.fz af6457b7376e3f6ffd47f44ceaa6ade9	-9999	55476.0294016204	V	20	310.943552749758	-10.914022829604	MARKA_3	CTIO-4m/Mosaic2	CTIO
tu420696.fits.fz 8753c29cfd8b133bb955d8f4d7e68339	-9999	55476.0341215278	R	15	310.943527773582	-10.9140443314044	MARKA_4	CTIO-4m/Mosaic2	CTIO
ct2768083.fits.fz 0a8ad66e57a3acace9d952cd4a465524	-9999	55476.0341215278	R	15	310.943527773582	-10.9140443314044	MARKA_4	CTIO-4m/Mosaic2	CTIO
tu420702.fits.fz 77768058ef7a38c1828f5a59a0fc56f1	-9999	55476.0361446759	R	15	310.943517067756	-10.914053547968	MARKA_4	CTIO-4m/Mosaic2	CTIO
ct2768090.fits.fz 8b2d158b91e06965a1999b462969ebeb	-9999	55476.0361446759	R	15	310.943517067756	-10.914053547968	MARKA_4	CTIO-4m/Mosaic2	CTIO
tu420598.fits.fz d537786b0625cf2c8c6ed81e0f4c9e8e	-9999	55476.0387268519	V	20	310.943503403742	-10.9140653112142	MARKA_4	CTIO-4m/Mosaic2	CTIO
ct2768093.fits.fz 4761c9c8d8a5e17e181361c4edd37b02	-9999	55476.0387268519	V	20	310.943503403742	-10.9140653112142	MARKA_4	CTIO-4m/Mosaic2	CTIO
tu420604.fits.fz 3ad9ff6b4285c06507c07c6b4f72f140	-9999	55476.0408229167	V	20	310.943492312065	-10.9140748599539	MARKA_4	CTIO-4m/Mosaic2	CTIO
ct2768097.fits.fz eaaa1b14e86cc52b1221b067c23476ac	-9999	55476.0408229167	V	20	310.943492312065	-10.9140748599539	MARKA_4	CTIO-4m/Mosaic2	CTIO
tu420610.fits.fz 97da2cbb9fc9c9a9255f50c198e05da4	-9999	55476.0441203704	V	20	310.94347486304	-10.9140898816874	MARKA_1	CTIO-4m/Mosaic2	CTIO
ct2768105.fits.fz 2eb527586478840a4c93f59b04a8b8a2	-9999	55476.0441203704	V	20	310.94347486304	-10.9140898816874	MARKA_1	CTIO-4m/Mosaic2	CTIO
tu420620.fits.fz da4589d450d0afa5534e0633219bd72d	-9999	55476.0462222222	V	20	310.943463740741	-10.91409945679	MARKA_1	CTIO-4m/Mosaic2	CTIO
ct2768109.fits.fz 2993845a5452b298b083ff663d403f21	-9999	55476.0462222222	V	20	310.943463740741	-10.91409945679	MARKA_1	CTIO-4m/Mosaic2	CTIO
c1i_101007_010733_ori.fits.fz c00bbbe35191f7523096b762ce847bfb	-9999	55476.047200463	B	50	310.943458564216	-10.9141039132203	MarkA	CTIO-1.0m/Y4KCam	CTIO
c1i_101007_010938_ori.fits.fz aa109f2cec5d61ee66890cebf6461211	-9999	55476.0489373843	B	100	310.943449373008	-10.9141118258618	MarkA	CTIO-1.0m/Y4KCam	CTIO
