Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04409b170-w1-int-1b	-9999	55325.4245466163	w1	8	325.00900284696	-27.0566344721173	04409b170	WISE	
04409b170-w2-int-1b	-9999	55325.4245466163	w2	8	325.00900284696	-27.0566344721173	04409b170	WISE	
04409b170-w3-int-1b	-9999	55325.4245524033	w3	9	325.009002877101	-27.0566344841735	04409b170	WISE	
04409b170-w4-int-1b	-9999	55325.4245524033	w4	9	325.009002877101	-27.0566344841735	04409b170	WISE	
04413b170-w1-int-1b	-9999	55325.5568507363	w1	8	325.009691930918	-27.0569101057006	04413b170	WISE	
04413b170-w2-int-1b	-9999	55325.5568507363	w2	8	325.009691930918	-27.0569101057006	04413b170	WISE	
04413b170-w3-int-1b	-9999	55325.5568565233	w3	9	325.009691961059	-27.0569101177568	04413b170	WISE	
04413b170-w4-int-1b	-9999	55325.5568565233	w4	9	325.009691961059	-27.0569101177568	04413b170	WISE	
04417b169-w1-int-1b	-9999	55325.6890275463	w1	8	325.010380351804	-27.0571854740548	04417b169	WISE	
04417b169-w2-int-1b	-9999	55325.6890275463	w2	8	325.010380351804	-27.0571854740548	04417b169	WISE	
04417b169-w3-int-1b	-9999	55325.6890333333	w3	9	325.010380381944	-27.057185486111	04417b169	WISE	
04417b169-w4-int-1b	-9999	55325.6890333333	w4	9	325.010380381944	-27.057185486111	04417b169	WISE	
04417b170-w1-int-1b	-9999	55325.6891549063	w1	8	325.010381015137	-27.0571857393881	04417b170	WISE	
04417b170-w2-int-1b	-9999	55325.6891549063	w2	8	325.010381015137	-27.0571857393881	04417b170	WISE	
04417b170-w3-int-1b	-9999	55325.6891606933	w3	9	325.010381045278	-27.0571857514443	04417b170	WISE	
04417b170-w4-int-1b	-9999	55325.6891606933	w4	9	325.010381045278	-27.0571857514443	04417b170	WISE	
04421b169-w4-int-1b	-9999	55325.8213375033	w4	9	325.011069466163	-27.0574611197985	04421b169	WISE	
04421b170-w1-int-1b	-9999	55325.8214590363	w1	8	325.011070099147	-27.0574613729923	04421b170	WISE	
04421b170-w2-int-1b	-9999	55325.8214590363	w2	8	325.011070099147	-27.0574613729923	04421b170	WISE	
04421b170-w3-int-1b	-9999	55325.8214648233	w3	9	325.011070129288	-27.0574613850485	04421b170	WISE	
04421b170-w4-int-1b	-9999	55325.8214648233	w4	9	325.011070129288	-27.0574613850485	04421b170	WISE	
04425b170-w1-int-1b	-9999	55325.9537632063	w1	8	325.011759183366	-27.0577370066798	04425b170	WISE	
04425b170-w2-int-1b	-9999	55325.9537632063	w2	8	325.011759183366	-27.0577370066798	04425b170	WISE	
04425b170-w3-int-1b	-9999	55325.9537689933	w3	9	325.011759213507	-27.057737018736	04425b170	WISE	
04425b170-w4-int-1b	-9999	55325.9537689933	w4	9	325.011759213507	-27.057737018736	04425b170	WISE	
04428a145-w1-int-1b	-9999	55326.0198516363	w1	8	325.012094295272	-27.0578774480806	04428a145	WISE	
04428a145-w2-int-1b	-9999	55326.0198516363	w2	8	325.012094295272	-27.0578774480806	04428a145	WISE	
04428a145-w3-int-1b	-9999	55326.0198574233	w3	9	325.012094322761	-27.0578774609406	04428a145	WISE	
04428a145-w4-int-1b	-9999	55326.0198574233	w4	9	325.012094322761	-27.0578774609406	04428a145	WISE	
04429b170-w1-int-1b	-9999	55326.0859400563	w1	8	325.012408215267	-27.0580243112362	04429b170	WISE	
04429b170-w2-int-1b	-9999	55326.0859400563	w2	8	325.012408215267	-27.0580243112362	04429b170	WISE	
04429b170-w3-int-1b	-9999	55326.0859458433	w3	9	325.012408242756	-27.0580243240962	04429b170	WISE	
04429b170-w4-int-1b	-9999	55326.0859458433	w4	9	325.012408242756	-27.0580243240962	04429b170	WISE	
04429b171-w1-int-1b	-9999	55326.0860674163	w1	8	325.012408820227	-27.0580245942584	04429b171	WISE	
04429b171-w2-int-1b	-9999	55326.0860674163	w2	8	325.012408820227	-27.0580245942584	04429b171	WISE	
04429b171-w3-int-1b	-9999	55326.0860732033	w3	9	325.012408847716	-27.0580246071184	04429b171	WISE	
04429b171-w4-int-1b	-9999	55326.0860732033	w4	9	325.012408847716	-27.0580246071184	04429b171	WISE	
04432a145-w1-int-1b	-9999	55326.1521557963	w1	8	325.012722740032	-27.0581714573251	04432a145	WISE	
04432a145-w2-int-1b	-9999	55326.1521557963	w2	8	325.012722740032	-27.0581714573251	04432a145	WISE	
04432a145-w3-int-1b	-9999	55326.1521615833	w3	9	325.012722767521	-27.0581714701851	04432a145	WISE	
04432a145-w4-int-1b	-9999	55326.1521615833	w4	9	325.012722767521	-27.0581714701851	04432a145	WISE	
