Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04641b148-w1-int-1b	-9999	55333.0956281363	w1	8	328.043029256684	-11.309614299283	04641b148	WISE	
04641b148-w2-int-1b	-9999	55333.0956281363	w2	8	328.043029256684	-11.309614299283	04641b148	WISE	
04641b148-w3-int-1b	-9999	55333.0956339233	w3	9	328.043029278626	-11.309614287709	04641b148	WISE	
04641b148-w4-int-1b	-9999	55333.0956339233	w4	9	328.043029278626	-11.309614287709	04641b148	WISE	
04645b148-w1-int-1b	-9999	55333.2279320263	w1	8	328.043530908933	-11.309349691503	04645b148	WISE	
04645b148-w2-int-1b	-9999	55333.2279320263	w2	8	328.043530908933	-11.309349691503	04645b148	WISE	
04645b148-w3-int-1b	-9999	55333.2279378133	w3	9	328.043530930876	-11.309349679929	04645b148	WISE	
04645b148-w4-int-1b	-9999	55333.2279378133	w4	9	328.043530930876	-11.309349679929	04645b148	WISE	
04649b147-w1-int-1b	-9999	55333.3601086963	w1	8	328.044032078807	-11.309085338163	04649b147	WISE	
04649b147-w2-int-1b	-9999	55333.3601086963	w2	8	328.044032078807	-11.309085338163	04649b147	WISE	
04649b147-w3-int-1b	-9999	55333.3601144833	w3	9	328.044032100749	-11.309085326589	04649b147	WISE	
04649b147-w4-int-1b	-9999	55333.3601144833	w4	9	328.044032100749	-11.309085326589	04649b147	WISE	
04649b148-w1-int-1b	-9999	55333.3602360063	w1	8	328.044032561524	-11.309085083543	04649b148	WISE	
04649b148-w2-int-1b	-9999	55333.3602360063	w2	8	328.044032561524	-11.309085083543	04649b148	WISE	
04649b148-w3-int-1b	-9999	55333.3602417933	w3	9	328.044032583466	-11.309085071969	04649b148	WISE	
04649b148-w4-int-1b	-9999	55333.3602417933	w4	9	328.044032583466	-11.309085071969	04649b148	WISE	
04653b147-w1-int-1b	-9999	55333.4924126763	w1	8	328.044533731398	-11.308820730203	04653b147	WISE	
04653b147-w2-int-1b	-9999	55333.4924126763	w2	8	328.044533731398	-11.308820730203	04653b147	WISE	
04653b147-w3-int-1b	-9999	55333.4924184633	w3	9	328.04453375334	-11.308820718629	04653b147	WISE	
04653b147-w4-int-1b	-9999	55333.4924184633	w4	9	328.04453375334	-11.308820718629	04653b147	WISE	
04653b148-w1-int-1b	-9999	55333.4925399863	w1	8	328.044534214115	-11.308820475583	04653b148	WISE	
04653b148-w2-int-1b	-9999	55333.4925399863	w2	8	328.044534214115	-11.308820475583	04653b148	WISE	
04653b148-w3-int-1b	-9999	55333.4925457733	w3	9	328.044534236057	-11.308820464009	04653b148	WISE	
04653b148-w4-int-1b	-9999	55333.4925457733	w4	9	328.044534236057	-11.308820464009	04653b148	WISE	
04657b148-w1-int-1b	-9999	55333.6248439863	w1	8	328.045035866781	-11.308555867583	04657b148	WISE	
04657b148-w2-int-1b	-9999	55333.6248439863	w2	8	328.045035866781	-11.308555867583	04657b148	WISE	
04657b148-w3-int-1b	-9999	55333.6248497733	w3	9	328.045035888724	-11.308555856009	04657b148	WISE	
04657b148-w4-int-1b	-9999	55333.6248497733	w4	9	328.045035888724	-11.308555856009	04657b148	WISE	
04660a123-w1-int-1b	-9999	55333.6909322963	w1	8	328.045286451623	-11.308423690963	04660a123	WISE	
04660a123-w2-int-1b	-9999	55333.6909322963	w2	8	328.045286451623	-11.308423690963	04660a123	WISE	
04660a123-w3-int-1b	-9999	55333.6909380833	w3	9	328.045286473566	-11.308423679389	04660a123	WISE	
04660a123-w4-int-1b	-9999	55333.6909380833	w4	9	328.045286473566	-11.308423679389	04660a123	WISE	
04661b148-w1-int-1b	-9999	55333.7571479163	w1	8	328.045537519183	-11.308291259723	04661b148	WISE	
04661b148-w2-int-1b	-9999	55333.7571479163	w2	8	328.045537519183	-11.308291259723	04661b148	WISE	
04661b148-w3-int-1b	-9999	55333.7571537033	w3	9	328.045537541125	-11.308291248149	04661b148	WISE	
04661b148-w4-int-1b	-9999	55333.7571537033	w4	9	328.045537541125	-11.308291248149	04661b148	WISE	
