Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
J04_01_20100507212557_001.fits	-9999	55323.8933101875	IRBlock	50	327.548973711438	-15.3739437397083	NEO CP	ESA-OGS-ESACCD	
J04_01_20100507212557_002.fits	-9999	55323.8933101875	IRBlock	50	327.548973711438	-15.3739437397083	NEO CP	ESA-OGS-ESACCD	
J04_01_20100507212657_001.fits	-9999	55323.8940046319	IRBlock	50	327.548979035512	-15.3739426594614	NEO CP	ESA-OGS-ESACCD	
J04_01_20100507212657_002.fits	-9999	55323.8940046319	IRBlock	50	327.548979035512	-15.3739426594614	NEO CP	ESA-OGS-ESACCD	
J04_01_20100507212657_003.fits	-9999	55323.8940046319	IRBlock	50	327.548979035512	-15.3739426594614	NEO CP	ESA-OGS-ESACCD	
J04_01_20100507212657_004.fits	-9999	55323.8940046319	IRBlock	50	327.548979035512	-15.3739426594614	NEO CP	ESA-OGS-ESACCD	
04593b154-w1-int-1b	-9999	55331.5086170063	w1	8	327.595018302237	-15.3664542641914	04593b154	WISE	
04593b154-w2-int-1b	-9999	55331.5086170063	w2	8	327.595018302237	-15.3664542641914	04593b154	WISE	
04593b154-w3-int-1b	-9999	55331.5086227933	w3	9	327.595018328519	-15.3664542614587	04593b154	WISE	
04593b154-w4-int-1b	-9999	55331.5086227933	w4	9	327.595018328519	-15.3664542614587	04593b154	WISE	
04597b154-w1-int-1b	-9999	55331.6409209363	w1	8	327.595619182586	-15.3663917873356	04597b154	WISE	
04597b154-w2-int-1b	-9999	55331.6409209363	w2	8	327.595619182586	-15.3663917873356	04597b154	WISE	
04597b154-w3-int-1b	-9999	55331.6409267233	w3	9	327.595619208868	-15.3663917846029	04597b154	WISE	
04597b154-w4-int-1b	-9999	55331.6409267233	w4	9	327.595619208868	-15.3663917846029	04597b154	WISE	
04601b154-w1-int-1b	-9999	55331.7732249663	w1	8	327.596220063389	-15.3663293104326	04601b154	WISE	
04601b154-w2-int-1b	-9999	55331.7732249663	w2	8	327.596220063389	-15.3663293104326	04601b154	WISE	
04601b154-w3-int-1b	-9999	55331.7732307533	w3	9	327.596220089671	-15.3663293076998	04601b154	WISE	
04601b154-w4-int-1b	-9999	55331.7732307533	w4	9	327.596220089671	-15.3663293076998	04601b154	WISE	
04604a130-w1-int-1b	-9999	55331.8394406463	w1	8	327.596520792935	-15.366298041917	04604a130	WISE	
04604a130-w2-int-1b	-9999	55331.8394406463	w2	8	327.596520792935	-15.366298041917	04604a130	WISE	
04604a130-w3-int-1b	-9999	55331.8394464333	w3	9	327.596520819218	-15.3662980391842	04604a130	WISE	
04604a130-w4-int-1b	-9999	55331.8394464333	w4	9	327.596520819218	-15.3662980391842	04604a130	WISE	
04605b154-w1-int-1b	-9999	55331.9055290063	w1	8	327.596820944237	-15.3662668335248	04605b154	WISE	
04605b154-w2-int-1b	-9999	55331.9055290063	w2	8	327.596820944237	-15.3662668335248	04605b154	WISE	
04605b154-w3-int-1b	-9999	55331.9055347933	w3	9	327.59682097052	-15.366266830792	04605b154	WISE	
04605b154-w4-int-1b	-9999	55331.9055347933	w4	9	327.59682097052	-15.366266830792	04605b154	WISE	
04605b155-w1-int-1b	-9999	55331.9056563163	w1	8	327.596821522436	-15.3662667734062	04605b155	WISE	
04605b155-w2-int-1b	-9999	55331.9056563163	w2	8	327.596821522436	-15.3662667734062	04605b155	WISE	
04605b155-w3-int-1b	-9999	55331.9056621033	w3	9	327.596821548719	-15.3662667706734	04605b155	WISE	
04605b155-w4-int-1b	-9999	55331.9056621033	w4	9	327.596821548719	-15.3662667706734	04605b155	WISE	
04608a130-w1-int-1b	-9999	55331.9717446763	w1	8	327.597121673738	-15.3662355650139	04608a130	WISE	
04608a130-w2-int-1b	-9999	55331.9717446763	w2	8	327.597121673738	-15.3662355650139	04608a130	WISE	
04608a130-w3-int-1b	-9999	55331.9717504633	w3	9	327.597121700021	-15.3662355622812	04608a130	WISE	
04608a130-w4-int-1b	-9999	55331.9717504633	w4	9	327.597121700021	-15.3662355622812	04608a130	WISE	
04609b154-w1-int-1b	-9999	55332.0378329863	w1	8	327.597406061068	-15.3662106621431	04609b154	WISE	
04609b154-w2-int-1b	-9999	55332.0378329863	w2	8	327.597406061068	-15.3662106621431	04609b154	WISE	
04609b154-w3-int-1b	-9999	55332.0378387733	w3	9	327.59740608494	-15.3662106603748	04609b154	WISE	
04609b154-w4-int-1b	-9999	55332.0378387733	w4	9	327.59740608494	-15.3662106603748	04609b154	WISE	
04609b155-w1-int-1b	-9999	55332.0379603463	w1	8	327.597406586428	-15.3662106232275	04609b155	WISE	
04609b155-w2-int-1b	-9999	55332.0379603463	w2	8	327.597406586428	-15.3662106232275	04609b155	WISE	
04609b155-w3-int-1b	-9999	55332.0379661333	w3	9	327.5974066103	-15.3662106214592	04609b155	WISE	
04609b155-w4-int-1b	-9999	55332.0379661333	w4	9	327.5974066103	-15.3662106214592	04609b155	WISE	
04612a128-w1-int-1b	-9999	55332.1039213463	w1	8	327.597678675553	-15.3661904684775	04612a128	WISE	
04612a128-w2-int-1b	-9999	55332.1039213463	w2	8	327.597678675553	-15.3661904684775	04612a128	WISE	
04612a128-w3-int-1b	-9999	55332.1039271333	w3	9	327.597678699425	-15.3661904667093	04612a128	WISE	
04612a128-w4-int-1b	-9999	55332.1039271333	w4	9	327.597678699425	-15.3661904667093	04612a128	WISE	
04612a130-w1-int-1b	-9999	55332.1040487063	w1	8	327.597679200913	-15.3661904295619	04612a130	WISE	
04612a130-w2-int-1b	-9999	55332.1040487063	w2	8	327.597679200913	-15.3661904295619	04612a130	WISE	
04612a130-w3-int-1b	-9999	55332.1040544933	w3	9	327.597679224785	-15.3661904277937	04612a130	WISE	
04612a130-w4-int-1b	-9999	55332.1040544933	w4	9	327.597679224785	-15.3661904277937	04612a130	WISE	
04613b154-w1-int-1b	-9999	55332.1701369663	w1	8	327.597951814986	-15.366170235927	04613b154	WISE	
04613b154-w2-int-1b	-9999	55332.1701369663	w2	8	327.597951814986	-15.366170235927	04613b154	WISE	
04613b154-w3-int-1b	-9999	55332.1701427533	w3	9	327.597951838857	-15.3661702341587	04613b154	WISE	
04613b154-w4-int-1b	-9999	55332.1701427533	w4	9	327.597951838857	-15.3661702341587	04613b154	WISE	
04613b155-w1-int-1b	-9999	55332.1702642863	w1	8	327.597952340181	-15.3661701970236	04613b155	WISE	
04613b155-w2-int-1b	-9999	55332.1702642863	w2	8	327.597952340181	-15.3661701970236	04613b155	WISE	
04613b155-w3-int-1b	-9999	55332.1702700733	w3	9	327.597952364052	-15.3661701952554	04613b155	WISE	
04613b155-w4-int-1b	-9999	55332.1702700733	w4	9	327.597952364052	-15.3661701952554	04613b155	WISE	
04616a128-w1-int-1b	-9999	55332.2362252763	w1	8	327.598224429265	-15.3661500422767	04616a128	WISE	
04616a128-w2-int-1b	-9999	55332.2362252763	w2	8	327.598224429265	-15.3661500422767	04616a128	WISE	
04616a128-w3-int-1b	-9999	55332.2362310633	w3	9	327.598224453136	-15.3661500405084	04616a128	WISE	
04616a128-w4-int-1b	-9999	55332.2362310633	w4	9	327.598224453136	-15.3661500405084	04616a128	WISE	
04616a130-w1-int-1b	-9999	55332.2363525963	w1	8	327.59822495446	-15.3661500033733	04616a130	WISE	
04616a130-w2-int-1b	-9999	55332.2363525963	w2	8	327.59822495446	-15.3661500033733	04616a130	WISE	
04616a130-w3-int-1b	-9999	55332.2363583833	w3	9	327.598224978331	-15.3661500016051	04616a130	WISE	
04616a130-w4-int-1b	-9999	55332.2363583833	w4	9	327.598224978331	-15.3661500016051	04616a130	WISE	
04617b154-w1-int-1b	-9999	55332.3024409463	w1	8	327.598497568903	-15.3661298097108	04617b154	WISE	
04617b154-w2-int-1b	-9999	55332.3024409463	w2	8	327.598497568903	-15.3661298097108	04617b154	WISE	
04617b154-w3-int-1b	-9999	55332.3024467333	w3	9	327.598497592775	-15.3661298079426	04617b154	WISE	
04617b154-w4-int-1b	-9999	55332.3024467333	w4	9	327.598497592775	-15.3661298079426	04617b154	WISE	
04620a130-w1-int-1b	-9999	55332.3686565763	w1	8	327.598770708377	-15.3661095771572	04620a130	WISE	
04620a130-w2-int-1b	-9999	55332.3686565763	w2	8	327.598770708377	-15.3661095771572	04620a130	WISE	
04620a130-w3-int-1b	-9999	55332.3686623633	w3	9	327.598770732249	-15.366109575389	04620a130	WISE	
04620a130-w4-int-1b	-9999	55332.3686623633	w4	9	327.598770732249	-15.366109575389	04620a130	WISE	
04621b154-w1-int-1b	-9999	55332.4347449463	w1	8	327.599043322903	-15.3660893834886	04621b154	WISE	
04621b154-w2-int-1b	-9999	55332.4347449463	w2	8	327.599043322903	-15.3660893834886	04621b154	WISE	
04621b154-w3-int-1b	-9999	55332.4347507333	w3	9	327.599043346775	-15.3660893817204	04621b154	WISE	
04621b154-w4-int-1b	-9999	55332.4347507333	w4	9	327.599043346775	-15.3660893817204	04621b154	WISE	
04624a130-w1-int-1b	-9999	55332.5009606163	w1	8	327.599316462542	-15.3660691509228	04624a130	WISE	
04624a130-w2-int-1b	-9999	55332.5009606163	w2	8	327.599316462542	-15.3660691509228	04624a130	WISE	
04624a130-w3-int-1b	-9999	55332.5009664033	w3	9	327.599316486414	-15.3660691491546	04624a130	WISE	
