Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0863.037.wrp.z.55288_62126	-9999	55288.6218307111	z	30	286.208429165041	-22.3878625196839	0863.037	Pan-STARRS1	
rings.v3.skycell.0863.047.wrp.z.55288_62126	-9999	55288.6218307111	z	30	286.208429165041	-22.3878625196839	0863.047	Pan-STARRS1	
rings.v3.skycell.0863.037.wrp.z.55288_62184	-9999	55288.6224102111	z	30	286.208432593749	-22.3878622621284	0863.037	Pan-STARRS1	
rings.v3.skycell.0863.047.wrp.z.55288_62184	-9999	55288.6224102111	z	30	286.208432593749	-22.3878622621284	0863.047	Pan-STARRS1	
rings.v3.skycell.0863.037.wrp.z.55288_63123	-9999	55288.6318034111	z	30	286.208488170183	-22.3878580873728	0863.037	Pan-STARRS1	
rings.v3.skycell.0863.047.wrp.z.55288_63123	-9999	55288.6318034111	z	30	286.208488170183	-22.3878580873728	0863.047	Pan-STARRS1	
rings.v3.skycell.0863.037.wrp.z.55288_63182	-9999	55288.6323928111	z	30	286.208491657466	-22.3878578254173	0863.037	Pan-STARRS1	
rings.v3.skycell.0863.047.wrp.z.55288_63182	-9999	55288.6323928111	z	30	286.208491657466	-22.3878578254173	0863.047	Pan-STARRS1	
03321b153-w1-int-1b	-9999	55289.4334636563	w1	8	286.213032655791	-22.3875138345876	03321b153	WISE	
03321b153-w2-int-1b	-9999	55289.4334636563	w2	8	286.213032655791	-22.3875138345876	03321b153	WISE	
03321b153-w3-int-1b	-9999	55289.4334694433	w3	9	286.213032687378	-22.3875138321764	03321b153	WISE	
03321b153-w4-int-1b	-9999	55289.4334694433	w4	9	286.213032687378	-22.3875138321764	03321b153	WISE	
03325b153-w1-int-1b	-9999	55289.5657677063	w1	8	286.213754815397	-22.3874587079001	03325b153	WISE	
03325b153-w2-int-1b	-9999	55289.5657677063	w2	8	286.213754815397	-22.3874587079001	03325b153	WISE	
03325b153-w3-int-1b	-9999	55289.5657734933	w3	9	286.213754846984	-22.3874587054889	03325b153	WISE	
03325b153-w4-int-1b	-9999	55289.5657734933	w4	9	286.213754846984	-22.3874587054889	03325b153	WISE	
03329b153-w1-int-1b	-9999	55289.6980717563	w1	8	286.214476975003	-22.3874035812127	03329b153	WISE	
03329b153-w2-int-1b	-9999	55289.6980717563	w2	8	286.214476975003	-22.3874035812127	03329b153	WISE	
03329b153-w3-int-1b	-9999	55289.6980775433	w3	9	286.214477006591	-22.3874035788014	03329b153	WISE	
03329b153-w4-int-1b	-9999	55289.6980775433	w4	9	286.214477006591	-22.3874035788014	03329b153	WISE	
03332a128-w1-int-1b	-9999	55289.7642874463	w1	8	286.214838402311	-22.3873759913418	03332a128	WISE	
03332a128-w2-int-1b	-9999	55289.7642874463	w2	8	286.214838402311	-22.3873759913418	03332a128	WISE	
03332a128-w3-int-1b	-9999	55289.7642932333	w3	9	286.214838433898	-22.3873759889306	03332a128	WISE	
03332a128-w4-int-1b	-9999	55289.7642932333	w4	9	286.214838433898	-22.3873759889306	03332a128	WISE	
03333b153-w1-int-1b	-9999	55289.8303758063	w1	8	286.215199134609	-22.3873484545252	03333b153	WISE	
03333b153-w2-int-1b	-9999	55289.8303758063	w2	8	286.215199134609	-22.3873484545252	03333b153	WISE	
03333b153-w3-int-1b	-9999	55289.8303815933	w3	9	286.215199166197	-22.3873484521139	03333b153	WISE	
03333b153-w4-int-1b	-9999	55289.8303815933	w4	9	286.215199166197	-22.3873484521139	03333b153	WISE	
03336a128-w1-int-1b	-9999	55289.8965915363	w1	8	286.215560562136	-22.3873208646377	03336a128	WISE	
03336a128-w2-int-1b	-9999	55289.8965915363	w2	8	286.215560562136	-22.3873208646377	03336a128	WISE	
03336a128-w3-int-1b	-9999	55289.8965973233	w3	9	286.215560593723	-22.3873208622264	03336a128	WISE	
03336a128-w4-int-1b	-9999	55289.8965973233	w4	9	286.215560593723	-22.3873208622264	03336a128	WISE	
03337b152-w1-int-1b	-9999	55289.9626799063	w1	8	286.215921294489	-22.3872933278168	03337b152	WISE	
03337b152-w2-int-1b	-9999	55289.9626799063	w2	8	286.215921294489	-22.3872933278168	03337b152	WISE	
03337b152-w3-int-1b	-9999	55289.9626856933	w3	9	286.215921326076	-22.3872933254056	03337b152	WISE	
