Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03509b136-w1-int-1b	-9999	55295.6507398963	w1	8	289.388329210535	-13.3232064835925	03509b136	WISE	
03509b136-w2-int-1b	-9999	55295.6507398963	w2	8	289.388329210535	-13.3232064835925	03509b136	WISE	
03509b136-w3-int-1b	-9999	55295.6507456833	w3	9	289.388329227173	-13.3232064691251	03509b136	WISE	
03509b136-w4-int-1b	-9999	55295.6507456833	w4	9	289.388329227173	-13.3232064691251	03509b136	WISE	
03513b136-w1-int-1b	-9999	55295.7830439963	w1	8	289.388709584822	-13.3228757233426	03513b136	WISE	
03513b136-w2-int-1b	-9999	55295.7830439963	w2	8	289.388709584822	-13.3228757233426	03513b136	WISE	
03513b136-w3-int-1b	-9999	55295.7830497833	w3	9	289.38870960146	-13.3228757088751	03513b136	WISE	
03513b136-w4-int-1b	-9999	55295.7830497833	w4	9	289.38870960146	-13.3228757088751	03513b136	WISE	
03517b136-w1-int-1b	-9999	55295.9153481463	w1	8	289.389089959254	-13.3225449629675	03517b136	WISE	
03517b136-w2-int-1b	-9999	55295.9153481463	w2	8	289.389089959254	-13.3225449629675	03517b136	WISE	
03517b136-w3-int-1b	-9999	55295.9153539333	w3	9	289.389089975891	-13.3225449485001	03517b136	WISE	
03517b136-w4-int-1b	-9999	55295.9153539333	w4	9	289.389089975891	-13.3225449485001	03517b136	WISE	
03517b137-w1-int-1b	-9999	55295.9154754663	w1	8	289.389090325299	-13.3225446446675	03517b137	WISE	
03517b137-w2-int-1b	-9999	55295.9154754663	w2	8	289.389090325299	-13.3225446446675	03517b137	WISE	
03517b137-w3-int-1b	-9999	55295.9154812533	w3	9	289.389090341936	-13.3225446302	03517b137	WISE	
03517b137-w4-int-1b	-9999	55295.9154812533	w4	9	289.389090341936	-13.3225446302	03517b137	WISE	
03520a112-w1-int-1b	-9999	55295.9815638963	w1	8	289.389280329535	-13.3223794235926	03520a112	WISE	
03520a112-w2-int-1b	-9999	55295.9815638963	w2	8	289.389280329535	-13.3223794235926	03520a112	WISE	
03520a112-w3-int-1b	-9999	55295.9815696833	w3	9	289.389280346172	-13.322379409125	03520a112	WISE	
03520a112-w4-int-1b	-9999	55295.9815696833	w4	9	289.389280346172	-13.322379409125	03520a112	WISE	
03521b136-w1-int-1b	-9999	55296.0476522963	w1	8	289.389452464074	-13.3222181736172	03521b136	WISE	
03521b136-w2-int-1b	-9999	55296.0476522963	w2	8	289.389452464074	-13.3222181736172	03521b136	WISE	
03521b136-w3-int-1b	-9999	55296.0476580833	w3	9	289.389452478541	-13.322218159632	03521b136	WISE	
03521b136-w4-int-1b	-9999	55296.0476580833	w4	9	289.389452478541	-13.322218159632	03521b136	WISE	
03521b137-w1-int-1b	-9999	55296.0477796063	w1	8	289.389452782349	-13.3222178659514	03521b137	WISE	
03521b137-w2-int-1b	-9999	55296.0477796063	w2	8	289.389452782349	-13.3222178659514	03521b137	WISE	
03521b137-w3-int-1b	-9999	55296.0477853933	w3	9	289.389452796816	-13.3222178519662	03521b137	WISE	
03521b137-w4-int-1b	-9999	55296.0477853933	w4	9	289.389452796816	-13.3222178519662	03521b137	WISE	
03524a079-w1-int-1b	-9999	55296.1138679963	w1	8	289.389618003324	-13.3220581523423	03524a079	WISE	
03524a079-w2-int-1b	-9999	55296.1138679963	w2	8	289.389618003324	-13.3220581523423	03524a079	WISE	
03524a079-w3-int-1b	-9999	55296.1138737833	w3	9	289.389618017791	-13.322058138357	03524a079	WISE	
03524a079-w4-int-1b	-9999	55296.1138737833	w4	9	289.389618017791	-13.322058138357	03524a079	WISE	
03525b137-w1-int-1b	-9999	55296.1800837063	w1	8	289.389783542599	-13.3218981310431	03525b137	WISE	
03525b137-w2-int-1b	-9999	55296.1800837063	w2	8	289.389783542599	-13.3218981310431	03525b137	WISE	
03525b137-w3-int-1b	-9999	55296.1800894933	w3	9	289.389783557066	-13.3218981170578	03525b137	WISE	
03525b137-w4-int-1b	-9999	55296.1800894933	w4	9	289.389783557066	-13.3218981170578	03525b137	WISE	
03528a112-w1-int-1b	-9999	55296.2461720463	w1	8	289.389948763449	-13.3217384175547	03528a112	WISE	
03528a112-w2-int-1b	-9999	55296.2461720463	w2	8	289.389948763449	-13.3217384175547	03528a112	WISE	
03528a112-w3-int-1b	-9999	55296.2461778333	w3	9	289.389948777916	-13.3217384035695	03528a112	WISE	
03528a112-w4-int-1b	-9999	55296.2461778333	w4	9	289.389948777916	-13.3217384035695	03528a112	WISE	
03529b137-w1-int-1b	-9999	55296.3123877963	w1	8	289.390114302824	-13.3215783961589	03529b137	WISE	
03529b137-w2-int-1b	-9999	55296.3123877963	w2	8	289.390114302824	-13.3215783961589	03529b137	WISE	
03529b137-w3-int-1b	-9999	55296.3123935833	w3	9	289.390114317291	-13.3215783821737	03529b137	WISE	
03529b137-w4-int-1b	-9999	55296.3123935833	w4	9	289.390114317291	-13.3215783821737	03529b137	WISE	
03532a112-w1-int-1b	-9999	55296.3784761963	w1	8	289.390279523824	-13.3214186825256	03532a112	WISE	
03532a112-w2-int-1b	-9999	55296.3784761963	w2	8	289.390279523824	-13.3214186825256	03532a112	WISE	
03532a112-w3-int-1b	-9999	55296.3784819833	w3	9	289.390279538291	-13.3214186685403	03532a112	WISE	
03532a112-w4-int-1b	-9999	55296.3784819833	w4	9	289.390279538291	-13.3214186685403	03532a112	WISE	
03536a112-w1-int-1b	-9999	55296.5107802863	w1	8	289.390610284049	-13.3210989476414	03536a112	WISE	
03536a112-w2-int-1b	-9999	55296.5107802863	w2	8	289.390610284049	-13.3210989476414	03536a112	WISE	
03536a112-w3-int-1b	-9999	55296.5107860733	w3	9	289.390610298516	-13.3210989336562	03536a112	WISE	
03536a112-w4-int-1b	-9999	55296.5107860733	w4	9	289.390610298516	-13.3210989336562	03536a112	WISE	
03540a112-w1-int-1b	-9999	55296.6430844463	w1	8	289.390941044449	-13.3207792125881	03540a112	WISE	
03540a112-w2-int-1b	-9999	55296.6430844463	w2	8	289.390941044449	-13.3207792125881	03540a112	WISE	
03540a112-w3-int-1b	-9999	55296.6430902333	w3	9	289.390941058916	-13.3207791986029	03540a112	WISE	
03540a112-w4-int-1b	-9999	55296.6430902333	w4	9	289.390941058916	-13.3207791986029	03540a112	WISE	
03540a113-w1-int-1b	-9999	55296.6432117563	w1	8	289.390941362724	-13.3207789049223	03540a113	WISE	
03540a113-w2-int-1b	-9999	55296.6432117563	w2	8	289.390941362724	-13.3207789049223	03540a113	WISE	
03540a113-w3-int-1b	-9999	55296.6432175433	w3	9	289.390941377191	-13.320778890937	03540a113	WISE	
03540a113-w4-int-1b	-9999	55296.6432175433	w4	9	289.390941377191	-13.320778890937	03540a113	WISE	
03544a111-w1-int-1b	-9999	55296.7753885463	w1	8	289.391271804699	-13.3204594776798	03544a111	WISE	
03544a111-w2-int-1b	-9999	55296.7753885463	w2	8	289.391271804699	-13.3204594776798	03544a111	WISE	
03544a111-w3-int-1b	-9999	55296.7753943333	w3	9	289.391271819166	-13.3204594636945	03544a111	WISE	
03544a111-w4-int-1b	-9999	55296.7753943333	w4	9	289.391271819166	-13.3204594636945	03544a111	WISE	
rings.v3.skycell.1037.067.wrp.z.55325_58325	-9999	55325.5838210111	z	30	289.306555106035	-13.2749047810207	1037.067	Pan-STARRS1	
rings.v3.skycell.1037.067.wrp.z.55325_58432	-9999	55325.5848858111	z	30	289.306546543269	-13.2749041007318	1037.067	Pan-STARRS1	
rings.v3.skycell.1037.067.wrp.z.55325_59380	-9999	55325.5943673111	z	30	289.306470296206	-13.2748980431068	1037.067	Pan-STARRS1	
rings.v3.skycell.1037.067.wrp.z.55325_59436	-9999	55325.5949326111	z	30	289.306465750252	-13.2748976819429	1037.067	Pan-STARRS1	
rings.v3.skycell.1037.067.wrp.z.55325_59537	-9999	55325.5959386111	z	30	289.306457660336	-13.2748970392207	1037.067	Pan-STARRS1	
rings.v3.skycell.1037.068.wrp.g.55362_51001	-9999	55362.5106544426	g	43	288.817044045727	-13.3013138634221	1037.068	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.g.55362_51001	-9999	55362.5106544426	g	43	288.817044045727	-13.3013138634221	1037.069	Pan-STARRS1	
rings.v3.skycell.1037.068.wrp.g.55362_52131	-9999	55362.5219614426	g	43	288.816847586602	-13.3013374196721	1037.068	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.g.55362_52131	-9999	55362.5219614426	g	43	288.816847586602	-13.3013374196721	1037.069	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.r.55367_42721	-9999	55367.4278404815	r	40	288.729822711313	-13.3124069433992	1037.069	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.r.55367_43794	-9999	55367.4385655815	r	40	288.729629212634	-13.3124331603103	1037.069	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.i.55368_42797	-9999	55368.4286379167	i	45	288.711695217933	-13.3148771503474	1037.069	Pan-STARRS1	
rings.v3.skycell.1037.069.wrp.i.55368_43992	-9999	55368.4405769167	i	45	288.711477828642	-13.3149069978473	1037.069	Pan-STARRS1	
rings.v3.skycell.1036.060.wrp.g.55389_41756	-9999	55389.4182006426	g	43	288.31382463763	-13.3814803746677	1036.060	Pan-STARRS1	
rings.v3.skycell.1036.060.wrp.g.55389_42949	-9999	55389.4301347426	g	43	288.313594906205	-13.3815257905482	1036.060	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_21742	-9999	55463.2179967111	y	30	287.350000424204	-13.7377577065999	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_21797	-9999	55463.2185495111	y	30	287.34999915737	-13.7377603323999	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_22940	-9999	55463.2299732111	y	30	287.349972978058	-13.7378145949749	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_22991	-9999	55463.2304833111	y	30	287.349971809079	-13.7378170179499	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_26965	-9999	55463.2702291111	y	30	287.349880724954	-13.7380058104999	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_27025	-9999	55463.2708316111	y	30	287.349879344224	-13.7380086723749	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_28157	-9999	55463.2821492111	y	30	287.349853408058	-13.7380624309749	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.y.55463_28212	-9999	55463.2826923111	y	30	287.349852163454	-13.7380650106999	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.z.55465_21788	-9999	55465.2184493111	z	30	287.345954890646	-13.7472477203771	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.z.55465_21840	-9999	55465.2189789111	z	30	287.345954074179	-13.7472502065549	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.z.55465_22956	-9999	55465.2301335111	z	30	287.345936877504	-13.7473025712049	1036.052	Pan-STARRS1	
rings.v3.skycell.1036.052.wrp.z.55465_23006	-9999	55465.2306341111	z	30	287.345936105746	-13.7473049212438	1036.052	Pan-STARRS1	
08890a164-w1-int-1b	-9999	55473.6227585763	w1	8	287.345475804531	-13.7855387737515	08890a164	WISE	
08890a164-w2-int-1b	-9999	55473.6227585763	w2	8	287.345475804531	-13.7855387737515	08890a164	WISE	
08894a164-w1-int-1b	-9999	55473.7550625563	w1	8	287.345674260501	-13.7861194412193	08894a164	WISE	
08894a164-w2-int-1b	-9999	55473.7550625563	w2	8	287.345674260501	-13.7861194412193	08894a164	WISE	
08898a163-w1-int-1b	-9999	55473.8872392263	w1	8	287.345872525506	-13.7866995499376	08898a163	WISE	
08898a163-w2-int-1b	-9999	55473.8872392263	w2	8	287.345872525506	-13.7866995499376	08898a163	WISE	
08898a164-w1-int-1b	-9999	55473.8873665863	w1	8	287.345872716546	-13.7867001089065	08898a164	WISE	
08898a164-w2-int-1b	-9999	55473.8873665863	w2	8	287.345872716546	-13.7867001089065	08898a164	WISE	
08902a163-w1-int-1b	-9999	55474.0195432563	w1	8	287.346078310273	-13.7872796747566	08902a163	WISE	
08902a163-w2-int-1b	-9999	55474.0195432563	w2	8	287.346078310273	-13.7872796747566	08902a163	WISE	
08905a086-w1-int-1b	-9999	55474.0857588963	w1	8	287.346202464598	-13.7875684485199	08905a086	WISE	
08905a086-w2-int-1b	-9999	55474.0857588963	w2	8	287.346202464598	-13.7875684485199	08905a086	WISE	
08907a116-w1-int-1b	-9999	55474.1518472363	w1	8	287.346326380235	-13.7878566671138	08907a116	WISE	
08907a116-w2-int-1b	-9999	55474.1518472363	w2	8	287.346326380235	-13.7878566671138	08907a116	WISE	
08909a139-w1-int-1b	-9999	55474.2179355063	w1	8	287.346450295741	-13.7881448854024	08909a139	WISE	
08909a139-w2-int-1b	-9999	55474.2179355063	w2	8	287.346450295741	-13.7881448854024	08909a139	WISE	
08910a163-w1-int-1b	-9999	55474.2840238463	w1	8	287.346574211379	-13.7884331039964	08910a163	WISE	
08910a163-w2-int-1b	-9999	55474.2840238463	w2	8	287.346574211379	-13.7884331039964	08910a163	WISE	
