rank,desig,lane,opp_type,arc_status,final_score,rule_v3_pass,arc_start,arc_end,n_nights,H,a,best_overlap_epoch,best_V,best_SMIA_as,best_SMAA_as,best_gal_b_deg,n_deep_overlap_frames,overlap_surveys,n_searchable_epochs,all_searchable_epochs,deep_fp_wholearc,total_ssois_frames,best_ra_deg,best_dec_deg
1,2009 QV38,inner-system,multi,extension,0.6401,True,2009,2012,60,12.0,10.78,2013-01-01,20.81,0.12,0.22,14.5,18,ps118,1,"2013-01-01[ps118,V20.8,SMIA0.12"",SMAA0.2"",b14.5]",610,680,95.7617,45.914
2,2002 KW14,distant-multiopp,multi,extension,0.5806,True,2002,2009,26,5.51,46.51,2017-07-01,21.81,0.21,0.54,12.8,16,decam16,1,"2017-07-01[decam16,V21.8,SMIA0.21"",SMAA0.5"",b12.8]",725,1021,252.079,-24.789
3,2008 SJ236,inner-system,multi,extension,0.5772,True,2006,2011,45,12.3,10.91,2013-01-01,21.42,0.11,0.13,34.9,13,ps113,1,"2013-01-01[ps113,V21.4,SMIA0.11"",SMAA0.1"",b34.9]",752,1165,137.177,9.7426
4,2004 HF79,distant-multiopp,multi,extension,0.5356,True,2004,2015,18,6.44,43.12,2017-07-01,22.79,0.23,0.60,22.9,91,decam4+cfht87,1,"2017-07-01[decam4+cfht87,V22.8,SMIA0.23"",SMAA0.6"",b22.9]",902,1514,241.6141,-20.5545
5,2007 HV90,distant-multiopp,multi,extension,0.5323,True,2007,2016,25,6.6,43.84,2017-07-01,22.86,0.30,0.58,15.7,28,decam28,1,"2017-07-01[decam28,V22.9,SMIA0.30"",SMAA0.6"",b15.7]",2584,2915,250.9808,-21.3987
6,2008 HY21,inner-system,multi,extension,0.5307,True,2004,2012,26,12.2,10.96,2013-01-01,22.67,0.44,0.62,-50.0,4,ps14,1,"2013-01-01[ps14,V22.7,SMIA0.44"",SMAA0.6"",b-50.0]",627,958,327.9893,-25.4731
7,2010 JK124,distant-multiopp,multi,extension,0.5008,True,2010,2014,17,5.35,40.26,2017-07-01,21.61,0.57,3.06,13.3,8,decam8,1,"2017-07-01[decam8,V21.6,SMIA0.57"",SMAA3.1"",b13.3]",419,672,247.3423,-29.0547
8,2006 HW122,distant-multiopp,multi,extension,0.4977,True,2006,2015,15,6.67,45.3,2017-07-01,23.24,0.90,2.46,24.1,123,decam4+cfht119,1,"2017-07-01[decam4+cfht119,V23.2,SMIA0.90"",SMAA2.5"",b24.1]",1017,1674,239.404,-20.9139
9,2015 SW20,distant-multiopp,multi,extension,0.4413,True,2014,2016,10,6.41,43.68,2017-07-01,22.94,1.83,6.00,-60.9,29,decam29,2,"2017-07-01[decam29,V22.9,SMIA1.83"",SMAA6.0"",b-60.9] ; 2013-01-01[ps12,V23.0,SMIA3.01"",SMAA19.7"",b-58.9]",954,897,356.8554,-2.4447
10,2005 LA54,distant-multiopp,multi,extension,0.4078,True,2005,2013,15,6.5,44.13,2017-07-01,22.72,2.53,7.22,10.3,6,cfht6,1,"2017-07-01[cfht6,V22.7,SMIA2.53"",SMAA7.2"",b10.3]",1263,1269,256.2667,-23.9251
