Image	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
c4d_170517_031953_ori.fits.fz bf0b86f15d0ebe91fb5af7edf115be9a	57890.138207331	Y	3	252.079012956521	-24.7890063289105	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/bf0b86f15d0ebe91fb5af7edf115be9a
c4d_170517_031953_oki_Y_v1.fits.fz 9d70b1b0a72709a503f600dc0bf8de1a	57890.138207331	Y	3	252.079012956521	-24.7890063289105	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/9d70b1b0a72709a503f600dc0bf8de1a
c4d_170517_031953_ooi_Y_v1.fits.fz bae5eb450c385e7167fc1438cc1c14c8	57890.138207331	Y	3	252.079012956521	-24.7890063289105	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/bae5eb450c385e7167fc1438cc1c14c8
c4d_170517_031953_opi_Y_v1.fits.fz a40a1a4d7083fca4b633a32e695f39a5	57890.138207331	Y	3	252.079012956521	-24.7890063289105	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/a40a1a4d7083fca4b633a32e695f39a5
c4d_170517_032252_ori.fits.fz 977aa388c455e81876eaf75412fed201	57890.139412822	Y	150	252.078987992811	-24.7890046881034	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/977aa388c455e81876eaf75412fed201
c4d_170517_032252_oki_Y_vx.fits.fz 52601b0017403a368740a62f0ab99a4e	57890.139412822	Y	150	252.078987992811	-24.7890046881034	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/52601b0017403a368740a62f0ab99a4e
c4d_170517_032252_ooi_Y_vx.fits.fz 71e34dd1d32d8185a9ef70a395e8c1ec	57890.139412822	Y	150	252.078987992811	-24.7890046881034	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/71e34dd1d32d8185a9ef70a395e8c1ec
c4d_170517_032252_opi_Y_vx.fits.fz c246c4a072e258c85cecfecac8073682	57890.139412822	Y	150	252.078987992811	-24.7890046881034	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/c246c4a072e258c85cecfecac8073682
c4d_170517_032551_ori.fits.fz 097d12565ff26d0929b64dc79464f083	57890.1414911299	Y	150	252.078944954518	-24.7890018592954	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/097d12565ff26d0929b64dc79464f083
c4d_170517_032551_oki_Y_vx.fits.fz c41ea4e7cc2f9e8a94d96eef4a7bc625	57890.1414911299	Y	150	252.078944954518	-24.7890018592954	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/c41ea4e7cc2f9e8a94d96eef4a7bc625
c4d_170517_032551_ooi_Y_vx.fits.fz 99ee8b0230ef2731e994157d08f09326	57890.1414911299	Y	150	252.078944954518	-24.7890018592954	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/99ee8b0230ef2731e994157d08f09326
c4d_170517_032551_opi_Y_vx.fits.fz fef8955a5a5a6aaddf69495171e6e189	57890.1414911299	Y	150	252.078944954518	-24.7890018592954	Oph_Field3	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/fef8955a5a5a6aaddf69495171e6e189
