mjd,ra,dec,mag,filter,id,exposure,obscode
57890.15344452299,250.9851550664246,-21.39480355901465,19.822191,Y,134244_29967,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9844911299715,-21.394914935944243,19.898533,Y,134244_29973,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9862859292521,-21.395322399532763,18.044508,Y,134244_29960,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9861771009392,-21.39614797618078,18.801003,Y,134244_29961,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9835893534735,-21.399593663766176,16.70392,Y,134244_29970,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98378440870852,-21.397990943579973,21.394775,Y,134244_31814,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98238088828904,-21.40023457426729,19.68266,Y,134244_29981,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98258688918514,-21.395477199004837,21.372818,Y,134244_31815,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98148415399407,-21.402297180296948,19.360619,Y,134244_29984,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98097977267378,-21.403423011986618,19.114859,Y,134244_29988,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98042101954658,-21.39535513549824,18.554026,Y,134244_29992,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.98036908756757,-21.393295775615766,21.129684,Y,134244_31823,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9802508821919,-21.399330553713092,20.013424,Y,134244_29995,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.9797079128133,-21.40126589294552,21.666098,Y,134244_31388,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97904933522867,-21.403264552019966,19.489994,Y,134244_30002,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97804946188128,-21.402754541325862,20.646807,Y,134244_31392,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.977208126966,-21.403963431472008,16.14166,Y,134244_30006,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97714006489315,-21.397271121695116,18.60395,Y,134244_30009,c4d_170517_034420_ooi_Y_v1,W84
