exposure,pred_ra,pred_dec,jd,midmjd,vmag_pred,smaa,smia,theta,meas_ra,meas_dec,sep_arcsec,mag_auto,magerr,filt,fwhm,class_star,dmjd_s,measid
c4d_140606_025954_ooi_r_v1,243.481275007,-29.544252412,2456814.624325389,56814.1243253892,21.520,0.295,0.26,2.927,243.48177292861786,-29.54352873182843,3.036,18.811852,0.008446,r,1.444561,0.981966,-100.0,c4d.320284.32.1520
c4d_140606_025954_ooi_r_v1,243.481275007,-29.544252412,2456814.624325389,56814.1243253892,21.520,0.295,0.26,2.927,243.48205946692562,-29.544758487527854,3.059,18.648102,0.007605,r,1.461377,0.955384,-100.0,c4d.320284.32.1521
c4d_140606_025954_ooi_r_v1,243.481275007,-29.544252412,2456814.624325389,56814.1243253892,21.520,0.295,0.26,2.927,243.48228629914664,-29.545503894008302,5.507,20.96846,0.019758,r,1.632806,0.960097,-100.0,c4d.320284.32.1522
c4d_140606_065522_ooi_r_v1,243.47751772,-29.543436113,2456814.7878436996,56814.2878436994,21.521,0.295,0.26,3.073,243.4775369864378,-29.54350495443222,0.255,21.744244,0.055567,r,1.499886,0.93423,-100.0,c4d.320434.32.1594
c4d_140606_065522_ooi_r_v1,243.47751772,-29.543436113,2456814.7878436996,56814.2878436994,21.521,0.295,0.26,3.073,243.47692484831094,-29.542694460054854,3.252,22.516314,0.136491,r,1.435956,0.488484,-100.0,c4d.320434.32.1619
c4d_140606_065522_ooi_r_v1,243.47751772,-29.543436113,2456814.7878436996,56814.2878436994,21.521,0.295,0.26,3.073,243.4790449942217,-29.543913979341166,5.083,21.64912,0.052963,r,1.469904,0.954399,-100.0,c4d.320434.32.1558
c4d_150620_050628_ooi_r_v2,244.744029704,-29.39471321,2457193.7122460976,57193.21224609755,21.568,0.924,0.355,4.305,244.74410948155068,-29.39480821801982,0.424,21.785372,0.06053,r,1.649395,0.923558,-150.0,c4d.452212.29.4741
c4d_150620_050928_ooi_r_v2,244.743985966,-29.394702351,2457193.7142983773,57193.21429837735,21.568,0.924,0.355,4.304,244.74406016579832,-29.394780771286513,0.366,21.792768,0.055506,r,1.4388,0.942748,-150.0,c4d.452213.29.5421
c4d_160308_082444_ooi_VR_v1,247.962206835,-29.466619878,2457455.8499397677,57455.349939767955,21.704,2.116,0.434,2.539,247.96251148014028,-29.466672791142805,0.974,21.792213,0.061912,VR,1.46758,0.973573,-150.0,c4d.524496.28.10505
c4d_160308_082444_ooi_VR_v1,247.962206835,-29.466619878,2457455.8499397677,57455.349939767955,21.704,2.116,0.434,2.539,247.96122272009595,-29.466569263610907,3.09,21.839437,0.089828,VR,2.081345,0.118951,-150.0,c4d.524496.28.10547
c4d_160308_082444_ooi_VR_v1,247.962206835,-29.466619878,2457455.8499397677,57455.349939767955,21.704,2.116,0.434,2.539,247.96200519372593,-29.465321206938068,4.718,22.327694,0.095539,VR,1.579145,0.739956,-150.0,c4d.524496.28.10522
c4d_160308_082745_ooi_VR_v1,247.962207374,-29.466624889,2457455.852010741,57455.35201074105,21.704,2.116,0.434,2.539,247.9619927033917,-29.465315197358002,4.763,22.224361,0.081135,VR,1.341159,0.93751,-150.0,c4d.524497.28.12410
c4d_190428_083626_ooi_Y_v1,252.041899697,-29.064239406,2458601.858990549,58601.358990548906,21.656,6.672,0.788,6.373,252.04308879503415,-29.064929427714052,4.491,16.284853,0.009593,Y,0.887999,0.955376,-30.0,c4d.851209.34.7615
c4d_190428_083626_ooi_Y_v1,252.041899697,-29.064239406,2458601.858990549,58601.358990548906,21.656,6.672,0.788,6.373,252.0431961632699,-29.063232375643906,5.458,18.933664,0.131934,Y,3.431724,0.040217,-30.0,c4d.851209.34.7651
