ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
247.33596212531114,-29.058707464366766,57193.20837813616,21.209225,0.082968,r,3.438583,0.086657,c4d_150620_050323_ooi_r_v2
247.3418147563203,-29.059779494172872,57455.348203657195,18.582033,0.004331,VR,1.255007,0.983316,c4d_160308_082444_ooi_VR_v1
247.34159494199642,-29.058745509179005,57455.348203657195,20.989813,0.030815,VR,1.289754,0.974101,c4d_160308_082444_ooi_VR_v1
247.34207765017229,-29.05009947699913,57455.348203657195,22.625286,0.113963,VR,1.943237,0.851556,c4d_160308_082444_ooi_VR_v1
247.34139816541395,-29.050956319437127,57455.348203657195,20.617414,0.027058,VR,1.991361,0.038796,c4d_160308_082444_ooi_VR_v1
247.3408177458818,-29.057376356057752,57455.348203657195,21.04917,0.031255,VR,1.270469,0.980981,c4d_160308_082444_ooi_VR_v1
247.34049745937514,-29.054248435811704,57455.348203657195,23.160637,0.115031,VR,1.366004,0.594501,c4d_160308_082444_ooi_VR_v1
247.34009270589465,-29.052721162349354,57455.348203657195,20.990282,0.024628,VR,1.344827,0.97988,c4d_160308_082444_ooi_VR_v1
247.33840401641774,-29.058123466921217,57455.348203657195,17.330256,0.00243,VR,1.36492,0.987744,c4d_160308_082444_ooi_VR_v1
247.33766270501604,-29.056651294136177,57455.348203657195,22.157558,0.101494,VR,2.532115,0.024051,c4d_160308_082444_ooi_VR_v1
247.33753578731668,-29.054054728641418,57455.348203657195,22.139996,0.058154,VR,1.409903,0.963388,c4d_160308_082444_ooi_VR_v1
247.33731941980002,-29.052381702003682,57455.348203657195,19.592579,0.008221,VR,1.254519,0.983424,c4d_160308_082444_ooi_VR_v1
247.3370325055315,-29.053327923288784,57455.348203657195,21.310747,0.03176,VR,1.293266,0.977413,c4d_160308_082444_ooi_VR_v1
247.33605818792887,-29.058602820394583,57455.348203657195,21.584223,0.057177,VR,2.256459,0.927687,c4d_160308_082444_ooi_VR_v1
247.3473873624314,-29.059317761362905,57455.348203657195,18.165283,0.003522,VR,1.343243,0.983999,c4d_160308_082444_ooi_VR_v1
247.3435656394967,-29.053446988737857,57455.348203657195,19.78834,0.010964,VR,2.610384,0.168929,c4d_160308_082444_ooi_VR_v1
247.3473399359524,-29.057867148799268,57455.348203657195,22.362722,0.117276,VR,1.603614,0.878364,c4d_160308_082444_ooi_VR_v1
247.3473905751763,-29.051534188942757,57455.348203657195,23.351004,0.159269,VR,1.931272,0.502051,c4d_160308_082444_ooi_VR_v1
247.34675864656376,-29.051399177802303,57455.348203657195,22.164143,0.064598,VR,1.726673,0.946138,c4d_160308_082444_ooi_VR_v1
247.34604950788233,-29.055979448731676,57455.348203657195,21.920156,0.084618,VR,3.116074,0.712485,c4d_160308_082444_ooi_VR_v1
247.34245455978837,-29.054755319272264,57455.348203657195,23.334429,0.198553,VR,1.367553,0.534466,c4d_160308_082444_ooi_VR_v1
247.3442415439356,-29.05635832543418,57455.348203657195,16.396547,0.002071,VR,1.279611,0.989312,c4d_160308_082444_ooi_VR_v1
247.34324308085962,-29.05525882161476,57455.348203657195,20.790636,0.026327,VR,1.335084,0.939743,c4d_160308_082444_ooi_VR_v1
247.34430664740358,-29.05206203650001,57455.348203657195,19.174828,0.006224,VR,1.255219,0.983341,c4d_160308_082444_ooi_VR_v1
247.34322740957683,-29.055270996633894,57455.35027463036,20.740032,0.023676,VR,1.116249,0.972167,c4d_160308_082745_ooi_VR_v1
247.34181589857596,-29.05978083556173,57455.35027463036,18.579847,0.004176,VR,1.07933,0.984713,c4d_160308_082745_ooi_VR_v1
247.34159292634726,-29.058758816121387,57455.35027463036,20.992277,0.024814,VR,1.111567,0.974496,c4d_160308_082745_ooi_VR_v1
247.34050883452738,-29.05427828900252,57455.35027463036,23.149218,0.099553,VR,1.033173,0.711804,c4d_160308_082745_ooi_VR_v1
247.335944130659,-29.05872123743373,57455.35027463036,21.107212,0.040667,VR,3.139226,0.18507,c4d_160308_082745_ooi_VR_v1
247.33703713154773,-29.053332873734803,57455.35027463036,21.273886,0.028847,VR,1.119827,0.979943,c4d_160308_082745_ooi_VR_v1
247.337319304495,-29.052374959403267,57455.35027463036,19.575409,0.007577,VR,1.080781,0.983363,c4d_160308_082745_ooi_VR_v1
247.33754653349317,-29.054066380768873,57455.35027463036,22.093292,0.052453,VR,1.440045,0.969359,c4d_160308_082745_ooi_VR_v1
247.33768780680379,-29.05666588703407,57455.35027463036,21.964249,0.083632,VR,2.894834,0.062733,c4d_160308_082745_ooi_VR_v1
247.3384032686229,-29.058122182966564,57455.35027463036,17.3292,0.002582,VR,1.145177,0.991891,c4d_160308_082745_ooi_VR_v1
247.34008770575343,-29.052721784221024,57455.35027463036,20.970934,0.021974,VR,1.09812,0.981368,c4d_160308_082745_ooi_VR_v1
247.34082153176456,-29.057381387533272,57455.35027463036,21.01886,0.025637,VR,1.087268,0.981058,c4d_160308_082745_ooi_VR_v1
247.348545287577,-29.052408971590207,57455.35027463036,23.79848,0.156301,VR,1.317607,0.477646,c4d_160308_082745_ooi_VR_v1
247.34738599168548,-29.059317893621945,57455.35027463036,18.170277,0.003496,VR,1.136892,0.986311,c4d_160308_082745_ooi_VR_v1
247.347340120493,-29.05785329334096,57455.35027463036,22.288538,0.084908,VR,1.336354,0.970244,c4d_160308_082745_ooi_VR_v1
247.346072476701,-29.055983546552433,57455.35027463036,22.035711,0.068962,VR,1.299503,0.973262,c4d_160308_082745_ooi_VR_v1
