ra,dec,rmag,imag,ndet
247.03095627687424,-29.188880421306067,20.763512,20.160746,14
247.0312217898404,-29.185781614374395,23.515625,99.99,1
247.03010146965792,-29.184287244348308,21.811125,21.234375,11
247.03136184910247,-29.1703295935564,99.99,22.21875,2
247.03025225644168,-29.166047349029583,99.99,22.765625,1
247.03112513581507,-29.164521754162884,99.99,22.546875,1
247.0306568808857,-29.161341251533266,22.566402,21.796875,8
247.031094731925,-29.15870548818506,99.99,22.984375,1
247.03050772842357,-29.153763106241815,21.100636,19.875,14
247.0305476014943,-29.15307600862602,22.304934,21.953125,9
247.0311979966547,-29.152028213787425,19.49573,19.125,14
247.03096216374854,-29.151039463598963,20.712545,20.15625,13
247.0308902185237,-29.148371732792945,21.667362,21,14
247.03074117326506,-29.146591967630084,22.268267,20.65625,8
247.03053300970586,-29.140008764560445,21.604193,20.199429,14
247.0321289846062,-29.18917651411271,20.335875,19.659843,14
247.03263181615864,-29.188025097768303,20.674862,99.99,13
247.03371253414713,-29.18839680783868,23.171875,22.0625,3
247.03762195316614,-29.188794291548593,19.384815,18.784294,14
247.03944783533223,-29.189304024656515,16.819883,16.33558,14
247.0318610501357,-29.186205941474803,21.333342,20.8125,13
247.03422246506062,-29.185611038333224,22.868353,21.6875,4
247.03495688803915,-29.187863603408093,22.458603,99.99,3
247.0356239188104,-29.18751200899199,23.140625,99.99,2
247.03486162409448,-29.18724299597724,21.331522,99.99,11
247.0356132347666,-29.18687867159847,22.6875,99.99,1
247.03566446060157,-29.186592559125156,22.038185,99.99,9
247.03164196960583,-29.18419417171486,99.99,23.15625,1
247.03818998756793,-29.186624768155614,23.00087,22.15625,4
247.04022278169467,-29.187308693339407,23.10405,99.99,3
247.0411921585871,-29.188447190623993,22.039879,21.390625,4
247.03763252103874,-29.1849282984693,22.968023,22.34375,5
247.03964817953724,-29.18464828175005,20.98414,20.375,11
247.0410266751208,-29.18615554170262,23.109375,99.99,2
247.0424785474754,-29.185223755809833,23.4375,99.99,1
247.03189623008146,-29.1819067440664,19.474285,99.99,8
247.0340664578255,-29.182329223991555,19.78916,99.99,8
