ra,dec,gmag,rmag,imag,ndet,class_star
247.13005619075977,-29.188917868567167,99.99,99.99,99.99,1,0.496826
247.13791296811996,-29.189879940828686,99.99,99.99,21.8125,1,0.943359
247.13281931905772,-29.186052351110785,21.289248,20.37943,19.796875,13,0.810678
247.1341201559182,-29.186885170068226,21.6425,20.919758,20.59375,13,0.956956
247.134877419947,-29.187175765855688,99.99,22.859375,22.34375,2,0.446899
247.13633371990736,-29.188792817095088,21.78481,20.534128,19.875,11,0.956454
247.1354229226286,-29.188015382625377,99.99,23.140625,99.99,1,0.424072
247.1375800677133,-29.188944506681572,21.464487,20.575304,20.1875,10,0.976172
247.13942024192934,-29.187701744022647,21.124619,20.631247,20.34375,10,0.977979
247.14200927511425,-29.18943322108783,99.99,99.99,19.625,2,0.982666
247.14175974012755,-29.188954953607173,20.171715,99.99,18.984375,8,0.980591
247.14306250526602,-29.189904300679494,22.296875,99.99,21.105835,4,0.936157
247.1440821356307,-29.189454074224308,21.757753,99.99,19.953125,8,0.973022
247.14321963465053,-29.187795980354416,99.99,99.99,22.171875,3,0.681234
247.14949874673076,-29.189103539987517,19.328684,99.99,18.09375,8,0.983948
247.13174516121754,-29.18491396190933,99.99,22.956308,22.3125,8,0.564362
247.1314478489547,-29.181205413375707,99.99,99.99,22.140625,3,0.67513
247.13289043737083,-29.184217679572146,99.99,99.99,22.3125,2,0.644775
247.13561558029264,-29.185638093313596,99.99,23.15625,22.609375,3,0.733398
247.13611388472557,-29.184380595864514,21.870161,20.866222,20.453125,9,0.946018
247.1375004051484,-29.184684678591864,21.002317,19.410885,18.5,8,0.981079
247.13275239814564,-29.18243377378886,99.99,99.99,22.484375,3,0.604085
247.13466262929262,-29.18288733563059,22.809467,21.73303,21.25,10,0.813965
247.13731610440158,-29.182222424875356,18.921185,18.201183,17.828125,8,0.983398
247.130171121905,-29.17863428421005,20.99742,19.875,19.3125,8,0.980957
247.13206547104255,-29.176420681431914,22.417059,21.75,21.234375,8,0.837952
247.1341773777245,-29.17970175194389,99.99,21.90625,99.99,1,0.959473
247.13398471487915,-29.17890267755145,17.617151,99.99,16.578125,6,0.986084
247.13671689830701,-29.180003300675086,22.032963,21.15599,20.6875,9,0.935927
247.13520067204882,-29.17837495427218,21.915789,99.99,20.90625,7,0.951869
247.1345027555025,-29.178178795737086,22.484375,99.99,99.99,1,0.934082
247.13338745650893,-29.17633625405821,99.99,99.99,22.40625,4,0.531372
247.13601209265605,-29.177919070856927,20.028046,99.99,18.71875,7,0.98291
