Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
VCAM.2017-05-21T07:26:01.635	-9999	57894.309775868	H	6	248.508642135642	-29.3070382159772	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:26:19.801	-9999	57894.3099861227	H	6	248.508637396151	-29.3070375443303	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:26:45.252	-9999	57894.3102806944	H	6	248.508630756014	-29.3070366033373	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:27:05.661	-9999	57894.3105169097	H	6	248.508625431327	-29.3070358487607	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:29:31.148	-9999	57894.312200787	H	6	248.508587473926	-29.3070304697082	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:29:59.233	-9999	57894.3125258449	H	6	248.508580146579	-29.3070294313288	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:30:17.072	-9999	57894.3127323148	H	6	248.508575492404	-29.3070287717722	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:30:37.511	-9999	57894.3129688773	H	6	248.508570159891	-29.3070280160864	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:30:54.575	-9999	57894.3131663773	H	6	248.508565707912	-29.3070273851836	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:31:12.821	-9999	57894.3133775578	H	6	248.508560947551	-29.3070267105792	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:31:36.124	-9999	57894.3136472685	H	6	248.508554867822	-29.3070258490034	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
VCAM.2017-05-21T07:31:52.192	-9999	57894.3138332407	H	6	248.508550675699	-29.3070252549255	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	
