diaObjectId,channels,ra_deg,dec_deg,jd_last_alert,mjd_last_alert,band,mag_psf,snr,reliability,extendedness,nDiaSources,n_distinct_nights,lifetime_days,pixflags,isDipole,isNegative,n_negative_src,ssObjectId,is_sso_fink,gaia_dr3,gaia_plx,gaia_varflag,ls_dr10_host,ls_nearest_sep_as,ls_nearest_type,tns_at_emission,tns_live,tns_type_live,tns_group_live,alerce_class,quicklook_class,adopted
170591519677875016,hostless_candidate,306.7480241203,-11.818563948,2461233.80790,61233.30790,r,21.12,65.5,0.9999862,0.0006757702,4,4,14.992,,False,False,0,0,False,Fail,,0,OFFSET_PSF_ONLY,3.03,PSF,,,,,asteroid:0.932,GENUINE_TRANSIENT,no
170587114058023168,hostless_candidate,330.8188435433,-2.6454046536,2461232.86642,61232.36642,i,21.37,28.7,0.99997354,0.028697079,7,4,14.962,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.27,PSF,,SN 2026uid,SLSN-I,Rubin,asteroid:0.979,GENUINE_TRANSIENT,yes
170587106262908962,hostless_candidate,333.2284564151,-15.4512867528,2461232.85604,61232.35604,i,21.43,32.5,0.9999896,5.81257e-05,10,4,14.984,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,0.74,REX,,,,,asteroid:0.97,GENUINE_TRANSIENT,no
170635519425249637,hostless_candidate,332.39125874,-14.8699028729,2461232.85604,61232.35604,i,21.38,32.3,0.9999858,0.011299499,9,3,3.968,,False,False,0,0,False,nan,,0,OFFSET_HOST_CAND,9.91,REX,,,,,bogus:0.899,GENUINE_TRANSIENT,no
170591522697248982,hostless_candidate,321.1658217852,-22.015371846,2461232.82010,61232.32010,r,21.47,33.8,0.9961295,0.0318987,9,5,13.992,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,0.24,REX,,,,,asteroid:0.977,GENUINE_TRANSIENT,no
170591537486889035,hostless_candidate,348.6548351532,-12.2422059895,2461230.87190,61230.37190,z,19.81,83.0,1.0,0.017114252,4,2,11.985,,False,False,0,0,False,nan,,0,OFFSET_HOST_CAND,3.42,EXP,AT 2026pun,AT 2026pun,,"GOTO, ZTF, ATLAS",asteroid:0.887,GENUINE_TRANSIENT,yes
170591520894222434,hostless_candidate,301.5592038297,-18.299904003,2461230.76396,61230.26396,i,21.19,48.7,0.99999356,0.12439068,5,4,11.943,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,1.42,EXP,,,,,asteroid:0.978,GENUINE_TRANSIENT,no
170587105461272950,hostless_candidate,334.2496216396,-18.2079495874,2461228.86665,61228.36665,z,21.26,34.7,0.9999987,0.038674075,7,4,10.998,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,1.02,REX,,,,,bogus:0.833,GENUINE_TRANSIENT,no
170635502280507608,hostless_candidate,313.5460638829,-17.676569854,2461228.85199,61228.35199,z,20.26,67.4,1.0,0.20826855,6,2,0.027,,False,False,0,0,False,nan,,0,OFFSET_HOST_CAND,9.17,REX,SN 2026pec,SN 2026pec,SN II,"ZTF, GOTO, Pan-STARRS",asteroid:0.969,GENUINE_TRANSIENT,yes
170591507978387512,hostless_candidate,313.2265050633,-14.8404353045,2461228.82610,61228.32610,i,21.28,48.0,0.99999714,0.24051966,5,3,10.057,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.46,PSF,,,,,bogus:0.895,GENUINE_TRANSIENT,no
170653057102118916,extragalactic_new_candidate,328.4352119488,-6.3750133448,2461233.79366,61233.29366,r,23.75,8.1,0.78958154,0.024977585,2,2,0.957,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.06,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170644260283482312,extragalactic_new_candidate,331.0372764587,-2.3524410962,2461232.86642,61232.36642,i,22.62,7.4,0.5154547,0.9828445,2,2,2.011,,False,False,0,0,False,Gaia DR3 2676490754054488320,-0.1355,0,COUNTERPART_STELLAR,0.11,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170635505084923996,extragalactic_new_candidate,312.4946017401,-27.2195050479,2461231.84229,61231.34229,i,22.81,9.7,0.90333354,0.25055382,3,2,3.007,,False,False,0,0,False,Fail,,0,COUNTERPART_STELLAR,0.08,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170657503632162819,extragalactic_new_candidate,2.4240353403,-5.8879129528,2461233.84844,61233.34844,r,22.73,12.2,0.74532896,0.92041975,2,1,0.003,,False,False,0,0,False,Fail,,0,COUNTERPART_STELLAR,0.1,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170648666796195942,extragalactic_new_candidate,320.0141891453,-8.8309728274,2461231.76878,61231.26878,z,21.4,14.0,0.82723624,0.7429872,2,1,0.005,,False,False,0,0,False,Gaia DR3 6897548156880882432,,0,COUNTERPART_STELLAR,0.12,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,GENUINE_STELLAR_OUTBURST,no_at_emission(not_live_checked)
170653051812577369,extragalactic_new_candidate,328.268712314,-6.4518604026,2461232.83640,61232.33640,r,22.77,12.6,0.97748816,0.0207855,3,2,0.02,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.11,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170644243871695158,extragalactic_new_candidate,320.9713931936,-11.8668432895,2461231.73855,61231.23855,i,21.6,13.7,0.99994206,0.14811538,3,2,0.945,,False,False,0,0,False,Gaia DR3 6891455208900574976,-1.3977,0,COUNTERPART_STELLAR,0.02,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,GENUINE_STELLAR_OUTBURST,no_at_emission(not_live_checked)
170657503634259994,extragalactic_new_candidate,2.9170253787,-5.7992358336,2461233.84844,61233.34844,r,23.22,9.0,0.83418816,0.1583805,2,1,0.003,,False,False,0,0,False,Fail,,0,COUNTERPART_STELLAR,1.35,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170657503614861375,extragalactic_new_candidate,2.6348533353,-5.1254942117,2461233.84889,61233.34889,r,23.13,9.4,0.6832876,0.06442794,2,1,0.003,,False,False,0,0,False,Fail,,0,COUNTERPART_STELLAR,0.1,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170644255125012777,extragalactic_new_candidate,324.9281871527,-11.2835059676,2461232.84774,61232.34774,i,23.09,6.6,0.70770687,0.70515716,3,3,2.011,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.23,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170653064110801022,extragalactic_new_candidate,333.8461469705,-6.7608711165,2461232.86544,61232.36544,i,22.38,10.5,0.71469986,0.94809574,2,1,0.002,,False,False,0,0,False,Gaia DR3 2619684309711903488,,0,COUNTERPART_STELLAR,0.18,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170644250702643530,extragalactic_new_candidate,318.2224874597,-8.9909945215,2461230.82229,61230.32229,r,23.64,7.2,0.63141584,0.63007605,2,1,0.003,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.03,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170648666759495902,extragalactic_new_candidate,319.1288125422,-7.9364650849,2461231.76977,61231.26977,z,21.78,10.4,0.6352316,0.45260188,2,1,0.006,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,0.07,EXP,,ERR:HTTP Error 429: Too Many Requests,,,,AMBIGUOUS_FAINT_ON_GALAXY,no_at_emission(not_live_checked)
170644256801161379,extragalactic_new_candidate,344.3377278323,-5.0986301354,2461230.84819,61230.34819,i,23.26,9.8,0.9104445,0.5008751,2,1,0.005,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,0.88,EXP,,ERR:HTTP Error 429: Too Many Requests,,,,AMBIGUOUS_FAINT_ON_GALAXY,no_at_emission(not_live_checked)
170644244051002059,extragalactic_new_candidate,324.7477095851,-10.237947994,2461230.83721,61230.33721,i,23.17,8.0,0.7332074,0.7042799,3,1,0.044,,False,False,0,0,False,Gaia DR3 6893403857037705728,,0,COUNTERPART_STELLAR,0.03,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170653051802615856,extragalactic_new_candidate,326.8588426448,-6.3954037673,2461233.79366,61233.29366,r,22.87,14.6,0.8872714,0.9462481,2,2,0.977,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.03,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170657503343805250,extragalactic_new_candidate,0.5399959551,-0.0320970023,2461233.84933,61233.34933,r,22.95,8.4,0.5225147,0.761662,1,1,0.004,,False,False,0,0,False,Fail,,0,COUNTERPART_STELLAR,0.19,PSF,,,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170653051943125129,extragalactic_new_candidate,329.4005437887,-6.7127128752,2461232.83640,61232.33640,r,22.68,13.2,0.7889722,0.60252357,2,1,0.019,,False,False,0,0,False,Gaia DR3 2668424629382644608,,0,COUNTERPART_STELLAR,0.14,PSF,,,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170644243076350026,extragalactic_new_candidate,324.0614717335,-14.9463247785,2461230.83816,61230.33816,i,23.04,10.2,0.95389545,0.028525665,2,1,0.048,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.14,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,ARTIFACT_SUBTRACTION_RESIDUAL,no_at_emission(not_live_checked)
170653051781120039,extragalactic_new_candidate,326.3595174008,-6.7044495782,2461233.79366,61233.29366,r,22.94,16.9,0.96801883,0.065113984,2,2,0.977,,False,False,0,0,False,nan,,0,COUNTERPART_STELLAR,0.0,PSF,,ERR:HTTP Error 429: Too Many Requests,,,,GENUINE_STELLAR_OUTBURST,no_at_emission(not_live_checked)
170635520370016317,extragalactic_lt20mag_candidate,330.2273300873,-11.4029744423,2461232.85462,61232.35462,i,19.99,93.2,0.9999999,0.033430528,6,2,3.964,,False,False,0,0,False,nan,,0,COUNTERPART_EXTENDED,0.62,SER,AT 2026soj,AT 2026soj,,Rubin,SN:0.985,GENUINE_TRANSIENT,yes
170591526761529444,extragalactic_lt20mag_candidate,318.5800868355,-15.5922150128,2461231.76586,61231.26586,z,19.61,65.6,0.9999906,0.0234457,7,3,12.922,,False,False,0,0,False,Gaia DR3 6884000902316005376,-1.5056,1,COUNTERPART_EXTENDED,0.03,REX,,,,,AGN:0.652,GENUINE_AGN,no
170587115712675908,extragalactic_lt20mag_candidate,332.401124578,-13.958917182,2461232.85558,61232.35558,i,19.9,81.2,0.99996674,0.0002274214,9,5,14.944,,False,False,0,0,False,Gaia DR3 2612132249672344832,-0.4564,1,COUNTERPART_EXTENDED,0.02,SER,,,,,AGN:0.654,GENUINE_AGN,no
170604725348073617,extragalactic_lt20mag_candidate,331.0148164069,-8.9772330946,2461232.82575,61232.32575,r,19.83,63.6,0.7373436,0.4031527,5,3,10.977,,False,False,0,0,False,Gaia DR3 2617624207173286656,0.3322,0,COUNTERPART_STELLAR,0.24,PSF,,,,,VS:0.863,GENUINE_VS,no
170591539818922118,extragalactic_lt20mag_candidate,350.4818570764,-0.5263965752,2461233.88065,61233.38065,i,19.94,77.6,0.98665315,0.043636933,11,4,14.984,,False,False,0,0,False,Fail,,0,COUNTERPART_EXTENDED,0.05,SER,AT 2023adht,AT 2023adht,,DESIRT,SN:0.834,GENUINE_TRANSIENT,yes
313831458523316231,extragalactic_lt20mag_candidate,61.8587731598,-47.3316646689,2461230.92439,61230.42439,r,19.94,114.7,1.0,0.003999033,454,36,211.135,,False,False,0,0,False,Gaia DR3 4831187645010619264,-0.1676,1,COUNTERPART_STELLAR,0.05,PSF,,,,,VS:0.546,GENUINE_VARSTAR,no
