###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57227.397705 -21.107  2.231   -13   29 o  0   1.20 334.24962 -18.20795  9888.38  9520.79 4.48 3.58 -84.9 -0.457 18.94 20.42 02a57227o0102o
57227.402637  20.431  1.069    24   26 o  0   1.18 334.24962 -18.20795  5694.56   815.52 3.69 3.43  -3.4 -0.501 18.94 20.38 02a57227o0109o
57227.413851 -23.391 15.500    -2   25 o  0   1.60 334.24962 -18.20795  1166.28  7901.56 3.72 3.37 -65.8 -0.470 19.03 20.53 02a57227o0120o
57227.420806  20.759  1.400    18   25 o  0   1.15 334.24962 -18.20795  9894.69  9527.16 4.33 3.37 -82.3 -0.457 19.11 20.66 02a57227o0130o
57227.426545  20.222  0.657    30   19 o  0   1.49 334.24962 -18.20795  5698.39   820.91 3.73 3.49  -4.5 -0.499 19.15 20.74 02a57227o0138o
57227.435049  19.647  0.391    50   20 o  0   2.31 334.24962 -18.20795  1169.40  7905.56 3.71 3.37 -68.6 -0.473 19.21 20.85 02a57227o0150o
57227.461057  20.159  0.605    31   19 o  0   1.37 334.24962 -18.20795  2625.06  6436.65 3.61 3.31 -69.7 -0.452 19.21 20.85 02a57227o0182o
57227.483115  21.102  1.444    13   19 o  0   1.43 334.24962 -18.20795  2624.67  6436.23 3.64 3.32 -71.0 -0.451 19.21 20.83 02a57227o0213o
57228.512513 -19.972  0.538   -37   20 o  0   1.09 334.24962 -18.20795  1071.51  6761.47 3.47 3.30 -78.4 -0.492 19.17 20.68 02a57228o0309o
57228.524694  15.506  0.010  2277   23 o  0 264.03 334.24962 -18.20795    81.29  3581.25 3.78 3.44 -80.5 -0.425 19.19 20.71 02a57228o0322o
57228.539392  20.283  0.805    28   22 o  0   0.99 334.24962 -18.20795  9700.65  3586.63 3.65 3.14 -87.9 -0.437 19.17 20.67 02a57228o0338o
57228.566078  21.718  3.000     8   22 o  0   0.95 334.24962 -18.20795  8251.00  5064.13 3.59 3.16 -85.6 -0.438 19.17 20.69 02a57228o0367o
57228.592524  20.676  1.000    20   20 o  0   1.15 334.24962 -18.20795  8250.94  5071.05 3.58 3.13 -84.7 -0.432 19.14 20.65 02a57228o0396o
57243.409094  20.103  0.419    33   14 c  0   1.93 334.24962 -18.20795  1147.97  6748.41 3.90 3.65 -56.6 -0.419 19.46 21.34 02a57243o0239c
57243.440263  22.995  7.333     2   17 c  0   1.20 334.24962 -18.20795  1138.01  6752.83 3.94 3.65 -55.3 -0.419 19.48 21.37 02a57243o0283c
57243.459592 -22.797  4.750    -3   13 c  0   1.86 334.24962 -18.20795  2524.06  5290.32 3.81 3.55 -56.0 -0.405 19.49 21.37 02a57243o0308c
57243.478286  23.116  7.333     2   15 c  0   1.26 334.24962 -18.20795  2513.01  5293.18 3.79 3.53 -54.3 -0.410 19.51 21.38 02a57243o0335c
57244.411131 -19.425  0.220   -62   14 c  0   1.89 334.24962 -18.20795  1101.21  6750.75 3.85 3.58 -60.7 -0.433 19.49 21.37 02a57244o0206c
57244.442339 -21.725  1.800    -7   13 c  0   1.74 334.24962 -18.20795  1089.43  6755.89 3.87 3.56 -58.4 -0.431 19.52 21.40 02a57244o0250c
57244.461197  21.302  1.438    11   16 c  0   1.16 334.24962 -18.20795  2528.10  5290.58 3.76 3.54 -50.2 -0.410 19.50 21.36 02a57244o0275c
57244.480641  22.597  3.800     3   13 c  0   1.75 334.24962 -18.20795  2520.25  5295.18 3.72 3.46 -56.6 -0.415 19.52 21.38 02a57244o0303c
57245.405058 -21.827  2.444    -7   16 c  0   1.34 334.24962 -18.20795  1111.53  6749.51 3.87 3.56 -61.4 -0.432 19.46 21.31 02a57245o0229c
57245.430197 -20.960  1.100   -15   16 c  0   1.61 334.24962 -18.20795  1104.58  6754.73 3.88 3.58 -58.3 -0.427 19.46 21.29 02a57245o0264c
57245.455757 -23.563 10.000    -1   14 c  0   1.75 334.24962 -18.20795  2538.33  5291.55 3.77 3.49 -49.9 -0.419 19.45 21.27 02a57245o0299c
57245.474899 -24.276 22.000    -1   16 c  0   1.12 334.24962 -18.20795  2529.66  5295.99 3.85 3.59 -44.6 -0.412 19.43 21.26 02a57245o0326c
57288.333583  21.630  5.111     8   41 o  0   1.04 334.24962 -18.20795  1105.77  6765.52 4.14 3.30 -61.3 -0.449 18.59 19.84 02a57288o0189o
57288.358091  21.306  3.000    11   33 o  0   1.56 334.24962 -18.20795  1093.34  6773.27 4.08 3.19 -60.4 -0.446 18.58 19.86 02a57288o0225o
57288.377972 -17.617  1.516  -326  494 o  0   0.84 334.24962 -18.20795  8011.65  5301.22 3.80 3.25  86.7 -0.569 18.53 19.82 02a57288o0255o
57289.305068 -18.452  1.886  -151  285 o  0   2.35 334.24962 -18.20795  1121.09  6762.18 4.29 3.53 -61.5 -0.479 17.21 17.91 02a57289o0175o
57297.362004  20.687  1.632    19   32 o  0   1.22 334.24962 -18.20795  9447.00  3833.64 4.24 3.81  60.8 -0.503 18.79 20.15 02a57297o0095o
