mjd,m,dm,uJy,duJy,filter,err,chiN,ra,dec,mag5sig,obs
57227.397705,-21.107,2.231,-13,29,o,0,1.20,334.24962,-18.20795,18.94,02a57227o0102o
57227.402637,20.431,1.069,24,26,o,0,1.18,334.24962,-18.20795,18.94,02a57227o0109o
57227.413851,-23.391,15.500,-2,25,o,0,1.60,334.24962,-18.20795,19.03,02a57227o0120o
57227.420806,20.759,1.400,18,25,o,0,1.15,334.24962,-18.20795,19.11,02a57227o0130o
57227.426545,20.222,0.657,30,19,o,0,1.49,334.24962,-18.20795,19.15,02a57227o0138o
57227.435049,19.647,0.391,50,20,o,0,2.31,334.24962,-18.20795,19.21,02a57227o0150o
57227.461057,20.159,0.605,31,19,o,0,1.37,334.24962,-18.20795,19.21,02a57227o0182o
57227.483115,21.102,1.444,13,19,o,0,1.43,334.24962,-18.20795,19.21,02a57227o0213o
57228.512513,-19.972,0.538,-37,20,o,0,1.09,334.24962,-18.20795,19.17,02a57228o0309o
57228.524694,15.506,0.010,2277,23,o,0,264.03,334.24962,-18.20795,19.19,02a57228o0322o
57228.539392,20.283,0.805,28,22,o,0,0.99,334.24962,-18.20795,19.17,02a57228o0338o
57228.566078,21.718,3.000,8,22,o,0,0.95,334.24962,-18.20795,19.17,02a57228o0367o
57228.592524,20.676,1.000,20,20,o,0,1.15,334.24962,-18.20795,19.14,02a57228o0396o
57243.409094,20.103,0.419,33,14,c,0,1.93,334.24962,-18.20795,19.46,02a57243o0239c
57243.440263,22.995,7.333,2,17,c,0,1.20,334.24962,-18.20795,19.48,02a57243o0283c
57243.459592,-22.797,4.750,-3,13,c,0,1.86,334.24962,-18.20795,19.49,02a57243o0308c
57243.478286,23.116,7.333,2,15,c,0,1.26,334.24962,-18.20795,19.51,02a57243o0335c
57244.411131,-19.425,0.220,-62,14,c,0,1.89,334.24962,-18.20795,19.49,02a57244o0206c
57244.442339,-21.725,1.800,-7,13,c,0,1.74,334.24962,-18.20795,19.52,02a57244o0250c
57244.461197,21.302,1.438,11,16,c,0,1.16,334.24962,-18.20795,19.50,02a57244o0275c
57244.480641,22.597,3.800,3,13,c,0,1.75,334.24962,-18.20795,19.52,02a57244o0303c
57245.405058,-21.827,2.444,-7,16,c,0,1.34,334.24962,-18.20795,19.46,02a57245o0229c
57245.430197,-20.960,1.100,-15,16,c,0,1.61,334.24962,-18.20795,19.46,02a57245o0264c
57245.455757,-23.563,10.000,-1,14,c,0,1.75,334.24962,-18.20795,19.45,02a57245o0299c
57245.474899,-24.276,22.000,-1,16,c,0,1.12,334.24962,-18.20795,19.43,02a57245o0326c
57288.333583,21.630,5.111,8,41,o,0,1.04,334.24962,-18.20795,18.59,02a57288o0189o
57288.358091,21.306,3.000,11,33,o,0,1.56,334.24962,-18.20795,18.58,02a57288o0225o
57288.377972,-17.617,1.516,-326,494,o,0,0.84,334.24962,-18.20795,18.53,02a57288o0255o
57289.305068,-18.452,1.886,-151,285,o,0,2.35,334.24962,-18.20795,17.21,02a57289o0175o
57297.362004,20.687,1.632,19,32,o,0,1.22,334.24962,-18.20795,18.79,02a57297o0095o
57297.369647,-21.113,2.333,-13,30,o,0,1.13,334.24962,-18.20795,18.76,02a57297o0107o
57298.325902,19.468,0.403,59,24,o,0,1.58,334.24962,-18.20795,19.04,02a57298o0193o
57298.357321,19.884,0.615,40,25,o,0,1.31,334.24962,-18.20795,18.99,02a57298o0240o
57298.366202,-20.498,1.074,-23,25,o,0,1.15,334.24962,-18.20795,18.94,02a57298o0254o
57298.392637,-22.143,5.167,-5,26,o,0,1.12,334.24962,-18.20795,18.85,02a57298o0294o
57304.325317,-20.056,0.750,-34,26,c,0,1.30,334.24962,-18.20795,18.97,02a57304o0189c
57304.345767,-20.119,0.593,-32,19,c,0,2.22,334.24962,-18.20795,19.11,02a57304o0220c
57304.362046,-20.243,0.741,-29,22,c,0,1.36,334.24962,-18.20795,19.08,02a57304o0244c
57304.388974,-19.309,0.344,-69,24,c,0,1.14,334.24962,-18.20795,19.06,02a57304o0283c
57308.308997,-22.649,6.000,-3,19,c,0,1.20,334.24962,-18.20795,19.34,02a57308o0173c
57308.338205,0.000,20.735,0,18,c,0,1.27,334.24962,-18.20795,19.30,02a57308o0217c
57308.356251,-21.749,2.500,-7,18,c,0,1.31,334.24962,-18.20795,19.30,02a57308o0244c
57308.380388,-22.480,5.750,-4,21,c,0,0.95,334.24962,-18.20795,19.27,02a57308o0280c
57311.303437,22.238,4.500,5,21,c,0,1.35,334.24962,-18.20795,19.27,02a57311o0183c
57311.327826,20.098,0.600,33,20,c,0,1.42,334.24962,-18.20795,19.29,02a57311o0219c
57311.355884,-21.312,2.000,-11,22,c,0,0.81,334.24962,-18.20795,19.26,02a57311o0260c
57311.380227,-20.885,1.353,-16,22,c,0,1.04,334.24962,-18.20795,19.27,02a57311o0296c
57321.273934,-19.823,1.237,-43,53,o,0,1.43,334.24962,-18.20795,18.01,02a57321o0138o
57321.295222,-20.744,2.875,-18,53,o,0,1.26,334.24962,-18.20795,18.08,02a57321o0168o
57321.318790,19.558,0.984,54,54,o,0,1.06,334.24962,-18.20795,18.08,02a57321o0200o
57321.340819,19.289,0.713,70,50,o,0,1.39,334.24962,-18.20795,18.04,02a57321o0232o
57329.271895,-20.590,1.750,-21,37,o,0,1.08,334.24962,-18.20795,18.78,02a57329o0118o
57329.290201,19.662,0.658,50,33,o,0,1.38,334.24962,-18.20795,18.77,02a57329o0147o
57329.314894,19.734,0.805,46,37,o,0,0.86,334.24962,-18.20795,18.62,02a57329o0186o
57329.340688,20.230,1.103,29,32,o,0,1.19,334.24962,-18.20795,18.72,02a57329o0226o
57332.320394,-22.998,7.000,-2,16,c,0,1.58,334.24962,-18.20795,19.32,02a57332o0068c
