gmag,rmag,imag,zmag,ndet
99.99,99.99,21.4375,99.99,1
99.99,99.99,22.375,99.99,1
99.99,99.99,21.1875,99.99,1
99.99,99.99,21.796875,99.99,1
99.99,99.99,22.90625,99.99,1
99.99,99.99,17.515625,99.99,1
99.99,99.99,20.859375,99.99,1
99.99,99.99,19.25,99.99,1
99.99,99.99,18.28125,99.99,1
99.99,99.99,22.3125,99.99,1
99.99,99.99,20.828125,99.99,1
99.99,99.99,22.890625,99.99,1
99.99,99.99,22.375,99.99,1
99.99,99.99,22.234375,99.99,1
99.99,99.99,22.578125,99.99,1
99.99,99.99,22.84375,99.99,1
99.99,99.99,21.1875,99.99,1
99.99,99.99,22.21875,99.99,1
99.99,99.99,19.875,99.99,1
99.99,99.99,21.140625,99.99,1
99.99,99.99,21.140625,99.99,1
99.99,99.99,22.5,99.99,1
99.99,99.99,22.734375,99.99,1
99.99,99.99,22.4375,99.99,1
99.99,99.99,22.28125,99.99,1
99.99,99.99,22.265625,99.99,1
