mjd,filter,mag_auto,magerr_auto,exposure,class_star
56511.229767107405,r,23.377096,0.107804,c4d_130807_053051_ooi_r_a1,0.757976
56511.23242354812,r,23.118202,0.095654,c4d_130807_053441_ooi_r_a1,0.819258
56511.23508157488,r,23.045296,0.091254,c4d_130807_053831_ooi_r_a1,0.551215
56511.23772470513,r,23.321281,0.110916,c4d_130807_054219_ooi_r_a1,0.858521
56511.24037769437,r,23.443216,0.138813,c4d_130807_054608_ooi_r_a1,0.642962
57613.11856551282,z,22.31617,0.209405,c4d_160813_025301_ooi_z_ls9,0.556862
57613.119840883184,z,22.29377,0.179311,c4d_160813_025444_ooi_z_ls9,0.577047
57956.17326361826,g,23.29066,0.17571,c4d_170722_041151_ooi_g_ls9,0.69165
57987.0942532951,g,23.45247,0.147047,c4d_170822_021543_ooi_g_ls9,0.493285
58372.09764800966,r,23.132608,0.124684,c4d_180911_022036_ooi_r_ls9,0.490257
58372.106702204794,r,22.025906,0.072615,c4d_180911_023339_ooi_r_ls9,0.935121
58378.01707357261,z,21.393673,0.089978,c4d_180917_002435_ooi_z_ls9,0.919243
58406.02395952726,z,21.488087,0.108436,c4d_181015_003430_ooi_z_ls9,0.532745
58705.23448367976,i,20.579052,0.03715,c4d_190810_053739_ooi_i_v1,0.968444
58705.23875514185,i,20.62024,0.034133,c4d_190810_054348_ooi_i_v1,0.976845
