objectid,mjd,mag_auto,magerr_auto,filter,exposure
121553_39,56511.229767107405,23.377096,0.107804,r,c4d_130807_053051_ooi_r_a1
121553_39,56511.23242354812,23.118202,0.095654,r,c4d_130807_053441_ooi_r_a1
121553_39,56511.23508157488,23.045296,0.091254,r,c4d_130807_053831_ooi_r_a1
121553_39,56511.23772470513,23.321281,0.110916,r,c4d_130807_054219_ooi_r_a1
121553_39,56511.24037769437,23.443216,0.138813,r,c4d_130807_054608_ooi_r_a1
121553_39,57613.11856551282,22.31617,0.209405,z,c4d_160813_025301_ooi_z_ls9
121553_39,57613.119840883184,22.29377,0.179311,z,c4d_160813_025444_ooi_z_ls9
121553_39,57956.17326361826,23.29066,0.17571,g,c4d_170722_041151_ooi_g_ls9
121553_39,57987.0942532951,23.45247,0.147047,g,c4d_170822_021543_ooi_g_ls9
121553_39,58372.09764800966,23.132608,0.124684,r,c4d_180911_022036_ooi_r_ls9
121553_39,58372.106702204794,22.025906,0.072615,r,c4d_180911_023339_ooi_r_ls9
121553_39,58378.01707357261,21.393673,0.089978,z,c4d_180917_002435_ooi_z_ls9
121553_39,58406.02395952726,21.488087,0.108436,z,c4d_181015_003430_ooi_z_ls9
121553_39,58705.23448367976,20.579052,0.03715,i,c4d_190810_053739_ooi_i_v1
121553_39,58705.23875514185,20.62024,0.034133,i,c4d_190810_054348_ooi_i_v1
