tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
ztf,58732.23034719983,978230345315015004,2,978230345315,20.086458,1,978,0.56405145,19.341192,19.251146,,19.1969,,0.1058014,0.09644727,0.097380675,0.1901,,326.8283177,-13.4746846,0.93714285,t17_f5_c3,0.9999329,18.9539,0.1949,340120253.0,False,True,False,,bulk_1.0.0,0.0,9.78300115315015e+17
ztf,58732.30011569988,978300115315015003,1,978300115315,20.303291,1,978,4.0199423,19.79835,,,19.8292,,0.1954671,,,0.2325,,326.8283323,-13.4747069,0.85571426,t17_f5_c3,0.9999999,19.6608,0.2554,340120153.0,True,False,False,,bulk_1.0.0,0.0,0.0
ztf,58758.29471059982,1004294715315015003,2,1004294715315,19.9018,1,1004,0.479494,20.2648,20.06463,,20.159,,0.26943,0.22225343,0.22406739,0.4736,,326.8284076,-13.4747589,0.545714,t17_f5_c3,,19.69,0.395,,False,True,False,,bulk_1.0.0,0.0,1.020182695315015e+18
ztf,58761.20482640015,1007204825315015005,2,1007204825315,19.913,1,1007,0.83283,20.097,19.923328,,19.8438,,0.296662,0.25157228,0.2528096,0.3723,,326.8282364,-13.4746109,0.348571,t17_f5_c3,,19.737,0.433,,False,True,False,,bulk_1.0.0,0.0,1.020182695315015e+18
ztf,58774.18269680021,1020182695315015004,1,1020182695315,19.69788,1,1020,4.1062884,19.179407,,,19.2532,,0.15085985,,,0.1933,,326.8283667,-13.4747183,0.83,t17_f5_c3,0.9999893,19.0711,0.2095,340120153.0,False,False,False,,bulk_1.0.0,0.0,1.020183141415015e+18
ztf,58774.18314810004,1020183141415015019,1,1020183141415,19.729643,1,1020,12.071147,19.266098,,,19.3618,,0.16618283,,,0.2339,,326.8284043,-13.4746218,0.9185714,t17_f5_c3,0.9999995,19.5319,0.3505,391120114.0,False,False,False,,bulk_1.0.0,0.0,1.020191095315015e+18
ztf,58774.19109949982,1020191095315015005,2,1020191095315,19.446548,1,1020,0.4915594,19.440912,19.342585,,19.6417,,0.17526469,0.15941958,0.1600897,0.3189,,326.828334,-13.4746572,0.56857145,t17_f5_c3,0.9933109,19.6407,0.4088,340120253.0,False,True,False,,bulk_1.0.0,0.0,1.020191551415015e+18
ztf,58774.19155090023,1020191551415015023,2,1020191551415,19.473856,1,1020,0.5439899,19.417778,19.304739,,19.4454,,0.18426453,0.1653901,0.166045,0.303,,326.8283241,-13.4746279,0.78571427,t17_f5_c3,0.99988043,19.5399,0.4239,391120214.0,True,True,False,,bulk_1.0.0,0.0,0.0
ztf,58785.2321295999,1031232121415015009,2,1031232121415,19.4387,1,1031,0.673054,19.8974,19.726313,,19.8118,,0.304227,0.2589645,0.259874,0.4823,,326.8284443,-13.4747334,0.475714,t17_f5_c3,,19.5102,0.4696,,False,True,False,,bulk_1.0.0,0.0,1.058125985315015e+18
ztf,58785.232580999844,1031232585315015003,2,1031232585315,19.4385,1,1031,1.18129,19.8738,19.73037,,19.5774,,0.243711,0.21252504,0.2135516,0.373,,326.8281579,-13.4747647,0.522857,t17_f5_c3,,19.2894,0.3675,,False,True,False,,bulk_1.0.0,0.0,1.058125985315015e+18
