mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
58732.23034719983,2,19.341192,0.1058014,326.8283177,-13.4746846,1,0.56405145,19.251146,r,2019
58732.30011569988,1,19.79835,0.1954671,326.8283323,-13.4747069,1,4.0199423,,g,2019
58758.29471059982,2,20.2648,0.26943,326.8284076,-13.4747589,1,0.479494,20.06463,r,2019
58761.20482640015,2,20.097,0.296662,326.8282364,-13.4746109,1,0.83283,19.923328,r,2019
58774.18269680021,1,19.179407,0.15085985,326.8283667,-13.4747183,1,4.1062884,,g,2019
58774.18314810004,1,19.266098,0.16618283,326.8284043,-13.4746218,1,12.071147,,g,2019
58774.19109949982,2,19.440912,0.17526469,326.828334,-13.4746572,1,0.4915594,19.342585,r,2019
58774.19155090023,2,19.417778,0.18426453,326.8283241,-13.4746279,1,0.5439899,19.304739,r,2019
58785.2321295999,2,19.8974,0.304227,326.8284443,-13.4747334,1,0.673054,19.726313,r,2019
58785.232580999844,2,19.8738,0.243711,326.8281579,-13.4747647,1,1.18129,19.73037,r,2019
58802.17194439983,1,19.6723,0.285715,326.8284351,-13.4747104,1,4.20288,,g,2019
58812.089513900224,2,19.515833,0.20666277,326.8283565,-13.4746979,1,0.45602757,19.41081,r,2019
58812.12598379981,1,19.382963,0.18282656,326.8283846,-13.4747556,1,4.251978,,g,2019
59114.20884260023,1,19.326263,0.12426178,326.8283447,-13.4746882,1,11.946819,,g,2020
59114.231932899915,1,19.260452,0.11180255,326.8283673,-13.4747039,1,4.062555,,g,2020
59114.27295139991,2,19.17636,0.114194036,326.8283513,-13.4746814,1,0.4515964,19.098553,r,2020
59114.27342589991,2,19.251038,0.11361715,326.8283246,-13.4746918,1,0.3663795,19.153389,r,2020
59124.166504600085,1,18.8886,0.170735,326.8283103,-13.4747081,1,3.98165,,g,2020
59124.16696760012,1,18.756165,0.17804046,326.8284032,-13.4747392,1,11.694175,,g,2020
59128.23203699989,2,18.591412,0.08695244,326.8283481,-13.4746854,1,0.46360996,18.54534,r,2020
59128.263981500175,2,19.16785,0.1386132,326.8283729,-13.4746668,1,0.54262376,19.077112,r,2020
59128.28037039982,1,19.339693,0.18180738,326.8283706,-13.474705,1,11.859019,,g,2020
59128.29081019992,1,19.020956,0.14739735,326.8283574,-13.4746716,1,3.9459321,,g,2020
59130.168587999884,1,19.074583,0.115544334,326.8283885,-13.4746935,1,4.0670953,,g,2020
59130.169999999925,1,18.927326,0.09262604,326.8283609,-13.474693,1,11.9194565,,g,2020
59130.192245400045,2,18.645767,0.07781187,326.8283491,-13.4746816,1,0.43506733,18.58878,r,2020
59130.270115700085,2,18.980747,0.103696495,326.8283477,-13.4747189,1,0.52022207,18.915392,r,2020
59134.190497700125,2,18.669127,0.079454094,326.8283451,-13.4747015,1,0.49842218,18.619713,r,2020
59134.19329860015,2,18.5575,0.07284845,326.8283728,-13.474735,1,0.43176997,18.504856,r,2020
59134.22653939994,1,18.956276,0.08688644,326.8283647,-13.4747219,1,11.814479,,g,2020
59136.12950230017,1,18.838175,0.09144357,326.8283678,-13.4747068,1,4.071394,,g,2020
59136.19087960012,2,18.740799,0.07946088,326.8283493,-13.474727,1,0.34856847,18.678745,r,2020
59136.212303199805,1,19.0652,0.10225845,326.8283477,-13.474695,1,11.92897,,g,2020
59138.12026620004,2,18.926962,0.09384578,326.8283702,-13.4747055,1,0.45363954,18.853683,r,2020
59138.127199099865,2,19.28568,0.12369571,326.8283389,-13.4747025,1,0.5221697,19.19995,r,2020
59138.19053239981,1,19.304348,0.14336385,326.8283523,-13.4746977,1,4.018238,,g,2020
59138.19427079987,1,19.225111,0.14434488,326.8283608,-13.4747026,1,11.883002,,g,2020
59140.12675930001,2,19.129915,0.10332606,326.828335,-13.4746685,1,0.49472356,19.055258,r,2020
59140.12817130005,2,19.009174,0.1023806,326.8283423,-13.4746917,1,0.40501475,18.930338,r,2020
59140.176666699816,1,19.64592,0.13874999,326.8284068,-13.4746658,1,4.0165462,,g,2020
59140.1771296002,1,19.565435,0.1212697,326.8283756,-13.474679,1,11.933818,,g,2020
59142.147118099965,2,19.033653,0.1315685,326.8284009,-13.4747248,1,0.5347287,18.953083,r,2020
59142.147118099965,2,19.033653,0.1315685,326.8284009,-13.4747248,1,0.5347287,18.953083,r,2020
59142.16989579983,1,19.221647,0.10439366,326.8283506,-13.4746786,1,11.9747,,g,2020
59142.16989579983,1,19.221647,0.10439366,326.8283506,-13.4746786,1,11.9747,,g,2020
59143.12997689983,2,18.613007,0.07359892,326.8283365,-13.4746834,1,0.5047581,18.566029,r,2020
59143.19180560019,1,18.834602,0.09286146,326.82837,-13.4746892,1,4.022063,,g,2020
59144.1650231001,1,18.762667,0.17367792,326.8283692,-13.4746867,1,11.921341,,g,2020
59145.16912040021,2,18.747707,0.06810042,326.8283421,-13.4747111,1,0.5289315,18.694674,r,2020
59145.21844909992,1,19.367882,0.14784986,326.82835,-13.4746699,1,3.9282205,,g,2020
59146.16839119978,2,19.035248,0.18197483,326.8283245,-13.474626,1,0.55053204,18.954563,r,2020
59149.19048610004,2,19.1142,0.28754,326.8282684,-13.4748574,1,1.04963,19.04058,r,2020
59150.16555560008,1,19.180777,0.15074979,326.8284224,-13.4747575,1,11.606181,,g,2020
59150.190347199794,2,18.774181,0.14814354,326.828373,-13.4746541,1,0.57266605,18.710245,r,2020
59150.221226899885,2,18.878561,0.19500977,326.8284894,-13.4747449,1,0.37208754,18.818916,r,2020
59151.14781250013,1,18.95798,0.17933959,326.8283537,-13.4747145,1,11.854828,,g,2020
59151.14827550016,1,19.078503,0.1786389,326.8284353,-13.4748009,1,4.4783487,,g,2020
59151.243761599995,2,19.2952,0.321931,326.8280644,-13.474884,1,0.775217,19.193682,r,2020
59151.2442361,2,19.3084,0.259379,326.8282233,-13.474835,1,1.1099,19.220926,r,2020
59152.189930600114,2,18.6644,0.098575,326.828313,-13.4747104,1,0.612388,18.615196,r,2020
59152.202442099806,2,18.7931,0.147262,326.8283582,-13.4746737,1,0.48817,18.728073,r,2020
59153.147962999996,1,19.5188,0.253124,326.8283455,-13.4746175,1,3.75906,,g,2020
59154.14755789982,2,18.733843,0.09891094,326.8283696,-13.4747265,1,0.42700255,18.672173,r,2020
59154.1948958002,2,18.828365,0.1417331,326.8283475,-13.474696,1,0.4901018,18.771347,r,2020
59157.171192099806,1,19.131834,0.15743345,326.8283134,-13.4746809,1,3.9013133,,g,2020
59158.126921299845,2,19.043629,0.117807105,326.8283419,-13.4746716,1,0.47366086,18.974497,r,2020
59158.14406249998,2,18.791403,0.093659244,326.8283896,-13.47469,1,0.5444166,18.726475,r,2020
59164.12612270005,2,19.364054,0.15942857,326.8283342,-13.4747747,1,0.6803903,19.27217,r,2020
59164.12753470009,2,19.553244,0.15554313,326.8283977,-13.4747396,1,0.51268065,19.426031,r,2020
59165.087245400064,2,18.791864,0.09159944,326.8283338,-13.4747148,1,0.5547264,18.736683,r,2020
59165.08770829998,2,18.864548,0.09865692,326.8283403,-13.4746795,1,0.42065513,18.795237,r,2020
59165.15053239977,1,18.97974,0.101295166,326.8283804,-13.4746756,1,11.933244,,g,2020
59165.15193289984,1,19.155287,0.1040888,326.8283565,-13.4746631,1,3.9181218,,g,2020
59167.10644679982,2,19.37097,0.15922678,326.828338,-13.474627,1,0.4771314,19.278522,r,2020
59167.12071759999,2,19.015354,0.1045308,326.8283322,-13.4747031,1,0.36229768,18.936083,r,2020
59167.147465299815,1,19.103632,0.124599144,326.8283542,-13.4746838,1,3.9782333,,g,2020
59167.14793979982,1,19.01421,0.10821329,326.8283546,-13.4746933,1,11.919216,,g,2020
59168.09714120021,1,19.7729,0.260478,326.8284063,-13.4746629,1,4.00665,,g,2020
59168.10238429997,1,19.93361,0.18573642,326.8283671,-13.4746874,1,11.9161825,,g,2020
59168.125231499784,2,18.714548,0.07198232,326.8283804,-13.4746877,1,0.3673982,18.663073,r,2020
59168.167083300184,2,19.533613,0.15425737,326.8284421,-13.474654,1,0.7694856,19.408554,r,2020
59170.102881900035,1,19.591467,0.133087,326.8283752,-13.4747494,1,4.216992,,g,2020
59170.1097569,2,19.358088,0.123973705,326.8283288,-13.474666,1,0.438021,19.250805,r,2020
59170.11021990003,2,19.290417,0.11882808,326.8283391,-13.474676,1,0.4866368,19.204325,r,2020
59170.16424770001,1,19.532856,0.18638471,326.8283308,-13.4746801,1,12.003513,,g,2020
59172.09439809993,1,19.478277,0.14285098,326.8283294,-13.4746955,1,3.973044,,g,2020
59172.10642360011,1,19.68665,0.13243586,326.8283519,-13.4746815,1,11.959131,,g,2020
