tid,mjd,fid,diffmaglim
ztf,58702.376944399904,2,18.1535
ztf,58702.37739579985,2,18.1052
ztf,58705.3928704001,1,20.4004
ztf,58705.393321800046,1,20.2618
ztf,58705.44094910007,2,19.8497
ztf,58705.44230319979,2,19.8642
ztf,58708.42054399988,1,19.1243
ztf,58708.4214583002,1,19.1519
ztf,58714.24196759984,1,19.515
ztf,58714.24243059987,1,19.5807
ztf,58717.37760420004,1,19.8581
ztf,58717.378611099906,1,19.762
ztf,58720.37096060021,2,19.9925
ztf,58720.3993286998,1,19.9936
ztf,58720.39978010021,1,19.9209
ztf,58724.37180559989,2,19.9839
ztf,58724.372256900184,2,19.483
ztf,58744.3577430998,2,19.4187
ztf,58747.25339120021,2,20.0927
ztf,58747.253842600156,2,19.8476
ztf,58747.29802080011,1,19.7756
ztf,58747.2989236,1,19.8258
ztf,58750.25578700006,2,19.6486
ztf,58750.256238400005,2,19.5321
ztf,58754.20432869997,2,19.6825
ztf,58754.27231479995,1,20.3462
ztf,58757.27465280006,2,19.9739
ztf,58761.20528940018,2,19.4544
ztf,58761.25151620014,1,19.9951
ztf,58767.18945599999,2,18.4446
ztf,58767.18990739994,2,18.2054
ztf,58771.18376159994,1,19.1531
ztf,58771.184212999884,1,19.0874
ztf,58771.25321759982,2,19.0678
ztf,58771.25366900023,2,18.9498
ztf,58789.18170139985,1,19.7852
ztf,58789.21068290016,2,19.5581
ztf,58789.22502310015,2,19.4829
ztf,58794.14725690009,1,19.1261
ztf,58795.12731479993,1,19.1838
ztf,58797.12710649986,1,19.1771
ztf,58798.19031250011,2,18.8824
ztf,58801.23233800009,2,18.7852
ztf,58804.19115740014,1,19.0757
ztf,58804.2113194,2,18.486
ztf,58805.17293980019,1,19.2995
ztf,59088.353205999825,1,19.8832
ztf,59088.3562384001,2,19.6583
ztf,59095.29343750002,1,18.777
ztf,59095.29390050005,1,18.7133
ztf,59095.37604170013,2,18.6323
ztf,59099.35748839984,1,19.4295
ztf,59099.35796299996,1,19.1596
ztf,59108.29017359996,1,19.6151
ztf,59108.29157410003,1,19.6029
ztf,59111.25358799985,2,20.1072
ztf,59111.25405090023,2,20.0966
ztf,59111.31707180012,1,20.0062
ztf,59111.317534700036,1,19.9649
ztf,59150.16603010008,1,19.2042
ztf,59151.243761599995,2,18.9545
ztf,59152.23787039984,1,18.9171
ztf,59152.23833330022,1,18.9467
ztf,59153.085243099835,2,19.5918
ztf,59154.19804400019,1,18.8471
ztf,59157.22597219981,2,19.3986
ztf,59158.24929400021,1,18.6834
ztf,59164.2288079001,1,19.0208
ztf,59180.16556710005,1,18.3621
ztf,59181.164293999784,1,18.5622
ztf,59182.127210599836,1,19.1773
ztf,59183.14745370019,1,18.7238
ztf,59185.123773099855,1,19.1199
ztf,59186.14782410022,1,18.6178
ztf,59740.41957180016,1,20.2627
ztf,59740.42004630016,1,20.4023
ztf,59742.39811340021,2,19.2901
ztf,59742.3995254999,2,19.2686
ztf,59742.43901620014,1,19.5238
ztf,59742.441423600074,1,19.792
ztf,59744.379201400094,2,18.9542
ztf,59744.398888899945,2,18.9093
ztf,59744.439976899885,1,18.6491
ztf,59750.37483800016,2,19.4714
ztf,59750.37531250017,2,19.4323
ztf,59750.41749999998,1,19.7159
ztf,59750.41843750002,1,19.7689
ztf,59752.41322920006,2,20.0004
ztf,59752.414178200066,2,19.7973
ztf,59752.433888900094,1,20.0017
ztf,59752.43873840012,1,20.0616
ztf,59756.389895800035,2,20.3236
ztf,59756.391307900194,2,20.1739
ztf,59756.45805560006,1,20.4412
ztf,59758.40256940015,2,19.5875
ztf,59758.43770830007,2,19.5903
ztf,59759.43434030004,1,20.3482
ztf,59760.41773150023,2,19.6482
ztf,59761.41990739992,1,19.9987
ztf,59762.42094910005,3,19.7781
ztf,59762.440497700125,3,19.6418
ztf,59763.33966440009,2,19.9537
ztf,59763.441064800136,1,20.5293
ztf,59764.40912039997,1,20.5043
ztf,59765.419386600144,1,20.5776
ztf,59766.37623840012,2,20.1854
ztf,59766.415879600216,1,20.4336
ztf,59785.37887729984,2,20.4495
ztf,59785.42193289986,1,20.6292
ztf,59786.37429400021,2,20.3409
ztf,59787.35204860009,2,20.1123
ztf,59787.35822919989,1,20.6287
ztf,59789.35178240016,2,20.1794
ztf,59790.37905090023,2,19.0155
ztf,59793.2972916998,1,17.0371
ztf,59794.33749999991,2,20.1669
ztf,59795.365266200155,2,20.5037
ztf,59795.40109949978,1,20.4202
ztf,59797.35726850014,2,20.3668
ztf,59798.37865740014,1,20.3543
ztf,59800.3577430998,1,18.6308
ztf,59800.4196295999,2,20.2333
ztf,59800.44295139983,2,19.9959
ztf,59802.40414350014,1,18.8873
ztf,59802.45136569999,2,18.9039
ztf,59805.33366899984,2,19.165
ztf,59805.41702549998,1,19.1232
ztf,59806.35606480017,2,19.7661
ztf,59807.31535879988,2,19.7988
ztf,59808.33737270022,2,20.0755
ztf,59809.305937500205,2,19.8589
ztf,59809.371423599776,1,19.7207
ztf,59810.30623839982,2,19.0967
ztf,59811.272083300166,1,20.2584
ztf,59811.33474540012,2,20.1623
ztf,59812.29464119999,1,20.5232
ztf,59812.33799770009,2,20.3774
ztf,59813.27082179999,2,20.1087
ztf,59814.26123839989,2,20.2589
ztf,59814.299444399774,1,20.529
ztf,59815.30255790008,2,20.2454
ztf,59816.272638900205,1,20.3275
ztf,59816.32613429986,2,20.3608
ztf,59818.29363430012,2,20.2535
ztf,59820.284826400224,1,20.5784
ztf,59820.28528939979,1,20.4781
ztf,59822.2732406999,2,19.7188
ztf,59822.27371530002,2,19.8398
ztf,59822.3165972,1,20.1257
ztf,59822.31707180012,1,20.2362
ztf,59824.26182870008,1,20.2701
ztf,59824.262303200085,1,20.3731
ztf,59824.295057899784,2,20.2197
ztf,59824.29553239979,2,20.1722
ztf,59826.27478010021,2,19.9122
ztf,59826.317534700036,1,20.2321
ztf,59826.31800930016,1,20.3826
ztf,59829.16732640006,2,18.7457
ztf,59829.17299770005,2,18.6046
ztf,59829.334965299815,1,18.8866
ztf,59829.33543979982,1,19.0499
ztf,59839.210266199894,1,20.3421
ztf,59839.2107406999,1,20.5679
ztf,59839.27335650008,1,20.1799
ztf,59839.273831000086,1,20.264
ztf,60097.43934029993,1,19.2578
ztf,60097.43981479993,1,19.362
ztf,60099.412488400005,2,18.9926
