oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
340214200010651,60927215,2458363.7779553053,58363.272152799997,20.4812393,0.179979473,0,zr,326.82843259999999,-13.474390400000001,1.204,0.289000005,20180902272141,340,0xe,0x2,20.5900002,26.1322689,0.0266928505,0.0737202838,8.48247328e-06,30,1.57000005,1
340214200010651,61231519,2458366.8209102615,58366.315196800002,20.1456165,0.146642432,0,zr,326.82830669999998,-13.474660399999999,0.994000018,-0.0379999988,20180905315185,340,0xe,0x2,21.2800007,26.1446819,0.0223987978,0.096363619,6.11723044e-06,30,1.63100004,1
340214200010651,61536310,2458369.8687112471,58369.363101900002,20.3601208,0.167873219,0,zr,326.8282208,-13.4745822,1.47500002,-0.254000008,20180908363079,340,0xe,0x2,20.6499996,26.1103535,0.0232352763,0.0857425034,6.64468052e-06,30,2.0150001,1
340214200010651,94236615,2458696.8719691001,58696.3661574,20.9165421,0.218986034,0,zr,326.82833840000001,-13.474729099999999,1.02999997,-0.25999999,20190801366146,340,0xe,0x2,21.5,26.0631027,0.0210879371,0.0940045938,5.47302261e-06,30,1.56299996,1
340214200010651,97823034,2458732.7360394299,58732.230347199999,19.2748241,0.0779636279,0,zr,326.82834689999999,-13.4746629,0.499000013,-0.0430000015,20190906229988,340,0xe,0x2,21.0400009,25.9981918,0.0258519202,0.0906752646,8.21069534e-06,30,1.63399994,1
340214200010651,99325339,2458747.7584167686,58747.2533912,20.5101871,0.182727695,0,zr,326.82836839999999,-13.474743399999999,0.449000001,-0.155000001,20190921253391,340,0xe,0x2,20.9699993,26.0152073,0.022331031,0.0977239311,6.0360735e-06,30,1.58000004,1
340214200010651,100429471,2458758.7990400516,58758.294710599999,20.134861,0.145603836,0,zr,326.82840779999998,-13.474679,0.614000022,0.119000003,20191002294676,340,0xe,0x2,20.7000008,26.0258274,0.022623593,0.0922171846,6.17277738e-06,30,1.96899998,1
340214200010651,100720482,2458761.7089464166,58761.204826399997,19.8938332,0.12338037,0,zr,326.82825969999999,-13.474621300000001,0.989000022,-0.057,20191005204826,340,0xe,0x2,20.6900005,26.0510426,0.0239664707,0.0993340611,6.87433112e-06,30,1.56700003,1
340214200010651,102019109,2458774.6941726794,58774.1910995,19.2708244,0.0777266622,0,zr,326.82825270000001,-13.474580700000001,0.591000021,0.0920000002,20191018191100,340,0xe,0x2,19.9400005,26.0949116,0.0430047736,0.0757009983,2.24702362e-05,30,1.60500002,1
340214200010651,102318954,2458777.6923574293,58777.189548599999,19.7389545,0.110364288,0,zr,326.82847149999998,-13.474664600000001,0.259000003,-0.0160000008,20191021189549,340,0xe,0x2,20.3700008,26.0479565,0.0259374883,0.0988448858,8.23073424e-06,30,1.625,1
340214200010651,105808951,2458812.5889200522,58812.089513899999,19.3378448,0.0817885622,0,zr,326.82837280000001,-13.474690000000001,0.656000018,-0.0879999995,20191125089514,340,0xe,0x2,20.3500004,26.0298328,0.0275555849,0.0956901982,9.3573999e-06,30,1.61099994,1
340214200010651,136027295,2459114.7778765261,59114.272951400002,19.1375809,0.0702219307,0,zr,326.82833590000001,-13.474651,0.788999975,0.0520000011,20200922272766,340,0xe,0x2,21,26.0413609,0.0242073219,0.100299388,6.90173101e-06,30,1.64699996,1
340214200010651,137423203,2459128.7360246475,59128.232037000002,18.5629253,0.0455069914,0,zr,326.82836659999998,-13.474677399999999,0.639999986,-0.0579999983,20201006232037,340,0xe,0x2,20.5699997,26.0984097,0.0262243208,0.0940349922,8.25787265e-06,30,1.63900006,1
340214200010651,137627011,2459130.7739468012,59130.270115699997,18.9277649,0.0598497614,0,zr,326.82836129999998,-13.4747103,0.864000022,-0.0170000009,20201008270116,340,0xe,0x2,20.8799992,26.1827488,0.0239555873,0.0943127722,6.74202101e-06,30,1.90999997,1
340214200010651,138019049,2459134.69401517,59134.190497700001,18.6384525,0.0481299423,0,zr,326.82833019999998,-13.474664900000001,0.49000001,0.00899999961,20201012190498,340,0xe,0x2,20.7800007,26.1731262,0.0227855984,0.0953142196,6.13799284e-06,30,1.57700002,1
340214200010651,138412719,2459138.6303860759,59138.127199100003,19.1887703,0.073017098,0,zr,326.82835299999999,-13.474682899999999,0.488000005,-0.0649999976,20201016127188,340,0xe,0x2,21.0100002,25.9966812,0.0246204529,0.0991623029,7.21043853e-06,30,1.61099994,1
340214200010651,138612675,2459140.6297729304,59140.126759300001,19.0533428,0.0658529773,0,zr,326.82835990000001,-13.4746591,1.16700006,0.0560000017,20201018126748,340,0xe,0x2,21.3600006,26.1449146,0.0235341918,0.0929822624,6.58450745e-06,30,1.59800005,1
340214200010651,138912997,2459143.6327238469,59143.129976900003,18.5705013,0.0457625762,0,zr,326.82834769999999,-13.474673599999999,1.17499995,-0.0379999988,20201021129375,340,0xe,0x2,21.3700008,26.1850071,0.0238704775,0.095640935,6.91078867e-06,30,1.57000005,1
340214200010651,139116912,2459145.6716822833,59145.169120400002,18.6917763,0.0500850268,0,zr,326.82834939999998,-13.474692900000001,0.64200002,-0.0309999995,20201023169109,340,0xe,0x2,20.9099998,26.2077084,0.0221553631,0.0949441642,5.83255951e-06,30,1.58500004,1
