MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,snr
57222.481571,-21.734,2.7,-7,20,o,0,1.06,313.22651,-14.84044,4121.22,9307.21,3.58,3.42,-57.3,-0.454,19.26,20.91,02a57222o0265o,-0.35
57222.493355,-22.496,5.0,-4,18,o,0,1.29,313.22651,-14.84044,4122.41,9309.39,3.55,3.41,-66.4,-0.459,19.27,20.92,02a57222o0282o,-0.2222222222222222
57222.504992,20.579,0.897,21,19,o,0,1.35,313.22651,-14.84044,4123.65,9311.38,3.56,3.43,-58.3,-0.453,19.26,20.9,02a57222o0299o,1.105263157894737
57222.516576,21.99,3.0,6,17,o,0,1.4,313.22651,-14.84044,4125.66,9313.65,3.55,3.4,-63.3,-0.451,19.26,20.91,02a57222o0316o,0.35294117647058826
57227.334297,-19.421,0.521,-62,32,o,0,0.84,313.22651,-14.84044,8450.58,1348.88,3.73,3.53,43.3,-0.5,18.88,20.31,02a57227o0019o,-1.9375
57227.337905,19.598,0.635,53,33,o,0,1.06,313.22651,-14.84044,4010.8,9806.65,4.26,3.89,-50.4,-0.421,18.8,20.37,02a57227o0024o,1.606060606060606
57227.342849,21.32,2.909,11,31,o,0,0.88,313.22651,-14.84044,8451.24,1351.32,4.02,3.75,30.8,-0.493,18.87,20.37,02a57227o0031o,0.3548387096774194
57227.34785,19.216,0.381,75,28,o,0,1.09,313.22651,-14.84044,4012.03,9809.07,4.0,3.69,-55.3,-0.417,18.9,20.39,02a57227o0038o,2.6785714285714284
57227.370054,19.946,0.667,38,25,o,0,0.99,313.22651,-14.84044,5461.59,8347.3,3.92,3.52,-73.0,-0.452,18.98,20.52,02a57227o0063o,1.52
57227.377238,-20.964,1.5,-15,22,o,0,1.45,313.22651,-14.84044,1048.74,1495.7,4.22,3.57,-36.6,-0.455,18.97,20.48,02a57227o0073o,-0.6818181818181818
57227.388529,19.935,0.511,38,20,o,0,1.27,313.22651,-14.84044,5468.34,8350.65,3.89,3.45,-73.9,-0.453,19.05,20.61,02a57227o0089o,1.9
57227.396294,20.702,1.182,19,22,o,0,1.64,313.22651,-14.84044,1054.85,1497.32,4.0,3.49,-39.7,-0.469,19.05,20.58,02a57227o0100o,0.8636363636363636
57228.435757,-19.432,0.44,-61,27,o,0,0.8,313.22651,-14.84044,9250.87,9928.97,3.65,3.31,-77.5,-0.459,18.99,20.34,02a57228o0225o,-2.259259259259259
57228.457146,20.384,1.065,26,27,o,0,0.89,313.22651,-14.84044,671.16,139.64,3.89,3.51,-51.4,-0.451,19.05,20.5,02a57228o0249o,0.9629629629629629
