mjd,jd,timescale,band,mag_diff_AB,magerr_diff,mag_total_AB,magerr_total,mag_template_AB,survey,status,note
55027.444746,2455027.944746,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55027.45542,2455027.95542,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55089.3038,2455089.8038,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55089.31126,2455089.81126,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55089.31201,2455089.81201,UTC,i,,,21.591,0.27,,PS1 DR2 detection,ARTIFACT,REJECTED: psfQfPerfect~0.64; masked columns in warp; NOT reproduced in same-night partner warp (SNR 2.3 / 0.9)
55397.43978,2455397.93978,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55397.44926,2455397.94926,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55397.45063,2455397.95063,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55442.28587,2455442.78587,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55442.28653,2455442.78653,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55442.29707,2455442.79707,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55442.29774,2455442.79774,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
55443.28466,2455443.78466,UTC,i,,,>21.5,,,PS1 warp,NONDETECTION,approx single-warp 5-sigma limit i~21.5 (typical); no credible source at position
