file,band,mjd,ap_npx,flux,snr,note
wrp_i_55027_44475.fits,i,55027.4447456935,29.0,-204.1,-2.0,
wrp_i_55027_45542.fits,i,55027.4558108924,29.0,-9.3,-0.09,
wrp_55089_30380.fits,i,55089.3042010566,29.0,205.8,2.45,
wrp_i_55089_30380.fits,i,55089.3042010566,29.0,205.8,2.45,
wrp_55089_31126.fits,i,55089.3116629878,24.0,313.9,3.69,
wrp_i_55089_31126.fits,i,55089.3116629878,24.0,313.9,3.69,
wrp_i_55397_43978.fits,i,55397.4401779301,29.0,60.3,0.84,
cutouts/wrp_i_55397_44926.fits,i,55397.4496619628,,,,masked
wrp_i_55397_45063.fits,i,55397.4510191976,29.0,77.8,1.09,
wrp_55442_28587.fits,i,55442.2862625117,29.0,47.2,0.8,
wrp_i_55442_28587.fits,i,55442.2862625117,29.0,47.2,0.8,
cutouts/wrp_i_55442_28653.fits,i,55442.2869319351,,,,masked
wrp_i_55442_29707.fits,i,55442.2974753357,29.0,107.0,1.7,
cutouts/wrp_i_55442_29774.fits,i,55442.2981464341,,,,masked
wrp_i_55443_28466.fits,i,55443.2850658828,29.0,79.7,1.24,
cutouts/wrp_i_55443_28535.fits,i,55443.2857429433,,,,masked
wrp_i_55443_29568.fits,i,55443.2960794941,29.0,100.0,1.49,
cutouts/wrp_i_55443_29635.fits,i,55443.2967553325,,,,masked
wrp_i_55762_48675.fits,i,55762.4871486071,29.0,43.3,0.52,
cutouts/wrp_i_55762_48741.fits,i,55762.4878104972,,,,masked
wrp_i_55762_49733.fits,i,55762.4977199497,29.0,-23.0,-0.26,
cutouts/wrp_i_55762_49799.fits,i,55762.4983844279,,,,masked
wrp_i_55789_42509.fits,i,55789.425087371,29.0,-40.4,-0.43,
cutouts/wrp_i_55789_43667.fits,i,55789.437066542,,,,masked
cutouts/wrp_i_56137_47705.fits,i,56137.477458323,,,,masked
cutouts/wrp_i_56137_48844.fits,i,56137.488848146,,,,masked
wrp_56472_50426.fits,i,56472.5046716722,28.0,315.6,3.39,
wrp_i_56472_50426.fits,i,56472.5046716722,28.0,315.6,3.39,
wrp_56472_51576.fits,i,56472.5161797739,29.0,149.9,1.73,
wrp_i_56472_51576.fits,i,56472.5161797739,29.0,149.9,1.73,
wrp_56475_52637.fits,i,56475.5267723409,29.0,144.3,1.95,
wrp_i_56475_52637.fits,i,56475.5267723409,29.0,144.3,1.95,
wrp_i_56475_53743.fits,i,56475.5378398587,29.0,13.0,0.18,
wrp_i_56527_38631.fits,i,56527.3867172051,29.0,36.4,0.4,
wrp_i_56873_38591.fits,i,56873.3859141651,29.0,120.4,2.05,
wrp_i_56873_39858.fits,i,56873.3989841199,29.0,-14.0,-0.22,
wrp_i_56873_41163.fits,i,56873.4120449578,29.0,122.3,1.92,
wrp_i_56874_42416.fits,i,56874.4241624186,29.0,-73.5,-0.97,
wrp_i_56874_43670.fits,i,56874.4371171068,29.0,71.2,1.0,
wrp_i_56874_46258.fits,i,56874.4629871267,29.0,79.6,1.16,
wrp_i_56885_42895.fits,i,56885.4293519581,29.0,106.2,1.28,
wrp_i_56885_44203.fits,i,56885.4424316767,29.0,-78.8,-1.11,
wrp_i_56885_45510.fits,i,56885.455513781,29.0,-167.4,-2.0,
wrp_i_56885_46815.fits,i,56885.4685623971,29.0,2.9,0.04,
cutouts/wrp_i_56912_28744.fits,i,56912.2878506883,,,,masked
cutouts/wrp_i_56912_29936.fits,i,56912.2997770617,,,,masked
cutouts/wrp_i_56912_31130.fits,i,56912.3117054777,,,,masked
wrp_r_55442_31054.fits,r,55442.3109446465,29.0,-12.4,-0.25,
wrp_r_55768_43407.fits,r,55768.4344725028,29.0,45.9,0.95,
cutouts/wrp_r_55768_43468.fits,r,55768.4350762094,,,,masked
wrp_r_55776_42148.fits,r,55776.4218850261,29.0,75.7,1.3,
cutouts/wrp_r_55776_42209.fits,r,55776.4224885428,,,,masked
wrp_r_55776_43189.fits,r,55776.4322819565,29.0,229.6,4.73,
cutouts/wrp_r_55835_25421.fits,r,55835.2546120332,,,,masked
cutouts/wrp_r_55835_25547.fits,r,55835.255871695,,,,masked
cutouts/wrp_r_55835_26656.fits,r,55835.2669560538,,,,masked
wrp_r_56173_34682.fits,r,56173.3472297499,29.0,25.7,0.25,
wrp_r_56176_34565.fits,r,56176.3460547066,29.0,184.6,2.87,
wrp_r_56475_50159.fits,r,56475.5020016874,29.0,-27.5,-0.52,
wrp_r_56475_51125.fits,r,56475.511665834,29.0,93.6,1.71,
cutouts/wrp_r_56479_51979.fits,r,56479.5202035391,,,,masked
cutouts/wrp_z_55329_57806.fits,z,55329.5784531929,,,,masked
cutouts/wrp_z_55329_59025.fits,z,55329.5906539067,,,,masked
wrp_z_55468_22079.fits,z,55468.2211876209,29.0,-123.9,-1.75,
cutouts/wrp_z_55468_22233.fits,z,55468.2227241946,,,,masked
cutouts/wrp_z_55468_23382.fits,z,55468.234222795,,,,masked
wrp_z_55499_19778.fits,z,55499.1981724844,29.0,55.1,0.67,
cutouts/wrp_z_55719_58679.fits,z,55719.5871887123,,,,masked
cutouts/wrp_z_55719_58728.fits,z,55719.5876777995,,,,masked
cutouts/wrp_z_55719_59771.fits,z,55719.5981044265,,,,masked
cutouts/wrp_z_55719_59819.fits,z,55719.598590348,,,,masked
cutouts/wrp_z_55859_20457.fits,z,55859.2049752663,,,,masked
cutouts/wrp_z_55859_20802.fits,z,55859.2084258404,,,,masked
cutouts/wrp_z_55863_22588.fits,z,55863.2262778198,,,,masked
cutouts/wrp_z_55863_23025.fits,z,55863.2306536786,,,,masked
wrp_z_56072_58553.fits,z,56072.5859300532,29.0,153.8,2.15,
wrp_z_56072_59708.fits,z,56072.5974853969,29.0,-190.5,-2.53,
wrp_z_56219_20903.fits,z,56219.2094379198,29.0,-63.4,-0.8,
wrp_z_56219_21409.fits,z,56219.2144957175,29.0,38.4,0.54,
wrp_z_56435_60074.fits,z,56435.601147249,29.0,176.8,1.73,
cutouts/wrp_z_56588_23163.fits,z,56588.232048478,,,,masked
wrp_z_56835_60873.fits,z,56835.6091344133,29.0,-63.7,-1.07,
