projcell subcell ra dec filter mjd type filename shortname badflag
1043 29 313.22651 -14.84044 z 55329.57806 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55329_57806.fits rings.v3.skycell.1043.029.wrp.z.55329_57806.fits 0
1043 29 313.22651 -14.84044 z 55329.59025 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55329_59025.fits rings.v3.skycell.1043.029.wrp.z.55329_59025.fits 0
1043 29 313.22651 -14.84044 z 55468.22079 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55468_22079.fits rings.v3.skycell.1043.029.wrp.z.55468_22079.fits 0
1043 29 313.22651 -14.84044 z 55468.22233 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55468_22233.fits rings.v3.skycell.1043.029.wrp.z.55468_22233.fits 0
1043 29 313.22651 -14.84044 z 55468.23382 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55468_23382.fits rings.v3.skycell.1043.029.wrp.z.55468_23382.fits 0
1043 29 313.22651 -14.84044 z 55499.19778 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55499_19778.fits rings.v3.skycell.1043.029.wrp.z.55499_19778.fits 0
1043 29 313.22651 -14.84044 z 55719.58679 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55719_58679.fits rings.v3.skycell.1043.029.wrp.z.55719_58679.fits 0
1043 29 313.22651 -14.84044 z 55719.58728 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55719_58728.fits rings.v3.skycell.1043.029.wrp.z.55719_58728.fits 0
1043 29 313.22651 -14.84044 z 55719.59771 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55719_59771.fits rings.v3.skycell.1043.029.wrp.z.55719_59771.fits 0
1043 29 313.22651 -14.84044 z 55719.59819 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55719_59819.fits rings.v3.skycell.1043.029.wrp.z.55719_59819.fits 0
1043 29 313.22651 -14.84044 z 55859.20457 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55859_20457.fits rings.v3.skycell.1043.029.wrp.z.55859_20457.fits 0
1043 29 313.22651 -14.84044 z 55859.20802 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55859_20802.fits rings.v3.skycell.1043.029.wrp.z.55859_20802.fits 0
1043 29 313.22651 -14.84044 z 55863.22588 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55863_22588.fits rings.v3.skycell.1043.029.wrp.z.55863_22588.fits 0
1043 29 313.22651 -14.84044 z 55863.23025 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.55863_23025.fits rings.v3.skycell.1043.029.wrp.z.55863_23025.fits 0
1043 29 313.22651 -14.84044 z 56072.58553 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56072_58553.fits rings.v3.skycell.1043.029.wrp.z.56072_58553.fits 0
1043 29 313.22651 -14.84044 z 56072.59708 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56072_59708.fits rings.v3.skycell.1043.029.wrp.z.56072_59708.fits 0
1043 29 313.22651 -14.84044 z 56219.20903 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56219_20903.fits rings.v3.skycell.1043.029.wrp.z.56219_20903.fits 0
1043 29 313.22651 -14.84044 z 56219.21409 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56219_21409.fits rings.v3.skycell.1043.029.wrp.z.56219_21409.fits 0
1043 29 313.22651 -14.84044 z 56435.60074 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56435_60074.fits rings.v3.skycell.1043.029.wrp.z.56435_60074.fits 0
1043 29 313.22651 -14.84044 z 56588.23163 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56588_23163.fits rings.v3.skycell.1043.029.wrp.z.56588_23163.fits 0
1043 29 313.22651 -14.84044 z 56835.60873 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56835_60873.fits rings.v3.skycell.1043.029.wrp.z.56835_60873.fits 0
1043 29 313.22651 -14.84044 z 56835.61105 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.z.56835_61105.fits rings.v3.skycell.1043.029.wrp.z.56835_61105.fits 0
