###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57227.302833 -20.943  1.941   -15   30 o  0   1.33 306.74802 -11.81856  5081.01  9638.54 4.00 3.43 -65.2 -0.460 18.82 20.24 02a57227o0012o
57227.303841 -20.284  1.367   -28   38 o  0   0.88 306.74802 -11.81856  9621.77  1320.44 3.95 3.46  66.6 -0.507 18.80 20.20 02a57227o0013o
57227.331560  20.934  1.706    15   26 o  0   1.29 306.74802 -11.81856   690.62  2576.16 4.06 3.53 -44.8 -0.448 18.91 20.36 02a57227o0015o
57227.333597 -20.042  0.857   -35   30 o  0   0.92 306.74802 -11.81856  5083.24  9646.58 3.83 3.47 -61.7 -0.457 18.98 20.46 02a57227o0018o
57227.335021  19.393  0.521    64   33 o  0   0.84 306.74802 -11.81856  9624.71  1328.01 3.85 3.45  52.2 -0.505 18.97 20.43 02a57227o0020o
57227.339293 -20.302  1.000   -28   28 o  0   1.25 306.74802 -11.81856   691.68  2578.15 4.14 3.62 -42.8 -0.434 18.93 20.44 02a57227o0026o
57227.343601 -20.564  1.167   -22   25 o  0   1.18 306.74802 -11.81856  6528.53  8189.94 4.05 3.60 -76.1 -0.457 18.95 20.51 02a57227o0032o
57227.350767 -22.508  7.250    -4   26 o  0   1.19 306.74802 -11.81856  2161.35  1113.56 4.03 3.52 -30.1 -0.483 18.98 20.45 02a57227o0042o
57227.357028 -20.820  1.619   -17   28 o  0   0.85 306.74802 -11.81856  6533.17  8191.58 3.87 3.43 -79.8 -0.451 19.03 20.56 02a57227o0051o
57227.373579  19.661  0.491    50   24 o  0   1.21 306.74802 -11.81856  2166.31  1116.49 4.22 3.57 -27.8 -0.472 19.01 20.55 02a57227o0068o
57228.418070  20.576  1.167    21   25 o  0   0.93 306.74802 -11.81856  6739.95  4032.01 3.65 3.36 -82.8 -0.418 18.93 20.26 02a57228o0205o
57228.470153 -21.302  2.125   -11   23 o  0   0.83 306.74802 -11.81856  2594.75  7774.15 3.37 3.32 -40.4 -0.474 19.11 20.66 02a57228o0263o
57228.496580  20.738  1.448    18   27 o  0   0.67 306.74802 -11.81856  2596.63  7781.59 3.30 3.15 -30.8 -0.466 19.13 20.65 02a57228o0292o
57242.415718 -21.040  5.571   -14   78 c  0   0.95 306.74802 -11.81856  2323.86  8003.35 5.01 3.72 -62.0 -0.455 19.06 21.34 02a57242o0093c
57243.377339  21.031  1.095    14   15 c  0   0.80 306.74802 -11.81856  6803.12  4031.10 3.71 3.62  88.3 -0.398 19.52 21.42 02a57243o0195c
57243.382173 -22.211  3.143    -5   15 c  0   1.24 306.74802 -11.81856  6799.40  4031.63 3.70 3.66  88.4 -0.395 19.51 21.42 02a57243o0202c
57243.401963  21.651  2.364     8   19 c  0   0.96 306.74802 -11.81856  2318.05  8000.92 3.82 3.66 -52.8 -0.420 19.52 21.42 02a57243o0229c
