ls_id,ra,dec,type,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,snr_g,snr_r,snr_i,snr_z,flux_w1,flux_w2,snr_w1,snr_w2,sep_as
10995393440514900,306.7478765965525,-11.81939244881103,PSF,inf,inf,21.873425,inf,21.89252,23.106108,0.0,0,18.56014,0,1.7498119,0.57221174,3.2951577,0.4629239,3.039118340225064
10995393440514884,306.7470160082263,-11.81581043486919,PSF,inf,inf,21.624252,inf,20.404972,21.32815,0.0,0,15.203117,0,6.8866954,2.9426582,12.733355,2.3840668,10.51165084572137
10995393440514947,306.7504921025164,-11.82120146926076,PSF,inf,inf,21.96696,inf,,,0.0,0,12.853161,0,-0.81850696,-2.1063943,-1.5473087,-1.7182559,12.895959394698117
10995393440514899,306.7477472786345,-11.8146102137997,PSF,inf,inf,20.679245,inf,23.561321,,0.0,0,35.461678,0,0.37624568,-1.8140701,0.7130055,-1.4824257,14.25166707060588
10995393440514868,306.7463940775707,-11.82361297651291,REX,23.955189,inf,22.749853,inf,22.397226,,6.393502,0,7.442807,0,1.0992833,-0.84426904,1.8122302,-0.636626,19.07159344126582
10995393440515005,306.753869024899,-11.81867188679708,PSF,inf,inf,14.552103,inf,15.427816,16.116238,0.0,0,1044.7076,0,674.3314,357.6885,494.5843,187.38603,20.61404648790046
10995393440514781,306.7424896452375,-11.82121673268198,PSF,25.470407,inf,23.373648,inf,,,1.9247366,0,6.1025004,0,-0.5506047,-1.4041029,-1.0518943,-1.1323807,21.70766658037915
10995393440514856,306.7456420578459,-11.82512423058547,PSF,19.052797,inf,17.847685,inf,18.62142,19.986551,254.26741,0,295.01254,0,35.598526,10.124642,28.582277,5.41558,25.072753091347206
10995393440514771,306.7419309990781,-11.82218037987279,PSF,25.099527,inf,22.447916,inf,21.897291,21.288218,2.6975958,0,14.275973,0,1.7421421,3.0529013,3.3042727,2.4697053,25.10398928302725
10995393440514945,306.7504553755647,-11.82576170447081,PSF,inf,inf,17.409542,inf,17.881912,18.612478,0.0,0,479.52933,0,70.34534,35.892906,96.402084,26.287687,27.30942384557815
10995393440514858,306.745692814733,-11.82582360452709,PSF,15.160482,inf,14.231236,inf,15.181789,15.854065,2008.7953,0,1577.2839,0,845.83215,455.38013,555.6411,222.06604,27.40458956176615
10995393440514741,306.7404939579255,-11.82048822788275,REX,23.72384,inf,22.727491,inf,22.04656,,5.8484635,0,7.842402,0,1.5183643,-0.055944666,2.7985775,-0.04438656,27.41275938123974
10995393440514755,306.7412202469896,-11.82232846472728,PSF,24.516268,inf,23.40049,inf,,,4.7510476,0,5.9739466,0,-0.81988627,-1.2407725,-1.5538845,-1.0066117,27.534188506569475
10995393440514730,306.7399307425296,-11.81990476888455,PSF,22.40837,inf,20.917105,inf,21.25753,21.421612,28.57651,0,53.21295,0,3.140422,2.6999469,5.916145,2.1875865,28.91211114652369
