mjd,source,band,mag_AB,mag_err,flux,flux_err,flux_unit,meta,note
55765.44094,PS1_DR2,y,18.667,0.14,,,,detectID_sep0.84as,ARTIFACT: absent in same-night partner exposure 55765.45270 (partner reaches y~19.4); psfQfPerfect=0.539; member of low-Qf swarm around G=14.8 star 20.6as away; SkyBoT-negative; NOT a precursor
56420.61079,PS1_DR2,z,21.372,0.2,,,,sep3.21as_neighbor,"quiescent 3.2as neighbor, not the transient position"
56588.22821,PS1_DR2,z,21.294,0.2,,,,sep3.17as_neighbor,"quiescent 3.2as neighbor, not the transient position"
57227.33711,ATLAS,o,,,-0.4,8.9,uJy,nightly_stack_n10,nondet_3sig_limit_20.34
57228.4616,ATLAS,o,,,7.7,14.3,uJy,nightly_stack_n3,nondet_3sig_limit_19.64
57242.41572,ATLAS,c,,,-14.0,78.0,uJy,nightly_stack_n1,nondet_3sig_limit_17.98
57243.39673,ATLAS,c,,,6.2,8.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.19
57244.39879,ATLAS,c,,,5.7,7.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.30
57245.39098,ATLAS,c,,,-17.0,9.6,uJy,nightly_stack_n3,nondet_3sig_limit_20.25
57288.31059,ATLAS,o,,,-6.5,64.6,uJy,nightly_stack_n4,nondet_3sig_limit_18.18
57298.30331,ATLAS,o,,,-33.3,13.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.90
57304.29213,ATLAS,c,,,1.8,12.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.94
57308.2869,ATLAS,c,,,-6.5,12.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.00
57309.30324,ATLAS,c,,,32.0,21.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.96
57311.27972,ATLAS,c,,,-5.5,12.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.01
57322.29544,ATLAS,o,,,-17.4,46.5,uJy,nightly_stack_n4,nondet_3sig_limit_18.54
57325.22521,ATLAS,o,,,-16.1,26.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.15
57329.22642,ATLAS,o,,,-0.5,27.5,uJy,nightly_stack_n3,nondet_3sig_limit_19.11
57333.23056,ATLAS,c,,,3.5,11.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.96
57337.2029,ATLAS,o,,,-5305.0,1778.0,uJy,nightly_stack_n1,nondet_3sig_limit_14.58
57354.22712,ATLAS,o,,,-29.9,26.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.16
57355.22543,ATLAS,o,,,-86.0,40.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.70
57357.21534,ATLAS,o,,,-10.3,21.9,uJy,nightly_stack_n2,nondet_3sig_limit_19.36
57358.21246,ATLAS,o,,,19.6,26.5,uJy,nightly_stack_n2,nondet_3sig_limit_18.91
57495.57741,ATLAS,o,,,26.5,25.5,uJy,nightly_stack_n2,nondet_3sig_limit_18.87
57530.57515,ATLAS,o,,,37.8,33.1,uJy,nightly_stack_n2,nondet_3sig_limit_18.56
57538.57904,ATLAS,c,,,7.3,9.1,uJy,nightly_stack_n5,nondet_3sig_limit_20.05
57539.57101,ATLAS,c,,,8.4,8.5,uJy,nightly_stack_n5,nondet_3sig_limit_20.07
57540.56911,ATLAS,c,,,-0.6,7.5,uJy,nightly_stack_n5,nondet_3sig_limit_20.51
57548.55077,ATLAS,c,,,8.1,7.6,uJy,nightly_stack_n5,nondet_3sig_limit_20.18
57552.53899,ATLAS,o,,,7.2,11.0,uJy,nightly_stack_n5,nondet_3sig_limit_19.89
57555.53162,ATLAS,o,,,2.0,38.9,uJy,nightly_stack_n5,nondet_3sig_limit_18.71
57567.50665,ATLAS,o,,,-34.8,20.3,uJy,nightly_stack_n5,nondet_3sig_limit_19.44
57575.48942,ATLAS,c,,,-2.9,7.0,uJy,nightly_stack_n5,nondet_3sig_limit_20.60
57576.48986,ATLAS,c,,,2.3,7.0,uJy,nightly_stack_n5,nondet_3sig_limit_20.48
57577.48315,ATLAS,c,,,-3.4,6.7,uJy,nightly_stack_n5,nondet_3sig_limit_20.64
57601.43346,ATLAS,c,,,3.8,7.3,uJy,nightly_stack_n5,nondet_3sig_limit_20.38
57602.43255,ATLAS,c,,,-4.9,7.8,uJy,nightly_stack_n5,nondet_3sig_limit_20.47
57603.43049,ATLAS,c,,,1.4,7.9,uJy,nightly_stack_n5,nondet_3sig_limit_20.40
57608.42212,ATLAS,c,,,1.2,7.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.48
57612.40728,ATLAS,o,,,-11.8,12.2,uJy,nightly_stack_n5,nondet_3sig_limit_20.00
57627.3821,ATLAS,c,,,1.6,7.5,uJy,nightly_stack_n5,nondet_3sig_limit_20.45
57631.35742,ATLAS,c,,,25.0,21.1,uJy,nightly_stack_n2,nondet_3sig_limit_19.03
