objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,sep_as
PSO J306.7482-11.8187,-999,-999,-999,93813067482157965,3560749000049547,436750929412495,0,12992314927065,9381,1,1130,6,0.883238324786758,3560749,101689,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,306.74821016,-11.8186637,0.1326600015163421,0.1326600015163421,,,,,55765.44076389,-999.0,0.5856160523125744,-0.7842861059136131,-0.2048149002018576,306.1694353314308,7.126307747644146,32.83323571733929,-26.49776706141315,-999,0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5389059782028198,18.66659927368164,0.1318060010671615,-999.0,1,18.66659927368164,18.66659927368164,-999.0,-999.0,-999.0,0,18.936100006103516,0.1318060010671615,-999.0,1,4112,0.0002130671562343,0.7670417623906566
PSO J306.7478-11.8194,-999,-999,-999,93813067478107083,3560749000049501,436750929412449,0,12992314926495,9381,1,1130,6,0.548491598617743,3560749,101689,3,436285440,0,52,306.74781417,-11.81939205,0.0010000000474974,0.0010000000474974,306.74781138,-11.81942157,0.1060499995946884,0.1060499995946884,,,,,56515.68351852,0.0460000000894069,0.5856089727267098,-0.7842880109461976,-0.2048278471009859,306.1688702653231,7.125665614520153,32.83228419669737,-26.497727593532055,-999,2,2,0,0,0,2,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9978160262107848,21.327600479125977,0.0387960001826286,0.0553810000419616,2,21.294099807739254,21.37170028686523,21.61840057373047,0.1066140010952949,0.1657470017671585,2,21.710100173950195,0.0318900011479854,0.0455190017819404,2,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0008854373757099,3.187574552554655
PSO J306.7476-11.8164,-999,-999,-999,93823067475580733,3560749000049461,436750929412409,0,12992314894501,9382,1,1130,6,0.932881504234747,3560749,101689,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,306.74755964,-11.81638834,0.1113699972629547,0.1113699972629547,,,,,55776.39497685,-999.0,0.5856120135765939,-0.7842992715415571,-0.2047760293934575,306.1693623459043,7.128669409349048,32.83525130201108,-26.49624103089418,-999,0,1,1,0,0,0,0,0.9958580136299132,21.522899627685547,0.1103510037064552,-999.0,1,21.522899627685547,21.522899627685547,21.275800704956055,0.1290909945964813,-999.0,1,21.110200881958008,0.1103510037064552,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0022179156682572,7.98449640572187
PSO J306.7452-11.8183,-999,-999,-999,93813067452348433,3560749000049143,436750929412091,0,12992314919101,9381,1,1130,6,0.507796888712604,3560749,101689,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,306.74524191,-11.81830302,0.1838899999856948,0.1838899999856948,,,,,56488.43103009,-999.0,0.5855761923431022,-0.7843174762531736,-0.2048087385948331,306.1666800156838,7.127354698787343,32.832250965640704,-26.49497523438469,-999,0,1,1,0,0,0,0,0.3332859873771667,21.51469993591309,0.1832789927721023,-999.0,1,21.51469993591309,21.51469993591309,21.529800415039062,0.292834997177124,-999.0,1,21.538299560546875,0.1832789927721023,-999.0,1,528,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0027313148626828,9.832733505573266
PSO J306.7463-11.8207,-999,-999,-999,93813067462945503,3560749000049292,436750929412240,0,12992314933066,9381,1,1130,6,0.955106267663749,3560749,101689,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,306.74629401,-11.82074749,0.2954500019550323,0.2954500019550323,,,,,56873.37967593,-999.0,0.5855853661369277,-0.7842997210303113,-0.2048504980664102,306.1670967187312,7.124734596127192,32.830246359365084,-26.496929019594,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.4466350078582763,21.0585994720459,0.2950719892978668,-999.0,1,21.0585994720459,21.0585994720459,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0027639039602962,9.950054257011152
PSO J306.7502-11.8204,-999,-999,-999,93813067502495934,3560749000049820,436750929412768,0,12992314928207,9381,1,1130,6,0.993345373303951,3560749,101689,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,306.75024995,-11.82036551,0.2334800064563751,0.2334800064563751,,,,,56873.36659722,-999.0,0.5856403331937811,-0.7842603821512651,-0.2048439726343652,306.17097732790353,7.124176746439915,32.8324352162469,-26.500290769859298,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6500170230865479,21.39859962463379,0.2330009937286377,-999.0,1,21.39859962463379,21.39859962463379,-999.0,-999.0,-999.0,0,21.13960075378418,0.2330009937286377,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0028326517638902,10.197546349997223
PSO J306.7460-11.8206,-999,-999,-999,93813067459725675,3560749000049249,436750929412197,0,12992314932361,9381,1,1130,6,0.831610511831577,3560749,101689,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,306.74597665,-11.82059581,0.0943600013852119,0.0943600013852119,,,,,56527.38207176,-999.0,0.5855813463510838,-0.784303399105191,-0.2048479068911752,306.1668294684117,7.12495634777852,32.83025600338886,-26.496583442866022,-999,0,2,0,0,2,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6272460222244263,21.027099609375,0.0931600034236908,-999.0,1,21.027099609375,21.027099609375,20.56100082397461,0.1199180036783218,-999.0,1,20.46050071716309,0.0931600034236908,-999.0,1,16777752,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0028538790232583,10.273964483747134
PSO J306.7470-11.8158,-999,-999,-999,93823067470371205,3560749000049392,436750929412340,0,12992314897289,9382,1,1130,6,0.125866280054549,3560749,101689,3,436527104,7,52,306.74698496,-11.81581419,0.0010000000474974,0.0010000000474974,306.7470235542681,-11.815831588421988,0.0264187488076731,0.0264187488076731,-10.19812961857895,81.36040160082439,20.786933856290545,20.786933856290545,56131.1760722362,4.8550333976745605,0.5856058657444998,-0.7843063451541648,-0.2047665181531177,306.168981422204,7.129332342630283,32.83556844700563,-26.495532661808387,-999,3,7,0,0,0,6,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9979069828987122,20.748899459838867,0.1161720007658004,0.1487129926681518,5,20.5231990814209,20.892900466918945,20.58060073852539,0.114656001329422,0.5005900263786316,5,20.431699752807617,0.0549810007214546,0.1192400008440017,5,115000,0.920773983001709,20.140399932861328,0.1324619948863983,-999.0,1,20.140399932861328,20.140399932861328,20.13599967956543,0.3291450142860412,-999.0,1,20.053800582885746,0.1324619948863983,-999.0,1,115000,0.0028974976372454,10.430991494096071
PSO J306.7473-11.8216,-999,-999,-999,93813067472864454,3560749000049424,436750929412372,0,12992314932869,9381,1,1130,6,0.0907961792226845,3560749,101689,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,306.74728638,-11.82160793,0.3098599910736084,0.3098599910736084,,,,,56873.40581019,-999.0,0.5855971096154857,-0.7842871133931162,-0.2048651970820864,306.1678390619762,7.123666312891887,32.82982387592589,-26.498170335249657,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5367680191993713,21.651899337768555,0.3094980120658874,-999.0,1,21.651899337768555,21.651899337768555,-999.0,-999.0,-999.0,0,22.68079948425293,0.3094980120658874,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0031313724278702,11.272940740338825
PSO J306.7463-11.8158,-999,-999,-999,93823067463281492,3560749000049305,436750929412253,0,12992314897347,9382,1,1130,6,0.30593507858546,3560749,101689,3,1384198144,0,165,306.74636266,-11.81572543,0.0010000000474974,0.0010000000474974,306.74633282,-11.81575474,0.0985499992966651,0.0985499992966651,,,,,55776.41821759,-999.0,0.5855965747404678,-0.7843136249897168,-0.2047652053150664,306.16834063236223,7.129572518576719,32.83533652301372,-26.4948854464032,-999,1,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9715539813041688,21.3257999420166,0.0974019989371299,-999.0,1,21.3257999420166,21.3257999420166,20.210899353027344,0.089037999510765,-999.0,1,20.525100708007812,0.0974019989371299,-999.0,1,16892216,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0032552539968368,11.718914388607086
