###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57227.397705  19.922  0.604    39   24 o  0   0.93 332.39126 -14.86990  6465.73  3000.72 3.68 3.54  81.1 -0.449 18.94 20.42 02a57227o0102o
57227.408954  20.709  1.304    19   25 o  0   1.05 332.39126 -14.86990  2025.44  9886.04 3.80 3.55 -59.5 -0.430 19.02 20.54 02a57227o0113o
57227.420806  21.152  1.471    13   18 o  0   1.15 332.39126 -14.86990  6471.45  3006.04 3.53 3.38  88.6 -0.457 19.11 20.66 02a57227o0130o
57227.429398 -21.900  3.250    -6   20 o  0   1.05 332.39126 -14.86990  2031.04  9889.83 3.74 3.49 -56.0 -0.439 19.23 20.87 02a57227o0142o
57227.442263 -20.175  0.703   -31   22 o  0   1.30 332.39126 -14.86990  7946.23  1554.71 3.77 3.50  42.9 -0.489 19.23 20.87 02a57227o0160o
57227.455300  20.400  0.765    25   19 o  0   0.94 332.39126 -14.86990  3476.12  8413.95 3.62 3.33 -68.8 -0.459 19.25 20.86 02a57227o0174o
57227.468159 -19.776  0.500   -45   22 o  0   1.04 332.39126 -14.86990  7946.57  1557.36 3.93 3.71  37.0 -0.466 19.17 20.85 02a57227o0192o
57227.477463 -20.183  0.756   -31   23 o  0   0.72 332.39126 -14.86990  3477.81  8414.35 3.67 3.36 -69.6 -0.456 19.25 20.88 02a57227o0205o
57228.497708 -20.299  0.917   -28   25 o  0   1.19 332.39126 -14.86990  7298.41   241.23 3.52 3.48 -29.5 -0.491 19.14 20.65 02a57228o0293o
57228.501388 -20.883  1.391   -16   22 o  0   0.80 332.39126 -14.86990  6615.78  9976.43 3.49 3.41 -54.3 -0.431 19.17 20.71 02a57228o0297o
57228.524694 -21.972  3.000    -6   18 o  0   1.21 332.39126 -14.86990  3475.83 10109.20 3.30 2.93 -13.4 -0.466 19.19 20.71 02a57228o0322o
57228.528359 -21.272  2.071   -11   23 o  0   0.93 332.39126 -14.86990  4166.00   378.02 3.77 3.53 -27.8 -0.458 19.19 20.74 02a57228o0326o
57228.554980 -23.406 15.000    -2   24 o  0   0.86 332.39126 -14.86990  2723.62  1839.80 3.75 3.55 -55.2 -0.434 19.18 20.72 02a57228o0355o
57228.581478 -20.652  1.038   -20   21 o  0   1.41 332.39126 -14.86990  2721.37  1845.38 3.70 3.44 -61.8 -0.441 19.16 20.68 02a57228o0384o
57243.407713 -22.393  4.200    -4   17 c  0   1.09 332.39126 -14.86990  6683.88  9964.32 4.10 3.81 -70.0 -0.412 19.47 21.38 02a57243o0237c
57243.410455  20.611  1.130    21   23 c  0   0.89 332.39126 -14.86990  7370.30   230.95 4.48 3.66   6.9 -0.437 19.43 21.36 02a57243o0241c
57243.434061  20.221  0.553    30   16 c  0   1.04 332.39126 -14.86990  6678.88  9969.52 4.08 3.78 -70.4 -0.414 19.53 21.43 02a57243o0274c
57243.434742 -19.634  0.397   -51   20 c  0   0.95 332.39126 -14.86990  7366.96   235.46 4.06 3.54   8.6 -0.447 19.51 21.39 02a57243o0275c
57243.443045 -24.190 21.000    -1   16 c  0   0.96 332.39126 -14.86990  8118.05  8518.17 4.04 3.65 -82.4 -0.420 19.51 21.40 02a57243o0287c
57243.458917 -22.247  3.833    -5   18 c  0   0.88 332.39126 -14.86990  8109.60  8525.11 4.04 3.64 -84.0 -0.421 19.51 21.41 02a57243o0307c
57244.411811 -20.452  0.862   -24   21 c  0   0.91 332.39126 -14.86990  7322.77   232.30 4.12 3.54  11.1 -0.449 19.50 21.37 02a57244o0207c
57244.413183  21.383  1.846    10   19 c  0   0.89 332.39126 -14.86990  6633.41  9966.73 4.04 3.75 -69.3 -0.422 19.52 21.40 02a57244o0209c
57244.436149  23.019  7.000     2   16 c  0   1.10 332.39126 -14.86990  6630.34  9972.00 3.97 3.69 -72.7 -0.425 19.54 21.42 02a57244o0241c
57244.436810 -20.880  1.100   -16   18 c  0   1.04 332.39126 -14.86990  7318.19   237.99 4.08 3.54   8.7 -0.449 19.52 21.38 02a57244o0242c
57244.444384 -20.105  0.500   -33   16 c  0   1.22 332.39126 -14.86990  8067.65  8520.04 3.97 3.59 -85.8 -0.425 19.53 21.42 02a57244o0253c
57245.404380 -20.438  0.862   -24   21 c  0   0.99 332.39126 -14.86990  7334.90   231.26 4.07 3.62   9.8 -0.459 19.47 21.32 02a57245o0228c
57245.406428  20.400  0.774    25   19 c  0   0.93 332.39126 -14.86990  6643.76  9965.23 4.14 3.82 -74.4 -0.415 19.47 21.35 02a57245o0231c
57245.428846  20.236  0.605    29   18 c  0   0.78 332.39126 -14.86990  6640.30  9971.51 4.01 3.75 -71.4 -0.421 19.49 21.36 02a57245o0262c
57245.429520 -22.183  4.167    -5   20 c  0   0.99 332.39126 -14.86990  7328.13   237.49 4.06 3.57   8.9 -0.458 19.46 21.30 02a57245o0263c
57245.438470  21.673  2.500     8   20 c  0   0.73 332.39126 -14.86990  8077.63  8520.49 4.06 3.67 -83.5 -0.421 19.45 21.31 02a57245o0276c
57288.332969 -19.874  1.222   -41   50 o  0   0.94 332.39126 -14.86990  7328.04   248.92 5.03 3.38  10.1 -0.629 18.54 19.77 02a57288o0188o
57288.336074 -21.174  3.500   -12   43 o  0   0.85 332.39126 -14.86990  6637.67  9985.83 4.38 3.38 -76.8 -0.515 18.58 19.84 02a57288o0193o
57288.337568  21.193  3.375    12   41 o  0   1.55 332.39126 -14.86990  7325.64   250.08 4.87 3.24   9.6 -0.692 18.54 19.76 02a57288o0195o
57288.367724 -20.147  1.067   -32   34 o  0   1.29 332.39126 -14.86990  2480.87  2076.91 4.64 3.38 -19.9 -0.519 18.53 19.83 02a57288o0239o
57289.305690  17.151  1.472   501  738 o  0   1.02 332.39126 -14.86990  7344.03   244.30 4.86 3.52   8.7 -0.700 16.12 16.25 02a57289o0176o
57297.351866 -21.839  5.000    -7   33 o  0   0.92 332.39126 -14.86990  3906.58   613.48 4.94 3.41  -8.9 -0.514 18.84 20.24 02a57297o0081o
57297.365189  23.164 15.500     2   30 o  0   1.16 332.39126 -14.86990  2464.70  2067.74 4.55 3.47 -21.7 -0.507 18.82 20.16 02a57297o0100o
57297.393811 -19.903  0.641   -40   26 o  0   1.78 332.39126 -14.86990  2460.35  2068.18 4.67 3.46 -22.5 -0.515 18.75 20.07 02a57297o0142o
57298.323250  21.962  4.000     6   24 o  0   1.02 332.39126 -14.86990  3216.97 10357.72 4.39 3.69 -49.2 -0.441 19.03 20.67 02a57298o0189o
57298.323881  19.938  0.743    38   29 o  0   1.01 332.39126 -14.86990  3910.13   620.15 5.05 3.22  -6.6 -0.479 19.07 20.73 02a57298o0190o
57298.344069  20.205  0.839    30   25 o  0   0.83 332.39126 -14.86990  3210.05 10355.96 4.48 3.72 -50.2 -0.426 19.04 20.71 02a57298o0221o
