diaSourceId,mjd_tai,jd_tai,band,ra_deg,dec_deg,psf_diff_flux_nJy,psf_diff_flux_err_nJy,diff_mag_AB,science_mag_AB,snr,reliability,extendedness,trail_len_px
170635519425249637,61228.387704906185,2461228.887705,z,332.3912694176833,-14.86989935628247,4357.56,374.28,22.302,21.936,11.3,0.9959,0.588,0.89
170635527746748479,61228.418803947294,2461228.918804,i,332.39126205799744,-14.869902775648265,10367.8,263.94,21.361,21.284,38.7,1.0,0.028,0.59
170653053936468082,61232.324759173716,2461232.824759,r,332.3912520618209,-14.869891460412976,10709.46,237.62,21.326,21.264,44.6,0.9997,0.063,0.2
170653054444503076,61232.3266784217,2461232.826678,r,332.3912512338411,-14.869900166398134,10458.9,268.55,21.351,21.274,38.7,0.9997,0.042,0.95
170653061721096303,61232.35409175322,2461232.854092,i,332.3912486391746,-14.869915661718649,9958.38,417.1,21.405,21.326,23.6,0.9998,0.265,1.38
170653062229131323,61232.35603554142,2461232.856036,i,332.3912587399763,-14.869902872872323,10174.2,311.36,21.381,21.313,32.3,1.0,0.011,0.46
170666286303936769,61235.340581311444,2461235.840581,i,332.3912609326309,-14.869899761345573,8806.88,201.51,21.538,21.407,42.6,0.9999,0.072,0.51
170666286615363811,61235.34150019105,2461235.8415,i,332.3912570917003,-14.869898261933962,8343.16,192.58,21.597,21.417,42.5,0.9999,0.173,0.3
170666293283258701,61235.36771152026,2461235.867712,z,332.39125740870367,-14.869895494498154,6341.34,447.95,21.895,21.684,14.1,1.0,0.212,0.85
170666293594685754,61235.36864810412,2461235.868648,z,332.3912738058183,-14.869893572374462,4752.33,718.94,22.208,21.981,6.4,0.9061,0.329,1.18
