mjd,jd,survey,band,diff_flux_nJy,diff_flux_err_nJy,science_flux_nJy,science_flux_err_nJy,template_flux_nJy,diff_mag_AB,science_mag_AB,sep_from_mean_as,note
56247.2177083,2456247.7177083,PS1_DR2,r,,,,,,,20.29724357480992,2.249604917482765,OFFSET 2.25as from transient - likely unrelated field junk; objID=9.015332391873645e+16
56912.4168751,2456912.9168751,PS1_DR2,i,,,,,,,21.407587546076183,1.4886834397492965,OFFSET 1.49as from transient - likely unrelated field junk; objID=9.015332390827632e+16
57227.438148935216,2457227.9381489353,ATLAS_FP_nightlystack,ATLAS_o,-1306.0,7513.0,,,,,,0.0,n=8 exposures; SNR=-0.17
57228.53737820152,2457229.0373782017,ATLAS_FP_nightlystack,ATLAS_o,-10971.0,9515.0,,,,,,0.0,n=5 exposures; SNR=-1.15
57243.43287264375,2457243.9328726437,ATLAS_FP_nightlystack,ATLAS_c,-202.0,7303.0,,,,,,0.0,n=6 exposures; SNR=-0.03
57244.43084059235,2457244.9308405924,ATLAS_FP_nightlystack,ATLAS_c,-12374.0,7921.0,,,,,,0.0,n=5 exposures; SNR=-1.56
57245.42184869389,2457245.921848694,ATLAS_FP_nightlystack,ATLAS_c,8521.0,8729.0,,,,21.574,,0.0,n=5 exposures; SNR=0.98
57288.34733108132,2457288.8473310815,ATLAS_FP_nightlystack,ATLAS_o,-18091.0,20409.0,,,,,,0.0,n=4 exposures; SNR=-0.89
57297.37376946969,2457297.8737694696,ATLAS_FP_nightlystack,ATLAS_o,-18063.0,16882.0,,,,,,0.0,n=3 exposures; SNR=-1.07
57298.34548674069,2457298.8454867406,ATLAS_FP_nightlystack,ATLAS_o,18152.0,11214.0,,,,20.753,,0.0,n=6 exposures; SNR=1.62
57304.334337399094,2457304.834337399,ATLAS_FP_nightlystack,ATLAS_c,5000.0,8690.0,,,,22.153,,0.0,n=7 exposures; SNR=0.58
57308.325616948874,2457308.825616949,ATLAS_FP_nightlystack,ATLAS_c,-3986.0,8981.0,,,,,,0.0,n=6 exposures; SNR=-0.44
57311.31780587992,2457311.8178058797,ATLAS_FP_nightlystack,ATLAS_c,-13880.0,9989.0,,,,,,0.0,n=6 exposures; SNR=-1.39
57321.27368910748,2457321.7736891075,ATLAS_FP_nightlystack,ATLAS_o,-9461.0,37457.0,,,,,,0.0,n=2 exposures; SNR=-0.25
57329.28394163824,2457329.783941638,ATLAS_FP_nightlystack,ATLAS_o,-10314.0,17187.0,,,,,,0.0,n=6 exposures; SNR=-0.6
57332.31366976426,2457332.8136697644,ATLAS_FP_nightlystack,ATLAS_c,-12515.0,15092.0,,,,,,0.0,n=2 exposures; SNR=-0.83
57333.2866846936,2457333.786684694,ATLAS_FP_nightlystack,ATLAS_c,-7594.0,8125.999999999999,,,,,,0.0,n=6 exposures; SNR=-0.93
57353.276732309314,2457353.7767323093,ATLAS_FP_nightlystack,ATLAS_o,5750.0,25380.0,,,,22.001,,0.0,n=8 exposures; SNR=0.23
57354.257557976656,2457354.7575579765,ATLAS_FP_nightlystack,ATLAS_o,25224.0,19638.0,,,,20.395,,0.0,n=7 exposures; SNR=1.28
57356.26925694727,2457356.769256947,ATLAS_FP_nightlystack,ATLAS_o,16781.0,10800.0,,,,20.838,,0.0,n=8 exposures; SNR=1.55
57357.252814997075,2457357.752814997,ATLAS_FP_nightlystack,ATLAS_o,-1798.0,11254.0,,,,,,0.0,n=7 exposures; SNR=-0.16
57358.24844327947,2457358.7484432794,ATLAS_FP_nightlystack,ATLAS_o,-14033.0,13473.0,,,,,,0.0,n=5 exposures; SNR=-1.04
57359.2727227131,2457359.772722713,ATLAS_FP_nightlystack,ATLAS_o,-402.0,21178.0,,,,,,0.0,n=2 exposures; SNR=-0.02
57368.20914102941,2457368.7091410295,ATLAS_FP_nightlystack,ATLAS_o,52618.0,28297.0,,,,19.597,,0.0,n=2 exposures; SNR=1.86
57370.213488975874,2457370.713488976,ATLAS_FP_nightlystack,ATLAS_c,7196.0,16564.0,,,,21.757,,0.0,n=3 exposures; SNR=0.43
57372.22514387226,2457372.725143872,ATLAS_FP_nightlystack,ATLAS_c,-15405.0,25671.0,,,,,,0.0,n=2 exposures; SNR=-0.6
57530.60705286209,2457531.107052862,ATLAS_FP_nightlystack,ATLAS_o,-29537.0,37005.0,,,,,,0.0,n=3 exposures; SNR=-0.8
57538.609337939975,2457539.10933794,ATLAS_FP_nightlystack,ATLAS_c,-17329.0,19701.0,,,,,,0.0,n=4 exposures; SNR=-0.88
57539.60380386973,2457540.10380387,ATLAS_FP_nightlystack,ATLAS_c,8840.0,17009.0,,,,21.534,,0.0,n=2 exposures; SNR=0.52
57540.60357569127,2457541.103575691,ATLAS_FP_nightlystack,ATLAS_c,17232.0,13068.0,,,,20.809,,0.0,n=4 exposures; SNR=1.32
57548.58384976697,2457549.0838497668,ATLAS_FP_nightlystack,ATLAS_c,-8055.999999999999,10802.0,,,,,,0.0,n=4 exposures; SNR=-0.75
57552.59010129568,2457553.0901012956,ATLAS_FP_nightlystack,ATLAS_o,-3857.0,10876.0,,,,,,0.0,n=6 exposures; SNR=-0.35
57555.586537412346,2457556.0865374124,ATLAS_FP_nightlystack,ATLAS_o,-17841.0,11046.0,,,,,,0.0,n=9 exposures; SNR=-1.62
57559.5204365421,2457560.020436542,ATLAS_FP_nightlystack,ATLAS_o,-40183.0,35406.0,,,,,,0.0,n=4 exposures; SNR=-1.13
57567.56807062057,2457568.0680706208,ATLAS_FP_nightlystack,ATLAS_o,-11887.0,26796.0,,,,,,0.0,n=4 exposures; SNR=-0.44
57575.54255918685,2457576.042559187,ATLAS_FP_nightlystack,ATLAS_c,-4922.0,7381.0,,,,,,0.0,n=5 exposures; SNR=-0.67
57576.542186065,2457577.042186065,ATLAS_FP_nightlystack,ATLAS_c,-390.0,7578.0,,,,,,0.0,n=6 exposures; SNR=-0.05
57577.537390413374,2457578.037390413,ATLAS_FP_nightlystack,ATLAS_c,1985.0,8974.0,,,,23.156,,0.0,n=5 exposures; SNR=0.22
57601.47565435552,2457601.9756543557,ATLAS_FP_nightlystack,ATLAS_c,10878.0,9033.0,,,,21.309,,0.0,n=3 exposures; SNR=1.2
57601.96594391103,2457602.465943911,ATLAS_FP_nightlystack,ATLAS_c,-11907.0,8478.0,,,,,,0.0,n=4 exposures; SNR=-1.4
57603.16833319696,2457603.668333197,ATLAS_FP_nightlystack,ATLAS_c,-12440.0,6991.0,,,,,,0.0,n=6 exposures; SNR=-1.78
57604.06755364202,2457604.567553642,ATLAS_FP_nightlystack,ATLAS_c,13004.0,11248.0,,,,21.115,,0.0,n=2 exposures; SNR=1.16
57608.47597685345,2457608.9759768536,ATLAS_FP_nightlystack,ATLAS_c,-8779.0,8841.0,,,,,,0.0,n=3 exposures; SNR=-0.99
57612.4639342583,2457612.963934258,ATLAS_FP_nightlystack,ATLAS_o,2309.0,8247.0,,,,22.991,,0.0,n=10 exposures; SNR=0.28
57616.4650267942,2457616.965026794,ATLAS_FP_nightlystack,ATLAS_o,-30698.0,25227.0,,,,,,0.0,n=5 exposures; SNR=-1.22
57627.43099690641,2457627.9309969065,ATLAS_FP_nightlystack,ATLAS_c,-12704.0,7972.0,,,,,,0.0,n=5 exposures; SNR=-1.59
57639.399296,2457639.899296,ATLAS_FP_nightlystack,ATLAS_c,-22000.0,11314.0,,,,,,0.0,n=2 exposures; SNR=-1.94
57643.41261797576,2457643.912617976,ATLAS_FP_nightlystack,ATLAS_o,-48101.0,26920.0,,,,,,0.0,n=2 exposures; SNR=-1.79
57651.41969760087,2457651.919697601,ATLAS_FP_nightlystack,ATLAS_o,-82711.0,51201.0,,,,,,0.0,n=3 exposures; SNR=-1.62
57659.40817379076,2457659.9081737907,ATLAS_FP_nightlystack,ATLAS_c,-2362.0,7221.0,,,,,,0.0,n=5 exposures; SNR=-0.33
57667.38161934586,2457667.881619346,ATLAS_FP_nightlystack,ATLAS_c,7730.0,8195.0,,,,21.68,,0.0,n=5 exposures; SNR=0.94
57671.37354157327,2457671.873541573,ATLAS_FP_nightlystack,ATLAS_o,-12840.0,18563.0,,,,,,0.0,n=5 exposures; SNR=-0.69
57675.329660267795,2457675.8296602676,ATLAS_FP_nightlystack,ATLAS_o,35184.0,54052.0,,,,20.034,,0.0,n=3 exposures; SNR=0.65
57676.38472109552,2457676.8847210957,ATLAS_FP_nightlystack,ATLAS_o,63114.0,29637.0,,,,19.4,,0.0,n=4 exposures; SNR=2.13
57679.31010896706,2457679.810108967,ATLAS_FP_nightlystack,ATLAS_o,-7890.0,15446.0,,,,,,0.0,n=5 exposures; SNR=-0.51
57687.30914023633,2457687.809140236,ATLAS_FP_nightlystack,ATLAS_c,14512.0,7190.0,,,,20.996,,0.0,n=5 exposures; SNR=2.02
57691.30164590318,2457691.8016459034,ATLAS_FP_nightlystack,ATLAS_c,9752.0,9047.0,,,,21.427,,0.0,n=5 exposures; SNR=1.08
57695.29576415215,2457695.795764152,ATLAS_FP_nightlystack,ATLAS_c,-1131.0,8134.0,,,,,,0.0,n=5 exposures; SNR=-0.14
57703.27260090132,2457703.7726009013,ATLAS_FP_nightlystack,ATLAS_o,-21577.0,15094.0,,,,,,0.0,n=9 exposures; SNR=-1.43
57707.265312514726,2457707.7653125147,ATLAS_FP_nightlystack,ATLAS_o,-11581.0,22579.0,,,,,,0.0,n=5 exposures; SNR=-0.51
57711.24920590286,2457711.7492059027,ATLAS_FP_nightlystack,ATLAS_o,-19377.0,11026.0,,,,,,0.0,n=5 exposures; SNR=-1.76
57715.24883349216,2457715.748833492,ATLAS_FP_nightlystack,ATLAS_c,3334.0,7145.0,,,,22.593,,0.0,n=9 exposures; SNR=0.47
57743.22289631703,2457743.722896317,ATLAS_FP_nightlystack,ATLAS_o,-23171.0,23403.0,,,,,,0.0,n=3 exposures; SNR=-0.99
57911.55077588005,2457912.05077588,ATLAS_FP_nightlystack,ATLAS_o,2237.0,7914.0,,,,23.026,,0.0,n=9 exposures; SNR=0.28
57922.603493434726,2457923.103493435,ATLAS_FP_nightlystack,ATLAS_o,-3717.0,9515.0,,,,,,0.0,n=4 exposures; SNR=-0.39
57927.60005860628,2457928.1000586064,ATLAS_FP_nightlystack,ATLAS_o,-7273.0,7606.0,,,,,,0.0,n=4 exposures; SNR=-0.96
57930.58555732128,2457931.085557321,ATLAS_FP_nightlystack,ATLAS_o,-15403.0,9740.0,,,,,,0.0,n=4 exposures; SNR=-1.58
57940.51696278286,2457941.016962783,ATLAS_FP_nightlystack,ATLAS_o,-16521.0,7310.0,,,,,,0.0,n=4 exposures; SNR=-2.26
57942.06194702159,2457942.5619470216,ATLAS_FP_nightlystack,ATLAS_o,29003.0,13857.0,,,,20.244,,0.0,n=5 exposures; SNR=2.09
57947.5531472739,2457948.053147274,ATLAS_FP_nightlystack,ATLAS_o,-8834.0,16993.0,,,,,,0.0,n=4 exposures; SNR=-0.52
57948.54824621076,2457949.048246211,ATLAS_FP_nightlystack,ATLAS_o,11439.0,11867.0,,,,21.254,,0.0,n=4 exposures; SNR=0.96
57949.55789695442,2457950.0578969545,ATLAS_FP_nightlystack,ATLAS_o,-12015.0,8193.0,,,,,,0.0,n=4 exposures; SNR=-1.47
57950.53788136328,2457951.037881363,ATLAS_FP_nightlystack,ATLAS_o,-961.0,6703.0,,,,,,0.0,n=4 exposures; SNR=-0.14
