mjd,night,band,n,flux,err,snr
58268.44291670015,58268,ZTF_r,1,1.5774618534703262,11.602956084265868,0.13595344514053928
58271.43862270005,58271,ZTF_r,1,10.697945990413755,11.79179498135989,0.9072364306981882
58271.480798599776,58271,ZTF_g,1,-19.39222427147713,12.732816765604012,-1.5230113358626671
58276.47775459988,58276,ZTF_r,1,2.3144723289748645,4.995420025383006,0.46331886352187385
58279.47218749998,58279,ZTF_g,1,-0.38183394910787993,4.352460484005851,-0.08772829770908189
58282.419351900004,58282,ZTF_g,1,-0.516209360289023,3.3589274448098614,-0.15368279570511653
58285.43925930001,58285,ZTF_g,1,0.009065043601340536,2.6376497567670696,0.0034367882157528883
58288.41822919995,58288,ZTF_g,1,-6.450743970696724,4.577348411299077,-1.4092752814649665
58288.45975690009,58288,ZTF_r,1,-1.1983025615423712,3.8107483513263976,-0.3144533438229478
58291.43894679984,58291,ZTF_g,1,-1.8487370380747248,2.3160230250147102,-0.7982377627972772
58294.37706020009,58294,ZTF_g,1,-3.113331024331805,8.334740743312624,-0.37353663661701597
58297.4811689998,58297,ZTF_g,1,-19.33506024227363,12.165329299260641,-1.5893577367814233
58303.35567130009,58303,ZTF_r,1,-1.4446823425027704,8.80590558009894,-0.16405835031523677
58306.44013890019,58306,ZTF_g,1,-0.29261107211952264,4.4394207844726585,-0.06591199310120831
58320.37651620014,58320,ZTF_r,1,4.62729856262362,3.1116035800232877,1.4871105665037796
58320.440752299975,58320,ZTF_g,1,1.8657855674616424,3.6982004516327955,0.504511746148827
58321.36946759978,58321,ZTF_i,1,11.998216006870917,6.924584132652709,1.7326984230422764
58323.41950230021,58323,ZTF_g,1,-4.950882165691236,3.9474630112818248,-1.2541934279160174
58326.399143499795,58326,ZTF_r,1,-28.363672159012502,25.0063606716779,-1.1342583005745845
58326.43915509991,58326,ZTF_g,1,5.639535628695723,15.203784098468422,0.37092973645053473
58331.4417940001,58331,ZTF_g,1,-3.8399648383194096,9.01539468218683,-0.4259341907577987
58334.33326390013,58334,ZTF_g,1,-3.403192670098213,4.443248623338279,-0.765924430206956
58334.37613430014,58334,ZTF_r,1,-6.279742468242509,4.591505672974465,-1.3676869670890273
58338.34681709996,58338,ZTF_r,1,0.16277499545117374,3.58260465496598,0.0454348193919598
58338.38148149988,58338,ZTF_g,1,5.545862447222699,2.761655817320761,2.0081656853977754
58342.35181709984,58342,ZTF_r,1,0.03733262522778475,4.8998577451197205,0.0076191243031429245
58342.356307900045,58342,ZTF_i,1,13.840338718924823,8.694723261225962,1.591808997607283
58342.40013890015,58342,ZTF_g,1,-0.2433894474376043,3.5213894550766978,-0.0691174465484685
58345.35585650009,58345,ZTF_r,1,-3.2059321670892102,3.6707327872936877,-0.873376612480921
58347.3568519,58347,ZTF_i,1,-8.656495913404743,5.921376987645426,-1.4619058930829716
58348.35586810019,58348,ZTF_g,1,2.7709654808007604,2.665424243809213,1.0395964121796673
58351.353159700055,58351,ZTF_i,1,-13.303427433057259,5.906562817267082,-2.252312866997095
58351.357303199824,58351,ZTF_r,1,4.966430174661997,3.479846489784761,1.4271980644092106
58354.35012664549,58354,ZTF_r,2,-3.9962783289539727,7.207110101514085,-0.5544910890308761
58360.293009299785,58360,ZTF_r,1,-3.110051235492348,4.3985208154459805,-0.7070675270129442
58360.35574069992,58360,ZTF_g,1,11.213220537479968,8.888750998610373,1.2615068797891844
58363.27261570003,58363,ZTF_r,1,6.4138187601084065,4.675808868891415,1.3717025096513527
58363.31347220019,58363,ZTF_g,1,-3.0301487419574302,4.480786036427952,-0.6762538352250894
58365.31627310021,58365,ZTF_i,1,4.3822141399915555,6.1449212052574715,0.713144073554958
58366.251805599786,58366,ZTF_g,1,-2.6588674523247278,2.369311967005708,-1.1222107891874427
58366.31473380001,58366,ZTF_r,1,-2.823794430282519,2.927759549988015,-0.9644898708618602
58369.30517360009,58369,ZTF_g,1,0.11627574996252948,2.9470844478466827,0.039454502244578554
58369.33711809991,58369,ZTF_i,1,-10.67096688242144,5.959943073612016,-1.7904477862662393
58369.36263890006,58369,ZTF_r,1,2.691157048894043,4.032413286258778,0.6673812572894443
58372.272419000044,58372,ZTF_g,1,1.532138558966754,2.6265742048980294,0.5833220154639551
58372.32033560006,58372,ZTF_r,1,2.9912167956899696,3.4142138024011413,0.876107053865904
58373.336805600215,58373,ZTF_i,1,-2.5758233690280328,6.037960098716328,-0.4266049008133812
