objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J313.2242-14.8434,-999,-999,-999,90183132241658320,3578848000020395,437481073823658,0,13050815428249,9018,1,1043,29,0.117171069716263,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22415934,-14.84336635,0.2152000069618225,0.2152000069618225,,,,,55089.31165509,-999.0,0.6620006713728475,-0.7043636989529235,-0.2561774593894915,311.5042960735343,2.5873003918991575,32.57565523227653,-33.48306709193693,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7869830131530762,21.485200881958008,0.21467800438404083,-999.0,1,21.485200881958008,21.485200881958008,21.7903995513916,0.2395540028810501,-999.0,1,21.681900024414062,0.21467800438404083,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0037061857323883686
PSO J313.2257-14.8441,-999,-999,-999,90183132257287417,3578848000020609,437481073823872,0,13050815428423,9018,1,1043,29,0.648937933751324,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22572653,-14.84411854,0.09324000030755997,0.09324000030755997,,,,,56472.50466435,-999.0,0.6620176339315722,-0.704343140577691,-0.2561901494687058,311.50554970140536,2.5861635984333744,32.57553376642836,-33.484755410009825,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6525070071220398,20.25979995727539,0.09202700108289719,-999.0,1,20.25979995727539,20.25979995727539,-999.0,-999.0,-999.0,0,21.27239990234375,0.09202700108289719,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0037595561825364745
PSO J313.2261-14.8439,-999,-999,-999,90183132259987781,3578848000020647,437481073823910,0,13050815427758,9018,1,1043,29,0.963202968205514,3578848,101859,3,444915712,7,53,313.22604989,-14.8439252,0.0010000000474974513,0.0010000000474974513,313.2260501597405,-14.843941001080912,0.004101360762907233,0.004101360762907233,2.2060907514608177,-7.0233079546579935,2.467687534533532,2.467687534533532,56113.86698781597,4.105378150939941,0.6620221560172277,-0.7043399796575115,-0.25618715424149924,311.5058991220103,2.5862450849581933,32.575872146386985,-33.48497640398425,-999,5,69,3,11,30,14,11,0.9985309839248657,22.098499298095703,0.144119992852211,0.30622100830078125,3,21.798799514770508,22.409099578857422,22.0226993560791,0.3157530128955841,0.5876889824867249,3,22.028600692749023,0.24578799307346344,0.4123769998550415,3,115000,0.9990170001983643,20.732799530029297,0.029109999537467957,0.11161399632692337,11,20.567899703979492,20.91069984436035,20.36910057067871,0.04907900094985962,0.17439599335193634,11,20.358800888061523,0.057041000574827194,0.16320399940013885,11,16892216,0.9996780157089233,20.005300521850586,0.02800000086426735,0.1191449984908104,27,19.7593994140625,20.17300033569336,19.75860023498535,0.034247998148202896,0.14035800099372864,27,19.694700241088867,0.024157000705599785,0.12303700298070908,27,16892216,0.9992939829826355,19.77389907836914,0.03565699979662895,0.14812499284744263,14,19.427799224853516,19.936800003051758,19.415199279785156,0.03531099855899811,0.11282999813556671,14,19.39859962463379,0.01795399934053421,0.08693300187587738,14,16892216,0.9985820055007935,19.47209930419922,0.040070999413728714,0.13468100130558014,10,19.280099868774414,19.66160011291504,19.208599090576172,0.08048900216817856,0.2931689918041229,10,19.253299713134766,0.04906599968671799,0.2153729945421219,10,115000,0.0035333470774293672
PSO J313.2280-14.8429,-999,-999,-999,90183132279958952,3578848000020934,437481073824197,0,13050815417249,9018,1,1043,29,0.63139249350074,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.2279899,-14.84285136,0.25314000248908997,0.25314000248908997,,,,,55089.30418981,-999.0,0.6620493377772805,-0.7043211164575819,-0.2561687710487167,311.5080026859996,2.5867860995108947,32.577956428486516,-33.48627518581624,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7148799896240234,21.64739990234375,0.2526940107345581,-999.0,1,21.64739990234375,21.64739990234375,-999.0,-999.0,-999.0,0,22.041000366210938,0.2526940107345581,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0028100080818517256
PSO J313.2292-14.8432,-999,-999,-999,90183132291618499,3578848000021090,437481073824353,0,13050815203192,9018,1,1043,29,0.807994181111449,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22916143,-14.843212,0.17035000026226044,0.17035000026226044,,,,,55027.44474537,-999.0,0.6620626345452448,-0.7043064044969702,-0.25617485536945206,311.5089948540025,2.5861302921651736,32.5780882444506,-33.487458566568506,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7166209816932678,20.807199478149414,0.16969099640846252,-999.0,1,20.807199478149414,20.807199478149414,20.71269989013672,0.17012399435043335,-999.0,1,20.598800659179688,0.16969099640846252,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.003781633787346394
PSO J313.2307-14.8428,-999,-999,-999,90183132306498976,3578848000021336,437481073824599,0,13050815202955,9018,1,1043,29,0.094240826642365,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.23065028,-14.84281359,0.20464999973773956,0.20464999973773956,,,,,55027.44474537,-999.0,0.6620821560412433,-0.7042904982034253,-0.2561681338343037,311.51048964587136,2.586121099877871,32.57920155458973,-33.488628106084505,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6214540004730225,20.902599334716797,0.2041040062904358,-999.0,1,20.902599334716797,20.902599334716797,21.26460075378418,0.25546398758888245,-999.0,1,20.915800094604492,0.2041040062904358,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.004659102084761283
PSO J313.2221-14.8410,-999,-999,-999,90193132221361119,3578848000020132,437481073823395,0,13050815428886,9019,1,1043,29,0.51229485265193,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22213428,-14.84103439,0.34797000885009766,0.34797000885009766,,,,,55499.20917824,-999.0,0.6619829157852324,-0.704394693505879,-0.2561381169784005,311.5030474003193,2.5900777675336975,32.57731339608563,-33.4803546946315,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5846139788627625,20.734699249267578,0.34765100479125977,-999.0,1,20.734699249267578,20.734699249267578,-999.0,-999.0,-999.0,0,21.940500259399414,0.34765100479125977,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.004267867304615087
PSO J313.2228-14.8387,-999,-999,-999,90193132227943947,3578848000072571,437481073876655,0,13050815420457,9019,1,1043,29,0.109210977432515,3578848,101859,3,404226048,0,48,313.22279472,-14.83867708,0.0010000000474974513,0.0010000000474974513,313.22279472,-14.83867708,0.0010000000474974513,0.0010000000474974513,,,,,55902.34974537,-999.0,0.6619982516152939,-0.7043947414626303,-0.2560983464571535,311.5043057177787,2.5921716521263134,32.58021422286215,-33.480022366227594,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.003994876673742864
PSO J313.2244-14.8419,-999,-999,-999,90193132244360123,3578848000020420,437481073823683,0,13050815429884,9019,1,1043,29,0.547895712356917,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22443652,-14.84185932,0.27612000703811646,0.27612000703811646,,,,,55027.44474537,-999.0,0.6620086933092357,-0.7043654060646457,-0.2561520343904865,311.5049654974677,2.588677240439543,32.577444189787364,-33.48272559382217,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5571010112762451,21.23590087890625,0.27570900321006775,-999.0,1,21.23590087890625,21.23590087890625,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0024553459734135263
PSO J313.2247-14.8417,-999,-999,-999,90193132247370362,3578848000020466,437481073823729,0,13050815429864,9019,1,1043,29,0.189757491638658,3578848,101859,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,313.22473695,-14.84166462,0.24199999868869781,0.24199999868869781,,,,,55027.45581019,-999.0,0.6620129827653768,-0.7043625690826419,-0.2561487496073121,311.50529833187824,2.588785367253634,32.57779501175581,-33.48291697655295,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6590970158576965,21.413799285888672,0.24153900146484375,-999.0,1,21.413799285888672,21.413799285888672,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0021058728704337415
