lineset,sdss_id,teff,teff_lo,teff_hi,logg,logg_lo,logg_hi,XHe,XHe_lo,XHe_hi,v,chi2r
all,92431667,60000.0,60000.0,60000.0,7.0,7.0,7.0,0.1,0.1,0.1,110.0,0.74
all,59874679,100000.0,100000.0,100000.0,6.5,6.5,6.5,0.1,0.1,0.1,20.0,0.62
all,55886486,70000.0,70000.0,70000.0,7.5,7.5,7.5,0.1,0.1,0.1,150.0,0.71
all,62112031,70000.0,70000.0,70000.0,7.0,7.0,7.0,0.1,0.1,0.1,-70.0,0.64
all,75503736,80000.0,80000.0,80000.0,7.0,7.0,7.0,0.3,0.3,0.3,40.0,1.49
all,62051762,60000.0,60000.0,60000.0,7.0,7.0,7.0,0.3,0.3,0.3,-10.0,1.97
all,58697654,60000.0,60000.0,60000.0,7.0,7.0,7.0,0.1,0.1,0.1,20.0,0.62
all,79946016,60000.0,60000.0,60000.0,6.5,6.5,6.5,0.1,0.1,0.3,30.0,0.77
all,62153804,60000.0,60000.0,70000.0,7.5,7.0,7.5,0.1,0.1,0.1,40.0,0.66
all,100568930,60000.0,60000.0,60000.0,6.5,6.5,6.5,0.0,0.0,0.0,40.0,1.23
all,74510696,60000.0,60000.0,60000.0,6.5,6.5,6.5,0.1,0.1,0.1,-30.0,1.21
all,102043792,110000.0,110000.0,110000.0,8.0,8.0,8.0,0.7,0.7,0.7,0.0,1.11
all,102152010,80000.0,80000.0,90000.0,7.5,7.5,7.5,0.7,0.7,0.7,-10.0,1.47
all,86483251,80000.0,80000.0,90000.0,7.0,6.5,7.0,0.3,0.1,0.3,-20.0,0.56
all,80998734,60000.0,60000.0,60000.0,6.5,6.5,6.5,0.1,0.1,0.1,10.0,0.9
all,73346836,60000.0,60000.0,70000.0,7.0,7.0,7.0,0.1,0.1,0.1,30.0,0.69
all,99327334,60000.0,60000.0,60000.0,6.5,6.5,6.5,0.0,0.0,0.0,10.0,0.8
all,109787602,60000.0,60000.0,60000.0,7.0,7.0,7.0,0.1,0.1,0.1,60.0,0.75
he,92431667,120000.0,120000.0,120000.0,6.5,6.5,6.5,0.5,0.5,0.5,90.0,0.35
he,59874679,150000.0,150000.0,200000.0,6.5,6.5,7.0,0.3,0.3,0.5,-10.0,0.37
he,55886486,150000.0,120000.0,170000.0,7.0,6.5,7.0,0.7,0.3,0.9,120.0,0.37
he,62112031,90000.0,60000.0,120000.0,7.5,7.0,8.0,0.3,0.1,0.7,-60.0,0.51
he,75503736,120000.0,120000.0,120000.0,6.5,6.5,6.5,0.5,0.5,0.5,10.0,0.9
he,62051762,90000.0,60000.0,120000.0,7.0,6.5,7.5,0.3,0.1,0.7,0.0,0.58
he,58697654,90000.0,90000.0,90000.0,6.5,6.5,7.0,0.1,0.1,0.1,-30.0,0.33
he,79946016,200000.0,150000.0,200000.0,6.5,6.5,6.5,1.0,0.9,1.0,-30.0,0.61
he,62153804,60000.0,60000.0,200000.0,8.0,6.5,8.0,0.1,0.1,1.0,50.0,0.57
he,100568930,120000.0,120000.0,120000.0,7.5,7.0,8.0,0.1,0.1,0.1,-150.0,0.55
he,74510696,90000.0,90000.0,90000.0,6.5,6.5,7.0,0.1,0.1,0.1,-60.0,0.76
he,102043792,110000.0,110000.0,110000.0,8.0,8.0,8.0,1.0,1.0,1.0,50.0,0.91
he,102152010,100000.0,80000.0,100000.0,7.5,7.5,8.0,1.0,1.0,1.0,30.0,1.24
he,86483251,90000.0,70000.0,120000.0,7.5,6.5,8.0,0.3,0.1,0.9,-50.0,0.53
he,80998734,90000.0,90000.0,90000.0,6.5,6.5,7.0,0.1,0.1,0.1,40.0,0.73
he,73346836,110000.0,100000.0,120000.0,6.5,6.5,6.5,0.3,0.3,0.5,20.0,0.56
he,99327334,100000.0,100000.0,100000.0,7.0,6.5,7.5,0.1,0.1,0.1,-20.0,0.5
he,109787602,200000.0,120000.0,200000.0,6.5,6.5,6.5,0.7,0.5,1.0,40.0,0.78
