sdss_id,gaia,name,snr,lit_kK,lit_ref,all_kK,he_kK,he_range,he_logg,he_XHe,he_v
92431667,4755520010701141504,PN Lo 1,54,118.0,Filiz+2024,60.0,120.0,120-120,6.5,0.5,90.0
59874679,1225176323543428736,PG 1416+110,25,110.0,Bedard+2020 (Kilic15: 100),100.0,150.0,150-200,6.5,0.3,-10.0
55886486,597324024095840512,Abell 31,30,106.0,Filiz+2024,70.0,150.0,120-170,7.0,0.7,120.0
62112031,1584181713419346560,FBS 1215+628,19,84.0,Bedard+2020,70.0,90.0,60-120,7.5,0.3,-60.0
75503736,3165739820296546176,GALEX J0743+1607,85,83.0,Bedard+2020 (Kilic15: 100),80.0,120.0,120-120,6.5,0.5,10.0
62051762,1573011744729727104,PG 1204+543,31,85.0,Reindl+2023,60.0,90.0,60-120,7.0,0.3,0.0
58697654,1027028630113289600,PG 0834+501,38,90.0,Filiz+2024,60.0,90.0,90-90,6.5,0.1,-30.0
79946016,3833693825659533056,GALEX J0950-0104,10,91.0,Bedard+2020,60.0,200.0,150-200,6.5,1.0,-30.0
62153804,1592322123850695168,PG 1454+494,15,75.0,Bedard+2020,60.0,60.0,60-200,8.0,0.1,50.0
100568930,5671975077144346112,Gaia DR3 5671975077144346112,36,,,60.0,120.0,120-120,7.5,0.1,-150.0
74510696,3090786872841030016,SDSS J081413.43+022524.7,46,,,60.0,90.0,90-90,6.5,0.1,-60.0
102043792,5803795977174249344,SALT J1740-7214 O(He),37,140.0,Jeffery+2023,110.0,110.0,110-110,8.0,1.0,50.0
102152010,5811791728816787584,SALT J1723-6725 O(He),42,130.0,Jeffery+2023,80.0,100.0,80-100,7.5,1.0,30.0
86483251,4224989806164395392,GALEX J2044-0256 DAO,19,92.5,MWDD,80.0,90.0,70-120,7.5,0.3,-50.0
80998734,4036084504408126976,Gaia DR3 4036084504408126976,22,,,60.0,90.0,90-90,6.5,0.1,40.0
73346836,2995107164834343680,GALEX J055029.7-155446,25,,,60.0,110.0,100-120,6.5,0.3,20.0
99327334,5570041179495992704,GALEX J062928.9-415857,32,,,60.0,100.0,100-100,7.0,0.1,-20.0
109787602,6365804611201098368,GALEX J190659.9-755815,12,,,60.0,200.0,120-200,6.5,0.7,40.0
