sdss_id,li_depth,e_li,li_sig,ctrl1_sig,ctrl2_sig,cai_depth,cai_sig,gaia,cls,teff,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
86507218,0.099056092840767,0.0112415278683831,8.811621872091147,2.7471593722314287,-1.8865037803346416,0.0054746123718925,0.3775590623469228,4227064825124198144,DA,25450.22,17.32177,3.825809,0.09319857,17.32177,17.22322,17.56114,-0.33792000000000044,10.235386422397035
94847722,0.2329896214556949,0.0277546707166841,8.394609463539348,-1.6256057460332936,-1.1247310954926968,-0.0554832580728346,-1.2057147654918623,5168776850478678784,DA,14025.89,19.12182,3.219715,0.2805855,19.12182,19.1638,19.16712,-0.00332000000000221,11.660907154433753
70162910,0.0367709250236497,0.0048057727886399,7.651407305516001,2.575424672539026,0.7977451943336847,0.0519254044096293,8.437176970783234,2508940708288918656,DA,23715.28,18.63063,1.696507,0.1852483,18.63063,18.58653,18.86841,-0.281880000000001,9.778408279690833
54772474,0.2369802760633571,0.0312253342486749,7.589359145880514,2.2002543810852173,-2.138044716105292,-0.0593855941770757,-1.3465271908090637,457404568097423872,DA/DC,-9999.0,19.07129,1.387541,0.2761767,19.07129,19.00336,19.19746,-0.19409999999999883,9.782519124057112
68135523,0.1354239706190391,0.0180503432445543,7.50257038241616,-0.6796013631092325,-2.926664015232019,0.0733376481117092,2.07961191633223,2167662130206285184,DA:,9722.13,19.4722,3.259912,0.2339481,19.4722,19.01574,18.54634,0.46940000000000026,12.0382293831154
92877310,0.1500329387453213,0.0200350072108519,7.488539293564933,1.1896370499900228,0.5036527887355826,-0.3903500992329117,-27.261193909728103,4812998802107976064,CV,-9999.0,18.8843,1.92422,0.1226437,18.8843,19.01131,18.63415,0.37715999999999994,10.305573621575228
77081980,0.0487480055564812,0.0066049282369781,7.380550372002885,-2.303702583216851,-1.0235129799934457,0.1365322020060346,15.850805482516463,3377238509762378112,DA,-9999.0,17.91612,6.654139,0.1253698,17.91612,17.88478,17.9838,-0.09901999999999944,12.031579343576604
56421458,0.0612876686783711,0.0088459754610342,6.928310953194254,-2.4714590289823577,0.6163171248455731,-0.0718409360274991,-7.279155333085067,677312666087549568,DAH,-9999.0,18.16637,4.219457,0.1448879,18.16637,18.08089,18.43654,-0.3556500000000007,11.292652826992104
74317277,0.0709700441290692,0.0104673509335505,6.7801342077480395,-0.9388480777271044,-2.200838252193811,0.0994194619168784,6.097324143603829,3073945099185526016,DA,12714.67,19.12112,3.062491,0.3092861,19.12112,19.12867,19.11079,0.01787999999999812,11.55149410538363
79648760,0.1058164674754739,0.0157370526188633,6.724033403093276,0.5992894285732174,-2.2828071212414183,0.0790898476168685,3.517285553061625,3775407408600360704,DA,9255.083,18.3294,6.774513,0.1807407,18.3294,18.37994,18.13789,0.24205000000000254,12.483790402518478
58594308,0.0979757744661447,0.0146102688811817,6.705952865271285,-0.6987196672591599,-1.8123696999680017,-0.0040872725951638,-0.2161391386182357,1008807626497454208,DA,9298.666,17.75006,6.798354,0.1321055,17.75006,17.84972,17.59274,0.2569800000000022,11.91207887584817
87714119,0.1140483382949405,0.0171296412182678,6.657952542129947,0.752979687203702,-0.1585939681333847,0.0452845158528027,1.9591323840294623,4297110450326202496,DA,-9999.0,18.48159,4.300014,0.187799,18.48159,18.53134,18.55259,-0.021249999999998437,11.648939347796595
78965084,0.0918758776885841,0.0138063760590332,6.654597650805825,1.0147219270905925,-0.8612585831194784,0.0128084071532921,0.719091218950825,3651434685134813312,DA,6757.963,19.46385,4.669486,0.3511717,19.46385,19.6349,19.15451,0.4803899999999999,12.810195388216776
111184654,0.2112461199904013,0.0318601442274911,6.630419450773345,-2.361037431691404,-1.373803838137588,0.0253921427687438,0.5495946882351787,6548595258220233216,DA,7560.338,19.74066,4.166575,0.4912379,19.74066,19.93589,19.44778,0.48810999999999893,12.839556018523457
65849644,0.1488706790472317,0.0226025726826225,6.58644841618794,2.828640919400943,2.7421016229165764,0.1414059163461689,6.291791149405884,2010233368156914048,DA_MS,-9999.0,17.84307,4.016679,0.08777091,17.84307,17.78724,17.9477,-0.1604600000000005,10.86240562853752
67094317,0.2510388859311265,0.0387606856947151,6.476636866239822,-0.848613906262145,1.7727488111137035,0.3040533843096255,4.9567570818714675,2075555521456954496,DA:,17500.0,19.79566,3.002073,0.2815716,19.79566,19.75657,19.7376,0.018969999999999487,12.182766242853575
75619121,0.1188147826213446,0.0185270121229362,6.413056883265773,-1.6977042778215472,-1.6709777279250304,-0.0104604874009718,-0.3414681955834204,3182801663779015040,DA,-9999.0,18.07518,2.617809,0.1314371,18.07518,18.0396,18.23554,-0.19594000000000023,10.164869782364615
63290302,0.1670667366163644,0.0264533214705318,6.3155296699687264,-1.7367797848056163,-0.8227757039942464,0.0174592867837401,0.4205073439224164,1777222695030255360,DA,10233.08,19.19337,4.709085,0.3768571,19.19337,19.31828,19.00817,0.31011000000000166,12.55805264811274
56587980,0.0407275815400603,0.0065069285337995,6.259110013043104,-1.5606079437249931,0.9371037381603988,0.0242646033766189,2.7186786056880523,704116904146548864,DA,-9999.0,18.36047,3.585852,0.1821339,18.36047,18.32599,18.42666,-0.10066999999999737,11.133431804115013
