sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG,dr19,chi2r,n_edge
70820920,2641927017624714880,DA/DC,6,6.0,-116.2,1741.9,1074.6,41.0,22.5,1.01,13.23,8.4,-0.78,12.12,4.92,4.866124,0.3475,19.3142,19.40398,19.18526,0.2187200000000011,12.750115857776308,False,348.38,0
70289454,2534272597198152832,DA,3,3.0,-99.8,1262.4,289.5,34.5,5.9,16.09,4.86,2.25,0.01,14.16,2.34,1.650033,0.3124417,19.23957,19.21743,19.41223,-0.1948000000000007,10.327033150083434,False,631.2,0
70301915,2536443651627449472,DA,6,6.0,-55.0,1320.7,701.8,31.6,15.2,8.32,323.35,44.54,1.94,5.21,3.48,2.11127,0.300423,19.12618,19.05742,19.13856,-0.0811399999999977,10.748898883288453,False,264.14,0
57904031,919284629553875200,DA,6,6.0,176.4,1377.1,649.8,27.9,19.4,6.09,2.64,0.92,0.25,1.83,1.13,8.08418,0.1411711,18.26245,18.30712,18.21429,0.0928300000000028,12.800629874127544,False,275.41999999999996,0
63596910,1811489941277236224,DA,4,4.0,80.8,1083.8,327.3,27.7,8.8,2.23,1641.83,90.38,1.69,12.61,4.48,5.613489,0.4178383,19.5462,19.61273,19.36849,0.2442399999999978,13.292364379770584,False,361.26666666666665,0
70124065,2501879958146685056,DA,3,3.0,17.6,696.6,862.9,26.3,20.1,2.7,10.34,2.87,-0.12,0.63,0.45,5.160258,0.5614322,19.58065,18.74671,17.89432,0.8523899999999998,13.14400707904228,False,348.3,0
75806002,3212106397437585152,DA,5,5.0,40.9,672.6,553.2,25.4,16.2,17.17,1.51,2.67,0.42,4.12,3.03,2.741544,0.2596289,19.21311,19.19417,19.28398,-0.0898099999999999,11.40308610209852,False,168.15,0
75033977,3130208655368035200,DA,3,3.0,164.7,799.1,447.0,25.1,12.7,11.54,18.45,11.09,0.12,17.6,3.76,2.268566,0.3116738,18.97565,18.94129,19.02522,-0.0839300000000022,10.754407094159276,False,399.55,0
75536894,3168889066411928192,DA,7,7.0,41.1,1389.4,801.9,24.5,23.9,4.17,25.07,5.12,0.14,9.53,3.52,1.242121,0.1591615,18.1711,18.01016,18.42697,-0.4168100000000017,8.6419195213634,False,231.5666666666667,0
110514411,6455606188310688512,DA,3,3.0,-103.0,620.1,376.7,23.2,12.1,11.5,0.46,0.45,1.2,19.2,2.28,2.900488,0.1042711,17.58804,17.47095,17.86317,-0.3922200000000018,9.90039536514536,False,310.05,0
