sdss_id,n_vis,chi2r,dv,dv_sig,vis,gaia,cls,g_mag,MG,bprp,dr19
100027843,3,1.25,39.9,1.5,59217:-31±23 59218:+9±14 59220:+8±12,5616326495865283072,DA,17.81207,7.62622119408632,-0.4618300000000026,False
100038798,4,8.22,69.1,4.6,59212:-7±24 59217:-9±10 59218:+50±11 59220:-19±10,5616874946010432000,DA,17.44839,10.62765571053657,-0.1486299999999971,False
101590042,3,7.18,93.4,3.6,60026:-59±19 60058:+10±10 60286:+35±17,5760874440540631680,DA,17.3959,9.318538890143858,-0.465250000000001,False
104455449,3,101.93,514.2,13.1,60101:-470±32 60111:-4±10 60155:+44±23,5923963561484530944,DA,18.18923,11.8726567574069,0.2965599999999995,False
110514411,3,0.24,16.8,0.4,60165:-10±13 60167:+7±36 60168:+1±12,6455606188310688512,DA,17.58804,9.90039536514536,-0.3922200000000018,False
110663463,4,2.28,90.6,2.6,60165:+37±21 60167:-2±19 60171:-2±18 60173:-53±28,6473396458246166016,DA,18.44775,10.430355993673908,-0.318290000000001,False
110833883,3,0.04,13.4,0.3,60576:-5±43 60577:-16±20 60578:-19±19,6493699696366931200,DA,18.70598,11.430040178147722,-0.2843300000000006,False
114181553,5,0.43,30.8,1.1,60507:+4±18 60530:-10±19 60584:-27±22 60585:+1±10 60586:+0±10,6837525469227801088,DA,17.42406,12.48864243377922,-0.0593099999999999,False
114182511,5,2.88,48.2,2.7,60507:-24±11 60530:-8±24 60584:+24±14 60585:+13±10 60586:-15±10,6837772412668138624,DA,18.55841,13.324418293396032,0.5244,False
115986011,4,2.35,72.8,2.4,59206:+60±28 59212:-12±10 59971:-8±10 60625:+17±21,213298452562402176,DA,17.68958,11.467861409910649,-0.0166499999999985,False
116392334,4,0.99,38.3,1.2,59914:+19±12 59956:-19±29 59971:+17±17 60615:-5±13,265824184605171200,DA,18.96726,11.210936874670338,-0.0935899999999989,False
116462718,2,0.78,15.3,0.9,59971:-4±10 60617:+12±14,274791771384341376,DA,18.08222,11.177573900677505,-0.0889699999999997,False
116625587,4,0.34,14.8,0.4,60255:+10±15 60579:+11±35 60591:+9±13 60615:-4±10,302666207910787712,DA,18.54071,11.30110329889498,-0.1802500000000009,False
116633596,4,6.33,125.6,3.5,60255:+19±22 60579:-69±31 60580:-43±24 60615:+57±17,303768056000635776,DA,18.01625,8.185707881851705,-0.2421299999999995,False
116676666,3,1.33,33.4,1.6,60253:+28±18 60589:-6±10 60638:+5±11,310776033878412288,DA,18.82234,9.661070498079823,-0.318010000000001,False
116702759,5,5.1,85.0,4.4,60293:-2±24 60581:+18±23 60582:+79±16 60583:+6±23 60593:-6±11,315426590111350400,DA,19.11685,10.84927599473102,-0.1537299999999994,False
116703665,5,2.84,78.5,2.7,60293:+7±16 60581:-47±17 60582:+30±43 60583:+19±14 60593:+32±24,315548051782005504,DA,17.34813,11.66673222114004,-0.1515599999999999,False
116704571,4,2.94,76.6,2.8,60293:+15±17 60581:+0±10 60583:+42±17 60593:-35±21,315677931593250560,DA,18.0799,11.251573829744029,-0.1175100000000028,False
54405380,3,0.51,19.4,1.0,59952:+4±15 60564:+18±17 60565:-1±10,423616369618993920,DA,18.3368,11.74688377725867,0.0184800000000002,False
