sdss_id,mjd,in_stack,xcsao,line,rv,e_rv,snr
70043201,59166,True,43.6,Ha,25.6,13.1,24.1
70043201,59191,True,51.1,Ha,5.6,20.2,19.9
70043201,59220,True,-60.9,Ha,-17.1,9.6,27.7
70043201,59820,True,-72.2,Ha,-50.3,15.8,16.4
70043201,59878,True,60.8,Ha,135.0,20.8,12.1
70043201,60320,True,-545.5,Ha,108.0,62.8,5.6
70043201,59166,True,43.6,Hb,10.5,10.8,24.1
70043201,59191,True,51.1,Hb,17.1,10.4,19.9
70043201,59220,True,-60.9,Hb,-36.2,8.2,27.7
70043201,59820,True,-72.2,Hb,26.1,14.5,16.4
70043201,59878,True,60.8,Hb,81.7,19.2,12.1
70043201,60320,True,-545.5,Hb,148.8,41.0,5.6
70043201,59166,True,43.6,Hg,8.9,11.7,24.1
70043201,59191,True,51.1,Hg,34.0,11.3,19.9
70043201,59220,True,-60.9,Hg,-25.1,8.1,27.7
70043201,59820,True,-72.2,Hg,-16.9,13.9,16.4
70043201,59878,True,60.8,Hg,20.5,20.1,12.1
70043201,60320,True,-545.5,Hg,-25.9,61.5,5.6
70077402,59169,True,80.1,Ha,73.4,8.4,40.5
70077402,59200,True,165.4,Ha,-26.7,14.6,23.7
70077402,59201,True,237.7,Ha,-12.8,24.4,9.6
70077402,59202,True,-16.2,Ha,-38.2,13.5,26.8
70077402,59223,True,134.8,Ha,-71.8,14.7,26.3
70077402,59226,True,81.0,Ha,-20.3,14.5,24.3
70077402,59883,True,170.1,Ha,11.2,23.7,15.8
70077402,59885,True,128.9,Ha,29.7,13.8,18.2
70077402,59941,True,116.4,Ha,16.9,28.9,15.8
70077402,59956,True,277.2,Ha,-59.6,26.1,14.2
70077402,59169,True,80.1,Hb,64.4,5.6,40.5
70077402,59200,True,165.4,Hb,14.0,8.8,23.7
70077402,59201,True,237.7,Hb,-10.8,17.3,9.6
70077402,59202,True,-16.2,Hb,-15.7,8.0,26.8
70077402,59223,True,134.8,Hb,-60.0,9.5,26.3
70077402,59226,True,81.0,Hb,-85.7,9.2,24.3
70077402,59883,True,170.1,Hb,7.0,13.3,15.8
70077402,59885,True,128.9,Hb,19.2,12.4,18.2
70077402,59941,True,116.4,Hb,45.9,15.3,15.8
70077402,59956,True,277.2,Hb,-68.3,23.2,14.2
70077402,59169,True,80.1,Hg,63.5,6.9,40.5
70077402,59200,True,165.4,Hg,16.5,9.0,23.7
70077402,59201,True,237.7,Hg,-40.4,23.5,9.6
70077402,59202,True,-16.2,Hg,-14.8,11.4,26.8
70077402,59223,True,134.8,Hg,-70.6,9.7,26.3
70077402,59226,True,81.0,Hg,-50.1,10.2,24.3
70077402,59883,True,170.1,Hg,20.1,20.9,15.8
70077402,59885,True,128.9,Hg,3.1,13.9,18.2
70077402,59941,True,116.4,Hg,2.6,13.8,15.8
70077402,59956,True,277.2,Hg,-47.9,20.0,14.2
74988302,59209,True,132.2,Ha,9.9,15.0,20.9
74988302,59210,True,385.1,Ha,-1.3,10.6,25.3
74988302,59219,True,641.3,Ha,-13.1,20.8,18.4
74988302,59209,True,132.2,Hb,4.4,11.1,20.9
74988302,59210,True,385.1,Hb,28.7,11.7,25.3
74988302,59219,True,641.3,Hb,-28.8,14.2,18.4
74988302,59209,True,132.2,Hg,-59.1,13.1,20.9
74988302,59210,True,385.1,Hg,56.5,10.9,25.3
74988302,59219,True,641.3,Hg,-15.8,13.8,18.4
75840003,59187,True,247.8,Ha,-3.4,3.6,7.5
75840003,59215,True,512.6,Ha,5.8,2.7,7.9
75840003,59216,True,449.9,Ha,-1.2,3.4,7.9
75840003,59187,True,247.8,Hb,0.1,8.7,7.5
75840003,59215,True,512.6,Hb,5.6,8.6,7.9
75840003,59216,True,449.9,Hb,-5.0,7.7,7.9
75840003,59187,True,247.8,Hg,-11.7,17.5,7.5
75840003,59215,True,512.6,Hg,15.4,11.5,7.9
75840003,59216,True,449.9,Hg,-12.4,18.9,7.9
55779406,59292,True,158.1,Ha,-4.8,18.5,6.8
55779406,59310,True,-60.5,Ha,-17.3,21.6,7.0
55779406,59315,True,168.7,Ha,478.5,42.9,3.2
55779406,59316,True,51.1,Ha,20.7,15.1,7.2
55779406,59913,True,281.4,Ha,-5.4,16.7,8.7
55779406,59292,True,158.1,Hb,-57.8,24.9,6.8
55779406,59310,True,-60.5,Hb,23.1,24.8,7.0
55779406,59315,True,168.7,Hb,15.7,31.2,3.2
55779406,59316,True,51.1,Hb,8.7,16.8,7.2
55779406,59913,True,281.4,Hb,-14.0,22.2,8.7
55779406,59292,True,158.1,Hg,-116.9,39.3,6.8
55779406,59310,True,-60.5,Hg,-7.3,18.5,7.0
55779406,59315,True,168.7,Hg,-82.9,56.9,3.2
55779406,59316,True,51.1,Hg,36.0,16.6,7.2
55779406,59913,True,281.4,Hg,9.7,16.1,8.7
61667907,59293,True,38.2,Ha,11.0,4.6,46.7
61667907,59311,True,4.0,Ha,-13.9,4.3,46.2
61667907,59364,True,29.3,Ha,12.4,5.0,39.6
61667907,59366,True,25.1,Ha,-11.7,6.2,33.1
61667907,59369,True,42.2,Ha,3.3,15.6,29.0
61667907,59293,True,38.2,Hb,4.6,3.6,46.7
61667907,59311,True,4.0,Hb,5.7,3.7,46.2
61667907,59364,True,29.3,Hb,3.7,4.3,39.6
61667907,59366,True,25.1,Hb,-21.6,5.5,33.1
61667907,59369,True,42.2,Hb,-6.0,5.9,29.0
61667907,59293,True,38.2,Hg,2.3,3.8,46.7
61667907,59311,True,4.0,Hg,4.3,3.9,46.2
61667907,59364,True,29.3,Hg,18.6,4.8,39.6
61667907,59366,True,25.1,Hg,-12.8,6.0,33.1
61667907,59369,True,42.2,Hg,-24.3,7.4,29.0
74647907,59273,True,-181.7,Ha,-0.8,9.2,9.4
74647907,59274,True,591.9,Ha,0.4,25.6,4.3
74647907,59275,True,412.1,Ha,3.3,4.9,25.0
74647907,59293,True,451.5,Ha,-1.9,4.3,24.9
74647907,59273,True,-181.7,Hb,-1.8,21.4,9.4
74647907,59274,True,591.9,Hb,37.8,80.3,4.3
74647907,59275,True,412.1,Hb,9.4,6.8,25.0
74647907,59293,True,451.5,Hb,-15.1,10.1,24.9
74647907,59273,True,-181.7,Hg,25.7,21.4,9.4
74647907,59274,True,591.9,Hg,380.8,72.0,4.3
74647907,59275,True,412.1,Hg,9.3,9.3,25.0
74647907,59293,True,451.5,Hg,-17.2,12.2,24.9
56424409,59230,True,264.1,Ha,9.7,15.8,14.9
56424409,59232,True,-5.6,Ha,-10.3,16.0,12.3
56424409,59230,True,264.1,Hb,63.3,10.5,14.9
56424409,59232,True,-5.6,Hb,-82.5,11.9,12.3
56424409,59230,True,264.1,Hg,70.8,11.9,14.9
56424409,59232,True,-5.6,Hg,-66.7,16.1,12.3
75537110,59186,True,83.5,Ha,-3.2,18.8,17.2
75537110,59208,True,0.7,Ha,-39.9,16.0,18.6
75537110,59209,True,-2.5,Ha,-26.2,9.7,51.9
75537110,59210,True,53.1,Ha,11.1,5.7,51.0
75537110,59211,True,29.8,Ha,-3.8,7.1,39.0
75537110,59212,True,158.2,Ha,61.2,17.8,21.9
75537110,59302,True,68.2,Ha,25.1,8.2,34.1
75537110,60355,True,-7.7,Ha,-31.0,17.6,15.8
75537110,60371,True,61.8,Ha,-30.7,16.0,18.1
75537110,59186,True,83.5,Hb,29.9,13.7,17.2
75537110,59208,True,0.7,Hb,17.3,11.1,18.6
75537110,59209,True,-2.5,Hb,9.7,4.7,51.9
75537110,59210,True,53.1,Hb,4.4,4.9,51.0
75537110,59211,True,29.8,Hb,-3.6,6.4,39.0
75537110,59212,True,158.2,Hb,-14.7,12.7,21.9
75537110,59302,True,68.2,Hb,4.8,7.3,34.1
75537110,60355,True,-7.7,Hb,-41.0,17.1,15.8
75537110,60371,True,61.8,Hb,-8.7,12.4,18.1
75537110,59186,True,83.5,Hg,36.8,26.7,17.2
75537110,59208,True,0.7,Hg,32.7,12.2,18.6
75537110,59209,True,-2.5,Hg,6.1,7.1,51.9
75537110,59210,True,53.1,Hg,-3.7,6.8,51.0
75537110,59211,True,29.8,Hg,-11.7,6.2,39.0
75537110,59212,True,158.2,Hg,-17.5,9.9,21.9
75537110,59302,True,68.2,Hg,11.8,7.5,34.1
75537110,60355,True,-7.7,Hg,-79.6,23.3,15.8
75537110,60371,True,61.8,Hg,-10.9,18.4,18.1
62573217,59280,True,38.8,Ha,-5.6,9.6,27.6
62573217,59309,True,85.8,Ha,48.3,12.0,21.7
62573217,59340,True,100.1,Ha,21.7,15.9,18.9
62573217,59380,True,31.0,Ha,-2.8,16.5,20.9
62573217,59381,True,41.4,Ha,0.1,14.9,19.9
62573217,59789,True,80.5,Ha,27.1,15.6,17.9
62573217,60056,True,-7.0,Ha,-9.8,11.2,20.1
62573217,60057,True,171.0,Ha,-13.9,29.3,9.3
62573217,59280,True,38.8,Hb,-1.3,6.7,27.6
62573217,59309,True,85.8,Hb,28.6,8.3,21.7
62573217,59340,True,100.1,Hb,-25.5,8.7,18.9
62573217,59380,True,31.0,Hb,4.6,9.9,20.9
62573217,59381,True,41.4,Hb,13.2,10.4,19.9
62573217,59789,True,80.5,Hb,9.0,12.5,17.9
62573217,60056,True,-7.0,Hb,10.6,10.5,20.1
62573217,60057,True,171.0,Hb,-35.0,22.2,9.3
62573217,59280,True,38.8,Hg,-5.1,7.1,27.6
62573217,59309,True,85.8,Hg,58.6,10.0,21.7
62573217,59340,True,100.1,Hg,-18.4,8.9,18.9
62573217,59380,True,31.0,Hg,-23.2,11.5,20.9
62573217,59381,True,41.4,Hg,-30.2,10.8,19.9
62573217,59789,True,80.5,Hg,53.0,14.1,17.9
62573217,60056,True,-7.0,Hg,-11.0,11.0,20.1
62573217,60057,True,171.0,Hg,32.3,25.6,9.3
70124824,59165,True,48.3,Ha,-7.8,6.8,29.3
70124824,59191,True,51.8,Ha,-2.7,9.9,22.6
70124824,59231,True,77.4,Ha,32.7,16.6,18.8
70124824,59232,True,105.3,Ha,28.4,12.2,20.0
70124824,59881,True,67.8,Ha,17.0,38.2,10.9
70124824,59935,True,0.9,Ha,-47.1,29.5,12.1
70124824,60637,True,28.3,Ha,-9.0,15.9,16.7
70124824,60698,True,254.3,Ha,63.1,41.3,8.0
70124824,59165,True,48.3,Hb,-10.6,7.7,29.3
70124824,59191,True,51.8,Hb,-34.3,10.4,22.6
70124824,59231,True,77.4,Hb,48.1,11.2,18.8
70124824,59232,True,105.3,Hb,71.9,13.0,20.0
70124824,59881,True,67.8,Hb,-0.6,31.3,10.9
70124824,59935,True,0.9,Hb,-10.8,22.6,12.1
70124824,60637,True,28.3,Hb,-3.2,14.8,16.7
70124824,60698,True,254.3,Hb,65.2,25.5,8.0
70124824,59165,True,48.3,Hg,4.8,8.4,29.3
70124824,59191,True,51.8,Hg,-21.2,10.6,22.6
70124824,59231,True,77.4,Hg,8.6,13.5,18.8
70124824,59232,True,105.3,Hg,74.6,24.5,20.0
70124824,59881,True,67.8,Hg,-74.7,20.0,10.9
70124824,59935,True,0.9,Hg,-69.1,21.6,12.1
70124824,60637,True,28.3,Hg,-32.3,16.5,16.7
70124824,60698,True,254.3,Hg,92.8,22.7,8.0
70259530,59912,True,-72.8,Ha,22.9,22.6,10.1
70259530,59925,True,199.4,Ha,-25.9,19.5,6.3
70259530,60610,True,67.3,Ha,0.8,13.9,8.5
70259530,59912,True,-72.8,Hb,21.6,20.2,10.1
70259530,59925,True,199.4,Hb,29.5,28.9,6.3
70259530,60610,True,67.3,Hb,-25.9,21.8,8.5
70259530,59912,True,-72.8,Hg,1.2,17.7,10.1
70259530,59925,True,199.4,Hg,-36.7,38.3,6.3
70259530,60610,True,67.3,Hg,15.4,17.2,8.5
78780631,59245,True,40.0,Ha,41.3,12.3,32.1
78780631,59246,True,141.1,Ha,-58.6,45.2,10.7
78780631,59267,True,19.4,Ha,-41.5,15.6,30.7
78780631,59268,True,15.9,Ha,59.2,12.4,29.2
78780631,59269,True,2.1,Ha,-5.1,14.8,31.7
78780631,59270,True,-8.2,Ha,-57.6,10.5,31.8
78780631,59271,True,154.0,Ha,105.7,21.9,18.3
78780631,59272,True,-7.5,Ha,-26.3,17.3,23.5
78780631,59273,True,-146.5,Ha,-172.8,24.0,7.8
78780631,59304,True,-77.5,Ha,-82.8,82.8,14.1
78780631,59305,True,-79.4,Ha,-19.7,16.0,21.8
78780631,59324,True,36.0,Ha,24.8,13.2,33.2
78780631,60380,True,59.2,Ha,81.2,26.9,14.3
78780631,60381,True,-223.3,Ha,-42.0,28.4,13.1
78780631,59245,True,40.0,Hb,42.4,8.1,32.1
