sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range
101538700,5754668659474683776,DA,2,2.0,-0.0,0.9,14.7,0.9,11.2,18.03,16.85,3.99,0.69,2.02,1.12
101592400,5761140728513144192,CV,3,3.0,8.2,4.2,33.8,1.3,12.5,-37.61,1622.43,18.03,-1.62,20.09,1.8
101765400,5781149233098013568,DA:,3,3.0,4.7,2.7,21.6,1.6,9.0,0.99,20.91,2.63,0.52,45.46,3.35
103100800,5862773914031649408,DC,3,3.0,1.0,3.3,21.9,1.8,8.1,-2.49,10.98,2.83,0.63,8.78,1.41
104600600,5931881969426463616,DA,2,2.0,4.7,1.4,18.0,1.2,10.7,4.34,1.33,0.35,0.51,7.55,0.67
105022300,5943744531656120192,DA:,2,2.0,0.4,0.2,4.3,0.5,6.3,3.54,7.04,0.57,-0.32,0.0,0.01
105620800,5966495862397060864,DA,3,3.0,0.3,6.6,11.4,2.1,3.5,9.11,0.04,0.05,-0.21,0.53,0.16
109504200,6316151078404840704,DZ:,2,2.0,-2.1,0.4,16.4,0.6,17.3,-0.56,0.02,0.55,-0.62,1.26,0.54
109511200,6317494436800754816,DA,2,2.0,-1.1,0.3,7.4,0.5,9.2,5.75,2.21,0.82,-0.18,0.06,0.11
109591400,6332024586041438208,DA,2,2.0,-2.2,2.0,17.2,1.4,8.1,19.11,17.57,2.8,0.18,4.49,1.16
109592700,6332227823893443712,DA_MS:,3,2.0,4.5,5.3,72.1,2.3,18.9,2.48,4.7,4.02,0.08,12.05,5.4
109962800,6392809746353318016,DA,2,2.0,1.0,0.7,15.7,0.9,12.9,21.75,0.54,0.56,2.34,0.22,0.3
110045100,6403645639603260032,DA,2,2.0,0.9,0.3,10.9,0.6,13.5,20.01,0.06,0.09,0.83,1.78,0.41
110391900,6442599657244355200,DA_MS/DC_MS,2,2.0,-0.1,0.3,15.9,0.5,21.7,-15.01,1.5,1.05,-2.91,0.21,0.29
110527600,6457184919505316096,DA,3,3.0,1.9,3.9,45.5,1.9,13.3,13.71,2.58,0.8,0.79,9.03,1.33
110540300,6458854901572482432,DA,2,2.0,1.6,1.9,12.1,1.4,6.2,14.18,2.05,0.42,-0.12,0.84,0.23
110608200,6467662264589858048,DA,4,4.0,0.5,3.8,41.9,1.8,16.4,16.05,0.12,0.28,1.65,4.57,1.58
110678600,6474847366919235584,DC/DQ,2,2.0,-0.6,0.9,28.0,0.9,21.2,0.17,4.72,1.27,-0.37,2.09,0.65
110827900,6492950550991233664,DA,2,2.0,0.3,0.9,18.0,0.9,13.6,19.33,7.32,2.44,1.26,27.72,3.8
110916600,6505553879119892352,DA,2,2.0,0.2,0.1,5.3,0.4,9.4,6.35,87.85,3.85,0.07,1.18,0.36
110923100,6506452244542589184,DA_MS,2,2.0,0.1,3.0,48.0,1.7,19.5,6.88,29.1,6.26,-1.07,13.4,3.34
110939600,6508752358444792576,DA/DZ,2,2.0,-0.8,0.5,5.9,0.7,5.9,3.03,0.1,0.12,0.08,0.0,0.02
112444700,6704342072435834624,DA,2,2.0,1.4,0.5,22.9,0.7,22.4,4.86,1.33,1.47,0.76,9.73,3.2
116633100,303697515458150528,DA,2,2.0,7.7,1.3,25.1,1.1,15.6,16.69,5.23,1.57,0.63,1.57,0.69
116711700,316724877116640896,DA,4,4.0,7.1,44.4,145.5,5.7,17.8,17.85,10.3,3.45,1.22,9.73,2.63
116735700,321283825987413120,DA,2,2.0,-0.7,0.0,4.1,0.2,16.6,15.32,1.91,1.2,-0.47,6.95,1.76
117090600,369934329299474560,DA,2,2.0,-1.0,0.1,5.1,0.3,10.8,13.84,0.56,0.93,0.95,2.22,1.38
55478500,528500162478800640,DZ/DA,5,5.0,-8.3,4.3,44.0,1.6,22.0,3.01,27.43,4.0,0.14,16.04,1.44
55765200,577441001279950080,DA,5,5.0,13.7,248.1,621.9,15.3,17.3,14.87,9.15,3.53,0.41,5.9,3.01
56068600,627931094918123008,DA/DZ,3,3.0,-1.9,24.1,36.5,2.0,6.1,1.7,1.06,0.57,-0.37,2.79,0.66
56307400,664686870987019520,DA,3,3.0,3.7,22.4,152.2,4.6,17.9,21.36,8.31,2.45,1.21,3.24,1.59
56372700,671915133444027136,DA,2,2.0,0.9,0.3,7.7,0.6,9.5,13.59,18.34,3.14,1.17,2.35,0.85
56439100,680058593298709376,DA,3,3.0,-2.5,10.1,80.5,3.0,15.4,14.85,54.37,11.26,0.18,0.81,0.88
57401700,857117898521536384,DA,2,2.0,-0.4,4.3,39.9,2.1,12.8,18.64,0.49,0.31,1.49,8.81,1.14
