sdss_id,snr,uniqueness,worst_region,nearest,gaia,cls,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
92946788,14.7,5.19,8250,72175135,4823390797603684608,DA_MS/DA,19.24762,1.534644,0.2017626,19.24762,19.13178,19.4999,-0.3681200000000011,10.1776582288155
62413060,29.5,3.75,8250,57009738,1638282976905808128,DZA/DA_MS,19.15692,5.265646,0.189651,19.15692,19.30391,18.92222,0.381689999999999,12.764178294535473
112456187,10.3,3.15,8250,56483329,6704933747129306112,DB:,18.93384,3.262708,0.2830984,18.93384,18.97016,18.97489,-0.0047299999999985,11.501731039084593
99111375,23.2,2.96,8250,109706676,5549962374889484800,DBZ/DB,18.53166,10.81785,0.1072204,18.53166,18.95,18.05072,0.899280000000001,13.702364776164387
74539159,36.2,2.64,4990,94252051,3093722358432322176,DA:,17.22373,20.84132,0.09650948,17.22373,17.47073,16.86055,0.6101799999999997,13.818356109260645
97616113,16.2,2.59,8250,55894654,5403256428180815744,DA/DC,18.45277,7.914539,0.1638048,18.45277,18.55061,18.43623,0.1143800000000005,12.9448981174152
90509134,118.1,2.44,8250,85578225,4584823991592186880,DA_MS/DZ,17.71266,19.34484,0.2001609,17.71266,16.17865,15.29167,0.8869800000000012,14.14548571024381
80032943,22.7,2.27,4990,70170155,3849230779658154368,DA/DC,19.27662,7.387318,0.3493716,19.27662,19.58945,19.00248,0.5869700000000009,13.619053971937683
94305119,44.1,2.24,6400,93778753,5060502958330979840,DC,17.29496,7.376212,0.07307088,17.29496,17.24274,17.41803,-0.1752900000000004,11.634126951498914
70431412,36.3,2.18,5820,93810088,2560177954437454080,DA,16.51014,7.834764,0.06963557,16.51014,16.45332,16.65262,-0.1992999999999973,10.9802695955729
71058979,36.3,2.11,6400,109952508,2685882503206578048,DA:,18.61049,7.166224,0.2257592,18.61049,18.72772,18.43564,0.2920800000000021,12.886941895541415
97031934,8.9,2.08,6400,71427557,5350370988362339200,DZ:,19.29793,1.540396,0.2747706,19.29793,19.65691,19.69938,-0.0424700000000015,10.236091911022674
65602172,38.8,1.95,8250,87945881,1996789295883315968,DA_MS:,19.25801,3.697933,0.4097808,19.25801,16.66081,15.73197,0.928840000000001,12.09780519123599
103936870,33.0,1.92,4990,61028086,5891893418645564288,DA/DA_MS,16.42078,6.830435,0.07548309,16.42078,16.37975,16.39919,-0.0194399999999994,10.593021814223054
55882581,28.9,1.89,8250,89777744,596710874564046080,DA:,18.12436,6.677934,0.1561948,18.12436,17.68174,17.02091,0.6608300000000007,12.24757061239271
75542449,71.3,1.88,3880,99314127,3169390443714868352,DA,17.27317,1.095411,0.1070612,17.27317,17.0892,17.65497,-0.565769999999997,7.471055488766801
92892468,14.8,1.88,8250,72175135,4815279013130197376,DA,18.6275,0.886896,0.1413953,18.6275,18.49003,18.91974,-0.42971,8.366863480927522
93035489,26.4,1.84,8250,110203128,4837733308311911296,DA,18.03125,4.861683,0.09076395,18.03125,18.01726,18.10597,-0.0887099999999989,11.465183188991736
62071383,34.3,1.79,6400,59563346,1576695447983656192,DA:,19.09411,5.501293,0.1868999,19.09411,19.16947,19.09582,0.0736500000000006,12.79643388089726
94741367,12.7,1.79,8250,110053809,5145318765604748544,DA:,19.12938,4.002767,0.2670382,19.12938,19.22407,19.11613,0.1079400000000028,12.141181553374183
70284101,95.9,1.79,6400,57774794,2533306985471073920,DC,16.68631,9.983025,0.0787623,16.68631,16.50901,17.00898,-0.4999700000000011,11.682620793484189
55817105,39.6,1.78,8250,56306750,585488567401589248,DA,17.95366,19.62979,0.1350133,17.95366,18.30818,17.46685,0.8413299999999992,14.418238267656411
