frame,band,bjd,airmass,exptime,dx,dy,n_comp,f_target,e_target,f_ens,rel,e_rel,bg,note
MTAA11834500,G,2456595.894198183,1.28435,60.0,-0.0056416505913148285,0.04733853980766867,143,301.0,225.18677651739083,229263.5,0.001312899785617859,0.0009822181747962096,1357.834,
MTAA11834502,R,2456595.894199183,1.28435,60.0,0.026297351327173146,-0.03219055389618575,142,1374.0,158.65809453084958,742167.5,0.0018513340991083548,0.00021377666703385634,881.4729,
MTAA11834503,I,2456595.894200183,1.28435,60.0,0.02607056070269209,-0.05435434993967192,143,141.0,171.30409550815375,637144.0,0.0002213000514797283,0.0002688624479052675,1535.816,
MTAA11834510,G,2456595.894981119,1.28773,60.0,0.055765094449839125,-0.02957685652086184,143,501.0,215.89700426972115,231016.5,0.0021686762633837844,0.0009345523123660914,1363.72,
MTAA11834512,R,2456595.8949821186,1.28773,60.0,-0.001167463388668466,-0.04079685585250559,142,640.0,148.92812806451306,763651.0,0.0008380791749110523,0.0001950211917021166,869.9927,
MTAA11834513,I,2456595.8949821186,1.28773,60.0,-0.011729704890285575,-0.047984141800782254,143,117.0,171.29436594509855,658352.5,0.00017771634496717184,0.00026018639854044536,1526.801,
MTAA11834520,G,2456595.895740057,1.29103,60.0,0.04304352774289555,-0.034681440881769277,143,784.0,215.22516102624556,228453.5,0.0034317705791331713,0.0009420961422182,1361.392,
MTAA11834522,R,2456595.895741057,1.29103,60.0,0.043729780563865006,-0.030438306740109056,142,606.0,149.25057681040968,765173.5,0.0007919772443766022,0.0001950545553530143,876.4407,
MTAA11834523,I,2456595.895741057,1.29103,60.0,0.012332548782751473,-0.024364719305026483,143,177.0,161.68992745183604,652690.0,0.00027118540195192206,0.0002477285195909789,1540.738,
MTAA11834530,G,2456595.8964999947,1.29436,60.0,0.02933052607136233,-0.03148783058503568,143,558.0,225.4678491159216,278840.0,0.0020011476115334957,0.0008085922002435864,1368.557,
MTAA11834532,R,2456595.8964999947,1.29436,60.0,0.025892124741062617,-0.028996935127565848,142,572.0,152.85141793803115,735636.0,0.0007775584664154554,0.0002077813183939219,877.507,
MTAA11834533,I,2456595.8965009945,1.29436,60.0,0.013342258967327325,-0.05670502656836618,143,172.0,178.07119118300224,628389.5,0.00027371558563597895,0.0002833770952299525,1541.098,
MTAA11834540,G,2456595.8972589327,1.2979,60.0,0.0032926771522170384,0.013749188413896718,143,554.0,224.95470173644588,229800.5,0.002410786747635449,0.0009789130212355757,1367.608,
MTAA11834542,R,2456595.8972589327,1.2979,60.0,0.017523070040681432,-0.04223933809896607,142,554.0,160.38298602927512,712356.5,0.0007777004912568355,0.00022514427260686906,866.7468,
MTAA11834543,I,2456595.897259932,1.2979,60.0,0.00048508494023735693,-0.059696353336732955,143,-10.0,170.9851644769218,609792.0,-1.6399034424853064e-05,0.0002803991598396204,1538.062,
MTAA11834550,G,2456595.8980178703,1.30154,60.0,-0.021538961217061114,0.031146529528314204,143,190.0,216.24171456677053,208093.0,0.0009130532982849015,0.0010391590037472213,1349.922,
MTAA11834552,R,2456595.8980178703,1.30154,60.0,-0.004532416936598338,-0.05270927230350253,142,451.0,152.15744904210243,711825.0,0.0006335826923752327,0.0002137568209069679,865.6639,
MTAA11834553,I,2456595.89801887,1.30154,60.0,-0.025335737911063916,-0.04984329010358124,143,75.0,171.19217214736582,605907.0,0.00012378137238883196,0.00028253869347501486,1555.358,
MTAA11834560,G,2456595.8987768083,1.30517,60.0,-0.06325460006917183,0.006332333778601651,143,637.0,224.4807308347571,207985.0,0.0030627208692934585,0.0010793121178679092,1362.735,
MTAA11834562,R,2456595.8987778076,1.30517,60.0,0.02102227126249545,-0.027101925462488907,143,453.0,152.0769415543768,680846.0,0.0006653486985309453,0.00022336466918271796,870.4855,
MTAA11834563,I,2456595.898778808,1.30517,60.0,-0.023527068947032603,-0.012326893935522776,143,84.0,173.68421206315787,574362.5,0.00014624910226555528,0.000302394762999252,1545.547,
MTAA11834570,G,2456595.8995367456,1.30891,60.0,-0.039368969612837645,-0.01926833325842381,143,711.0,225.393251525713,204843.0,0.0034709509233901087,0.0011003219613348418,1359.052,
MTAA11834572,R,2456595.8995367456,1.30891,60.0,0.03026088964986684,-0.047066338567731236,143,463.0,152.45017535466027,703887.0,0.0006577760350738116,0.0002165833086200772,868.3562,
MTAA11834573,I,2456595.899537746,1.30891,60.0,-0.0009192803752284817,-0.05243562372567112,143,159.0,175.8094786829197,591739.0,0.0002686995449007079,0.0002971064585618316,1537.419,
MTAA11834580,G,2456595.9002956836,1.31247,60.0,-0.0029665460557453116,-0.07456347538297337,143,387.0,208.25215488969135,211391.5,0.001830726401014232,0.0009851491421825917,1359.404,
MTAA11834582,R,2456595.9002956836,1.31247,60.0,0.03706365060565986,-0.04467161935929198,143,450.0,152.62226562879567,688483.0,0.0006536109097828123,0.0002216790619794471,867.8033,
MTAA11834583,I,2456595.9002966834,1.31247,60.0,0.000996907261423985,-0.059749739543804026,143,70.0,175.6482454455305,590190.0,0.00011860587268506751,0.0002976130490952583,1536.7,
MTAA11834590,G,2456595.9010836193,1.31601,60.0,-0.018389188741707585,-0.07079172933492828,143,573.0,230.60810637312818,205663.5,0.0027861044862117,0.0011212884462878838,1349.296,
MTAA11834592,R,2456595.9010836193,1.31601,60.0,0.012120955634486563,-0.00565975018713516,143,480.5,149.98897075424136,686065.5,0.0007003704456790205,0.00021862194025824264,874.0878,
MTAA11834593,I,2456595.901084619,1.31601,60.0,0.011912508143723244,-0.04049001699524979,143,318.0,171.83109867308656,614371.5,0.0005176021348646544,0.00027968598587839206,1533.21,
MTAA11834600,G,2456595.901855556,1.31994,60.0,-0.051399009512294924,-0.05335528926747202,143,180.0,204.68777763778016,224526.5,0.0008016871059763547,0.0009116419560175755,1356.779,
MTAA11834602,R,2456595.9018565556,1.31994,60.0,0.037745722197314535,-0.027736585005641246,143,508.0,154.43344447517404,722217.0,0.0007033897014332257,0.00021383246929271125,872.9965,
MTAA11834603,I,2456595.9018565556,1.31994,60.0,0.0011919434849687605,-0.04691533714202478,143,108.0,171.3697556101037,610057.5,0.00017703249283878978,0.00028090754660028554,1546.068,
MTAA11834610,G,2456595.9026144934,1.3236,60.0,-0.04141547608321616,-0.015927056813097806,143,506.0,199.96634194730538,222237.0,0.0022768485895687937,0.0008997887028141371,1352.959,
MTAA11834612,R,2456595.9026154936,1.3236,60.0,0.029858457289378748,-0.04398463963509158,142,444.0,152.3260630551012,708991.0,0.0006262420820574591,0.00021484907855685221,877.1586,
MTAA11834613,I,2456595.9026154936,1.3236,60.0,0.027397357729910254,-0.028333761936551127,143,268.0,174.22075704882775,608702.0,0.0004402811227825767,0.0002862168303189865,1544.776,
MTAA11834620,G,2456595.9033754314,1.32738,60.0,-0.017909919759745208,-0.07218471592585729,143,642.0,216.29035219500662,274598.5,0.002337958874502228,0.0007876603557375828,1373.233,
MTAA11834622,R,2456595.9033754314,1.32738,60.0,0.028832421718703927,-0.053751534685773095,142,452.0,160.66331942190996,737106.0,0.0006132089550213945,0.00021796501374552637,877.6735,
MTAA11834623,I,2456595.903376431,1.32738,60.0,-0.0023726574605689166,-0.025937332412809155,143,154.0,169.65571582079593,628898.0,0.0002448727774615279,0.00026976666457962327,1542.996,
MTAA11834630,G,2456595.9041383686,1.33129,60.0,-0.055140356617584985,-0.012724094750893755,143,891.5,224.13414264693512,214088.0,0.004164175479242181,0.0010469252954249427,1377.614,
MTAA11834632,R,2456595.904139369,1.33129,60.0,0.023569529443477677,-0.02611881236035174,142,421.0,152.7003475848478,693481.0,0.0006070822416187322,0.0002201939888545581,877.0993,
MTAA11834633,I,2456595.904139369,1.33129,60.0,0.012869685422629118,-0.04405146019075801,143,225.0,167.43022471358032,592803.5,0.0003795524149233262,0.0002824379827608648,1540.875,
MTAA11834640,G,2456595.904896307,1.33542,60.0,-0.01434343103323954,-0.030699171133747427,143,699.0,231.47915397503937,215146.5,0.0032489489719795582,0.0010759141049240372,1373.929,
MTAA11834642,R,2456595.9048973066,1.33542,60.0,0.0061676011556528465,-0.025589677208927242,142,646.0,161.43688820815808,696770.0,0.0009271352096100579,0.00023169322474870916,868.9993,
MTAA11834643,I,2456595.904898307,1.33542,60.0,0.002492986233960437,-0.06705676323304033,143,148.0,169.73428816044603,601651.0,0.00024598978477555927,0.00028211419603797885,1530.328,
