gaia,lane,G,ra,dec,n_frames,instruments
428300220431345536,zeeman,17.57,6.453505689368526,59.38435732480364,0,
4198738558061020928,zeeman,17.86,286.4321028764999,-11.732314752222702,0,
4187365308538865792,zeeman,19.42,291.91488629097125,-12.498716298868906,15,MTA:15
5208047381438507520,carbon,16.56,113.76710362038746,-79.73633667003705,0,
6370863945235959680,puls cand,17.26,321.894014135409,-72.97089168530161,0,
437628614520520320,periodic,18.01,43.76358322937507,47.97594157753235,0,
6456720612064924928,periodic,17.93,318.02015898560353,-57.30044607022286,0,
6466745168812781568,carbon,19.44,321.6799679482039,-49.816137132839955,0,
2317319612801004416,puls cand,16.1,8.707865970293282,-31.497955799197534,0,
5680077137810906624,zeeman,17.62,139.3847252274169,-18.980515890538918,0,
4792264314911712512,hot DQ cand,18.2,88.08749343497303,-52.4503157711519,0,
2069622487994113408,zeeman,17.58,309.6323344523309,43.308958721827715,196,KWF:196
4883191104733786496,open lead,17.9,60.90040413128165,-33.17599641741954,0,
1977447164064222976,balmer,19.45,323.2756008338455,46.63871801305327,0,
3161546596480983040,Object B,18.62,112.33508562897583,9.868546425019323,8,KWF:8
6021870154194477312,periodic J1618,17.92,244.7254259862617,-35.90743853686107,0,
2076678981825545088,carbon cand,18.7,295.0134041364781,41.0916002566472,0,
3290180587821828480,zeeman,18.91,75.02871557270086,8.045708724343134,672,HSC:672
6121651418527918976,puls cand,16.74,209.5448031039892,-35.93889200068055,0,
4729763229265811328,zzceti,17.49,54.080059430354375,-56.74352782418906,0,
375892788968158848,zeeman,19.12,12.030267070776203,43.661310491650084,0,
5660016586818424832,zeeman,17.17,147.8752048891789,-24.956246768938403,30,MTA:30
4693541467955966848,puls cand,16.4,36.49241418885358,-69.34049573408977,0,
2883030508640778752,zeeman,17.58,91.88353490134405,-39.02745719624811,0,
2908195134345338496,zzceti,17.63,85.68107053018534,-26.169931220569243,0,
4680104332056706304,zeeman,18.7,59.70669335083902,-60.87592256836803,0,
2002597083798483200,balmer,18.82,344.4063535579808,54.27206687248386,0,
178685757799822080,periodic,18.14,69.05591171736573,38.62251977130393,0,
5356171977349246464,puls cand,16.82,152.56315901078042,-54.03098402549182,0,
2833867392391927936,zeeman,17.69,341.9298093067813,20.435512196658248,896,HSC:896
4800536829945050752,zeeman,19.52,80.40699513705923,-42.908481230569905,0,
657989024107287168,zeeman,19.11,129.65415817766413,16.19470877609678,1408,HSC:1344 KCD:8 KWF:56
6558472750993181568,zzceti,17.08,327.3647842083026,-51.974416662581156,0,
3496637913394359680,periodic,18.05,192.0824321632568,-26.237170414005792,0,
6869592141738355968,puls cand,17.48,294.11830237761154,-18.88107815967392,0,
4679463733391272448,zeeman,18.51,60.16143319587508,-61.916318075678696,0,
4833309388918586624,zeeman,19.7,54.837008153296686,-47.94265944151887,0,
5848754492268362624,zeeman,17.89,223.40194567495118,-66.05962927466994,0,
4670655408301574144,puls cand,16.07,50.93368637379868,-67.87962087336143,0,
6465559379883395328,zeeman,19.09,323.6512635776472,-52.21290042913481,0,
5665371272869153152,zeeman,19.3,145.3619559617587,-20.508979220237123,0,
6886051830805052288,carbon,17.55,312.8299474664136,-16.29738334690121,0,
6499095244738784128,zeeman,16.7,349.0569113956838,-55.49117610388319,0,
6639666736903611136,periodic,16.45,288.6268407978663,-57.33958345574055,0,
2883364038621038208,periodic,18.21,90.93209104712824,-38.153109642531845,0,
3327361677328480256,zeeman,17.84,96.82910339724073,9.557572550094427,259,HSC:112 KWF:147
4241409569220727424,zeeman,18.23,297.5246392951944,1.9605202831057778,0,
5346312514819760896,puls cand,17.38,169.5127880261117,-54.705022753182064,0,
6412133010376770560,zeeman,18.64,329.4030026638132,-57.72367502806036,0,
50526755482496000,zeeman,18.33,60.42997894901813,19.587651696601135,1235,FMS:1 HSC:1232 KCD:2
5386114565161537920,puls cand,17.44,173.31403186606136,-37.17232339286827,0,
1810475401285228928,puls cand,15.15,309.3695154998485,14.897931193938826,0,
5807585134758743040,zeeman,17.69,255.50704147376965,-70.75517028142708,0,
6430762242043644032,zeeman,18.77,307.56766821599655,-62.085521554045634,0,
6492083311194727168,zzceti,16.81,351.04359226257196,-59.4715201961962,0,
3115382600062991872,zeeman,18.41,105.63925645388129,1.6351469729379329,112,KCD:7 MTA:105
1199447137276626048,zeeman,18.28,239.69549180661897,16.960837771115887,304,KWF:304
4377432592229753472,carbon cand,19.48,264.0873596034067,4.052541266021839,0,
4236646794083461120,zeeman,18.07,302.12971316940497,0.4089818296459784,0,
5836110898905253760,carbon,17.44,241.16506129341357,-57.039439418415284,0,
1980205739970324224,zeeman,17.06,329.8219281722163,51.04899825130316,0,
2888030331609338240,periodic,17.71,85.4202040424429,-36.380056325010315,0,
6123269216744427008,puls cand,16.15,215.55796682779638,-33.39817375892611,0,
4307667617377160704,zeeman,17.89,287.0972716329281,9.22617673978526,4474,KCD:1 MTA:4446 MTO:27
4731701084150029824,eclipse,18.37,58.30183994590927,-55.04398620773218,0,
6472153670805656832,zzceti,16.4,303.58057132980304,-55.08209041742586,0,
