ra,dec,glon,glat,instrument,filter,depth95,mjd
280.99818898348656,-29.868015904107654,5.178898493194704,-11.654783772168182,c4d,g,22.099146,56521.09684204124
281.00040629518065,-29.86726616278982,5.180415286943327,-11.65621643611252,c4d,g,22.133957,56521.09889346827
280.9959439866491,-29.867223848599274,5.178801222430898,-11.65268416370959,c4d,r,22.155111,56521.09991025179
280.9965876026417,-29.86707672059784,5.179176130598774,-11.653129513701735,c4d,r,22.080711,56521.100939389784
280.9970930764322,-29.866951161607165,5.17947985241829,-11.6534750892569,c4d,g,22.117369,56521.097879142035
280.995518406334,-29.86683248936082,5.179006463276556,-11.652185205675078,c4d,r,22.10114,56521.1019778871
280.9958713899216,-29.8664303300993,5.179510191488477,-11.652294930654817,c4d,g,22.296001,56725.330547533
280.99489230243466,-29.86641939557344,5.179157557282727,-11.651519216148811,c4d,g,22.244513,56724.32364473399
280.9965207871718,-29.866363594717875,5.179812692439446,-11.652778477762652,c4d,g,22.287903,56726.32544030575
280.99667896919294,-29.865792263127226,5.180401125915008,-11.652663986657965,c4d,g,22.360147,56724.32469643839
280.9962254513371,-29.86575690657069,5.180265875687006,-11.652291993053492,c4d,g,22.010792,56521.025270231534
281.0026411860502,-29.865610559837595,5.182778669106065,-11.657283952281524,c4d,r,22.359663,56726.35095805442
280.9992317745519,-29.86549491315297,5.181622727312654,-11.654550206050986,c4d,r,22.153997,56726.32854847377
280.9991382716702,-29.86548535676097,5.181596945835488,-11.654472561945612,c4d,r,22.191738,56724.327785137575
280.9971478889788,-29.86544942743378,5.180892798754707,-11.65288985515448,c4d,g,22.227797,56725.33159755869
281.00622273719296,-29.865428183793,5.184274710188959,-11.660028618056408,c4d,r,22.36754,56726.3499289467
281.00583772549766,-29.865423357237663,5.184136548539824,-11.659723346135795,c4d,g,22.48996,56726.34683506936
280.9977547873491,-29.86536385233164,5.181197024177561,-11.653332052527904,c4d,g,22.350822,56726.32649208838
281.00186041839845,-29.86530049246613,5.182776949115939,-11.656539253987589,c4d,g,22.275702,56725.332618904766
280.9973032307696,-29.86527722642627,5.181110046781469,-11.652940147375451,c4d,g,22.376112,56724.325716644526
281.0013960654509,-29.86519448928424,5.182703211596838,-11.65612915920716,c4d,g,22.468891,56726.34785929928
281.0012789001312,-29.86512878249884,5.182720736511435,-11.656009382249696,c4d,r,22.32993,56726.348896395415
281.0006474788755,-29.86512636968407,5.182489030587681,-11.655511044211783,c4d,g,22.5317,56726.345799724106
281.0094414764568,-29.86510967186939,5.185762544043305,-11.662430600348992,c4d,r,22.327799,56725.39488147013
280.99589692564865,-29.865086114543537,5.180766203917051,-11.65175253889997,c4d,r,22.069172,56521.02938515879
281.0049088157379,-29.865061051710686,5.184128406663064,-11.658840106711594,c4d,r,22.323715,56725.39385386836
281.00051173739774,-29.86501774944243,5.182539468777345,-11.65535867946349,c4d,r,22.235931,56726.33062702371
281.00561518194354,-29.86500625636142,5.184440920061762,-11.659373546395894,c4d,i,22.008436,56725.396928709
280.99902726964615,-29.864948044882752,5.182054100595768,-11.654160299351302,c4d,g,22.353275,56726.32752414327
281.0051543556009,-29.864930658368532,5.184340301398403,-11.658978947944432,c4d,r,22.345627,56725.395900079515
280.9975832053681,-29.864822530099175,5.181635446479215,-11.652970392552463,c4d,r,22.2567,56724.32674548496
281.0044631409323,-29.86470925372354,5.184289545235172,-11.658341878714282,c4d,r,22.401087,56726.37034134893
281.0057942500002,-29.864643582361406,5.184843604861705,-11.65936284634553,c4d,i,22.01297,56726.373391448054
281.00295217373264,-29.864626915752503,5.183806102668567,-11.65711732346364,c4d,g,22.40019,56725.35373566486
281.00310636461296,-29.86462218200718,5.183867619744507,-11.657236790032975,c4d,g,22.49082,56725.39169394784
280.9991232893323,-29.864608208543345,5.182404827945103,-11.654093724846083,c4d,g,22.030577,56521.02630838845
280.998881479715,-29.86459098606577,5.182331205112003,-11.65389606127624,c4d,r,22.100075,56725.33364306763
280.99585063176517,-29.864563255735945,5.1812339194729295,-11.65149727842932,c4d,r,22.070972,56521.0304093766
281.00341368435386,-29.864532913100927,5.184064266711512,-11.65744149673129,c4d,r,22.089548,56725.35683731828
281.0004421822912,-29.864530280725567,5.182965761105504,-11.655099921576708,c4d,r,22.196983,56724.346930915955
281.00894114076743,-29.86450394981555,5.186138945337331,-11.66178308741957,c4d,r,22.46364,56726.37135297572
280.9987794696045,-29.864478574022694,5.1823976548565,-11.653768676452415,c4d,r,22.218729,56726.329586052336
281.00061217419193,-29.86446619157303,5.183088178819299,-11.655206996222285,c4d,g,22.28436,56725.35167452274
281.00431704917503,-29.86445675877286,5.184469581164108,-11.658121163899544,c4d,g,22.680311,56726.36826434685
281.0020174610304,-29.86445019874798,5.183623676206239,-11.656307162763696,c4d,g,22.449053,56725.35271136928
280.9959860501981,-29.86439970988452,5.181435759046141,-11.651535498836909,c4d,g,22.055527,56521.027325522155
281.004630805668,-29.864377063748556,5.184659733206348,-11.658334948303771,c4d,r,22.089695,56726.40909030987
280.9996341044906,-29.864304395430608,5.182875836896263,-11.654368931521155,c4d,g,22.422804,56724.345903908834
280.99524231489875,-29.864298159068056,5.18125435207976,-11.650907219044925,c4d,r,22.065851,56521.02835131949
281.0032363782934,-29.86426912376244,5.184243209507662,-11.65719146867698,c4d,r,22.188002,56725.35475624725
280.99938690181204,-29.864125614282713,5.182950039172685,-11.65409941617997,c4d,r,22.211697,56724.32881878782
281.00037418326656,-29.86412447077904,5.183316901355648,-11.654876557270848,c4d,r,22.082693,56724.34796085814
281.00379483147526,-29.86391332337925,5.18478007805223,-11.657482459987811,c4d,g,22.345522,56725.36201806413
281.0046913311321,-29.863882263393613,5.185141030559625,-11.658175592417937,c4d,r,22.139456,56724.36859556101
281.0079736291633,-29.863870579755975,5.186367905006282,-11.660756026180907,c4d,r,22.464901,56726.36929514818
281.0042977026312,-29.86384693840157,5.185027953925644,-11.657850770071304,c4d,g,22.684147,56726.36723010987
280.99993706105005,-29.863844710921235,5.183414380900669,-11.65441520029967,c4d,r,22.155642,56725.335698221345
281.0043288862158,-29.863826006842352,5.185058918934419,-11.65786657383945,c4d,r,22.150211,56726.408056385815
281.0046123186156,-29.863825894866935,5.185164032622649,-11.658089772937942,c4d,r,22.222649,56725.38436152367
281.0036740150038,-29.86380613059383,5.184834724864317,-11.657342447836124,c4d,g,22.430065,56725.39052810334
281.0078419632902,-29.86379145188696,5.186392509747532,-11.660619212017892,c4d,g,22.284218,56725.36304382468
281.00432614723695,-29.86374341605851,5.185134497840904,-11.657829859508505,c4d,r,22.342499,56726.388815251645
281.0039840093391,-29.863729776277445,5.185020386641978,-11.657554667104828,c4d,i,22.001617,56726.39085700596
281.0038604482065,-29.86368811624685,5.185013242534983,-11.657439912902936,c4d,r,22.254602,56725.35580423148
281.0040549884141,-29.863682434970514,5.185090587783269,-11.657590765572667,c4d,g,22.495111,56725.39278585045
281.00375162014626,-29.86367971852151,5.184980709930239,-11.657350680669468,c4d,r,22.029194,56725.36405759584
280.9994969653189,-29.863647188524556,5.18343449245736,-11.653985911752956,c4d,r,22.05686,56725.33466193639
281.00386012250266,-29.86363741671689,5.185060139832218,-11.657418442895825,c4d,r,22.139626,56724.36756815249
281.0057751242372,-29.86353477657035,5.1858648222631025,-11.6588838561275,c4d,r,22.242775,56724.39807492355
281.0086392701578,-29.863498863579732,5.186959242177538,-11.661124806089337,c4d,g,22.387596,56724.39597956184
280.9989774706527,-29.863485127253572,5.183392297793831,-11.653508923378556,c4d,g,22.446222,56724.34486420499
281.0045462056685,-29.86348201513432,5.185458448412126,-11.657893815940763,c4d,r,22.420822,56726.387796269264
281.00065798339654,-29.8634790699704,5.1840205755825775,-11.654830030030276,c4d,g,22.266745,56724.36447210144
281.0015060493977,-29.863444300522097,5.184367038379014,-11.655483456103472,c4d,r,22.122593,56724.349021565635
281.0048036579932,-29.863418195310945,5.185613018903164,-11.658069896544957,c4d,r,22.224556,56726.40703356406
281.00422138865645,-29.86341457660689,5.1854006466180635,-11.657609755464811,c4d,g,22.66153,56726.36621247092
281.00939916206795,-29.86338837276088,5.187343232656872,-11.661677119974687,c4d,r,22.063015,56724.388744576834
281.0062639821394,-29.863311922546416,5.186252612396641,-11.659175666632205,c4d,g,22.438345,56725.38227959303
281.0087848234623,-29.863240830060455,5.187252469463802,-11.661131496427496,c4d,r,22.16239,56725.385388819035
281.0020097013568,-29.863203083049335,5.184777344502304,-11.655779223592724,c4d,g,22.32172,56724.36551548587
281.0038096478355,-29.86311838673671,5.185522778997672,-11.6571615156981,c4d,g,22.479473,56725.36099761352
281.0030191871731,-29.86311095969805,5.1852367988699255,-11.656535799028877,c4d,g,22.340918,56724.3665369004
281.004829291339,-29.863109241058165,5.18590903674871,-11.657960817193327,c4d,r,22.21626,56724.39703616174
281.00778801278295,-29.86309862132176,5.187015058114343,-11.660286844120405,c4d,r,22.070993,56724.369626509026
281.0047860161281,-29.863002503272703,5.18599199084141,-11.657882070894866,c4d,r,22.396791,56726.3867747155
281.00405398919804,-29.86299845016016,5.185724534792921,-11.657303788966455,c4d,g,22.383629,56724.39493828872
281.0039162096393,-29.862937338507848,5.1857301612983875,-11.65716969594509,c4d,r,22.231005,56725.38641678355
281.0057070650041,-29.862878364050864,5.186448360191861,-11.658555602913692,c4d,g,22.666304,56726.38574617775
281.0046252376993,-29.862800387293905,5.186119862643603,-11.65767086467121,c4d,r,22.05271,56724.38977245102
281.00717835602154,-29.862786430605468,5.187078716963572,-11.659676020036098,c4d,g,22.403267,56725.38124532951
280.99784600538044,-29.862785467290273,5.183621890189316,-11.652324961011676,c4d,g,22.443598,56724.343831733335
281.00463349992526,-29.86275878343128,5.186161506656803,-11.657659964894156,c4d,r,22.202143,56724.39911016869
281.008876852787,-29.86275566490169,5.187736512011466,-11.661000999668657,c4d,g,22.126316,56726.40601459425
