sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd
62092755,1580599401456550528,950587047,190.6923,62.32444,19.50989,3.419759,0.2304078,DA,0.986,0,0,0,10293.6,20.78177,8.45931,0.04024031,35.79358,apo25m,10,59264,60675
70106073,2498048602505926656,649601673,43.95272,0.1377529,19.70285,3.077731,0.4104389,DA,0.976441,0,0,0.01193176,13500,245.5984,7.892445,2.412328E-05,18.46843,apo25m,3,59193,60254
93514963,4917112034883171712,631683396,21.1734,-51.5358,19.88123,2.239872,0.3626604,DA,0.6644493,3.495994E-05,0,0.1316729,13355.37,295.9655,8.349508,0.1156353,8.111309,lco25m,2,60531,60532
71972554,2852286239382823296,2054037864,354.7991,24.80134,19.68525,3.527335,0.3635193,DA,0.8979617,0,0.001414037,0.0452208,11677.16,139.8914,7.794741,0.07182102,8.692821,apo25m,1,60646,60646
93192971,4864713949268202112,685983335,69.77747,-38.18243,19.69256,3.430986,0.3153186,DA,0.7605767,0.005888751,0.005798249,0.01146201,11016.64,114.5707,8.313803,0.07434732,8.836117,lco25m,1,60642,60642
109563290,6326973910659921536,1179903683,220.8085,-8.695302,19.82155,2.944431,0.4947149,DA,0.906575,0.002,0.001958137,0.02559668,13194.29,313.9626,7.913412,0.07807291,8.147072,lco25m,2,60500,60501
93747559,4957527475276645888,631924881,30.71359,-41.77561,19.97355,2.660593,0.3282184,DA,0.9336858,0.005232518,0,0.001972742,10958.08,126.3306,8.021916,0.08162677,8.059634,lco25m,1,60677,60677
71691413,2802676991994968576,611551457,9.237801,21.91529,19.42083,2.439723,0.2855046,DA,0.9590366,0,0,0.01393176,10978.85,83.31783,7.71312,0.04458551,13.52146,apo25m,2,60562,60636
99354842,5573216942737275648,738171661,95.84305,-41.41285,19.67774,2.1491,0.3090811,DA,0.9164379,0.006,0.002,0.01587724,13214.4,462.1204,7.802089,0.09025016,8.057508,lco25m,1,60678,60678
59423977,1153584720572704640,1100014250,226.1134,1.942215,18.97867,2.551834,0.30919,DA,0.976041,0,0,0.01970571,11040.46,59.77719,9.06753,0.03263243,31.15401,apo25m,7,59666,60062
78671434,3599389650128379776,902569174,178.5555,-4.367333,18.77743,4.146002,0.2542632,DA,0.9402888,0,0,0.01166492,10322.18,37.12067,8.618516,0.09653074,29.74953,lco25m,4,60358,60374
110108560,6411486879791958784,2026665725,334.3871,-58.15631,18.53593,9.381596,0.1451329,DA,0.9262103,0,0,0.06989097,13344.3,127.0318,9.111863,0.01964167,24.46696,lco25m,2,60493,60496
92784095,4800529962291568128,734805520,80.58685,-43.13746,19.87924,2.406332,0.3047142,DA,0.8001491,0,0,0.03347411,12079.53,3.492931,8.132021,0.0826598,9.694156,lco25m,1,60706,60706
57725500,893245342349865984,741290666,110.2253,33.13988,19.84739,1.41827,0.6006342,DA,0.9234737,0,0,0.0334761,12178.21,170.7568,8.303828,0.05976841,8.680209,apo25m,2,60678,60682
92925047,4820226815455720064,685754410,78.15324,-38.50383,19.4702,3.010665,0.2382594,DA,0.9596375,0,0,0,10210.59,63.2098,8.257285,0.06494442,10.40767,lco25m,1,60676,60676
75989543,3235504795150353792,672511573,79.0192,3.570203,19.69918,3.240609,0.5102299,DA,0.8595171,0.006808701,0,0.01945598,11630.66,161.1463,8.33841,0.06526153,8.521844,apo25m,1,60609,60609
71847591,2829973433306307840,2053669483,342.8375,17.31286,18.63844,4.569295,0.2216313,DA,0.9821154,0,0.003372174,0.005972742,13111.81,134.4448,8.131355,0.03927364,14.81089,apo25m,2,60561,60562
