sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd,TeffHe,loggHe
63752017,1821984642347251968,1944390021,301.5128,18.68952,18.8886,2.120402,0.2501629,DB:,0.008122572,0.4533517,0.05757131,0.001946217,-9999,-9999,-9999,-9999,10.2216,apo25m,2,60464,60465,31109.42,8.185459
55832844,588388220081897984,840027899,144.498,9.281401,18.71082,2.005085,0.2303794,DB:,0.1331344,0.2522276,0.1036764,0.005421633,-9999,-9999,-9999,-9999,9.072619,apo25m,1,60325,60325,33188.78,8.117561
62464147,1647530453810542464,1102503442,233.2716,69.38757,16.96137,3.739717,0.05115676,DB,0.01123125,0.797888,0.1005171,0.003740645,-9999,-9999,-9999,-9999,28.86097,apo25m,8,59950,60035,34062.45,7.920533
67926504,2153584739240822912,1717800134,283.4375,56.99943,18.8238,2.684223,0.1432305,DB:,0.01566445,0.455897,0.04469263,0.00154557,-9999,-9999,-9999,-9999,17.84173,apo25m,3,59367,59386,21029.16,8.218461
109980323,6395096249503014912,2055022387,342.2985,-60.86365,18.54611,2.487641,0.1410522,DB/DBA,0.02495239,0.4080896,0.3837259,0,-9999,-9999,-9999,-9999,19.52093,lco25m,2,60478,60491,19848.78,7.863669
114727424,6907659643768938368,1996845782,308.8229,-6.761123,18.98597,2.083461,0.2501186,DB,0.03634427,0.5229607,0.02473831,0,-9999,-9999,-9999,-9999,8.080282,apo25m,1,60115,60115,29789.75,8.159328
63755600,1822255839449048960,1944578778,300.6866,19.10039,17.86098,4.169193,0.1331956,DBA/DB,0.01984573,0.3838023,0.4402626,0,-9999,-9999,-9999,-9999,15.91624,apo25m,3,60471,60473,20426.98,8.174863
67626678,2122748832560122112,1551057202,271.3293,48.33446,16.76735,5.821988,0.04498825,DB,0.01159341,0.7339981,0.06853443,0,-9999,-9999,-9999,-9999,20.34204,apo25m,2,60437,60438,20058.71,7.92902
103407360,5873622932700495616,1124182141,225.8352,-63.41562,17.78962,3.631338,0.1003427,DB,0.002586323,0.7448121,0.02331528,0,-9999,-9999,-9999,-9999,17.62278,lco25m,2,60387,60389,25190.98,7.966395
59588493,1180021786172275712,1100415688,224.6359,10.13833,16.44907,6.397263,0.05931236,DB/DBA,0.03615943,0.4325927,0.294681,0.003713387,-9999,-9999,-9999,-9999,21.46543,apo25m,1,60064,60064,22534.64,7.955093
67705426,2130284988335154560,1717042414,287.4936,45.80751,18.12077,3.560612,0.09441958,DB/DBA,0.228215,0.2628345,0.2378048,0.006,-9999,-9999,-9999,-9999,17.99028,apo25m,2,60465,60466,20485.76,8.135022
79668744,3779338158375462400,841771650,156.9862,-4.618198,18.29824,2.412722,0.1782172,DB,0.00689273,0.7850518,0.02691449,0,-9999,-9999,-9999,-9999,28.91422,lco25m,2,60024,60028,29628.63,7.957485
75241594,3146220469542977280,804298935,120.9547,8.925697,18.17741,3.139091,0.1365442,DB,0.01322734,0.7231146,0.02537174,0.0004887218,-9999,-9999,-9999,-9999,21.82085,apo25m,2,60293,60294,21393.98,8.042349
77080691,3377107392999647616,718627942,94.08017,22.82817,18.30565,3.19354,0.2245475,DB,0.002002472,0.8523564,0.04118119,0,-9999,-9999,-9999,-9999,19.1416,apo25m,9,59190,60586,32260.85,8.423794
55866695,594493258395498112,800224759,129.1983,4.997497,19.25875,1.67128,0.2859823,DB,1.236603E-06,0.890445,0.0441448,0,-9999,-9999,-9999,-9999,12.74224,apo25m,2,59285,59288,19262.72,7.76869
93302601,4882388598685035392,686234885,62.3421,-33.35183,18.2189,2.809371,0.1076214,DB,0.006694501,0.8688431,0.05962383,0,-9999,-9999,-9999,-9999,18.43665,lco25m,1,60622,60622,26905.94,8.053499
92690906,4787675464477424512,685478535,67.62514,-49.47023,18.74135,2.518263,0.1587828,DB/DBA,0.06184829,0.3449153,0.331449,0,-9999,-9999,-9999,-9999,16.67456,lco25m,1,60679,60679,23761.76,8.175115
86048798,4187699079038115456,1887160239,291.3789,-11.466,18.26055,3.778486,0.1495177,DB,0.0001730245,0.9200583,0.02692575,0,-9999,-9999,-9999,-9999,17.74157,apo25m,1,60087,60087,19956.23,8.101663
56667093,716895943680833920,801561211,134.3342,36.02849,18.89401,2.905664,0.2566269,DB,0.002945135,0.7537084,0.02839534,0.0004887218,-9999,-9999,-9999,-9999,16.31463,apo25m,1,60706,60706,22468.45,8.430454
61562326,1481214236184104704,1000852896,215.9848,36.39332,17.82743,3.450008,0.09698583,DB,0.0001705528,0.9641313,0.01101638,0,-9999,-9999,-9999,-9999,72.76824,apo25m,4,59283,59376,20814.71,7.920142
111981985,6659422212075085440,1923726047,292.8962,-48.71691,18.58668,3.001131,0.167382,DB:,0.1526839,0.3117341,0.1280844,0.008036278,-9999,-9999,-9999,-9999,9.615863,lco25m,1,60172,60172,20886.31,8.207399
