gaia,tic,lane,G,n_sectors_analysed,n_sectors_detected,best_sn,periods_s,crowdsap_min,known_status,known_names,known_claim
1566603962760532736,157271533,DA,14.06816,2,2,49.54945188819142,S75:837.6s/13.7ppt/SN49.5;S76:837.6s/11.3ppt/SN39.2,0.92970306,NEW,,
6437146045214398336,1689000675,DA,17.19242,4,4,32.03926287752668,S93:4204.6s/257.2ppt/SN28.8;S101:4042.7s/247.9ppt/SN23.9;S102:4042.9s/285.7ppt/SN32.0;S103:4042.7s/186.7ppt/SN27.5,0.00781871,NEW,,
6492083311194727168,2055170284,DA,16.8094,5,3,9.695672092493439,S102:1049.3s/21.2ppt/SN9.7;S103:881.6s/19.8ppt/SN8.0;S104:882.4s/15.3ppt/SN6.8,0.2063922,NEW,,
3642549978347753600,1002257353,DA,17.93995,1,1,5.65407606191995,S91:3281.7s/76.5ppt/SN5.7,0.01243949,NEW,,
2908195134345338496,706387351,DA,17.63426,1,1,5.224824303124577,S98:692.1s/20.7ppt/SN5.2,0.18178865,NEW,,
6558472750993181568,2027206794,DA,17.08385,4,2,5.157189482532132,S102:947.5s/19.0ppt/SN5.2;S105:472.6s/16.5ppt/SN5.1,0.52648735,NEW,,
4729763229265811328,650649424,DA,17.49326,1,1,5.075513330039682,S96:971.4s/25.0ppt/SN5.1,0.04523625,NEW,,
2660358032257156736,422526868,DA,13.0624,2,2,54.131205217451225,S70:901.6s/9.2ppt/SN54.1;S92:817.2s/8.0ppt/SN48.2,0.98946512,KNOWN,G 29-38 | V* ZZ Psc | WD 2326+049 G29-38 | ZZ Psc                        ,strong
1641326979142898048,458484139,DA,15.57592,7,7,25.249955738954828,S74:729.9s/22.2ppt/SN25.2;S75:541.7s/6.7ppt/SN8.7;S77:849.4s/11.1ppt/SN6.8;S78:849.8s/16.4ppt/SN12.7;S81:541.4s/7.2ppt/SN10.0;S82:541.4s/8.5ppt/SN12.7;S84:845.9s/10.5ppt/SN15.4,0.59726924,KNOWN,PG 1541+650 | TIC 458484139 | V* KX Dra | WD 1541+650 PG 1541+651 | WD J154144.8,strong
5135466183642594304,164772507,DA,15.21075,1,1,21.28979119837526,S97:790.1s/8.6ppt/SN21.3,0.9680379,KNOWN,GD 1400 | HK Cet                         | MCT 0145-2211 | WD 0145-221 PHL 1159 ,strong
1840865211187303424,283903463,DA,15.98494,1,1,16.631158552723495,S82:837.9s/19.0ppt/SN16.6,0.46248049,KNOWN,GALEX J210452.7+233321 | WD 2102+233 | WD 2102+233                    | WD J2104,strong
2155960371551164416,230384389,DA,15.01453,11,11,13.283443132017647,S73:1017.4s/3.1ppt/SN6.7;S74:761.3s/3.9ppt/SN9.6;S76:761.5s/4.4ppt/SN10.3;S78:762.0s/3.6ppt/SN5.7;S79:762.1s/3.1ppt/SN6.8;S80:761.8s/4.7ppt/SN10.8;S81:761.8s/5.1ppt/SN13.3;S83:761.8s/4.4ppt/SN11.7;S84:761.6s/4.1ppt/SN7.5;S85:761.4s/3.5ppt/SN6.8;S86:761.8s/5.1ppt/SN8.0,0.60126024,KNOWN,GD 532 | Gaia DR2 2155960371551164416 | J1903+6035 | TIC 230384389,strong
5246823346920176128,304024058,DA,16.10322,1,1,11.304439253789567,S90:400.3s/18.1ppt/SN11.3,0.17587315,KNOWN,TIC 304024058 | UCAC4 109-021505,strong
2114811453822316160,7675859,DA,16.24356,4,4,11.199157472199104,S74:353.4s/19.3ppt/SN11.2;S79:574.3s/10.4ppt/SN6.0;S80:574.8s/11.0ppt/SN8.8;S81:575.1s/15.4ppt/SN9.5,0.16005599,KNOWN,-- TIC0007675859 | GALEX J181222.7+432108 | Gaia DR2 2114811453822316160 | J1812,strong
1712016196599965312,1001570405,DA,15.57692,2,2,11.057431190835459,S74:298.9s/5.7ppt/SN9.4;S75:298.9s/6.0ppt/SN11.1,0.91020674,KNOWN,GD 491 TIC0313109945,strong
1717969674107797760,156197735,DA,16.01834,2,2,9.948056299630414,S73:898.7s/12.3ppt/SN9.9;S74:898.4s/11.3ppt/SN9.5,0.70114434,KNOWN,BT Cam                         | G 255-2 | V* BT Cam | WD 1159+803 G255-2,strong
3224908977688888064,11162598,DA,16.11007,1,1,9.680913868401396,S98:965.3s/9.4ppt/SN9.7,0.20827509,KNOWN,Gaia DR2 3224908977688888064 | J0451-0333 | SDSS J045132.22-033308.2 | WD J04513,strong
3015008531455357824,24603397,DA,14.71025,1,1,9.108103284569523,S98:262.7s/3.3ppt/SN9.1,0.59822905,KNOWN,TIC 24603397 | UCAC4 410-008836,strong
