gaia,tic,lane,G,n_sectors_analysed,n_sectors_detected,best_sn,periods_s,crowdsap_min,known_status,known_names,known_claim
1566603962760532736,157271533,DA,14.06816,5,5,39.050971146929506,S15:695.0s/7.0ppt/SN33.7;S16:694.9s/7.1ppt/SN29.6;S22:695.0s/8.6ppt/SN36.5;S48:928.8s/5.3ppt/SN23.3;S49:928.2s/10.0ppt/SN39.1,0.89631385,NEW,,
6437146045214398336,1689000675,DA,17.19242,2,2,37.75013098030586,S39:3797.8s/306.7ppt/SN31.7;S66:4204.6s/335.0ppt/SN37.8,0.0038018,NEW,,
5933935199933176576,1231187554,DA,16.37821,2,2,20.633701594559376,S39:2947.8s/192.3ppt/SN20.6;S66:2947.3s/96.3ppt/SN9.3,0.00685689,NEW,,
6472153670805656832,201745945,DA,16.40193,3,1,5.961222129853786,S13:817.3s/12.1ppt/SN6.0,0.12211369,NEW,,
2660358032257156736,422526868,DA,13.0624,2,2,81.5421979042408,S42:769.9s/10.1ppt/SN53.7;S56:614.2s/15.1ppt/SN81.5,0.99426597,KNOWN,G 29-38 | V* ZZ Psc | WD 2326+049 G29-38 | ZZ Psc                        ,strong
1641326979142898048,458484139,DA,15.57592,15,15,35.2867378824063,S14:403.1s/7.9ppt/SN10.8;S15:541.7s/8.6ppt/SN11.2;S16:850.0s/14.1ppt/SN16.7;S17:541.6s/10.7ppt/SN12.7;S21:541.5s/15.1ppt/SN24.2;S22:541.6s/22.9ppt/SN18.9;S23:808.4s/12.1ppt/SN12.6;S24:684.6s/21.9ppt/SN13.2;S41:685.9s/14.2ppt/SN23.4;S47:685.8s/23.1ppt/SN35.3;S48:685.7s/21.5ppt/SN32.4;S50:685.9s/26.2ppt/SN29.6;S51:685.9s/19.7ppt/SN27.7;S54:545.4s/6.3ppt/SN7.2;S57:816.7s/8.6ppt/SN12.7,0.53938341,KNOWN,PG 1541+650 | TIC 458484139 | V* KX Dra | WD 1541+650 PG 1541+651 | WD J154144.8,strong
2155960371551164416,230384389,DA,15.01453,28,28,22.88042161024705,S14:708.4s/11.0ppt/SN13.0;S15:708.4s/8.9ppt/SN13.8;S16:708.8s/11.5ppt/SN17.6;S17:707.8s/7.5ppt/SN16.4;S18:707.6s/7.4ppt/SN18.0;S19:707.5s/8.6ppt/SN22.9;S20:706.3s/4.5ppt/SN11.7;S21:705.8s/4.6ppt/SN11.4;S22:708.0s/7.8ppt/SN15.0;S23:708.1s/4.9ppt/SN9.6;S24:708.2s/5.4ppt/SN9.4;S25:707.2s/7.7ppt/SN11.8;S26:456.1s/5.0ppt/SN7.9;S40:707.4s/7.1ppt/SN13.4;S41:709.0s/5.8ppt/SN9.7;S47:753.0s/8.6ppt/SN20.7;S48:753.7s/9.1ppt/SN18.1;S49:755.3s/9.1ppt/SN19.2;S50:755.9s/5.4ppt/SN10.4;S51:757.3s/9.1ppt/SN16.1;S52:756.8s/7.5ppt/SN14.5;S53:760.9s/7.2ppt/SN13.1;S54:457.0s/3.2ppt/SN7.0;S56:1118.2s/2.8ppt/SN7.4;S57:457.0s/3.0ppt/SN8.8;S58:457.0s/2.6ppt/SN7.2;S59:457.0s/3.0ppt/SN7.7;S60:457.0s/2.8ppt/SN6.4,0.54568952,KNOWN,GD 532 | Gaia DR2 2155960371551164416 | J1903+6035 | TIC 230384389,strong
516606710842437248,353727306,DA,15.58353,6,6,18.24643456600939,S18:545.8s/22.9ppt/SN17.8;S19:545.8s/26.3ppt/SN17.9;S25:545.9s/54.0ppt/SN14.4;S52:750.9s/22.6ppt/SN12.7;S58:729.9s/20.9ppt/SN18.2;S59:546.1s/21.1ppt/SN15.3,0.32189444,KNOWN,TIC 353727306 | UCAC4 784-007929 | WD J024029.66+663637.06,strong
5135466183642594304,164772507,DA,15.21075,2,2,17.42271317525339,S3:415.4s/10.6ppt/SN17.4;S30:721.8s/8.3ppt/SN15.6,0.96411037,KNOWN,GD 1400 | HK Cet                         | MCT 0145-2211 | WD 0145-221 PHL 1159 ,strong
2240031951187372928,230029140,DA,16.42437,28,15,14.844589622185739,S17:288.9s/8.8ppt/SN5.4;S19:785.0s/9.6ppt/SN5.8;S20:785.0s/23.8ppt/SN14.0;S21:785.0s/20.8ppt/SN13.0;S22:784.8s/21.6ppt/SN8.3;S23:784.8s/18.6ppt/SN7.6;S24:784.7s/31.5ppt/SN13.6;S25:785.1s/20.0ppt/SN7.4;S26:785.2s/21.3ppt/SN8.0;S40:785.3s/23.8ppt/SN11.5;S41:785.2s/34.6ppt/SN14.8;S47:785.1s/13.2ppt/SN7.9;S48:785.3s/12.4ppt/SN6.3;S56:400.4s/10.4ppt/SN5.8;S57:311.1s/9.2ppt/SN6.6,0.12341891,KNOWN,Gaia DR2 2240031951187372928 | J1928+6105 | TIC 230029140 | UCAC4 756-054458,strong
1717969674107797760,156197735,DA,16.01834,8,8,14.822835161040365,S14:805.6s/14.0ppt/SN12.9;S20:607.6s/12.6ppt/SN14.8;S26:606.2s/19.7ppt/SN13.6;S40:680.3s/7.2ppt/SN6.8;S41:769.1s/10.7ppt/SN9.7;S48:774.7s/16.6ppt/SN13.0;S53:774.8s/11.8ppt/SN11.1;S60:775.6s/12.3ppt/SN11.4,0.67347205,KNOWN,BT Cam                         | G 255-2 | V* BT Cam | WD 1159+803 G255-2,strong
1840865211187303424,283903463,DA,15.98494,3,3,14.696433348518747,S15:836.6s/21.8ppt/SN10.7;S41:837.7s/20.7ppt/SN11.2;S55:836.4s/16.5ppt/SN14.7,0.25740582,KNOWN,GALEX J210452.7+233321 | WD 2102+233 | WD 2102+233                    | WD J2104,strong
5246823346920176128,304024058,DA,16.10322,8,8,13.632763967200729,S10:579.5s/25.1ppt/SN13.6;S11:579.4s/29.1ppt/SN10.1;S36:579.5s/25.4ppt/SN12.0;S37:506.2s/13.6ppt/SN6.8;S38:579.5s/20.1ppt/SN8.4;S63:506.2s/21.2ppt/SN10.0;S64:506.2s/17.9ppt/SN8.9;S65:400.3s/15.0ppt/SN6.6,0.10937474,KNOWN,TIC 304024058 | UCAC4 109-021505,strong
1712016196599965312,1001570405,DA,15.57692,6,6,13.143918534569393,S40:298.9s/7.4ppt/SN13.1;S41:298.7s/5.6ppt/SN9.3;S47:298.9s/6.7ppt/SN12.7;S48:298.9s/6.1ppt/SN11.9;S53:298.9s/6.8ppt/SN11.3;S60:298.7s/5.3ppt/SN7.7,0.87330115,KNOWN,GD 491 TIC0313109945,strong
4869262701888061056,686044219,DA,17.13134,2,2,12.281385788932296,S31:913.1s/32.1ppt/SN12.3;S32:912.5s/27.3ppt/SN8.8,0.25688818,KNOWN,TIC 686044219,strong
779588657882981120,17301353,DA,16.12989,2,2,11.819253562470804,S21:870.4s/12.6ppt/SN11.8;S48:866.2s/12.0ppt/SN9.5,0.77062929,KNOWN,HS 1039+4112 | PB   520 | PB 520 | TMTS J10423368+4057149 | WD 1039+412         ,strong
584401463934612352,800153845,DA,17.3011,5,3,10.1464228080183,S34:878.3s/42.9ppt/SN10.1;S46:758.9s/28.7ppt/SN5.6;S61:878.4s/41.7ppt/SN7.9,0.10747314,KNOWN,GALEX J085507.2+063541 | SDSS J085507.29+063540.9 | TIC 800153845 | WD J0855+063,strong
2371650330620404224,610337553,DA,17.35804,1,1,9.762627441010864,S30:759.6s/32.4ppt/SN9.8,0.16731888,KNOWN,TIC 610337553,strong
2114811453822316160,7675859,DA,16.24356,6,6,9.376892225757294,S25:353.3s/36.7ppt/SN9.0;S26:353.3s/19.1ppt/SN7.9;S40:353.3s/13.6ppt/SN9.0;S52:575.4s/13.8ppt/SN7.2;S53:575.4s/15.9ppt/SN9.4;S54:575.5s/15.5ppt/SN8.9,0.13635652,KNOWN,-- TIC0007675859 | GALEX J181222.7+432108 | Gaia DR2 2114811453822316160 | J1812,strong
6482779145017901184,1989866634,DA,17.37647,2,2,8.314543931566327,S27:614.0s/22.4ppt/SN6.6;S67:614.0s/43.6ppt/SN8.3,0.18831913,KNOWN,GALEX J204311.8-461048 | TIC 1989866634,strong
3301217592917972864,415337224,DA,16.5369,1,1,7.863603957239201,S5:936.6s/15.5ppt/SN7.9,0.72498286,KNOWN,G  80-34 | TIC 415337224 | WD J035454.20+074608.59,strong
3015008531455357824,24603397,DA,14.71025,2,1,7.4087974214452075,S32:262.7s/3.4ppt/SN7.4,0.59708023,KNOWN,TIC 24603397 | UCAC4 410-008836,strong
3690323316193465344,411249703,DA,16.3444,3,1,7.294157650041222,S23:759.6s/19.9ppt/SN7.3,0.89670312,KNOWN,HE 1258+0123 | V* V439 Vir | V0439 Vir                      | WD 1258+013 | WD 1,strong
2120456419536355456,21187072,DA,16.27816,7,6,6.919458921859798,S25:1074.2s/9.3ppt/SN5.1;S26:1074.8s/8.2ppt/SN5.2;S40:1075.8s/8.4ppt/SN6.9;S41:887.5s/10.9ppt/SN6.3;S53:776.7s/8.9ppt/SN6.1;S54:776.7s/8.5ppt/SN5.1,0.35804427,KNOWN,TIC 21187072,strong
