source_id,Name,HIP,Vmag,SpType,d_pc,nss_sol,P_d,e,M2_face_MJ,M2_marg_MJ,HGCA_chi2,Kervella_snr,v8_verdict,sahl_verdict,score,witnesses
1897143408911208832,HD 207740,107821.0,7.983,G5V,48.6,OrbitalTargetedSearch,712.2,0.049,32.5,126.9,12.2,11.9,CORROBORATED_real_companion,SAHL_HIGH_PROB_BD_CAND,7,"HGCA-COR,KERV>5(11.9),SIG>20(30)"
4652393894560537728,HD 31251,22219.0,9.32,G2V,130.2,AstroSpectroSB1,419.8,0.336,46.6,49.5,8.8,3.4,CORROBORATED_real_companion,SAHL_LOWER_CONF_CAND,7,"HGCA-COR,KERV>3(3.4),ASTROSPECSB1"
824461960796102528,HD 82460,46903.0,8.378,G0,50.1,OrbitalTargetedSearchValidated,579.3,0.727,65.6,66.0,11.0,7.1,CORROBORATED_real_companion,CONFIRMED_BROWN_DWARF,7,"HGCA-COR,KERV>5(7.1),e=0.73"
321123400368013696,BD+35 228,5787.0,9.076,G0,133.7,Orbital,560.2,0.404,52.9,54.6,18.9,5.8,CORROBORATED_real_companion,PRESELECTED_SUBSTELLAR_BROAD,6,"HGCA-COR,KERV>5(5.8)"
4632430611684633344,HD 14717,10538.0,8.852,G0V,105.3,Orbital,778.4,0.732,29.8,30.7,47.5,6.0,FLAG_hgca_mass_ambiguous,SAHL_LOWER_CONF_CAND,5,"HGCA-FLAG,KERV>5(6.0),e=0.73"
2994437527894182272,HD 42606,29330.0,8.778,K3V,43.3,OrbitalTargetedSearch,800.1,0.37,49.9,50.6,58.9,15.6,FLAG_hgca_mass_ambiguous,SAHL_LOWER_CONF_CAND,5,"HGCA-FLAG,KERV>5(15.6),SIG>20(77)"
1017645329162554752,HD 76078,43870.0,8.717,G5,135.9,Orbital,274.6,0.285,68.6,77.8,9.4,4.0,CORROBORATED_real_companion,,5,"HGCA-COR,KERV>3(4.0)"
1156378820136922880,G 15-6,73800.0,9.894,G4,71.5,Orbital,268.3,0.244,68.2,70.0,23.9,2.1,CORROBORATED_real_companion,SAHL_CONFIRMED_BD,4,"HGCA-COR,SIG>20(21)"
3255968634985106816,HIP 20122,20122.0,13.485,M2.0Ve,40.7,Orbital,254.8,0.173,61.0,64.0,5.1,0.8,CORROBORATED_real_companion,,4,"HGCA-COR,SIG>20(29)"
3751763647996317056,HD 89707,50671.0,7.191,G2VFe-1.5CH-0.8,34.2,OrbitalTargetedSearchValidated,297.5,0.679,78.6,82.7,53.5,4.4,FLAG_hgca_mass_ambiguous,CONFIRMED_BROWN_DWARF,4,"HGCA-FLAG,KERV>3(4.4),e=0.68"
2884087104955208064,HD 40503,28193.0,9.226,K2/3V,39.2,OrbitalTargetedSearchValidated,826.5,0.066,6.1,13.8,99.5,5.7,FLAG_hgca_mass_ambiguous,SAHL_TOP_EXOPLANET_CAND,4,"HGCA-FLAG,KERV>5(5.7)"
