source_id,exo_name,exo_star,sep_arcsec,pub_mass,pub_mass_sini,pub_P_d,pub_e,discovered,HIP,Name,Vmag,period_d,eccentricity,M_2_mjup_marginalized,significance,nss_solution_type
1678059429243445248,HD 115517 b,HD 115517,1.4146802561918812,64.475,,439.49,0.403,2023,,,,439.49051104928304,0.4030567502104758,33.8189265331127,20.813896,AstroSpectroSB1
4854976609869179648,CD-41 1115 b,CD-41 1115,1.440193028488398,68.0,,406.5,,2024,,,,406.5013768822883,0.47566114441492535,52.85334360959595,19.752312,AstroSpectroSB1
5981932494567274368,TYC 8321-266-1 b,TYC 8321-266-1,0.6930351670596776,46.226,,413.89,0.505,2023,,,,413.89033110584506,0.5046260866299882,50.84154491212371,17.798157,AstroSpectroSB1
5209009149172296960,ECHA J0836.2-7908,,0.6446127050828211,62.0,,,,2004,,,,623.8163830207251,0.5590996956656956,31.969904115091566,7.9008613,Orbital
6795834500861297408,SIPS J2049-2800 b,SIPS J2049-2800,2.8648325306052396,52.0,,641.1,,2024,,,,641.0811881706036,0.30997128798817764,45.572879008267606,42.322308,Orbital
3734451596899500928,LSPM J1259+1001 b,LSPM J1259+1001,2.5083043271801837,60.0,,,,2015,,,,459.466625475575,0.3047931296503317,44.59459565580396,37.23713,Orbital
4224582166524567040,Gaia DR3 4224582166524567040 b,Gaia DR3 4224582166524567040,1.5944062875086709,50.8,,413.7,,2024,,,,413.66754482872136,0.5881015038364558,45.41063228288132,21.01088,Orbital
1693282786205650560,2MASS J12114960+7752445 b,2MASS J12114960+7752445,1.926229456696918,54.3,,651.2,,2024,,,,651.1844031521084,0.5831876469627304,53.202295538705016,41.596714,Orbital
5148853253106611200,LP 769-9 b,LP 769-9,2.967190185152982,44.8,,339.6,,2024,,,,339.57418895451394,0.17005832450846176,46.92818474511593,15.957977,Orbital
5144739739589028992,LP 769-41 b,LP 769-41,3.74904596841544,47.2,,150.8,,2024,,,,150.84559200593864,0.19251250960793534,53.96029595157471,24.167934,Orbital
1856067303769195648,HD 340935 b,HD 340935,1.689193456924867,58.0,,1176.2,,2024,,,,1176.2068793006827,0.4832623592047688,67.32114964865696,10.450725,Orbital
5776191054129718912,HD 156312 Bb,HD 156312 B,0.5485760839587617,66.519,,238.43,0.239,2023,,,,238.43340878367002,0.23921526146189526,73.79706816838402,29.121508,AstroSpectroSB1
5642454293756185216,UCAC4 302-050985 b,UCAC4 302-050985,1.5233026607359599,65.153,,276.51,0.374,2023,,,,276.50717418915633,0.373545736894845,76.87030287957873,66.2124,AstroSpectroSB1
1390358021264524544,TYC 3056-264-1 b,TYC 3056-264-1,0.8521221458157693,64.727,,564.96,0.487,2023,,,,564.9641223749068,0.4866406758418746,79.30284798702293,52.18294,AstroSpectroSB1
6717694064902244224,TYC 7922-716-1 b,TYC 7922-716-1,2.4444859159869177,67.0,,288.7,,2024,,,,288.6869870483536,0.4795180130649118,78.85116763969481,28.526398,AstroSpectroSB1
5501729312336121856,UCAC2 9182345 b,UCAC2 9182345,0.38639450170449013,61.0,,130.3,,2024,,,,130.25260696988832,0.4388843826633433,80.04607146295747,27.556398,AstroSpectroSB1
151374198202645376,KPNO-Tau 5,DI Tau (AB),0.3572185457730751,40.0,,,,2002,,,,,,300.2351204343113,30.565187,Acceleration7
